"","utteredPriceLabel","numberType","domain","isLiteral","isFigurative","logPriorProb"
"1","20","round","coffee maker",0.619047619047619,0.380952380952381,-1.3431
"9","21","sharp","coffee maker",0.576923076923077,0.423076923076923,-1.3431
"2","50","round","coffee maker",0.80952380952381,0.19047619047619,-1.9365
"10","51","sharp","coffee maker",0.789473684210526,0.210526315789474,-1.9365
"3","100","round","coffee maker",0.695652173913043,0.304347826086957,-3.2951
"11","101","sharp","coffee maker",0.85,0.15,-3.2951
"4","200","round","coffee maker",0.571428571428571,0.428571428571429,-4.2391
"12","201","sharp","coffee maker",0.411764705882353,0.588235294117647,-4.2391
"5","500","round","coffee maker",0.347826086956522,0.652173913043478,-4.2391
"13","501","sharp","coffee maker",0.375,0.625,-4.2391
"6","1000","round","coffee maker",0.210526315789474,0.789473684210526,-4.2391
"14","1001","sharp","coffee maker",0.470588235294118,0.529411764705882,-4.2391
"7","2000","round","coffee maker",0.192307692307692,0.807692307692308,-4.2391
"15","2001","sharp","coffee maker",0.416666666666667,0.583333333333333,-4.2391
"8","10000","round","coffee maker",0.217391304347826,0.782608695652174,-14.5087
"16","10001","sharp","coffee maker",0.105263157894737,0.894736842105263,-14.5087
"17","20","round","electric kettle",0.625,0.375,-1.0865
"25","21","sharp","electric kettle",0.6,0.4,-1.0865
"18","50","round","electric kettle",0.9,0.1,-2.2639
"26","51","sharp","electric kettle",0.666666666666667,0.333333333333333,-2.2639
"19","100","round","electric kettle",0.636363636363636,0.363636363636364,-3.7372
"27","101","sharp","electric kettle",0.6875,0.3125,-3.7372
"20","200","round","electric kettle",0.625,0.375,-4.2727
"28","201","sharp","electric kettle",0.391304347826087,0.608695652173913,-4.2727
"21","500","round","electric kettle",0.25,0.75,-4.9664
"29","501","sharp","electric kettle",0.391304347826087,0.608695652173913,-4.9664
"22","1000","round","electric kettle",0.5,0.5,-4.9664
"30","1001","sharp","electric kettle",0.5,0.5,-4.9664
"23","2000","round","electric kettle",0.235294117647059,0.764705882352941,-4.9664
"31","2001","sharp","electric kettle",0.35,0.65,-4.9664
"24","10000","round","electric kettle",0.294117647058824,0.705882352941176,-14.5087
"32","10001","sharp","electric kettle",0.125,0.875,-14.5087
"33","20","round","headphones",0.789473684210526,0.210526315789474,-1.2791
"41","21","sharp","headphones",0.923076923076923,0.0769230769230769,-1.2791
"34","50","round","headphones",0.75,0.25,-1.8882
"42","51","sharp","headphones",0.625,0.375,-1.8882
"35","100","round","headphones",0.608695652173913,0.391304347826087,-4.2634
"43","101","sharp","headphones",0.75,0.25,-4.2634
