"","utterance","isLiteral","isRound","domain","probability","logPriorProb"
"9",20,"non-literal","round","coffee",0.352646959762,-1.3431
"25",21,"non-literal","sharp","coffee",0.0746857425526,-1.3431
"10",50,"non-literal","round","coffee",0.410908622282,-1.9365
"26",51,"non-literal","sharp","coffee",0.094840076936,-1.9365
"11",100,"non-literal","round","coffee",0.591371948346,-3.2951
"27",101,"non-literal","sharp","coffee",0.202342055612,-3.2951
"12",200,"non-literal","round","coffee",0.75203793692,-4.2391
"28",201,"non-literal","sharp","coffee",0.365556284368,-4.2391
"13",500,"non-literal","round","coffee",0.75203793692,-4.2391
"29",501,"non-literal","sharp","coffee",0.365556284368,-4.2391
"14",1000,"non-literal","round","coffee",0.75203793692,-4.2391
"30",1001,"non-literal","sharp","coffee",0.365556284368,-4.2391
"15",2000,"non-literal","round","coffee",0.75203793692,-4.2391
"31",2001,"non-literal","sharp","coffee",0.365556284368,-4.2391
"16",10000,"non-literal","round","coffee",0.9999866955,-14.5087
"32",10001,"non-literal","sharp","coffee",0.9999377427,-14.5087
"41",20,"non-literal","round","headphones",0.3287990031374,-1.0865
"57",21,"non-literal","sharp","headphones",0.0652272817214,-1.0865
"42",50,"non-literal","round","headphones",0.50275661721,-2.2639
"58",51,"non-literal","sharp","headphones",0.145682292626,-2.2639
"43",100,"non-literal","round","headphones",0.700933438048,-3.7372
"59",101,"non-literal","sharp","headphones",0.301439612702,-3.7372
"44",200,"non-literal","round","headphones",0.730978082224,-4.2727
"60",201,"non-literal","sharp","headphones",0.338193427752,-4.2727
"45",500,"non-literal","round","headphones",0.827371585896,-4.9664
"61",501,"non-literal","sharp","headphones",0.4837348848,-4.9664
"46",1000,"non-literal","round","headphones",0.827371585896,-4.9664
"62",1001,"non-literal","sharp","headphones",0.4837348848,-4.9664
"47",2000,"non-literal","round","headphones",0.827371585896,-4.9664
"63",2001,"non-literal","sharp","headphones",0.4837348848,-4.9664
"48",10000,"non-literal","round","headphones",0.9999864546,-14.5087
"64",10001,"non-literal","sharp","headphones",0.99993878042,-14.5087
"73",20,"non-literal","round","kettle",0.3380412362232,-1.2791
"89",21,"non-literal","sharp","kettle",0.0677014005458,-1.2791
"74",50,"non-literal","round","kettle",0.38351509406,-1.8882
"90",51,"non-literal","sharp","kettle",0.08115845837,-1.8882
"75",100,"non-literal","round","kettle",0.770786655558,-4.2634
"91",101,"non-literal","sharp","kettle",0.390879658636,-4.2634
"76",200,"non-literal","round","kettle",0.770786655558,-4.2634
"92",201,"non-literal","sharp","kettle",0.390879658636,-4.2634
"77",500,"non-literal","round","kettle",0.770786655558,-4.2634
"93",501,"non-literal","sharp","kettle",0.390879658636,-4.2634
"78",1000,"non-literal","round","kettle",0.770786655558,-4.2634
"94",1001,"non-literal","sharp","kettle",0.390879658636,-4.2634
"79",2000,"non-literal","round","kettle",0.770786655558,-4.2634
"95",2001,"non-literal","sharp","kettle",0.390879658636,-4.2634
"80",10000,"non-literal","round","kettle",0.9999990155,-14.5087
"96",10001,"non-literal","sharp","kettle",0.9999439454,-14.5087
"105",20,"non-literal","round","laptop",0.697970019952,-3.5645
"121",21,"non-literal","sharp","laptop",0.303396911888,-3.5645
"106",50,"non-literal","round","laptop",0.613212213656,-3.1364
"122",51,"non-literal","sharp","laptop",0.223203035852,-3.1364
"107",100,"non-literal","round","laptop",0.525661365834,-2.7033
"123",101,"non-literal","sharp","laptop",0.159560077256,-2.7033
"108",200,"non-literal","round","laptop",0.447706423258,-2.2909
"124",201,"non-literal","sharp","laptop",0.114320546925,-2.2909
"109",500,"non-literal","round","laptop",0.33240610027,-1.6381
"125",501,"non-literal","sharp","laptop",0.0594574540362,-1.6381
"110",1000,"non-literal","round","laptop",0.487614659958,-2.8634
"126",1001,"non-literal","sharp","laptop",0.135555919511,-2.8634
"111",2000,"non-literal","round","laptop",0.845481084496,-4.7475
"127",2001,"non-literal","sharp","laptop",0.5268853482484,-4.7475
"112",10000,"non-literal","round","laptop",0.99998589478,-14.5087
"128",10001,"non-literal","sharp","laptop",0.99994639482,-14.5087
"137",20,"non-literal","round","sweater",0.3456502790468,-1.2363
"153",21,"non-literal","sharp","sweater",0.0727681771088,-1.2363
"138",50,"non-literal","round","sweater",0.427286420962,-1.9898
"154",51,"non-literal","sharp","sweater",0.102817567684,-1.9898
"139",100,"non-literal","round","sweater",0.654711931828,-3.7175
"155",101,"non-literal","sharp","sweater",0.255962858386,-3.7175
"140",200,"non-literal","round","sweater",0.76981993421,-4.4116
"156",201,"non-literal","sharp","sweater",0.389924333846,-4.4116
"141",500,"non-literal","round","sweater",0.76981993421,-4.4116
"157",501,"non-literal","sharp","sweater",0.389924333846,-4.4116
"142",1000,"non-literal","round","sweater",0.76981993421,-4.4116
"158",1001,"non-literal","sharp","sweater",0.389924333846,-4.4116
"143",2000,"non-literal","round","sweater",0.76981993421,-4.4116
"159",2001,"non-literal","sharp","sweater",0.389924333846,-4.4116
"144",10000,"non-literal","round","sweater",0.999982699,-14.5087
"160",10001,"non-literal","sharp","sweater",0.9999390908,-14.5087
"169",20,"non-literal","round","watch",0.41740397794,-1.9238
"185",21,"non-literal","sharp","watch",0.1000392030756,-1.9238
"170",50,"non-literal","round","watch",0.362675605148,-1.5818
"186",51,"non-literal","sharp","watch",0.074549968406,-1.5818
"171",100,"non-literal","round","watch",0.432039296518,-2.133
"187",101,"non-literal","sharp","watch",0.10524071966,-2.133
"172",200,"non-literal","round","watch",0.807833243996,-4.3926
"188",201,"non-literal","sharp","watch",0.44650188764,-4.3926
"173",500,"non-literal","round","watch",0.83052014618,-4.7436
"189",501,"non-literal","sharp","watch",0.488961145418,-4.7436
"174",1000,"non-literal","round","watch",0.904006982976,-5.4274
"190",1001,"non-literal","sharp","watch",0.653472000636,-5.4274
"175",2000,"non-literal","round","watch",0.904006982976,-5.4274
"191",2001,"non-literal","sharp","watch",0.653472000636,-5.4274
"176",10000,"non-literal","round","watch",0.99997909884,-14.5087
"192",10001,"non-literal","sharp","watch",0.99994448402,-14.5087
