hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.nativeLanguage	Answer.orders	Answer.inferredPrices0	Answer.sentenceIDs	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices5	Answer.utteredPrices	Answer.buyers	Answer.condition	Answer.domains	Answer.income	Answer.utteredPricesRounded	Answer.comments	Answer.age	Answer.affects	Answer.gender	Answer.numberTypes	assignments
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2Y91XERSQV66LYFMEYUH1WA0WZM91D	AYEA5AKLJFSKT	Approved	Tue Sep 10 20:39:12 PDT 2013	Tue Sep 10 03:55:57 PDT 2013	Tue Sep 10 03:59:12 PDT 2013	Tue Sep 10 06:45:52 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[39,40,40,40,40,40]"	"[87,95,93,96,88,85]"	"[31,30,20,29,29,29]"	"[0,0,0,0,0,0]"	"[38,39,40,40,40,40]"	"[30,31,31,30,29,29]"	"[0,0,0,0,0,0]"	"[""two thousand "",""one thousand nine hundred ninety eight "",""five hundred two "",""ten thousand two "",""ten thousand "",""five hundred ""]"	"[""Rodney"",""Carl"",""Joseph"",""Leon"",""Will"",""Dean""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""10"""	"[2000,2000,500,10000,10000,500]"	""""""	"""65"""	"[0.75,0.75,0.25,1,1,0.25]"	"""M"""	"[""round"",""sharp"",""sharp"",""sharp"",""round"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2S1NZW6HEZ6O8HG13YZ6FGUREIGPZC	A1BFW88CZ8UUTI	Approved	Tue Sep 10 20:45:21 PDT 2013	Tue Sep 10 04:01:41 PDT 2013	Tue Sep 10 04:05:21 PDT 2013	Tue Sep 10 06:45:52 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[9,19,28,20,20,23]"	"[95,96,85,87,93,88]"	"[12,8,9,10,11,11]"	"[1,1,0,1,1,0]"	"[11,20,29,20,20,23]"	"[11,9,9,11,11,11]"	"[0,1,1,0,1,0]"	"[""one thousand nine hundred ninety nine "",""nine thousand nine hundred ninety nine "",""five hundred "",""two thousand "",""five hundred three "",""ten thousand ""]"	"[""Carl"",""Leon"",""Dean"",""Rodney"",""Joseph"",""Will""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[2000,10000,500,2000,500,10000]"	"""Most laptops seem to be more on the 1,000 range"""	"""45"""	"[1,0.975,0.225,0.775,0.25,0.975]"	"""M"""	"[""sharp"",""sharp"",""round"",""round"",""sharp"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2JKKMT6YTWX4BG77LGVDF9GNIZZV0C	A2P6VK1US8OTC5	Approved	Tue Sep 10 20:54:24 PDT 2013	Tue Sep 10 04:10:55 PDT 2013	Tue Sep 10 04:14:24 PDT 2013	Tue Sep 10 06:45:53 PDT 2013					"""english"""	"[1,2,3,4,5,6]"	"[20,20,29,39,39,26]"	"[95,93,96,85,88,87]"	"[29,31,11,0,20,24]"	"[1,1,1,1,0,0]"	"[20,20,31,31,39,28]"	"[30,28,13,2,28,28]"	"[0,0,0,0,0,1]"	"[""two thousand three "",""four hundred ninety nine "",""nine thousand nine hundred ninety nine "",""five hundred "",""ten thousand "",""two thousand ""]"	"[""Carl"",""Joseph"",""Leon"",""Dean"",""Will"",""Rodney""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[2000,500,10000,500,10000,2000]"	""""""	"""45"""	"[0.975,0.975,1,0.5,0.25,0.975]"	"""F"""	"[""sharp"",""sharp"",""sharp"",""round"",""round"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2JJNDWIOV1S7M0TIPLL19YD4K4PIXY	A72H1PN9MHIW6	Approved	Tue Sep 10 20:56:29 PDT 2013	Tue Sep 10 04:12:26 PDT 2013	Tue Sep 10 04:16:29 PDT 2013	Tue Sep 10 06:45:53 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[26,34,14,17,9,10]"	"[96,85,87,93,88,95]"	"[8,6,24,9,19,30]"	"[0,0,1,0,7,0]"	"[24,31,12,34,9,9]"	"[12,7,24,12,20,23]"	"[0,0,0,0,7,0]"	"[""nine thousand nine hundred ninety eight "",""five hundred "",""two thousand "",""four hundred ninety nine "",""ten thousand "",""two thousand one ""]"	"[""Leon"",""Dean"",""Rodney"",""Joseph"",""Will"",""Carl""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[10000,500,2000,500,10000,2000]"	""""""	"""35"""	"[0.925,0.25,0.6,0.125,0.725,0.25]"	"""M"""	"[""sharp"",""round"",""round"",""sharp"",""round"",""sharp""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	22RVXX2Q45UUE3E3CS9W7NSD0XHR9S	A23RPU5ZLLFQH0	Approved	Tue Sep 10 20:58:20 PDT 2013	Tue Sep 10 04:12:14 PDT 2013	Tue Sep 10 04:18:20 PDT 2013	Tue Sep 10 06:45:52 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[29,30,29,31,31,29]"	"[87,95,96,88,93,85]"	"[20,20,20,20,20,20]"	"[10,1,1,2,1,1]"	"[30,31,30,30,31,30]"	"[20,20,20,20,20,20]"	"[10,1,10,10,1,1]"	"[""two thousand "",""one thousand nine hundred ninety eight "",""nine thousand nine hundred ninety eight "",""ten thousand "",""five hundred two "",""five hundred ""]"	"[""Rodney"",""Carl"",""Leon"",""Will"",""Joseph"",""Dean""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[2000,2000,10000,10000,500,500]"	"""Interesting hit."""	"""55"""	"[0.75,0.75,0.975,1,0.25,0.25]"	"""M"""	"[""round"",""sharp"",""sharp"",""round"",""sharp"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2VQHVI44OS2KF7YIJJQSHAPANIH5Z8	A1N5MDRGDXQY5U	Approved	Tue Sep 10 20:59:55 PDT 2013	Tue Sep 10 04:15:15 PDT 2013	Tue Sep 10 04:19:55 PDT 2013	Tue Sep 10 06:45:53 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[20,20,40,20,20,20]"	"[96,95,85,88,93,87]"	"[39,39,0,40,0,40]"	"[0,0,0,0,0,20]"	"[20,20,0,20,40,20]"	"[39,20,0,40,0,40]"	"[0,0,0,0,0,20]"	"[""ten thousand two "",""two thousand three "",""five hundred "",""ten thousand "",""five hundred two "",""two thousand ""]"	"[""Leon"",""Carl"",""Dean"",""Will"",""Joseph"",""Rodney""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""10"""	"[10000,2000,500,10000,500,2000]"	""""""	"""35"""	"[1,0.75,0.5,1,0.5,0.75]"	"""F"""	"[""sharp"",""sharp"",""round"",""round"",""sharp"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RE8JIA0RYNJ3FDOGRR5HMJY6YF610	A2BZWQGWCJS3BC	Approved	Tue Sep 10 21:04:32 PDT 2013	Tue Sep 10 04:15:44 PDT 2013	Tue Sep 10 04:24:32 PDT 2013	Tue Sep 10 06:45:53 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[39,39,40,37,38,38]"	"[95,88,93,96,87,85]"	"[9,11,11,10,12,10]"	"[1,1,1,1,1,0]"	"[39,38,40,37,37,39]"	"[8,11,11,11,12,9]"	"[0,1,2,1,2,1]"	"[""two thousand three "",""ten thousand "",""four hundred ninety eight "",""nine thousand nine hundred ninety eight "",""two thousand "",""five hundred ""]"	"[""Carl"",""Will"",""Joseph"",""Leon"",""Rodney"",""Dean""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""8"""	"[2000,10000,500,10000,2000,500]"	"""I am not sure how those price points related to the price that was paid for the laptop. I know how relevant the last question is."""	"""55"""	"[1,1,0.25,1,0.975,0.225]"	"""F"""	"[""sharp"",""round"",""sharp"",""sharp"",""round"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2GJ70G5R98D8DGLJ31JSZNYHSK5CSK	AODPVTKUSNBUT	Approved	Tue Sep 10 21:13:39 PDT 2013	Tue Sep 10 04:30:17 PDT 2013	Tue Sep 10 04:33:39 PDT 2013	Tue Sep 10 06:45:52 PDT 2013					"""english"""	"[1,2,3,4,5,6]"	"[20,20,20,20,40,20]"	"[96,88,95,87,85,93]"	"[20,21,19,20,20,20]"	"[20,40,20,20,20,20]"	"[20,20,20,20,20,40]"	"[20,20,40,40,20,20]"	"[40,20,19,20,20,20]"	"[""ten thousand one "",""ten thousand "",""one thousand nine hundred ninety nine "",""two thousand "",""five hundred "",""four hundred ninety seven ""]"	"[""Leon"",""Will"",""Carl"",""Rodney"",""Dean"",""Joseph""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[10000,10000,2000,2000,500,500]"	"""i hope i did everything right"""	"""35"""	"[1,1,1,0.65,0.25,0.1]"	"""M"""	"[""sharp"",""round"",""sharp"",""round"",""round"",""sharp""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2LUYU98JHSTL5GB5BGA9OOBOQ09DP4	A3H2NSZ2WLPA5D	Approved	Tue Sep 10 21:14:03 PDT 2013	Tue Sep 10 04:26:44 PDT 2013	Tue Sep 10 04:34:03 PDT 2013	Tue Sep 10 06:45:52 PDT 2013					"""English"""	"[1,2,3,4,5,6]"	"[40,40,38,40,40,40]"	"[87,93,96,95,88,85]"	"[19,17,17,17,18,18]"	"[0,0,0,1,0,0]"	"[40,40,38,39,40,40]"	"[19,17,17,17,18,18]"	"[0,0,1,1,0,0]"	"[""two thousand "",""four hundred ninety eight "",""nine thousand nine hundred ninety seven "",""two thousand two "",""ten thousand "",""five hundred ""]"	"[""Rodney"",""Joseph"",""Leon"",""Carl"",""Will"",""Dean""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[2000,500,10000,2000,10000,500]"	"""Thank You!"""	"""35"""	"[0.75,0.225,1,0.75,1,0.25]"	"""F"""	"[""round"",""sharp"",""sharp"",""sharp"",""round"",""round""]"	50
2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2RUQP6AUC26DAJXIX2UV6FK0C3O290	Guess the price!	Read buyers' statements about the prices of various items and guess the actual price.	"prices,language,survey,psychology,estimate,experiment"	$0.60 	Sun Sep 01 18:22:47 PDT 2013	50	0	0	50	Reviewable	NotReviewed	1 1	7200	60000	Tue Sep 10 08:53:10 PDT 2013	http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX	2WL6YTWX4H3HW2199E0GO6IO3SO3YR	A3C01W6EC4R0LC	Approved	Tue Sep 10 21:27:54 PDT 2013	Tue Sep 10 04:43:46 PDT 2013	Tue Sep 10 04:47:54 PDT 2013	Tue Sep 10 06:45:53 PDT 2013					"""english"""	"[1,2,3,4,5,6]"	"[29,29,29,29,29,36]"	"[95,93,96,88,87,85]"	"[9,9,10,10,20,12]"	"[2,0,1,1,2,1]"	"[29,29,29,29,29,36]"	"[6,9,10,12,20,13]"	"[2,1,2,1,2,0]"	"[""one thousand nine hundred ninety nine "",""five hundred two "",""ten thousand two "",""ten thousand "",""two thousand "",""five hundred ""]"	"[""Carl"",""Joseph"",""Leon"",""Will"",""Rodney"",""Dean""]"	1	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[2000,500,10000,10000,2000,500]"	"""thanks"""	"""45"""	"[0.975,0.4,1,0.975,0.75,0.25]"	"""F"""	"[""sharp"",""sharp"",""sharp"",""round"",""round"",""round""]"	50
