domain,utterance,state,affect,probability
electric kettle,50,50,0,0.4834075169116823
electric kettle,50,50,1,0.18261953064016268
electric kettle,50,51,0,0.24238801506097188
electric kettle,50,51,1,0.07400075259122145
electric kettle,50,500,0,0.003992809479485793
electric kettle,50,500,1,0.0018978504239505214
electric kettle,50,501,0,0.004030265478355267
electric kettle,50,501,1,0.0019156538988468683
electric kettle,50,1000,0,0.0008569536372116551
electric kettle,50,1000,1,0.0008955952625894157
electric kettle,50,1001,0,0.000810839540141969
electric kettle,50,1001,1,0.0008474017955442446
electric kettle,50,5000,0,0.00019200521266628194
electric kettle,50,5000,1,0.00047956447046045226
electric kettle,50,5001,0,0.00019029088041033304
electric kettle,50,5001,1,0.0004752826448313411
electric kettle,50,10000,0,0.00004065416492678914
electric kettle,50,10000,1,0.0003680787509933721
electric kettle,50,10001,0,0.000058777105918249164
electric kettle,50,10001,1,0.0005321620496289709
electric kettle,51,50,0,0.1785670123149475
electric kettle,51,50,1,0.05451628165669851
electric kettle,51,51,0,0.5333143682372802
electric kettle,51,51,1,0.22169551671836388
electric kettle,51,500,0,0.002703660624664072
electric kettle,51,500,1,0.0012850959929592857
electric kettle,51,501,0,0.002729023294689064
electric kettle,51,501,1,0.0012971513024617187
electric kettle,51,1000,0,0.0005802710642708131
electric kettle,51,1000,1,0.0006064365604067138
electric kettle,51,1001,0,0.0005490457155208137
electric kettle,51,1001,1,0.000573803202896038
electric kettle,51,5000,0,0.00013001294849733998
electric kettle,51,5000,1,0.0003247286359224883
electric kettle,51,5001,0,0.00012885211860004235
electric kettle,51,5001,1,0.00032182927310175186
electric kettle,51,10000,0,0.000027528251850201987
electric kettle,51,10000,1,0.00024923804427665124
electric kettle,51,10001,0,0.000039799882193063057
electric kettle,51,10001,1,0.0003603441603999771
electric kettle,500,50,0,0.14901685737098402
electric kettle,500,50,1,0.07083025308127601
electric kettle,500,51,0,0.13696793192362744
electric kettle,500,51,1,0.06510319337910389
electric kettle,500,500,0,0.07517962437057447
electric kettle,500,500,1,0.2867580314647327
electric kettle,500,501,0,0.03537213359899954
electric kettle,500,501,1,0.13518801879936168
electric kettle,500,1000,0,0.0012351189351405259
electric kettle,500,1000,1,0.010575110605336698
electric kettle,500,1001,0,0.0011686551359401378
electric kettle,500,1001,1,0.01000604635751588
electric kettle,500,5000,0,0.0002767352439058914
electric kettle,500,5000,1,0.005662655363814719
electric kettle,500,5001,0,0.0002742643935138745
electric kettle,500,5001,1,0.005612095940923516
electric kettle,500,10000,0,0.000058594452153543104
electric kettle,500,10000,1,0.004346241729746168
electric kettle,500,10001,0,0.00008471487058343553
electric kettle,500,10001,1,0.006283722982765535
electric kettle,501,50,0,0.11179697301865683
electric kettle,501,50,1,0.053139007440737525
electric kettle,501,51,0,0.10275750314318877
electric kettle,501,51,1,0.04884239328381702
electric kettle,501,500,0,0.026290620400377284
electric kettle,501,500,1,0.10047957313588823
electric kettle,501,501,0,0.10860074828639542
electric kettle,501,501,1,0.41389471280762985
electric kettle,501,1000,0,0.0009266237438021839
electric kettle,501,1000,1,0.007933769211565338
electric kettle,501,1001,0,0.0008767605827007203
electric kettle,501,1001,1,0.00750683992663805
electric kettle,501,5000,0,0.00020761518624189197
electric kettle,501,5000,1,0.004248296065902768
electric kettle,501,5001,0,0.00020576147922187512
electric kettle,501,5001,1,0.004210364851028637
electric kettle,501,10000,0,0.00004395933790325758
electric kettle,501,10000,1,0.0032606825695117884
electric kettle,501,10001,0,0.00006355566925772171
electric kettle,501,10001,1,0.004714239859535109
electric kettle,1000,50,0,0.12705651763375916
electric kettle,1000,50,1,0.13278573114428427
electric kettle,1000,51,0,0.11678322013186189
electric kettle,1000,51,1,0.12204919164629222
electric kettle,1000,500,0,0.004906723538244958
electric kettle,1000,500,1,0.04201145545618711
electric kettle,1000,501,0,0.004952752839729425
electric kettle,1000,501,1,0.04240555916590746
electric kettle,1000,1000,0,0.025818995606577536
electric kettle,1000,1000,1,0.22716702555453075
electric kettle,1000,1001,0,0.010882313845375
electric kettle,1000,1001,1,0.10152367331722445
electric kettle,1000,5000,0,0.00023595328084041238
electric kettle,1000,5000,1,0.01061580045237775
electric kettle,1000,5001,0,0.00023384655511862304
electric kettle,1000,5001,1,0.010521016519767237
electric kettle,1000,10000,0,0.00004995949568814836
electric kettle,1000,10000,1,0.008147915060417949
electric kettle,1000,10001,0,0.0000722305961756362
electric kettle,1000,10001,1,0.01178011815964039
electric kettle,1001,50,0,0.10512509859481314
electric kettle,1001,50,1,0.1098653838346523
electric kettle,1001,51,0,0.09662509062281875
electric kettle,1001,51,1,0.10098209477311089
electric kettle,1001,500,0,0.004059766514476203
electric kettle,1001,500,1,0.03475979413880773
electric kettle,1001,501,0,0.004097850628120446
electric kettle,1001,501,1,0.03508587100690162
electric kettle,1001,1000,0,0.009515971280200639
electric kettle,1001,1000,1,0.08877674116684044
electric kettle,1001,1001,0,0.03926791876798604
electric kettle,1001,1001,1,0.3373720291753066
electric kettle,1001,5000,0,0.00019522502563479161
electric kettle,1001,5000,1,0.008783390966498132
electric kettle,1001,5001,0,0.00019348194504876671
electric kettle,1001,5001,1,0.008704967832868686
electric kettle,1001,10000,0,0.000041335911040019496
electric kettle,1001,10000,1,0.006741491031082777
electric kettle,1001,10001,0,0.00005976276294942569
electric kettle,1001,10001,1,0.009746734020842555
electric kettle,5000,50,0,0.07804264292213435
electric kettle,5000,50,1,0.19492428464084116
electric kettle,5000,51,0,0.07173241733508902
electric kettle,5000,51,1,0.17916346257713467
electric kettle,5000,500,0,0.00301388453063612
electric kettle,5000,500,1,0.061671181315556024
electric kettle,5000,501,0,0.003042157368634584
electric kettle,5000,501,1,0.06224971022095526
electric kettle,5000,1000,0,0.0006468526294415585
electric kettle,5000,1000,1,0.029102619009107336
electric kettle,5000,1001,0,0.0006120444161980661
electric kettle,5000,1001,1,0.027536558793370598
electric kettle,5000,5000,0,0.00778508623617475
electric kettle,5000,5000,1,0.1684508912089251
electric kettle,5000,5001,0,0.0033380489295411885
electric kettle,5000,5001,1,0.07935952728634744
electric kettle,5000,10000,0,0.000030686903396792836
electric kettle,5000,10000,1,0.011960822151444457
electric kettle,5000,10001,0,0.000044366607320664274
electric kettle,5000,10001,1,0.017292754917750997
electric kettle,5001,50,0,0.0675394623086435
electric kettle,5001,50,1,0.16869087056257936
electric kettle,5001,51,0,0.062078483192130135
electric kettle,5001,51,1,0.1550511806716693
electric kettle,5001,500,0,0.0026082681600442014
electric kettle,5001,500,1,0.053371314322956796
electric kettle,5001,501,0,0.0026327359664236037
electric kettle,5001,501,1,0.05387198331285322
electric kettle,5001,1000,0,0.0005597975305501133
electric kettle,5001,1000,1,0.025185913316768792
electric kettle,5001,1001,0,0.000529673896619165
electric kettle,5001,1001,1,0.023830617532906773
electric kettle,5001,5000,0,0.002914830952588578
electric kettle,5001,5000,1,0.06929784775468766
electric kettle,5001,5001,0,0.013117454969985195
electric kettle,5001,5001,1,0.2733380578824258
electric kettle,5001,10000,0,0.000026556980616411855
electric kettle,5001,10000,1,0.010351103789294602
electric kettle,5001,10001,0,0.000038395634626137565
electric kettle,5001,10001,1,0.01496545126163073
electric kettle,10000,50,0,0.025530959707928638
electric kettle,10000,50,1,0.2311547605978265
electric kettle,10000,51,0,0.02346662527256699
electric kettle,10000,51,1,0.21246448268979776
electric kettle,10000,500,0,0.0009859656417939766
electric kettle,10000,500,1,0.07313397188579775
electric kettle,10000,501,0,0.0009952148504411983
electric kettle,10000,501,1,0.07382003165958574
electric kettle,10000,1000,0,0.00021161211103162456
electric kettle,10000,1000,1,0.034511907750310454
electric kettle,10000,1001,0,0.00020022491223171634
electric kettle,10000,1001,1,0.032654764732356505
electric kettle,10000,5000,0,0.00004741286648084175
electric kettle,10000,5000,1,0.01848009414096828
electric kettle,10000,5001,0,0.00004698953731583424
electric kettle,10000,5001,1,0.018315093300423926
electric kettle,10000,10000,0,0.0018622796752382719
electric kettle,10000,10000,1,0.14852590431507742
electric kettle,10000,10001,0,0.0011442694051791386
electric kettle,10000,10001,1,0.1024474349476474
