workerid	Answer.buyers	Answer.gender	Answer.condition	Answer.nativeLanguage	Answer.orders	Answer.domains	Answer.income	Answer.results	Answer.age	Answer.prices	
A3HFCPLK243DXL	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	F	2	English	56,48,44,45,32,8,29,19,37,7,10,35,51,40,47,30,38,46,12,11,25,52,27,39,13,50,2,57,17,3,21,58,6,23,36,16,20,43,54,4,15,26,18,60,24,1,9,14,34,28,55,49,41,5,22,31,59,33,53,42	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	0	1,3,2,1,11,30,28,11,31,40,2,2,0,11,10,9,9,10,10,11,2,7,10,11,11,12,29,22,30,39,2,4,10,11,10,11,29,40,36,30,2,10,10,29,28,31,39,39,39,38,1,6,8,10,10,11,22,29,34,40	35	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
AYCHPTQRYDT7G	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	F	2	English	29,48,39,53,38,20,37,15,43,33,45,11,52,23,6,4,54,7,36,2,30,42,44,47,40,16,32,55,57,59,28,56,12,9,19,51,3,10,14,22,50,26,41,46,49,34,21,25,58,24,18,60,1,5,17,35,31,27,13,8	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	11	1,10,4,10,12,22,22,18,22,22,1,4,10,10,23,28,20,33,22,39,1,15,16,22,23,29,28,30,32,34,0,5,10,18,20,22,30,25,30,30,10,16,19,22,30,26,28,28,32,30,0,6,10,20,18,19,26,34,31,40	45	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
A2GNG3WN85SAY6	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	M	2	ENGLISH	13,60,38,54,23,9,1,46,49,58,12,48,57,24,56,53,14,26,10,39,33,11,43,45,29,59,32,36,22,4,7,52,6,25,30,37,50,42,34,44,19,31,20,3,40,41,17,21,27,5,15,2,18,8,51,16,28,55,47,35	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	5,7,10,13,17,17,35,23,23,27,4,15,18,23,23,26,35,28,40,33,4,16,16,24,29,30,34,28,35,40,4,11,17,17,25,18,29,26,32,35,10,22,28,28,26,29,30,34,34,32,2,10,20,25,34,38,39,40,39,34	35	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
A1S877ZW1XM95	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	F	2	english	55,8,40,31,54,30,5,4,36,21,17,41,27,38,6,53,13,16,58,2,29,48,42,26,28,35,46,52,39,14,51,56,43,3,19,22,34,45,25,50,23,59,57,10,18,20,15,47,32,44,1,7,12,11,60,37,24,9,49,33	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	0,16,8,15,21,26,29,31,32,35,0,3,10,15,21,21,19,21,21,25,0,29,32,28,35,33,39,39,40,40,0,17,17,20,22,29,34,31,34,33,5,21,30,28,27,31,33,36,36,40,10,17,23,25,29,34,32,36,40,40	45	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
AGJZBHT9BYABD	Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly	M	1	English	28,17,30,8,54,24,29,42,26,35,22,19,56,57,7,23,5,53,59,55,45,36,9,4,6,1,46,14,3,49,39,47,31,37,34,32,25,50,20,27,40,12,16,2,11,21,58,41,48,51,33,18,13,38,15,60,52,10,43,44	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	0,0,10,10,23,27,26,30,34,36,0,10,10,17,15,29,26,30,30,30,0,0,9,18,23,30,30,29,34,33,0,10,10,21,25,28,29,36,38,31,1,10,21,20,22,30,30,30,30,31,5,10,10,18,20,23,26,23,29,31	25	9.99,17.99,25.99,33.99,41.99,49.99,57.99,65.99,73.99,81.99,8.5,23.39,38.29,53.18,68.07,82.97,97.86,112.76,127.65,142.54,3.99,35.15,66.31,97.47,128.63,159.78,190.94,222.1,253.26,284.42,10,23.16,36.32,49.47,62.63,75.79,88.95,102.11,115.26,128.42,4.99,88.68,172.36,256.05,339.73,423.42,507.1,590.79,674.47,758.16,237.47,391.42,545.37,699.32,853.27,1007.22,1161.17,1315.12,1469.07,1623.02	
ATJE4JENU7IJF	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	M	2	english	43,10,40,44,48,11,12,2,32,17,56,9,37,4,57,50,23,54,52,49,13,3,15,16,36,58,46,47,34,39,25,28,22,18,53,24,31,14,59,20,45,21,29,7,60,33,55,30,19,8,1,42,5,38,6,41,26,35,51,27	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	0,10,10,10,10,20,20,30,20,30,0,10,10,10,20,30,30,30,40,40,10,20,40,40,40,30,40,40,40,40,0,0,10,10,20,30,30,40,30,30,0,20,30,30,40,40,40,40,40,40,10,20,30,30,40,40,40,40,40,40	45	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
ABOEYY9Y0PFRI	Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly	F	1	English	45,60,39,23,55,54,17,22,19,41,36,40,28,1,35,7,57,44,21,46,12,18,11,13,6,49,32,38,37,47,34,48,52,25,30,2,20,10,50,29,56,27,26,33,59,58,8,53,3,14,15,5,43,24,4,42,31,16,51,9	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	5,10,16,10,19,18,18,25,23,22,2,13,15,29,22,25,14,23,23,19,25,12,24,14,29,22,27,28,28,25,2,8,17,10,15,22,17,17,20,23,2,9,12,24,18,21,15,22,22,15,10,15,16,23,27,19,18,18,18,26	45	9.99,17.99,25.99,33.99,41.99,49.99,57.99,65.99,73.99,81.99,8.5,23.39,38.29,53.18,68.07,82.97,97.86,112.76,127.65,142.54,3.99,35.15,66.31,97.47,128.63,159.78,190.94,222.1,253.26,284.42,10,23.16,36.32,49.47,62.63,75.79,88.95,102.11,115.26,128.42,4.99,88.68,172.36,256.05,339.73,423.42,507.1,590.79,674.47,758.16,237.47,391.42,545.37,699.32,853.27,1007.22,1161.17,1315.12,1469.07,1623.02	
A2XM6C78S9L8UG	Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex,Beverly,Devin,Felix,Heather,Jessie,Leslie,Nell,Percy,Steph,Uri,Terrance,Randy,Owen,Morgan,Kasey,Iris,George,Ellis,Chris,Alex	M	2	english	50,35,16,56,46,14,55,48,22,33,6,17,10,2,8,36,52,27,25,41,13,42,32,40,4,29,34,12,58,39,30,24,3,59,44,51,11,15,47,43,18,57,53,1,54,20,60,19,45,9,23,21,37,26,31,7,49,38,28,5	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	6	2,6,16,10,14,20,17,17,24,22,5,17,20,17,23,22,24,30,32,25,4,20,22,23,35,30,38,40,30,40,2,14,10,10,18,23,30,30,25,26,10,20,20,24,23,24,22,30,26,28,5,13,20,20,22,20,25,26,30,35	45	13.99,21.99,29.99,37.99,45.99,53.99,61.99,69.99,77.99,85.99,15.95,30.84,45.73,60.63,75.52,90.42,105.31,120.2,135.1,149.99,19.57,50.73,81.89,113.05,144.21,175.36,206.52,237.68,268.84,300,16.58,29.74,42.89,56.05,69.21,82.37,95.53,108.68,121.84,135,46.83,130.52,214.2,297.89,381.57,465.26,548.94,632.63,716.31,800,314.44,468.39,622.34,776.29,930.24,1084.19,1238.14,1392.09,1546.04,1699.99	
A9S24RMJ0AN6Z	Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly	M	1	English	42,46,7,52,6,19,24,40,39,16,5,53,27,8,3,2,49,9,12,22,29,47,34,17,15,23,30,13,14,60,51,45,55,20,1,32,43,18,41,50,11,37,54,31,10,58,56,4,28,57,36,26,59,38,44,35,33,25,21,48	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	1,9,24,10,30,20,21,26,30,27,0,9,19,20,22,25,30,30,33,30,0,10,22,30,30,30,34,40,40,40,0,10,20,19,30,25,26,30,30,30,10,30,36,40,40,40,40,40,40,40,5,19,10,22,25,24,25,26,25,33	25	9.99,17.99,25.99,33.99,41.99,49.99,57.99,65.99,73.99,81.99,8.5,23.39,38.29,53.18,68.07,82.97,97.86,112.76,127.65,142.54,3.99,35.15,66.31,97.47,128.63,159.78,190.94,222.1,253.26,284.42,10,23.16,36.32,49.47,62.63,75.79,88.95,102.11,115.26,128.42,4.99,88.68,172.36,256.05,339.73,423.42,507.1,590.79,674.47,758.16,237.47,391.42,545.37,699.32,853.27,1007.22,1161.17,1315.12,1469.07,1623.02	
A22BGKATFNNB6X	Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly,Alex,Chris,Ellis,George,Iris,Kasey,Morgan,Owen,Randy,Terrance,Uri,Steph,Percy,Nell,Leslie,Jessie,Heather,Felix,Devin,Beverly	M	1	spanish	6,20,17,38,21,22,42,43,41,34,18,36,50,47,1,24,14,10,8,32,4,59,53,25,2,13,7,16,54,44,12,11,60,48,58,55,26,40,15,46,3,31,33,37,49,9,45,23,29,27,39,56,57,35,5,30,52,19,28,51	electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,electric kettle,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,coffee maker,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,sweater,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop	4	17,15,16,24,23,26,27,30,26,30,13,17,23,26,30,31,26,29,30,30,8,18,25,27,31,26,33,35,34,34,17,23,17,22,22,25,22,25,32,30,12,25,31,30,33,35,37,38,38,39,16,16,17,20,25,30,33,29,34,36	35	9.99,17.99,25.99,33.99,41.99,49.99,57.99,65.99,73.99,81.99,8.5,23.39,38.29,53.18,68.07,82.97,97.86,112.76,127.65,142.54,3.99,35.15,66.31,97.47,128.63,159.78,190.94,222.1,253.26,284.42,10,23.16,36.32,49.47,62.63,75.79,88.95,102.11,115.26,128.42,4.99,88.68,172.36,256.05,339.73,423.42,507.1,590.79,674.47,758.16,237.47,391.42,545.37,699.32,853.27,1007.22,1161.17,1315.12,1469.07,1623.02	
