HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2X9MVHVKCJ01VXSC0OY9QQWAPJB57L,A18ACKRAVMM8D8,Approved,Fri May 10 09:56:56 PDT 2013,Fri May 10 10:01:42 PDT 2013,"[""Rick"",""Billy"",""Phillip"",""Will"",""Matt"",""Leon"",""Laurence "",""Dean"",""Corey"",""Alex"",""Seth"",""Garrett"",""Andrew"",""Ed"",""Bart"",""Adam"",""Scott"",""Jack"",""Ned"",""Oliver"",""Greg"",""Aaron"",""Steve"",""Sean"",""Martin"",""Mark"",""John"",""Larry"",""Dave"",""Ray"",""Brian"",""Richard""]","""""","[0.65,0.225,0.625,0.525,0.625,0.825,0.425,0.25,0.65,0.4,0.475,0.925,1,0.65,0.375,0.55,0.15,0.025,0.75,0.75,0.375,0.6,0.45,0.275,0.175,0.85,0.725,0.925,0.65,0.825,0.275,0.725]","""M""","[9999,17.99,1950.5,979.51,187.55,1002,102,479.51,53,17.99,22.99,998,10000,480,17.65,99,196.99,22.99,1001.78,999.98,102.48,95.99,45.65,89.99,18.99,501.5,980.2,10001,187.51,1000.99,47.89,995.99]",1,"""English""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""watch"",""watch"",""headphones"",""laptop"",""headphones"",""laptop"",""headphones"",""laptop"",""sweater"",""electric kettle"",""headphones"",""sweater"",""sweater"",""electric kettle"",""sweater"",""watch"",""laptop"",""laptop"",""electric kettle"",""headphones"",""laptop"",""headphones"",""coffee maker"",""laptop"",""sweater"",""electric kettle"",""watch"",""coffee maker"",""electric kettle"",""watch"",""watch"",""laptop""]","""0""","[80,73,55,88,52,96,51,85,42,1,57,46,40,5,41,67,92,89,14,54,91,59,18,83,33,13,70,32,4,78,66,94]","[""sharp"",""sharp"",""round"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""round"",""round"",""round"",""sharp"",""round"",""sharp"",""round"",""sharp"",""round"",""sharp""]","[""9999"",""17"",""2000"",""10000"",""200"",""10002"",""100"",""500"",""53"",""20"",""23"",""998"",""10000"",""500"",""18"",""100"",""197"",""23"",""1002"",""1000"",""103"",""97"",""50"",""100"",""20"",""502"",""1000"",""10003"",""200"",""1001"",""50"",""998""]","""25"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2I0MQU6L5OBV6VRWT2VAOJFB45PEXQ,A3RY7H1EBB4Z7B,Approved,Fri May 10 09:56:23 PDT 2013,Fri May 10 10:02:11 PDT 2013,"[""Perry"",""Mark"",""Henry"",""Jack"",""Rick"",""Kenneth"",""Tom"",""Calvin"",""Hal"",""Corey"",""Larry"",""Greg"",""Bart"",""George"",""Ben"",""Billy"",""Brian"",""Eli"",""James"",""Carl"",""Ed"",""Gabe"",""Alan"",""Garrett"",""Eric"",""Sean"",""Luke"",""Victor"",""Todd"",""Kevin"",""Jerry"",""Irvin""]","""""","[0.725,0.875,0.5,0,0.95,0.875,0.25,0.25,0.75,0.575,0.6,0.125,0.5,0.75,0.55,0.225,0.5,0.175,0.625,0.675,0.825,0.625,0.55,0.5,0.9,0.175,0.5,0.725,0.3,0.175,0.9,0.75]","""M""","[200,497,20.02,22,9997,2003,19.99,100,199,53,100.03,97,22,2000,201,19,50,17,500,2001,500,101,202,10.02,1998,100,197,200,101,97.09,1002,499]",1,"""English""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""sweater"",""electric kettle"",""sweater"",""laptop"",""watch"",""coffee maker"",""watch"",""electric kettle"",""coffee maker"",""sweater"",""coffee maker"",""laptop"",""sweater"",""electric kettle"",""headphones"",""watch"",""watch"",""coffee maker"",""watch"",""laptop"",""electric kettle"",""coffee maker"",""watch"",""sweater"",""headphones"",""laptop"",""electric kettle"",""coffee maker"",""watch"",""electric kettle"",""coffee maker"",""coffee maker""]","""4""","[36,13,47,89,80,31,79,3,28,42,32,91,41,7,60,73,66,25,69,95,5,27,76,46,63,83,12,20,75,11,30,29]","[""round"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""round"",""sharp"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp""]","[""200"",""497"",""2002"",""22"",""9997"",""2003"",""1999"",""100"",""199"",""53"",""10003"",""97"",""22"",""2000"",""201"",""19"",""50"",""17"",""500"",""2001"",""500"",""101"",""202"",""1002"",""1998"",""100"",""197"",""200"",""101"",""97"",""1002"",""499""]","""25"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2TS11K274J79E3MBXDE4CUXJ0OSFD7,A34ZSF2JSRXIRP,Approved,Fri May 10 09:57:18 PDT 2013,Fri May 10 10:03:47 PDT 2013,"[""Keith"",""Larry"",""Justin"",""Theodore"",""Ray"",""Cyrus"",""Paul"",""Calvin"",""Will"",""Billy"",""Albert"",""Jack"",""Isaac"",""Felix"",""Mark"",""Chris"",""Martin"",""Tom"",""Edward"",""Cameron"",""Scott"",""Greg"",""Leon"",""Nelson"",""Gabe"",""Howard"",""Joseph"",""Kirk"",""James"",""Darren"",""Charles"",""Brian""]","""It was kind of difficult to infer thoughts based on limited information.""","[0.5,0.75,0.575,0.5,0.55,0.625,0.725,0.5,0.75,0.25,0.575,0.25,0.725,0.35,0.625,0.575,0.325,0.65,0.625,0.75,0.25,0.25,0.75,0.5,0.5,0.35,0.525,0.15,0.525,0.725,0.275,0.425]","""F""","[50,300,5000,1000,1000,490,100,100,4000,19,450,230,150,53,100,100.01,20,2000,200,400,200,101,1200,50,97,52,497,200,500,500,20,50]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""headphones"",""coffee maker"",""watch"",""laptop"",""watch"",""headphones"",""electric kettle"",""electric kettle"",""laptop"",""watch"",""coffee maker"",""laptop"",""sweater"",""coffee maker"",""electric kettle"",""headphones"",""sweater"",""watch"",""sweater"",""coffee maker"",""laptop"",""laptop"",""laptop"",""sweater"",""coffee maker"",""watch"",""laptop"",""laptop"",""watch"",""coffee maker"",""watch"",""watch""]","""8""","[50,32,72,86,78,61,16,3,88,73,21,89,48,26,13,64,33,79,44,23,92,91,96,34,27,74,93,82,69,24,65,66]","[""round"",""sharp"",""round"",""round"",""sharp"",""sharp"",""sharp"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""round""]","[""50"",""10002"",""10000"",""1000"",""1003"",""498"",""9999"",""100"",""10000"",""19"",""500"",""23"",""9998"",""53"",""502"",""10001"",""20"",""2001"",""203"",""2000"",""197"",""101"",""9997"",""50"",""97"",""52"",""497"",""50"",""500"",""10000"",""20"",""50""]","""35"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2WIU6L5OBVCIV4N20F9JL7GYPL1ZGO,A28L1K6D8QUCML,Approved,Fri May 10 09:56:41 PDT 2013,Fri May 10 10:04:02 PDT 2013,"[""Chris"",""Oscar"",""Andrew"",""Henry"",""Ron"",""George"",""Eric"",""Steve"",""Larry"",""Calvin"",""Nelson"",""Alex"",""Charles"",""Rodney"",""Perry"",""James"",""Matt"",""Edward"",""Will"",""Norman"",""Ray"",""Darren"",""Felix"",""Rick"",""Jeff"",""Michael"",""Garrett"",""Jordan"",""Billy"",""Adam"",""Eli"",""Jerry""]","""""","[0.975,0.75,1,1,0.75,1,0.975,0.25,1,0.5,0.25,0.025,0.025,0.5,0.75,0.75,0.75,0.75,1,0.975,0.75,1,0.5,1,0.75,0.5,0.775,0.025,0.1,0.5,0.05,0.75]","""F""","[9997,100,10000,2001,500,2000,1997,50,9999,100,50,20,20,2000,200,500,200,202,10000,500,1003,10000,48,10001,498,200,998,20,23,100,21,999]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""headphones"",""sweater"",""sweater"",""sweater"",""sweater"",""electric kettle"",""headphones"",""coffee maker"",""coffee maker"",""electric kettle"",""sweater"",""electric kettle"",""watch"",""laptop"",""sweater"",""watch"",""headphones"",""sweater"",""laptop"",""headphones"",""watch"",""coffee maker"",""coffee maker"",""watch"",""watch"",""watch"",""sweater"",""headphones"",""watch"",""watch"",""coffee maker"",""coffee maker""]","""4""","[64,35,40,47,37,7,63,18,32,3,34,1,65,87,36,69,52,44,88,53,78,24,26,80,77,68,46,49,73,67,25,30]","[""sharp"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""round"",""sharp"",""round"",""round"",""round"",""round"",""round"",""round"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""round"",""sharp"",""round"",""sharp"",""sharp""]","[""9997"",""100"",""10000"",""2001"",""500"",""2000"",""1997"",""50"",""9999"",""100"",""50"",""20"",""20"",""2000"",""200"",""500"",""200"",""202"",""10000"",""500"",""1003"",""10000"",""48"",""10001"",""498"",""200"",""998"",""20"",""23"",""100"",""21"",""999""]","""45"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2N5P8PJWKUDD2ACGZVU950BAI4D8JY,A3UOK7WMVFVHHE,Approved,Fri May 10 09:56:51 PDT 2013,Fri May 10 10:04:45 PDT 2013,"[""Eric"",""Zach"",""Calvin"",""Seth"",""Bob"",""Ted"",""Russell"",""Cyrus"",""Laurence "",""Steve"",""Garrett"",""Richard"",""Dean"",""Phillip"",""Cameron"",""Aaron"",""Don"",""Ian"",""Frank"",""Victor"",""Ivan"",""Terry"",""Nelson"",""Sean"",""Matt"",""Justin"",""Billy"",""Adam"",""Daniel"",""Ben"",""Carl"",""James""]","""""","[0.125,0.125,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.25,0.3,0.375,0.275,0.275,0.275,0.25,0.325,0.325,0.4,0.375,0.4,0.4,0.475,0.4,0.375,0.4,0.4,0.35,0.35]","""M""","[2001,200,100,22,50,2000,10000,497,100,50,997,1003,500,2000,2000,101,98,20,1000,200,23,100,50,100,200,10000,22,100,997,203,1999,500]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""headphones"",""laptop"",""electric kettle"",""headphones"",""electric kettle"",""sweater"",""headphones"",""headphones"",""headphones"",""coffee maker"",""sweater"",""laptop"",""laptop"",""headphones"",""coffee maker"",""headphones"",""sweater"",""laptop"",""electric kettle"",""coffee maker"",""electric kettle"",""coffee maker"",""sweater"",""laptop"",""headphones"",""watch"",""watch"",""watch"",""headphones"",""headphones"",""laptop"",""watch""]","""6""","[63,84,3,57,2,39,56,61,51,18,46,94,85,55,23,59,43,81,6,20,9,19,34,83,52,72,73,67,62,60,95,69]","[""sharp"",""round"",""round"",""sharp"",""round"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""sharp"",""round"",""round"",""round"",""sharp"",""sharp"",""round"",""round"",""round"",""sharp"",""round"",""round"",""round"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round""]","[""2001"",""200"",""100"",""22"",""50"",""2000"",""10000"",""497"",""100"",""50"",""997"",""1003"",""500"",""2000"",""2000"",""101"",""98"",""20"",""1000"",""200"",""23"",""100"",""50"",""100"",""200"",""10000"",""22"",""100"",""997"",""203"",""1999"",""500""]","""25"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,28SLWSBRI8IU5FOZ5DAHYTLFRWPE2G,A1Y3VYHOYKZ1D7,Approved,Fri May 10 09:57:27 PDT 2013,Fri May 10 10:04:47 PDT 2013,"[""Don"",""Steve"",""Owen"",""Cyrus"",""Ray"",""Hal"",""Phillip"",""Oliver"",""Michael"",""Sean"",""Eli"",""Perry"",""Matt"",""Leon"",""Daniel"",""Martin"",""Darren"",""Bart"",""Garrett"",""Victor"",""Jeff"",""Tim"",""Scott"",""Adam"",""Albert"",""Charles"",""Bob"",""Mark"",""Alex"",""Felix"",""Jake"",""Frank""]","""none.""","[0.75,0.5,1,0.975,1,1,1,1,0.5,0.025,0.25,1,0.75,0.975,0.975,0.25,0.975,0.2,0.975,0.725,0.75,0.325,0,0,0.025,0,0,0,0.025,0.025,0,0]","""M""","[97,50,1998,498,999,197,2000,1000,200,100,10,200,200,10003,1002,20,10000,18,998,200,499,49,198,100,500,20,50,498,20,52,49,1000]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""sweater"",""coffee maker"",""electric kettle"",""headphones"",""watch"",""coffee maker"",""headphones"",""headphones"",""watch"",""laptop"",""coffee maker"",""sweater"",""headphones"",""laptop"",""headphones"",""sweater"",""coffee maker"",""sweater"",""sweater"",""coffee maker"",""watch"",""headphones"",""laptop"",""watch"",""coffee maker"",""watch"",""electric kettle"",""electric kettle"",""electric kettle"",""coffee maker"",""electric kettle"",""electric kettle""]","""4""","[43,18,15,61,78,28,55,54,68,83,25,36,52,96,62,33,24,41,46,20,77,58,92,67,21,65,2,13,1,26,10,6]","[""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""sharp"",""round"",""round"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""round""]","[""97"",""50"",""1998"",""498"",""999"",""197"",""2000"",""1000"",""200"",""100"",""19"",""200"",""200"",""10003"",""1002"",""20"",""10000"",""18"",""998"",""200"",""499"",""49"",""198"",""100"",""500"",""20"",""50"",""498"",""20"",""52"",""49"",""1000""]","""17"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,23VHVWAVKI62HWG7XCTZF9QLUM9HPM,A25CAT0W9W97Z8,Approved,Fri May 10 09:59:30 PDT 2013,Fri May 10 10:05:51 PDT 2013,"[""Owen"",""Terry"",""Felix"",""Jeff"",""Sam"",""Jack"",""Ryan"",""Eric"",""Eli"",""Carl"",""Billy"",""George"",""Theodore"",""Nelson"",""Bob"",""Cameron"",""Paul"",""Darren"",""Albert"",""Matt"",""Jordan"",""Martin"",""Charles"",""Ian"",""Will"",""Isaac"",""Richard"",""Brian"",""Rodney"",""Howard"",""Leon"",""Keith""]","""""","[1,0.75,0.125,0.25,1,0,0.175,1,0.05,0.875,0.125,1,0.5,0.25,0.05,1,1,1,1,0.9,0.125,0.25,0.125,0.025,0.975,1,0.5,0.475,0.75,0.55,1,0.625]","""M""","[100,75,51,502.99,49.99,300,20,40,18,800,17,50,1000,50,50,25,70,100,50,50,20,20,20,300,1000,75,1001,50,2000,53,1000,50]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""electric kettle"",""coffee maker"",""coffee maker"",""watch"",""sweater"",""laptop"",""coffee maker"",""headphones"",""coffee maker"",""laptop"",""watch"",""electric kettle"",""laptop"",""sweater"",""electric kettle"",""coffee maker"",""electric kettle"",""coffee maker"",""coffee maker"",""headphones"",""headphones"",""sweater"",""watch"",""laptop"",""laptop"",""sweater"",""laptop"",""watch"",""laptop"",""watch"",""laptop"",""headphones""]","""4""","[15,19,26,77,38,89,17,63,25,95,73,7,86,34,2,23,16,24,21,52,49,33,65,81,88,48,94,66,87,74,96,50]","[""sharp"",""round"",""sharp"",""sharp"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""round"",""sharp"",""round"",""round"",""round"",""round"",""round"",""round"",""round"",""round"",""sharp"",""sharp"",""round"",""round"",""sharp"",""sharp"",""round""]","[""2001"",""100"",""51"",""503"",""1000"",""21"",""20"",""1997"",""18"",""1998"",""17"",""2000"",""1000"",""50"",""50"",""2000"",""9998"",""10000"",""500"",""200"",""20"",""20"",""20"",""20"",""10000"",""9997"",""1001"",""50"",""2000"",""53"",""10002"",""50""]","""35"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2NTX3V0FK0COEF9JXRYPQK9PF7VGNQ,A3RWGA5U2C08RV,Approved,Fri May 10 09:58:19 PDT 2013,Fri May 10 10:05:52 PDT 2013,"[""Charles"",""Ted"",""Matt"",""Joseph"",""Carl"",""Tim"",""Richard"",""Bart"",""Isaac"",""Adam"",""Michael"",""Kenneth"",""Todd"",""Andrew"",""Aaron"",""Larry"",""Laurence "",""Brian"",""Ed"",""Jordan"",""Leon"",""Oliver"",""Alan"",""Jake"",""Tom"",""George"",""Dean"",""Barry"",""Darren"",""Zach"",""Harry"",""Jerry""]","""It was an interesting & active survey.  I enjoyed doing it.  Thank you.""","[0.2,0.75,0.6,0.425,0.875,0.325,0.625,0.175,0.875,0.55,0.525,0.8,0.45,0.875,0.375,0.875,0.525,0.125,0.95,0.275,0.95,0.975,0.275,0.35,0.85,0.925,0.45,0.925,0.975,0.125,0.975,1]","""F""","[20,50,200,500,800,50,1003,22,75,100,200,197,98,100,99,202,100,50,75,20,999,100,198,49,197,50,500,100,100,300,100,100]",1,"""English""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""watch"",""sweater"",""headphones"",""laptop"",""laptop"",""headphones"",""laptop"",""sweater"",""sweater"",""watch"",""watch"",""coffee maker"",""watch"",""sweater"",""headphones"",""coffee maker"",""headphones"",""watch"",""electric kettle"",""headphones"",""laptop"",""headphones"",""watch"",""electric kettle"",""watch"",""electric kettle"",""laptop"",""coffee maker"",""coffee maker"",""laptop"",""electric kettle"",""coffee maker""]","""8""","[65,39,52,93,95,58,94,41,48,67,68,31,75,40,59,32,51,66,5,49,96,54,76,10,79,7,85,22,24,84,8,30]","[""round"",""round"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""round"",""sharp"",""sharp"",""round"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""sharp"",""round"",""sharp"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""round"",""round"",""sharp""]","[""20"",""2000"",""200"",""497"",""2003"",""49"",""1003"",""22"",""10003"",""100"",""200"",""1997"",""98"",""10000"",""99"",""10002"",""100"",""50"",""500"",""20"",""9998"",""1000"",""198"",""49"",""1997"",""2000"",""500"",""1000"",""10000"",""200"",""10000"",""1003""]","""55"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,2SFMHGYQ4J3N4OWGBR6FUYYMHCJNAM,A248LF7KKHXZ14,Approved,Fri May 10 10:01:53 PDT 2013,Fri May 10 10:06:17 PDT 2013,"[""Ray"",""Irvin"",""Andrew"",""Ned"",""Paul"",""Harry"",""Mark"",""Ian"",""Keith"",""Gabe"",""Jake"",""Rick"",""Ed"",""Dean"",""Eli"",""Victor"",""Ron"",""Isaac"",""Frank"",""Sean"",""Charles"",""Roger"",""Laurence "",""Adam"",""Zach"",""Russell"",""Kenneth"",""Alan"",""Ted"",""Norman"",""Leon"",""Owen""]","""""","[0.25,0.25,0.25,0.25,0.25,0.225,0.25,0,0.025,0.25,0,0.5,0.5,0.5,0.025,0.275,0.5,0.25,0.275,0.025,0.05,0.025,0.2,0.1,0.175,0.5,0.725,0.25,0.525,0.375,0.5,0.55]","""F""","[1002.99,499,10000,1001,10002,9999.99,497,19.99,50,98.99,52,9998.99,500,499.99,17.99,199.99,500,10001,999.99,99.99,19.99,47,99.99,99.99,199.99,9999.99,2003,202,2000,500,9998,2002]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""watch"",""coffee maker"",""sweater"",""electric kettle"",""electric kettle"",""electric kettle"",""electric kettle"",""laptop"",""headphones"",""coffee maker"",""electric kettle"",""watch"",""electric kettle"",""laptop"",""coffee maker"",""coffee maker"",""sweater"",""sweater"",""electric kettle"",""laptop"",""watch"",""laptop"",""headphones"",""watch"",""laptop"",""headphones"",""coffee maker"",""watch"",""sweater"",""headphones"",""laptop"",""electric kettle""]","""11""","[78,29,40,14,16,8,13,81,50,27,10,80,5,85,25,20,37,48,6,83,65,90,51,67,84,56,31,76,39,53,96,15]","[""sharp"",""sharp"",""round"",""sharp"",""sharp"",""round"",""sharp"",""round"",""round"",""sharp"",""sharp"",""sharp"",""round"",""round"",""sharp"",""round"",""round"",""sharp"",""round"",""round"",""round"",""sharp"",""round"",""round"",""round"",""round"",""sharp"",""sharp"",""round"",""round"",""sharp"",""sharp""]","[""1003"",""499"",""10000"",""1001"",""10002"",""10000"",""497"",""20"",""50"",""99"",""52"",""9999"",""500"",""500"",""18"",""200"",""500"",""10001"",""1000"",""100"",""20"",""47"",""100"",""100"",""200"",""10000"",""2003"",""202"",""2000"",""500"",""9998"",""2002""]","""45"""
27M5UUKQOYGNC9RSODFG6109447XFE,Guess the price!,1 1,28GCCF0CP5KXJ68SENOYM4PQVYNVWL,AETIZKQNUSBLB,Approved,Fri May 10 10:02:27 PDT 2013,Fri May 10 10:07:14 PDT 2013,"[""Albert"",""Michael"",""Ed"",""Luke"",""Richard"",""Phillip"",""Felix"",""Nelson"",""Owen"",""John"",""Paul"",""Jerry"",""Calvin"",""Russell"",""Douglas"",""Steve"",""Barry"",""Chris"",""Seth"",""Eric"",""Rick"",""Justin"",""Mark"",""Ron"",""Bob"",""Scott"",""Brian"",""Matt"",""Oliver"",""Terry"",""Cyrus"",""James""]","""none""","[0.75,0.25,1,0.75,0.25,1,0.225,0.25,1,0.35,1,1,0.25,1,1,0.2,1,0.95,0.175,0.9,0.35,0.825,0.8,0.65,0.2,0.125,0.175,0.2,0.775,0.225,0.8,0.775]","""M""","[100,200,50,100,1002,200,52,50,100,1000,100,150,100,100,500,50,150,150,23,150,1003,350,100,100,50,197,50,200,100,100,150,500]",1,"""english""","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]","[""coffee maker"",""watch"",""electric kettle"",""electric kettle"",""laptop"",""headphones"",""coffee maker"",""sweater"",""electric kettle"",""watch"",""electric kettle"",""coffee maker"",""electric kettle"",""headphones"",""watch"",""coffee maker"",""coffee maker"",""headphones"",""headphones"",""headphones"",""watch"",""watch"",""electric kettle"",""sweater"",""electric kettle"",""laptop"",""watch"",""headphones"",""headphones"",""coffee maker"",""headphones"",""watch""]","""4""","[21,68,5,12,94,55,26,34,15,70,16,30,3,56,71,18,22,64,57,63,80,72,13,37,2,92,66,52,54,19,61,69]","[""round"",""round"",""round"",""sharp"",""sharp"",""round"",""sharp"",""round"",""sharp"",""round"",""sharp"",""sharp"",""round"",""round"",""round"",""round"",""round"",""sharp"",""sharp"",""sharp"",""sharp"",""round"",""sharp"",""round"",""round"",""sharp"",""round"",""round"",""round"",""round"",""sharp"",""round""]","[""500"",""200"",""500"",""201"",""1002"",""2000"",""52"",""50"",""2003"",""1000"",""9997"",""997"",""100"",""10000"",""2000"",""50"",""1000"",""10001"",""23"",""1997"",""10003"",""10000"",""497"",""500"",""50"",""197"",""50"",""200"",""1000"",""100"",""497"",""500""]","""25"""
