workerID,gender,nativeLanguage,income,age,sentenceID,domain,numberType,utteredPrice,inferredPrice,probOpinion,order,buyer,roundedInferredPrice,inferredNumberType
A18ACKRAVMM8D8,M,English,0,25,80,watch,sharp,9999,9999,0.65,1,Rick,10000,
A18ACKRAVMM8D8,M,English,0,25,73,watch,sharp,17,17.99,0.225,2,Billy,20,
A18ACKRAVMM8D8,M,English,0,25,55,headphones,round,2000,1950.5,0.625,3,Phillip,1950,
A18ACKRAVMM8D8,M,English,0,25,88,laptop,round,10000,979.51,0.525,4,Will,980,
A18ACKRAVMM8D8,M,English,0,25,52,headphones,round,200,187.55,0.625,5,Matt,190,
A18ACKRAVMM8D8,M,English,0,25,96,laptop,sharp,10002,1002,0.825,6,Leon,1000,
A18ACKRAVMM8D8,M,English,0,25,51,headphones,round,100,102,0.425,7,Laurence,100,
A18ACKRAVMM8D8,M,English,0,25,85,laptop,round,500,479.51,0.25,8,Dean,480,
A18ACKRAVMM8D8,M,English,0,25,42,sweater,sharp,53,53,0.65,9,Corey,50,
A18ACKRAVMM8D8,M,English,0,25,1,electrickettle,round,20,17.99,0.4,10,Alex,20,
A18ACKRAVMM8D8,M,English,0,25,57,headphones,sharp,23,22.99,0.475,11,Seth,20,
A18ACKRAVMM8D8,M,English,0,25,46,sweater,sharp,998,998,0.925,12,Garrett,1000,
A18ACKRAVMM8D8,M,English,0,25,40,sweater,round,10000,10000,1,13,Andrew,10000,
A18ACKRAVMM8D8,M,English,0,25,5,electrickettle,round,500,480,0.65,14,Ed,480,
A18ACKRAVMM8D8,M,English,0,25,41,sweater,sharp,18,17.65,0.375,15,Bart,20,
A18ACKRAVMM8D8,M,English,0,25,67,watch,round,100,99,0.55,16,Adam,100,
A18ACKRAVMM8D8,M,English,0,25,92,laptop,sharp,197,196.99,0.15,17,Scott,200,
A18ACKRAVMM8D8,M,English,0,25,89,laptop,sharp,23,22.99,0.025,18,Jack,20,
A18ACKRAVMM8D8,M,English,0,25,14,electrickettle,sharp,1002,1001.78,0.75,19,Ned,1000,
A18ACKRAVMM8D8,M,English,0,25,54,headphones,round,1000,999.98,0.75,20,Oliver,1000,
A18ACKRAVMM8D8,M,English,0,25,91,laptop,sharp,103,102.48,0.375,21,Greg,100,
A18ACKRAVMM8D8,M,English,0,25,59,headphones,sharp,97,95.99,0.6,22,Aaron,100,
A18ACKRAVMM8D8,M,English,0,25,18,coffeemaker,round,50,45.65,0.45,23,Steve,50,
A18ACKRAVMM8D8,M,English,0,25,83,laptop,round,100,89.99,0.275,24,Sean,90,
A18ACKRAVMM8D8,M,English,0,25,33,sweater,round,20,18.99,0.175,25,Martin,20,
A18ACKRAVMM8D8,M,English,0,25,13,electrickettle,sharp,502,501.5,0.85,26,Mark,500,
A18ACKRAVMM8D8,M,English,0,25,70,watch,round,1000,980.2,0.725,27,John,980,
A18ACKRAVMM8D8,M,English,0,25,32,coffeemaker,sharp,10003,10001,0.925,28,Larry,10000,
A18ACKRAVMM8D8,M,English,0,25,4,electrickettle,round,200,187.51,0.65,29,Dave,190,
A18ACKRAVMM8D8,M,English,0,25,78,watch,sharp,1001,1000.99,0.825,30,Ray,1000,
A18ACKRAVMM8D8,M,English,0,25,66,watch,round,50,47.89,0.275,31,Brian,50,
