workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPrice, inferredPrice, probOpinion, order, buyer, 
A18ACKRAVMM8D8, M, English, 0, , 80, watch, sharp, 9999, 9999, 0.65, 1, Rick, 
A18ACKRAVMM8D8, M, English, 0, , 73, watch, sharp, 17, 17.99, 0.225, 2, Billy, 
A18ACKRAVMM8D8, M, English, 0, , 55, headphones, round, 2000, 1950.5, 0.625, 3, Phillip, 
A18ACKRAVMM8D8, M, English, 0, , 88, laptop, round, 10000, 979.51, 0.525, 4, Will, 
A18ACKRAVMM8D8, M, English, 0, , 52, headphones, round, 200, 187.55, 0.625, 5, Matt, 
A18ACKRAVMM8D8, M, English, 0, , 96, laptop, sharp, 10002, 1002, 0.825, 6, Leon, 
A18ACKRAVMM8D8, M, English, 0, , 51, headphones, round, 100, 102, 0.425, 7, Laurence , 
A18ACKRAVMM8D8, M, English, 0, , 85, laptop, round, 500, 479.51, 0.25, 8, Dean, 
A18ACKRAVMM8D8, M, English, 0, , 42, sweater, sharp, 53, 53, 0.65, 9, Corey, 
A18ACKRAVMM8D8, M, English, 0, , 1, electric kettle, round, 20, 17.99, 0.4, 10, Alex, 
A18ACKRAVMM8D8, M, English, 0, , 57, headphones, sharp, 23, 22.99, 0.475, 11, Seth, 
A18ACKRAVMM8D8, M, English, 0, , 46, sweater, sharp, 998, 998, 0.925, 12, Garrett, 
A18ACKRAVMM8D8, M, English, 0, , 40, sweater, round, 10000, 10000, 1, 13, Andrew, 
A18ACKRAVMM8D8, M, English, 0, , 5, electric kettle, round, 500, 480, 0.65, 14, Ed, 
A18ACKRAVMM8D8, M, English, 0, , 41, sweater, sharp, 18, 17.65, 0.375, 15, Bart, 
A18ACKRAVMM8D8, M, English, 0, , 67, watch, round, 100, 99, 0.55, 16, Adam, 
A18ACKRAVMM8D8, M, English, 0, , 92, laptop, sharp, 197, 196.99, 0.15, 17, Scott, 
A18ACKRAVMM8D8, M, English, 0, , 89, laptop, sharp, 23, 22.99, 0.025, 18, Jack, 
A18ACKRAVMM8D8, M, English, 0, , 14, electric kettle, sharp, 1002, 1001.78, 0.75, 19, Ned, 
A18ACKRAVMM8D8, M, English, 0, , 54, headphones, round, 1000, 999.98, 0.75, 20, Oliver, 
A18ACKRAVMM8D8, M, English, 0, , 91, laptop, sharp, 103, 102.48, 0.375, 21, Greg, 
A18ACKRAVMM8D8, M, English, 0, , 59, headphones, sharp, 97, 95.99, 0.6, 22, Aaron, 
A18ACKRAVMM8D8, M, English, 0, , 18, coffee maker, round, 50, 45.65, 0.45, 23, Steve, 
A18ACKRAVMM8D8, M, English, 0, , 83, laptop, round, 100, 89.99, 0.275, 24, Sean, 
A18ACKRAVMM8D8, M, English, 0, , 33, sweater, round, 20, 18.99, 0.175, 25, Martin, 
A18ACKRAVMM8D8, M, English, 0, , 13, electric kettle, sharp, 502, 501.5, 0.85, 26, Mark, 
A18ACKRAVMM8D8, M, English, 0, , 70, watch, round, 1000, 980.2, 0.725, 27, John, 
A18ACKRAVMM8D8, M, English, 0, , 32, coffee maker, sharp, 10003, 10001, 0.925, 28, Larry, 
A18ACKRAVMM8D8, M, English, 0, , 4, electric kettle, round, 200, 187.51, 0.65, 29, Dave, 
A18ACKRAVMM8D8, M, English, 0, , 78, watch, sharp, 1001, 1000.99, 0.825, 30, Ray, 
A18ACKRAVMM8D8, M, English, 0, , 66, watch, round, 50, 47.89, 0.275, 31, Brian, 
A18ACKRAVMM8D8, M, English, 0, , 94, laptop, sharp, 998, 995.99, 0.725, 32, Richard, 
A3RY7H1EBB4Z7B, M, English, 4, , 36, sweater, round, 200, 200, 0.725, 1, Perry, 
A3RY7H1EBB4Z7B, M, English, 4, , 13, electric kettle, sharp, 497, 497, 0.875, 2, Mark, 
