workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPrice, inferredPrice, probOpinion, order, buyer, 
A18ACKRAVMM8D8, M, English, 0, 25, 80, watch, sharp, 9999, 9999, 0.65, 1, Rick, 
A18ACKRAVMM8D8, M, English, 0, 25, 73, watch, sharp, 17, 17.99, 0.225, 2, Billy, 
A18ACKRAVMM8D8, M, English, 0, 25, 55, headphones, round, 2000, 1950.5, 0.625, 3, Phillip, 
A18ACKRAVMM8D8, M, English, 0, 25, 88, laptop, round, 10000, 979.51, 0.525, 4, Will, 
A18ACKRAVMM8D8, M, English, 0, 25, 52, headphones, round, 200, 187.55, 0.625, 5, Matt, 
A18ACKRAVMM8D8, M, English, 0, 25, 96, laptop, sharp, 10002, 1002, 0.825, 6, Leon, 
A18ACKRAVMM8D8, M, English, 0, 25, 51, headphones, round, 100, 102, 0.425, 7, Laurence , 
A18ACKRAVMM8D8, M, English, 0, 25, 85, laptop, round, 500, 479.51, 0.25, 8, Dean, 
A18ACKRAVMM8D8, M, English, 0, 25, 42, sweater, sharp, 53, 53, 0.65, 9, Corey, 
A18ACKRAVMM8D8, M, English, 0, 25, 1, electric kettle, round, 20, 17.99, 0.4, 10, Alex, 
A18ACKRAVMM8D8, M, English, 0, 25, 57, headphones, sharp, 23, 22.99, 0.475, 11, Seth, 
A18ACKRAVMM8D8, M, English, 0, 25, 46, sweater, sharp, 998, 998, 0.925, 12, Garrett, 
A18ACKRAVMM8D8, M, English, 0, 25, 40, sweater, round, 10000, 10000, 1, 13, Andrew, 
A18ACKRAVMM8D8, M, English, 0, 25, 5, electric kettle, round, 500, 480, 0.65, 14, Ed, 
A18ACKRAVMM8D8, M, English, 0, 25, 41, sweater, sharp, 18, 17.65, 0.375, 15, Bart, 
A18ACKRAVMM8D8, M, English, 0, 25, 67, watch, round, 100, 99, 0.55, 16, Adam, 
A18ACKRAVMM8D8, M, English, 0, 25, 92, laptop, sharp, 197, 196.99, 0.15, 17, Scott, 
A18ACKRAVMM8D8, M, English, 0, 25, 89, laptop, sharp, 23, 22.99, 0.025, 18, Jack, 
A18ACKRAVMM8D8, M, English, 0, 25, 14, electric kettle, sharp, 1002, 1001.78, 0.75, 19, Ned, 
A18ACKRAVMM8D8, M, English, 0, 25, 54, headphones, round, 1000, 999.98, 0.75, 20, Oliver, 
A18ACKRAVMM8D8, M, English, 0, 25, 91, laptop, sharp, 103, 102.48, 0.375, 21, Greg, 
A18ACKRAVMM8D8, M, English, 0, 25, 59, headphones, sharp, 97, 95.99, 0.6, 22, Aaron, 
A18ACKRAVMM8D8, M, English, 0, 25, 18, coffee maker, round, 50, 45.65, 0.45, 23, Steve, 
A18ACKRAVMM8D8, M, English, 0, 25, 83, laptop, round, 100, 89.99, 0.275, 24, Sean, 
A18ACKRAVMM8D8, M, English, 0, 25, 33, sweater, round, 20, 18.99, 0.175, 25, Martin, 
A18ACKRAVMM8D8, M, English, 0, 25, 13, electric kettle, sharp, 502, 501.5, 0.85, 26, Mark, 
A18ACKRAVMM8D8, M, English, 0, 25, 70, watch, round, 1000, 980.2, 0.725, 27, John, 
A18ACKRAVMM8D8, M, English, 0, 25, 32, coffee maker, sharp, 10003, 10001, 0.925, 28, Larry, 
A18ACKRAVMM8D8, M, English, 0, 25, 4, electric kettle, round, 200, 187.51, 0.65, 29, Dave, 
A18ACKRAVMM8D8, M, English, 0, 25, 78, watch, sharp, 1001, 1000.99, 0.825, 30, Ray, 
A18ACKRAVMM8D8, M, English, 0, 25, 66, watch, round, 50, 47.89, 0.275, 31, Brian, 
A18ACKRAVMM8D8, M, English, 0, 25, 94, laptop, sharp, 998, 995.99, 0.725, 32, Richard, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 36, sweater, round, 200, 200, 0.725, 1, Perry, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 13, electric kettle, sharp, 497, 497, 0.875, 2, Mark, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 47, sweater, sharp, 2002, 20.02, 0.5, 3, Henry, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 89, laptop, sharp, 22, 22, 0, 4, Jack, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 80, watch, sharp, 9997, 9997, 0.95, 5, Rick, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 31, coffee maker, sharp, 2003, 2003, 0.875, 6, Kenneth, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 79, watch, sharp, 1999, 19.99, 0.25, 7, Tom, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 3, electric kettle, round, 100, 100, 0.25, 8, Calvin, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 28, coffee maker, sharp, 199, 199, 0.75, 9, Hal, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 42, sweater, sharp, 53, 53, 0.575, 10, Corey, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 32, coffee maker, sharp, 10003, 100.03, 0.6, 11, Larry, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 91, laptop, sharp, 97, 97, 0.125, 12, Greg, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 41, sweater, sharp, 22, 22, 0.5, 13, Bart, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 7, electric kettle, round, 2000, 2000, 0.75, 14, George, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 60, headphones, sharp, 201, 201, 0.55, 15, Ben, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 73, watch, sharp, 19, 19, 0.225, 16, Billy, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 66, watch, round, 50, 50, 0.5, 17, Brian, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 25, coffee maker, sharp, 17, 17, 0.175, 18, Eli, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 69, watch, round, 500, 500, 0.625, 19, James, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 95, laptop, sharp, 2001, 2001, 0.675, 20, Carl, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 5, electric kettle, round, 500, 500, 0.825, 21, Ed, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 27, coffee maker, sharp, 101, 101, 0.625, 22, Gabe, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 76, watch, sharp, 202, 202, 0.55, 23, Alan, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 46, sweater, sharp, 1002, 10.02, 0.5, 24, Garrett, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 63, headphones, sharp, 1998, 1998, 0.9, 25, Eric, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 83, laptop, round, 100, 100, 0.175, 26, Sean, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 12, electric kettle, sharp, 197, 197, 0.5, 27, Luke, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 20, coffee maker, round, 200, 200, 0.725, 28, Victor, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 75, watch, sharp, 101, 101, 0.3, 29, Todd, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 11, electric kettle, sharp, 97, 97.09, 0.175, 30, Kevin, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 30, coffee maker, sharp, 1002, 1002, 0.9, 31, Jerry, 
A3RY7H1EBB4Z7B, M, English, 4, 25, 29, coffee maker, sharp, 499, 499, 0.75, 32, Irvin, 
A34ZSF2JSRXIRP, F, english, 8, 35, 50, headphones, round, 50, 50, 0.5, 1, Keith, 
