workerid	Answer.nativeLanguage	Answer.orders	Answer.inferredPrices0	Answer.sentenceIDs	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices5	Answer.buyers	Answer.domains	Answer.income	Answer.utteredPricesRounded	Answer.age	Answer.affects	Answer.gender	Answer.numberTypes	
A1XAOEDK0Y2KBT	English	1,2,3,4,5,6	38,39,40,38,38,39	87,96,93,95,85,88	10,11,8,9,10,10	1,1,0,0,2,1	38,39,38,39,38,39	11,11,9,10,13,11	0,1,1,1,1,1	Rodney,Leon,Joseph,Carl,Dean,Will	laptop,laptop,laptop,laptop,laptop,laptop	6	2000,10000,500,2000,500,10000	45	1,1,0.975,0.975,0.275,1	M	round,sharp,sharp,sharp,round,round	
A6O1VFV32LBS8	english	1,2,3,4,5,6	27,33,30,28,29,30	88,93,96,95,85,87	0,9,11,11,8,10	0,0,0,0,0,0	27,34,31,28,29,29	0,6,10,11,9,12	0,0,0,0,0,0	Will,Joseph,Leon,Carl,Dean,Rodney	laptop,laptop,laptop,laptop,laptop,laptop	11	10000,500,10000,2000,500,2000	55	1,0.225,1,0.5,0.225,0.55	F	round,sharp,sharp,sharp,round,round	
AXOR2N1EAFVYF	English	1,2,3,4,5,6	4,25,33,10,10,8	87,93,85,95,96,88	31,4,4,30,28,30	0,0,1,1,6,3	6,30,33,9,10,8	29,5,5,28,28,28	0,0,0,0,6,4	Rodney,Joseph,Dean,Carl,Leon,Will	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,500,500,2000,10000,10000	35	0.6,0.25,0.225,0.7,0.95,0.975	M	round,sharp,round,sharp,sharp,round	
A2I8VBHRESMG9S	English	1,2,3,4,5,6	26,38,10,4,5,23	96,85,87,95,88,93	11,2,37,36,33,2	1,0,1,1,1,0	26,38,10,4,5,40	11,2,37,36,33,2	1,0,1,1,1,0	Leon,Dean,Rodney,Carl,Will,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,500,2000,2000,10000,500	65	0.975,0.15,0.65,0.725,0.95,0.175	M	sharp,round,round,sharp,round,sharp	
A310OMOTSI6J7E	English	1,2,3,4,5,6	6,6,6,6,40,10	88,96,87,95,85,93	6,6,13,40,6,6	39,10,6,7,6,6	6,6,7,6,10,40	6,6,40,9,6,6	11,39,6,7,6,6	Will,Leon,Rodney,Carl,Dean,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	6	10000,10000,2000,2000,500,500	25	0.625,0.65,0.575,0.575,0.3,0.35	M	round,sharp,round,sharp,round,sharp	
A2Z9PQMLGDF60M	english	1,2,3,4,5,6	28,22,23,11,13,11	93,96,85,95,87,88	13,26,24,28,32,23	1,0,1,3,4,2	28,24,24,11,10,5	17,28,24,26,34,22	0,1,1,3,2,1	Joseph,Leon,Dean,Carl,Rodney,Will	laptop,laptop,laptop,laptop,laptop,laptop	6	500,10000,500,2000,2000,10000	35	0.4,0.975,0.225,0.775,0.6,0.975	F	sharp,sharp,round,sharp,round,round	
A23NU31ORFU2KU	english	1,2,3,4,5,6	30,31,30,27,15,31	88,96,95,87,93,85	28,28,14,25,29,3	33,28,28,28,28,2	12,26,31,14,32,29	31,27,32,30,24,11	33,27,8,12,26,0	Will,Leon,Carl,Rodney,Joseph,Dean	laptop,laptop,laptop,laptop,laptop,laptop	6	10000,10000,2000,2000,500,500	35	0.75,0.75,0.4,0.5,0.675,0.625	F	round,sharp,sharp,round,sharp,round	
A150NFHME4R69D	English 	1,2,3,4,5,6	39,40,40,40,40,39	95,96,93,87,88,85	18,20,20,20,19,23	1,1,1,1,1,0	31,40,40,39,39,39	21,20,20,20,18,23	1,0,1,0,1,1	Carl,Leon,Joseph,Rodney,Will,Dean	laptop,laptop,laptop,laptop,laptop,laptop	11	2000,10000,500,2000,10000,500	45	0.75,1,0.25,0.75,1,0.2	F	sharp,sharp,sharp,round,round,round	
A39VL3M1CKR1KJ	English	1,2,3,4,5,6	26,20,24,16,25,40	88,93,87,95,96,85	26,11,38,40,25,22	0,0,0,0,0,0	26,40,25,15,25,40	26,12,38,40,25,22	0,0,0,0,0,0	Will,Joseph,Rodney,Carl,Leon,Dean	laptop,laptop,laptop,laptop,laptop,laptop	6	10000,500,2000,2000,10000,500	35	1,0.25,0.4,0.425,0.75,0.35	M	round,sharp,round,sharp,sharp,round	
A20ASMCESA51U4	english	1,2,3,4,5,6	1,1,0,1,1,39	87,95,96,88,93,85	39,39,1,1,1,1	1,1,1,37,1,1	1,1,1,1,39,33	36,0,1,1,1,0	1,1,39,30,1,1	Rodney,Carl,Leon,Will,Joseph,Dean	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,2000,10000,10000,500,500	55	0.25,0.25,0.75,0.65,0.075,0.1	M	round,sharp,sharp,round,sharp,round	
A2J6T9ELNZ97JH	English	1,2,3,4,5,6	39,39,40,19,31,38	88,95,93,87,96,85	17,15,17,28,18,7	0,0,0,0,0,0	39,38,40,16,29,38	15,19,17,27,18,7	0,0,0,0,0,0	Will,Carl,Joseph,Rodney,Leon,Dean	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,2000,500,2000,10000,500	65	1,0.75,0.25,0.7,1,0.25	M	round,sharp,sharp,round,sharp,round	
AC2MSVG9P0NN5	English	1,2,3,4,5,6	24,30,5,8,39,33	96,93,87,95,85,88	29,8,34,39,5,32	10,1,1,1,1,9	25,36,4,10,39,33	30,8,39,39,6,32	9,1,1,1,1,10	Leon,Joseph,Rodney,Carl,Dean,Will	laptop,laptop,laptop,laptop,laptop,laptop	11	10000,500,2000,2000,500,10000	35	0.75,0.25,0.375,0.35,0.075,0.75	F	sharp,sharp,round,sharp,round,round	
A3BWR8ACFF33T2	english	1,2,3,4,5,6	0,24,36,30,24,30	95,96,85,88,87,93	40,20,10,28,22,19	0,0,2,0,0,0	0,24,35,28,25,38	0,23,13,23,22,23	0,0,0,1,2,1	Carl,Leon,Dean,Will,Rodney,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,10000,500,10000,2000,500	35	0.625,0.925,0.2,0.95,0.575,0.85	M	sharp,sharp,round,round,round,sharp	
A34CCFG96Z3RO8	English	1,2,3,4,5,6	24,17,28,11,29,11	87,95,85,96,93,88	26,31,14,34,11,30	6,5,4,10,3,17	20,16,29,8,29,10	29,29,15,33,12,30	6,6,3,13,3,16	Rodney,Carl,Dean,Leon,Joseph,Will	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,2000,500,10000,500,10000	65	0.675,0.5,0.275,0.75,0.4,0.8	F	round,sharp,round,sharp,sharp,round	
A2R61UUJ2W1OYS	english	1,2,3,4,5,6	35,34,0,0,0,40	95,93,87,96,88,85	12,17,0,0,0,1	0,0,0,40,40,0	34,40,1,0,0,38	12,17,40,0,0,0	0,0,0,40,40,0	Carl,Joseph,Rodney,Leon,Will,Dean	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,500,2000,10000,10000,500	55	0.95,0.25,0.775,1,1,0.35	F	sharp,sharp,round,sharp,round,round	
A2BG7PXTYM42UI	english	1,2,3,4,5,6	40,39,39,39,39,40	88,96,87,85,93,95	20,19,20,20,20,20	1,0,0,1,1,0	39,39,39,39,39,39	20,19,20,20,20,20	1,1,0,1,1,1	Will,Leon,Rodney,Dean,Joseph,Carl	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,10000,2000,500,500,2000	35	0.975,1,0.6,0.25,0.25,0.8	F	round,sharp,round,round,sharp,sharp	
A2H8GNSEVUJXYL	english	1,2,3,4,5,6	0,29,10,20,10,11	95,93,96,85,88,87	22,9,20,10,20,30	0,0,8,2,10,2	0,30,10,20,11,11	21,10,20,11,20,30	0,1,8,1,11,2	Carl,Joseph,Leon,Dean,Will,Rodney	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,500,10000,500,10000,2000	55	0.5,0.025,1,0.25,1,0.5	M	sharp,sharp,sharp,round,round,round	
A192NG7K0PLU5C	English	1,2,3,4,5,6	1,37,39,1,1,0	87,93,85,96,88,95	35,0,0,37,39,39	0,0,0,1,0,1	1,39,38,1,1,0	39,0,0,40,39,38	0,0,0,0,0,0	Rodney,Joseph,Dean,Leon,Will,Carl	laptop,laptop,laptop,laptop,laptop,laptop	11	2000,500,500,10000,10000,2000	45	0.325,0.575,0.575,0.35,0.3,0.4	F	round,sharp,round,sharp,round,sharp	
