"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.nativeLanguage"	"Answer.orders"	"Answer.inferredPrices0"	"Answer.sentenceIDs"	"Answer.inferredPrices3"	"Answer.inferredPrices4"	"Answer.inferredPrices1"	"Answer.inferredPrices2"	"Answer.inferredPrices5"	"Answer.utteredPrices"	"Answer.buyers"	"Answer.condition"	"Answer.domains"	"Answer.income"	"Answer.utteredPricesRounded"	"Answer.comments"	"Answer.age"	"Answer.affects"	"Answer.gender"	"Answer.numberTypes"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"29PR24SMEZZ2GVARJEL8V9Y8JWC2JP"	"A1XAOEDK0Y2KBT"	"Approved"	"Mon Sep 02 11:06:58 PDT 2013"	"Sun Sep 01 18:24:48 PDT 2013"	"Sun Sep 01 18:26:58 PDT 2013"	"Sun Sep 01 18:40:40 PDT 2013"	""	""	""	""	"""English"""	"[1,2,3,4,5,6]"	"[38,39,40,38,38,39]"	"[87,96,93,95,85,88]"	"[10,11,8,9,10,10]"	"[1,1,0,0,2,1]"	"[38,39,38,39,38,39]"	"[11,11,9,10,13,11]"	"[0,1,1,1,1,1]"	"[""2,000"",""10,001"",""499"",""2,003"",""500"",""10,000""]"	"[""Rodney"",""Leon"",""Joseph"",""Carl"",""Dean"",""Will""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[2000,10000,500,2000,500,10000]"	""""""	"""45"""	"[1,1,0.975,0.975,0.275,1]"	"""M"""	"[""round"",""sharp"",""sharp"",""sharp"",""round"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2GKK9RJ85OZITR7R6FGMUOQAPZ4V7I"	"A6O1VFV32LBS8"	"Approved"	"Mon Sep 02 11:07:45 PDT 2013"	"Sun Sep 01 18:24:33 PDT 2013"	"Sun Sep 01 18:27:45 PDT 2013"	"Sun Sep 01 18:40:41 PDT 2013"	""	""	""	""	"""english"""	"[1,2,3,4,5,6]"	"[27,33,30,28,29,30]"	"[88,93,96,95,85,87]"	"[0,9,11,11,8,10]"	"[0,0,0,0,0,0]"	"[27,34,31,28,29,29]"	"[0,6,10,11,9,12]"	"[0,0,0,0,0,0]"	"[""10,000"",""503"",""10,002"",""2,002"",""500"",""2,000""]"	"[""Will"",""Joseph"",""Leon"",""Carl"",""Dean"",""Rodney""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""11"""	"[10000,500,10000,2000,500,2000]"	""""""	"""55"""	"[1,0.225,1,0.5,0.225,0.55]"	"""F"""	"[""round"",""sharp"",""sharp"",""sharp"",""round"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2L5PGFL6VCPWTMHS919O11SC3QJL6R"	"AXOR2N1EAFVYF"	"Approved"	"Mon Sep 02 11:08:31 PDT 2013"	"Sun Sep 01 18:24:50 PDT 2013"	"Sun Sep 01 18:28:31 PDT 2013"	"Sun Sep 01 18:40:41 PDT 2013"	""	""	""	""	"""English"""	"[1,2,3,4,5,6]"	"[4,25,33,10,10,8]"	"[87,93,85,95,96,88]"	"[31,4,4,30,28,30]"	"[0,0,1,1,6,3]"	"[6,30,33,9,10,8]"	"[29,5,5,28,28,28]"	"[0,0,0,0,6,4]"	"[""2,000"",""503"",""500"",""2,001"",""9,999"",""10,000""]"	"[""Rodney"",""Joseph"",""Dean"",""Carl"",""Leon"",""Will""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[2000,500,500,2000,10000,10000]"	""""""	"""35"""	"[0.6,0.25,0.225,0.7,0.95,0.975]"	"""M"""	"[""round"",""sharp"",""round"",""sharp"",""sharp"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2TMNU8LZ6R70AIHE4IZJ9VEC7V8L5B"	"A2I8VBHRESMG9S"	"Approved"	"Mon Sep 02 11:10:20 PDT 2013"	"Sun Sep 01 18:24:46 PDT 2013"	"Sun Sep 01 18:30:20 PDT 2013"	"Sun Sep 01 18:40:40 PDT 2013"	""	""	""	""	"""English"""	"[1,2,3,4,5,6]"	"[26,38,10,4,5,23]"	"[96,85,87,95,88,93]"	"[11,2,37,36,33,2]"	"[1,0,1,1,1,0]"	"[26,38,10,4,5,40]"	"[11,2,37,36,33,2]"	"[1,0,1,1,1,0]"	"[""10,001"",""500"",""2,000"",""2,001"",""10,000"",""499""]"	"[""Leon"",""Dean"",""Rodney"",""Carl"",""Will"",""Joseph""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[10000,500,2000,2000,10000,500]"	""""""	"""65"""	"[0.975,0.15,0.65,0.725,0.95,0.175]"	"""M"""	"[""sharp"",""round"",""round"",""sharp"",""round"",""sharp""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2AKPW1INMHGYKH98JF26HFMKQRE5IH"	"A310OMOTSI6J7E"	"Approved"	"Mon Sep 02 11:28:44 PDT 2013"	"Sun Sep 01 18:25:03 PDT 2013"	"Sun Sep 01 18:48:44 PDT 2013"	"Sun Sep 01 21:52:08 PDT 2013"	""	""	""	""	"""English"""	"[1,2,3,4,5,6]"	"[6,6,6,6,40,10]"	"[88,96,87,95,85,93]"	"[6,6,13,40,6,6]"	"[39,10,6,7,6,6]"	"[6,6,7,6,10,40]"	"[6,6,40,9,6,6]"	"[11,39,6,7,6,6]"	"[""10,000"",""10,002"",""2,000"",""2,002"",""500"",""503""]"	"[""Will"",""Leon"",""Rodney"",""Carl"",""Dean"",""Joseph""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[10000,10000,2000,2000,500,500]"	"""Thank you for putting the progress bar at the top of the page. That's very nice to have. Take care!"""	"""25"""	"[0.625,0.65,0.575,0.575,0.3,0.35]"	"""M"""	"[""round"",""sharp"",""round"",""sharp"",""round"",""sharp""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"21U4SMEZZ2MIEZDEQDG9438Y70VL4Q"	"A2Z9PQMLGDF60M"	"Approved"	"Tue Sep 03 01:06:02 PDT 2013"	"Mon Sep 02 08:23:35 PDT 2013"	"Mon Sep 02 08:26:02 PDT 2013"	"Mon Sep 02 09:41:59 PDT 2013"	""	""	""	""	"""english"""	"[1,2,3,4,5,6]"	"[28,22,23,11,13,11]"	"[93,96,85,95,87,88]"	"[13,26,24,28,32,23]"	"[1,0,1,3,4,2]"	"[28,24,24,11,10,5]"	"[17,28,24,26,34,22]"	"[0,1,1,3,2,1]"	"[""499"",""9,999"",""500"",""2,002"",""2,000"",""10,000""]"	"[""Joseph"",""Leon"",""Dean"",""Carl"",""Rodney"",""Will""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[500,10000,500,2000,2000,10000]"	""""""	"""35"""	"[0.4,0.975,0.225,0.775,0.6,0.975]"	"""F"""	"[""sharp"",""sharp"",""round"",""sharp"",""round"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2UEN9U8P9Y38N9M2E8JU4IM5UX8FW1"	"A23NU31ORFU2KU"	"Approved"	"Tue Sep 03 01:09:37 PDT 2013"	"Mon Sep 02 08:23:25 PDT 2013"	"Mon Sep 02 08:29:37 PDT 2013"	"Mon Sep 02 09:41:58 PDT 2013"	""	""	""	""	"""english"""	"[1,2,3,4,5,6]"	"[30,31,30,27,15,31]"	"[88,96,95,87,93,85]"	"[28,28,14,25,29,3]"	"[33,28,28,28,28,2]"	"[12,26,31,14,32,29]"	"[31,27,32,30,24,11]"	"[33,27,8,12,26,0]"	"[""10,000"",""10,003"",""1,999"",""2,000"",""498"",""500""]"	"[""Will"",""Leon"",""Carl"",""Rodney"",""Joseph"",""Dean""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[10000,10000,2000,2000,500,500]"	""""""	"""35"""	"[0.75,0.75,0.4,0.5,0.675,0.625]"	"""F"""	"[""round"",""sharp"",""sharp"",""round"",""sharp"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2UXUFJ51Y7QEIC53MXSCYTMTQ1PADA"	"A150NFHME4R69D"	"Approved"	"Tue Sep 03 01:11:43 PDT 2013"	"Mon Sep 02 08:23:49 PDT 2013"	"Mon Sep 02 08:31:43 PDT 2013"	"Mon Sep 02 09:41:57 PDT 2013"	""	""	""	""	"""English """	"[1,2,3,4,5,6]"	"[39,40,40,40,40,39]"	"[95,96,93,87,88,85]"	"[18,20,20,20,19,23]"	"[1,1,1,1,1,0]"	"[31,40,40,39,39,39]"	"[21,20,20,20,18,23]"	"[1,0,1,0,1,1]"	"[""1,997"",""10,003"",""502"",""2,000"",""10,000"",""500""]"	"[""Carl"",""Leon"",""Joseph"",""Rodney"",""Will"",""Dean""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""11"""	"[2000,10000,500,2000,10000,500]"	""""""	"""45"""	"[0.75,1,0.25,0.75,1,0.2]"	"""F"""	"[""sharp"",""sharp"",""sharp"",""round"",""round"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"22TCSTMOFXRDMH8HXJPDTXJKX5ZTQJ"	"A39VL3M1CKR1KJ"	"Approved"	"Tue Sep 03 01:12:41 PDT 2013"	"Mon Sep 02 08:29:51 PDT 2013"	"Mon Sep 02 08:32:41 PDT 2013"	"Mon Sep 02 09:41:57 PDT 2013"	""	""	""	""	"""English"""	"[1,2,3,4,5,6]"	"[26,20,24,16,25,40]"	"[88,93,87,95,96,85]"	"[26,11,38,40,25,22]"	"[0,0,0,0,0,0]"	"[26,40,25,15,25,40]"	"[26,12,38,40,25,22]"	"[0,0,0,0,0,0]"	"[""10,000"",""501"",""2,000"",""2,001"",""9,999"",""500""]"	"[""Will"",""Joseph"",""Rodney"",""Carl"",""Leon"",""Dean""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""6"""	"[10000,500,2000,2000,10000,500]"	""""""	"""35"""	"[1,0.25,0.4,0.425,0.75,0.35]"	"""M"""	"[""round"",""sharp"",""round"",""sharp"",""sharp"",""round""]"
"2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2RUQP6AUC26DAJXIX2UV6FK0C3O290"	"Guess the price!"	"Read buyers' statements about the prices of various items and guess the actual price."	"prices,language,survey,psychology,estimate,experiment"	"$0.60"	"Sun Sep 01 18:22:47 PDT 2013"	"30"	"0"	"0"	"30"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Sep 02 16:02:47 PDT 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=2QKHECWA6X3YIP2KWHG5QXPV32XMLX"	"2D5HJHP4BDDKAHODNXO933G8GBTY5Z"	"A20ASMCESA51U4"	"Approved"	"Tue Sep 03 01:14:21 PDT 2013"	"Mon Sep 02 08:25:07 PDT 2013"	"Mon Sep 02 08:34:21 PDT 2013"	"Mon Sep 02 09:41:58 PDT 2013"	""	""	""	""	"""english"""	"[1,2,3,4,5,6]"	"[1,1,0,1,1,39]"	"[87,95,96,88,93,85]"	"[39,39,1,1,1,1]"	"[1,1,1,37,1,1]"	"[1,1,1,1,39,33]"	"[36,0,1,1,1,0]"	"[1,1,39,30,1,1]"	"[""2,000"",""2,001"",""10,001"",""10,000"",""502"",""500""]"	"[""Rodney"",""Carl"",""Leon"",""Will"",""Joseph"",""Dean""]"	"1"	"[""laptop"",""laptop"",""laptop"",""laptop"",""laptop"",""laptop""]"	"""4"""	"[2000,2000,10000,10000,500,500]"	"""thank you"""	"""55"""	"[0.25,0.25,0.75,0.65,0.075,0.1]"	"""M"""	"[""round"",""sharp"",""sharp"",""round"",""sharp"",""round""]"
