workerID,gender,language,income,age,utteranceID,domain,utteranceType,utteranceRounded,exactUtterance,utterance,utteranceExactType,opinionProb,order,interpretation,interpretationType,interpretationRounded,interpretationProb
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,500,round,500,0.387755102041
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,501,sharp,500,0.387755102041
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,2000,round,2000,0.112244897959
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,2001,sharp,2000,0.102040816327
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,10000,round,10000,0.0102040816327
A1XAOEDK0Y2KBT,M,English,6,45,87,laptop,round,2000,2000,2000,round,0,1,10001,sharp,10000,0.0
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,500,round,500,0.382352941176
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,501,sharp,500,0.382352941176
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,2000,round,2000,0.107843137255
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,2001,sharp,2000,0.107843137255
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,10000,round,10000,0.00980392156863
A1XAOEDK0Y2KBT,M,English,6,45,96,laptop,sharp,10000,10001,10001,biggerSharp,1,1,10001,sharp,10000,0.00980392156863
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,500,round,500,0.416666666667
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,501,sharp,500,0.395833333333
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,2000,round,2000,0.09375
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,2001,sharp,2000,0.0833333333333
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,10000,round,10000,0.0
A1XAOEDK0Y2KBT,M,English,6,45,93,laptop,sharp,500,499,501,smallerSharp,1,0.975,10001,sharp,10000,0.0104166666667
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,500,round,500,0.39175257732
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,501,sharp,500,0.40206185567
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,2000,round,2000,0.103092783505
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,2001,sharp,2000,0.0927835051546
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,10000,round,10000,0.0
A1XAOEDK0Y2KBT,M,English,6,45,95,laptop,sharp,2000,2003,2001,biggerSharp,1,0.975,10001,sharp,10000,0.0103092783505
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,500,round,500,0.372549019608
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,501,sharp,500,0.372549019608
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,2000,round,2000,0.127450980392
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,2001,sharp,2000,0.0980392156863
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,10000,round,10000,0.0196078431373
A1XAOEDK0Y2KBT,M,English,6,45,85,laptop,round,500,500,500,round,1,0.275,10001,sharp,10000,0.00980392156863
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,500,round,500,0.386138613861
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,501,sharp,500,0.386138613861
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,2000,round,2000,0.108910891089
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,2001,sharp,2000,0.0990099009901
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,10000,round,10000,0.00990099009901
A1XAOEDK0Y2KBT,M,English,6,45,88,laptop,round,10000,10000,10000,round,1,1,10001,sharp,10000,0.00990099009901
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,500,round,500,0.5
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,501,sharp,500,0.5
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,2000,round,2000,0.0
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,2001,sharp,2000,0.0
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,88,laptop,round,10000,10000,10000,round,0,1,10001,sharp,10000,0.0
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,500,round,500,0.40243902439
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,501,sharp,500,0.414634146341
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,2000,round,2000,0.0731707317073
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,2001,sharp,2000,0.109756097561
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,93,laptop,sharp,500,503,501,biggerSharp,0,0.225,10001,sharp,10000,0.0
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,500,round,500,0.365853658537
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,501,sharp,500,0.378048780488
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,2000,round,2000,0.121951219512
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,2001,sharp,2000,0.134146341463
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,96,laptop,sharp,10000,10002,10001,biggerSharp,0,1,10001,sharp,10000,0.0
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,500,round,500,0.358974358974
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,501,sharp,500,0.358974358974
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,2000,round,2000,0.141025641026
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,2001,sharp,2000,0.141025641026
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,95,laptop,sharp,2000,2002,2001,biggerSharp,0,0.5,10001,sharp,10000,0.0
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,500,round,500,0.386666666667
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,501,sharp,500,0.386666666667
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,2000,round,2000,0.12
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,2001,sharp,2000,0.106666666667
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,85,laptop,round,500,500,500,round,0,0.225,10001,sharp,10000,0.0
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,500,round,500,0.37037037037
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,501,sharp,500,0.358024691358
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,2000,round,2000,0.148148148148
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,2001,sharp,2000,0.123456790123
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,10000,round,10000,0.0
A6O1VFV32LBS8,F,english,11,55,87,laptop,round,2000,2000,2000,round,0,0.55,10001,sharp,10000,0.0
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,500,round,500,0.0571428571429
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,501,sharp,500,0.0857142857143
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,2000,round,2000,0.414285714286
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,2001,sharp,2000,0.442857142857
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,10000,round,10000,0.0
AXOR2N1EAFVYF,M,English,4,35,87,laptop,round,2000,2000,2000,round,0,0.6,10001,sharp,10000,0.0
AXOR2N1EAFVYF,M,English,4,35,93,laptop,sharp,500,503,501,biggerSharp,0,0.25,500,round,500,0.390625
