workerID,gender,language,income,age,utteranceID,domain,utteranceType,utteranceRounded,exactUtterance,utterance,utteranceLength,opinionProb,order,interpretation,interpretationType,interpretationRounded,interpretationProb
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,500,round,500,0.282608695652
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,501,sharp,500,0.275362318841
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,2000,round,2000,0.217391304348
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,2001,sharp,2000,0.224637681159
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,87,laptop,round,2000,two thousand,2000,2,0.75,1,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,500,round,500,0.285714285714
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,501,sharp,500,0.278571428571
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2000,round,2000,0.221428571429
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,2001,sharp,2000,0.214285714286
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,95,laptop,sharp,2000,one thousand nine hundred ninety eight,2001,6,0.75,2,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,500,round,500,0.30534351145
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,501,sharp,500,0.30534351145
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,2000,round,2000,0.236641221374
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,2001,sharp,2000,0.152671755725
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,93,laptop,sharp,500,five hundred two,501,3,0.25,3,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,500,round,500,0.287769784173
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,501,sharp,500,0.287769784173
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,2000,round,2000,0.215827338129
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,2001,sharp,2000,0.208633093525
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,96,laptop,sharp,10000,ten thousand two,10001,3,1,4,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,500,round,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,501,sharp,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,2000,round,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,2001,sharp,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,88,laptop,round,10000,ten thousand,10000,2,1,5,10001,sharp,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,500,round,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,501,sharp,500,0.289855072464
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,2000,round,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,2001,sharp,2000,0.210144927536
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,10000,round,10000,0.0
AYEA5AKLJFSKT,M,English,10,65,85,laptop,round,500,five hundred,500,2,0.25,6,10001,sharp,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,500,round,500,0.204545454545
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,501,sharp,500,0.25
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,2000,round,2000,0.25
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,2001,sharp,2000,0.272727272727
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,10000,round,10000,0.0227272727273
A1BFW88CZ8UUTI,M,English,4,45,95,laptop,sharp,2000,one thousand nine hundred ninety nine,2001,6,1,1,10001,sharp,10000,0.0
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,500,round,500,0.327586206897
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,501,sharp,500,0.344827586207
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,2000,round,2000,0.155172413793
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,2001,sharp,2000,0.137931034483
A1BFW88CZ8UUTI,M,English,4,45,96,laptop,sharp,10000,nine thousand nine hundred ninety nine,10001,6,0.975,2,10000,round,10000,0.0172413793103
