workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPriceRounded, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, probOpinion, order, buyer, 
AYEA5AKLJFSKT, M, English, 10, 65, 87, laptop, round, 2000, 39, 38, 30, 31, 0, 0, 0.75, 1, Rodney, 
AYEA5AKLJFSKT, M, English, 10, 65, 95, laptop, sharp, 2000, 40, 39, 31, 30, 0, 0, 0.75, 2, Carl, 
AYEA5AKLJFSKT, M, English, 10, 65, 93, laptop, sharp, 500, 40, 40, 31, 20, 0, 0, 0.25, 3, Joseph, 
AYEA5AKLJFSKT, M, English, 10, 65, 96, laptop, sharp, 10000, 40, 40, 30, 29, 0, 0, 1, 4, Leon, 
AYEA5AKLJFSKT, M, English, 10, 65, 88, laptop, round, 10000, 40, 40, 29, 29, 0, 0, 1, 5, Will, 
AYEA5AKLJFSKT, M, English, 10, 65, 85, laptop, round, 500, 40, 40, 29, 29, 0, 0, 0.25, 6, Dean, 
A1BFW88CZ8UUTI, M, English, 4, 45, 95, laptop, sharp, 2000, 9, 11, 11, 12, 1, 0, 1, 1, Carl, 
A1BFW88CZ8UUTI, M, English, 4, 45, 96, laptop, sharp, 10000, 19, 20, 9, 8, 1, 1, 0.975, 2, Leon, 
A1BFW88CZ8UUTI, M, English, 4, 45, 85, laptop, round, 500, 28, 29, 9, 9, 0, 1, 0.225, 3, Dean, 
A1BFW88CZ8UUTI, M, English, 4, 45, 87, laptop, round, 2000, 20, 20, 11, 10, 1, 0, 0.775, 4, Rodney, 
A1BFW88CZ8UUTI, M, English, 4, 45, 93, laptop, sharp, 500, 20, 20, 11, 11, 1, 1, 0.25, 5, Joseph, 
A1BFW88CZ8UUTI, M, English, 4, 45, 88, laptop, round, 10000, 23, 23, 11, 11, 0, 0, 0.975, 6, Will, 
A2P6VK1US8OTC5, F, english, 6, 45, 95, laptop, sharp, 2000, 20, 20, 30, 29, 1, 0, 0.975, 1, Carl, 
A2P6VK1US8OTC5, F, english, 6, 45, 93, laptop, sharp, 500, 20, 20, 28, 31, 1, 0, 0.975, 2, Joseph, 
A2P6VK1US8OTC5, F, english, 6, 45, 96, laptop, sharp, 10000, 29, 31, 13, 11, 1, 0, 1, 3, Leon, 
A2P6VK1US8OTC5, F, english, 6, 45, 85, laptop, round, 500, 39, 31, 2, 0, 1, 0, 0.5, 4, Dean, 
A2P6VK1US8OTC5, F, english, 6, 45, 88, laptop, round, 10000, 39, 39, 28, 20, 0, 0, 0.25, 5, Will, 
A2P6VK1US8OTC5, F, english, 6, 45, 87, laptop, round, 2000, 26, 28, 28, 24, 0, 1, 0.975, 6, Rodney, 
