workerid	Answer.buyers	Answer.gender	Answer.nativeLanguage	Answer.orders	Answer.domains	Answer.income	Answer.inferredPrices0	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices5	Answer.inferredPrices6	Answer.inferredPrices7	Answer.inferredPrices8	Answer.inferredPrices9	Answer.age
A1KN3TP3P2NJHC	Alex,Bob,Calvin	F	English	1,2,3	laptop,watch,electric kettle	4	0,1,1	0,1,1	1,1,0	1,1,0	1,1,0	1,1,0	0.45,1,0	0.45,1,0	0,1,0	0,1,0	65
A3DZ46U9XRLVBI	Calvin,Alex,Bob	F	english	1,2,3	watch,electric kettle,laptop	8	0.975,0.975,0	0.8,1,0	0.325,0.05,0.7	0.325,0.05,0.7	0.25,0,0.8	0.25,0,0.8	0.1,0,0	0.125,0,0	0.075,0,0	0.075,0,0	35
A3AJR1PM02424Y	Calvin,Alex,Bob	F	English	1,2,3	watch,electric kettle,laptop	4	1,1,0.1	1,1,0.1	0.75,0.25,0.625	0.75,0.25,0.6	0.575,0.125,0.75	0.575,0.15,0.75	0.3,0.05,0.75	0.3,0.05,0.775	0.225,0,0.15	0.225,0,0.175	35
A1XAOEDK0Y2KBT	Calvin,Alex,Bob	M	English	1,2,3	laptop,watch,electric kettle	8	0,0.975,1	0,0.95,0.975	0.275,0.775,0.25	0.275,0.75,0.275	0.975,0.5,0.025	0.725,0.5,0.025	0.275,0.25,0	0.275,0.225,0.025	0.025,0.225,0.025	0.05,0.2,0	45
A195WB6MMIHUL7	Bob,Calvin,Alex	F	english	1,2,3	watch,electric kettle,laptop	6	0.675,1,0	0.75,1,0	0.5,0.15,1	0.425,0.125,1	0.175,0,1	0.125,0,0.25	0.1,0,0.05	0.125,0,0.05	0,0,0	0,0,0	17
A14PFRHG0A2YY9	Calvin,Alex,Bob	M	english	1,2,3	watch,electric kettle,laptop	4	1,1,0.125	1,1,0.125	0.3,0,0.875	0.3,0,0.875	0.3,0,0.875	0.3,0,0.875	0.15,0,0	0.15,0,0	0.025,0,0	0.025,0,0	55
A26QHAE41IXQNX	Alex,Bob,Calvin	F	English	1,2,3	laptop,watch,electric kettle	6	0,0.975,0.975	0,1,0.95	0.725,1,0	0.675,1,0	0.9,1,0	0.95,1,0	0.225,0.75,0	0.25,0.75,0	0,0.175,0	0,0.2,0	35
A2V0ADROWMC2ZM	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	6	0.725,0.975,0	0.75,0.975,0.025	0.225,0,0.75	0.25,0.025,0.775	0.125,0.025,0.825	0.15,0,0.875	0.025,0,0.075	0.025,0.025,0.075	0.025,0.025,0	0,0,0.025	65
A2SYRFPPV9WDEG	Bob,Calvin,Alex	M	English	1,2,3	laptop,watch,electric kettle	4	0.075,0.575,0.9	0.1,0.625,0.925	0.75,0.575,0.325	0.775,0.5,0.2	0.775,0.4,0.075	0.7,0.375,0.025	0.025,0.075,0.025	0.025,0.05,0.025	0.025,0.05,0.025	0.025,0.05,0.025	35
ATJ8M4UR7NGIJ	Calvin,Alex,Bob	M	English	1,2,3	watch,electric kettle,laptop	8	0.9,0.9,0.025	0.875,0.8,0	0.625,0.025,0.725	0.525,0.025,0.7	0.4,0,0.875	0.125,0.025,0.9	0.075,0.025,0.025	0.1,0.025,0.025	0.025,0.025,0.025	0.025,0,0.025	45
A4G9OTZ1410S2	Bob,Calvin,Alex	F	english	1,2,3	laptop,watch,electric kettle	4	0.025,0.725,0.975	0.025,0.975,0.775	0.8,0.25,0.025	0.975,0.25,0.025	0.25,0.25,0.025	0.025,0.275,0.025	0.025,0.05,0.025	0.025,0.05,0	0.025,0.025,0.025	0.025,0.025,0.025	35
A379U322YXBRUJ	Bob,Calvin,Alex	F	english	1,2,3	watch,electric kettle,laptop	0	0.75,0.95,0.15	0.725,0.85,0.125	0.65,0.5,0.5	0.4,0.5,0.575	0.625,0.275,0.975	0.375,0.25,0.975	0.125,0.05,0.75	0.25,0.025,0.8	0.075,0.025,0.225	0.075,0.05,0.15	25
A3LR6R0ZWHIF0C	Alex,Bob,Calvin	F	English	1,2,3	watch,electric kettle,laptop	4	0.75,0.6,0.05	0.725,0.6,0.05	0.65,0.35,0.6	0.625,0.275,0.625	0.35,0.15,0.275	0.275,0.15,0.2	0.225,0.125,0.25	0.175,0.1,0.225	0.1,0.025,0.225	0.1,0.5,0.25	35
A113IOM3ACFXGR	Alex,Bob,Calvin	F	English	1,2,3	watch,electric kettle,laptop	6	0.5,1,0.175	0.375,1,0.075	0.725,0.125,0.875	1,0.225,0.9	0.625,0,1	0.75,0,0.9	0.275,0,0.35	0.425,0,0.3	0,0,0.225	0,0,0.2	35
A2HT6JCMYXK4XP	Bob,Calvin,Alex	M	English	1,2,3	watch,electric kettle,laptop	4	0.25,0.975,0	0.5,0.7,0	0.75,0.1,0.775	0.375,0.1,0.725	0.325,0,0.9	0.275,0,0.9	0.275,0,0.3	0.275,0,0.225	0.175,0,0.1	0.1,0,0.1	25
A1C19XPG91AIXX	Calvin,Alex,Bob	F	English	1,2,3	laptop,watch,electric kettle	4	0,0.4,0.9	0,0.375,0.85	0.75,0.275,0	0.225,0.275,0	0.625,0.15,0	0.2,0.075,0	0.075,0.05,0	0.075,0.05,0	0,0,0	0,0,0	35
A1VJAEPNA6YARO	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	4	0.7,1,0.025	0.725,0.275,0	0.275,0.025,0.975	0.25,0.025,0.725	0.025,0.025,0.725	0.025,0.025,0.75	0.025,0,0.05	0.025,0.025,0.025	0.025,0.025,0.025	0,0,0.025	35
A3PDOZ6I8PE9ZK	Calvin,Alex,Bob	F	English	1,2,3	watch,electric kettle,laptop	10	0.725,0.25,0.025	0.8,0.25,0.025	0.05,0.025,0.8	0.075,0,0.85	0.075,0.025,0.75	0.05,0.025,0.725	0.05,0.025,0.025	0.025,0.025,0.025	0.025,0.025,0.025	0.025,0.025,0.025	45
A1OLRUT93TXWEP	Bob,Calvin,Alex	M	English	1,2,3	watch,electric kettle,laptop	0	0.6,0.5,0.075	0.65,0.5,0.1	0.325,0.4,0.35	0.3,0.4,0.325	0.175,0.2,0.725	0.15,0.2,0.675	0.05,0.025,0.025	0,0.025,0.025	0,0,0	0,0,0.025	35
