workerID, gender, nativeLanguage, income, age, sentenceID, domain, utteredPrice, utteredPriceRounded, utteredType, actualPrice, actualPriceRounded, actualType, probOpinion, order, buyer, 
A2F79GFUWU5O96, F, English, 4, 35, 55, electric kettle, 52, 50, sharp, 10000, 10000, round, 1, 1, Victor, 
A2F79GFUWU5O96, F, English, 4, 35, 223, laptop, 1000, 1000, round, 1000, 1000, round, 0.5, 2, Winston, 
A2F79GFUWU5O96, F, English, 4, 35, 104, watch, 50, 50, round, 5000, 5000, round, 1, 3, Jake, 
A2F79GFUWU5O96, F, English, 4, 35, 10, electric kettle, 50, 50, round, 10002, 10000, sharp, 0.975, 4, Gary, 
A2F79GFUWU5O96, F, English, 4, 35, 279, laptop, 1001, 1000, sharp, 4997, 5000, sharp, 0.9, 5, David, 
A2F79GFUWU5O96, F, English, 4, 35, 219, laptop, 500, 500, round, 5001, 5000, sharp, 0.9, 6, Patrick, 
A2F79GFUWU5O96, F, English, 4, 35, 58, electric kettle, 49, 50, sharp, 1002, 1000, sharp, 0.9, 7, Kenneth, 
A2F79GFUWU5O96, F, English, 4, 35, 73, electric kettle, 1003, 1000, sharp, 1000, 1000, round, 0.25, 8, Robert, 
A2F79GFUWU5O96, F, English, 4, 35, 154, watch, 51, 50, sharp, 5000, 5000, round, 0.9, 9, Bob, 
A2F79GFUWU5O96, F, English, 4, 35, 66, electric kettle, 497, 500, sharp, 53, 50, sharp, 0.175, 10, Daniel, 
A2F79GFUWU5O96, F, English, 4, 35, 258, laptop, 49, 50, sharp, 999, 1000, sharp, 0.9, 11, Albert, 
A2F79GFUWU5O96, F, English, 4, 35, 121, watch, 1000, 1000, round, 50, 50, round, 0.1, 12, Barry, 
A2F79GFUWU5O96, F, English, 4, 35, 134, watch, 5000, 5000, round, 5000, 5000, round, 0.5, 13, Luke, 
A2F79GFUWU5O96, F, English, 4, 35, 200, watch, 10002, 10000, sharp, 10002, 10000, sharp, 0.5, 14, Steve, 
A2F79GFUWU5O96, F, English, 4, 35, 63, electric kettle, 497, 500, sharp, 1000, 1000, round, 0.725, 15, George, 
A2F79GFUWU5O96, F, English, 4, 35, 49, electric kettle, 10000, 10000, round, 4999, 5000, sharp, 0.1, 16, Owen, 
A2F79GFUWU5O96, F, English, 4, 35, 6, electric kettle, 50, 50, round, 47, 50, sharp, 0.5, 17, Nathan, 
A2F79GFUWU5O96, F, English, 4, 35, 196, watch, 9998, 10000, sharp, 48, 50, sharp, 0.05, 18, Matt, 
A2F79GFUWU5O96, F, English, 4, 35, 68, electric kettle, 501, 500, sharp, 997, 1000, sharp, 0.275, 19, Ethan, 
A2F79GFUWU5O96, F, English, 4, 35, 36, electric kettle, 5000, 5000, round, 49, 50, sharp, 0.15, 20, Alex, 
A2F79GFUWU5O96, F, English, 4, 35, 292, laptop, 10003, 10000, sharp, 500, 500, round, 0.15, 21, Charles, 
A2F79GFUWU5O96, F, English, 4, 35, 260, laptop, 52, 50, sharp, 10003, 10000, sharp, 0.9, 22, Harry, 
A2F79GFUWU5O96, F, English, 4, 35, 259, laptop, 51, 50, sharp, 4999, 5000, sharp, 0.875, 23, Eric, 
A2F79GFUWU5O96, F, English, 4, 35, 125, watch, 1000, 1000, round, 10000, 10000, round, 0.875, 24, Ivan, 
A2F79GFUWU5O96, F, English, 4, 35, 98, electric kettle, 10002, 10000, sharp, 999, 1000, sharp, 0.15, 25, Fred, 
