workerid	Answer.buyers	Answer.gender	Answer.domains	Answer.utteredPricesRounded	Answer.utteredTypes	Answer.actualPricesRounded	Answer.actualTypes	Answer.affects	Answer.nativeLanguage	Answer.orders	Answer.income	Answer.age	Answer.sentenceIDs	Answer.utteredPrices	Answer.actualPrices
A2F79GFUWU5O96	Victor,Winston,Jake,Gary,David,Patrick,Kenneth,Robert,Bob,Daniel,Albert,Barry,Luke,Steve,George,Owen,Nathan,Matt,Ethan,Alex,Charles,Harry,Eric,Ivan,Fred,Quinn,Tom,Frank,Zach,Calvin	F	electric kettle,laptop,watch,electric kettle,laptop,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,watch,watch,watch,electric kettle,electric kettle,electric kettle,watch,electric kettle,electric kettle,laptop,laptop,laptop,watch,electric kettle,watch,electric kettle,electric kettle,electric kettle,laptop	50,1000,50,50,1000,500,50,1000,50,500,50,1000,5000,10000,500,10000,50,10000,500,5000,10000,50,50,1000,10000,5000,5000,500,50,500	sharp,round,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,sharp,round,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,round	10000,1000,5000,10000,5000,5000,1000,1000,5000,50,1000,50,5000,10000,1000,5000,50,50,1000,50,500,10000,5000,10000,1000,500,1000,5000,5000,10000	round,round,round,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,round,sharp,round,sharp,round,sharp,sharp	1,0.5,1,0.975,0.9,0.9,0.9,0.25,0.9,0.175,0.9,0.1,0.5,0.5,0.725,0.1,0.5,0.05,0.275,0.15,0.15,0.9,0.875,0.875,0.15,0.15,0.125,0.85,0.875,0.95	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	55,223,104,10,279,219,58,73,154,66,258,121,134,200,63,49,6,196,68,36,292,260,259,125,98,132,88,64,9,220	52,1000,50,50,1001,500,49,1003,51,497,49,1000,5000,10002,497,10000,50,9998,501,5000,10003,52,51,1000,10002,5000,5001,497,50,500	10000,1000,5000,10002,4997,5001,1002,1000,5000,53,999,50,5000,10002,1000,4999,47,48,997,49,500,10003,4999,10000,999,500,1002,5000,4998,10003
A323WW03VM8089	Zach,Nathan,Winston,Tom,Daniel,Calvin,Harry,Matt,Alex,Ivan,Victor,Ethan,Eric,Owen,Fred,Quinn,Luke,Albert,Barry,Jake,Steve,Charles,Gary,George,Bob,Robert,Kenneth,David,Patrick,Frank	M	electric kettle,laptop,electric kettle,laptop,electric kettle,electric kettle,electric kettle,electric kettle,watch,electric kettle,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,watch,laptop,laptop,laptop,electric kettle,watch,watch,watch,watch,laptop,watch	500,10000,1000,10000,1000,10000,5000,50,50,10000,500,5000,500,50,500,50,5000,10000,10000,1000,5000,1000,50,5000,50,10000,500,500,500,10000	sharp,sharp,round,sharp,round,sharp,round,round,round,sharp,sharp,round,round,round,round,sharp,sharp,round,round,round,sharp,sharp,round,round,round,round,round,sharp,sharp,sharp	10000,1000,5000,50,1000,10000,10000,5000,10000,500,5000,5000,5000,10000,500,1000,5000,50,10000,500,5000,5000,10000,500,5000,50,10000,1000,1000,10000	sharp,round,round,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp,sharp,round,round,round,sharp,round,round,sharp,sharp,sharp,round,round,round,sharp,round,round,round,round	1,0.875,0.725,0.25,0.75,0.5,0.375,0.125,0.2,0.85,0.375,0.75,0.4,0.2,0.5,0.275,0.5,0.75,0.65,0.825,0.55,0.35,0.275,0.75,0.2,0.85,0.25,0.625,0.575,0.5	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	45	70,293,24,296,28,100,40,4,105,92,169,239,19,5,12,253,89,241,245,127,289,279,205,32,104,146,115,163,263,195	499,9997,1000,10003,1000,9998,5000,50,50,10001,497,5000,500,50,500,48,4998,10000,10000,1000,5003,1003,50,5000,50,10000,500,497,497,9999	10001,1000,5000,52,998,9998,10003,5000,10000,500,4998,4998,4999,10000,500,1000,4998,50,10000,502,5003,4997,10000,500,5000,51,10000,1000,1000,10000
A1OSH1BZDQQTNP	Owen,Ivan,Zach,Albert,Bob,Robert,Victor,Gary,Patrick,Alex,Nathan,Winston,Daniel,Steve,Ethan,Jake,Frank,Calvin,Tom,Fred,Eric,David,Luke,Kenneth,Harry,Barry,Charles,Matt,George,Quinn	F	watch,watch,watch,electric kettle,watch,laptop,watch,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,electric kettle,laptop,electric kettle,watch,laptop,watch,electric kettle,electric kettle,watch,laptop,watch,laptop,electric kettle,watch,electric kettle,laptop,electric kettle	1000,1000,500,5000,50,5000,50,500,500,1000,500,50,50,50,5000,50,1000,10000,5000,50,5000,500,10000,50,1000,10000,500,10000,5000,5000	round,sharp,round,round,sharp,round,sharp,sharp,round,round,round,sharp,round,round,round,round,round,round,sharp,round,sharp,round,round,round,sharp,sharp,sharp,sharp,sharp,sharp	500,10000,1000,1000,1000,1000,10000,50,5000,10000,500,5000,500,5000,5000,500,5000,5000,500,1000,500,1000,500,1000,50,5000,50,5000,5000,1000	sharp,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,sharp,round,round,round,round,sharp,round,round,sharp,sharp,round,sharp,round,round,round,round	0.85,0.925,0.8,0.2,0.8,0.225,1,0.225,0.925,0.925,0.5,0.95,0.825,0.925,0.5,0.85,0.825,0.225,0.05,0.85,0.175,0.85,0.05,0.85,0.125,0.125,0.225,0.25,0.5,0.125	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	0	25	127,180,118,38,153,238,155,66,19,225,17,254,207,9,239,2,124,244,182,8,82,113,247,108,271,99,161,94,284,83	1000,998,500,5000,53,5000,53,502,500,1000,500,51,50,50,5000,50,1000,10000,4999,50,4997,500,10000,50,998,10003,499,10003,5001,5002	497,10002,1001,1003,1000,1001,10000,52,5002,10000,497,5000,497,4998,5002,500,5000,5000,500,1002,500,1000,498,1001,50,4997,50,5000,5000,1000
A3CD3C99T8S6ON	Ethan,Gary,Eric,Daniel,Harry,Victor,Charles,George,Kenneth,Albert,Alex,Owen,Nathan,Luke,Ivan,Bob,Steve,Fred,David,Quinn,Calvin,Robert,Tom,Frank,Zach,Winston,Jake,Barry,Patrick,Matt	M	laptop,watch,laptop,electric kettle,electric kettle,laptop,laptop,electric kettle,electric kettle,electric kettle,laptop,laptop,laptop,watch,watch,watch,watch,electric kettle,electric kettle,laptop,laptop,laptop,laptop,electric kettle,watch,watch,laptop,watch,watch,watch	10000,50,1000,5000,50,50,10000,1000,5000,1000,5000,5000,50,10000,5000,50,500,500,1000,5000,50,500,10000,1000,1000,5000,50,50,5000,5000	sharp,round,round,round,round,sharp,round,sharp,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,round,round,sharp,sharp,round,sharp	50,1000,500,10000,5000,1000,1000,10000,5000,1000,1000,10000,5000,500,5000,10000,50,50,10000,1000,10000,500,10000,500,1000,1000,10000,10000,500,50	sharp,round,round,sharp,round,round,round,round,sharp,sharp,sharp,round,sharp,round,sharp,round,round,round,sharp,round,round,round,sharp,round,round,round,sharp,sharp,round,round	0.25,0.25,0.75,0.75,0.25,0.25,0.75,0.75,0.975,0.825,0.85,0.775,0.25,0.825,0.85,0.225,0.675,0.65,0.75,0.75,0.3,0.575,0.825,0.725,0.8,0.875,0.275,0.25,0.775,0.775	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	25	296,103,222,40,4,253,243,75,89,28,238,285,259,192,189,155,111,11,80,283,205,212,300,22,123,133,260,160,132,181	9997,50,1000,5000,50,53,10000,1002,4999,1000,5000,5001,52,10001,5002,47,500,500,999,4999,50,500,9999,1000,1000,5000,48,52,5000,5002	47,1000,500,9999,5000,1000,1000,10000,4999,1001,1003,10000,5001,500,5002,10000,50,50,10002,1000,10000,500,9999,500,1000,1000,9999,9998,500,50
A3Q80YXXPV37KK	George,Gary,Owen,Barry,Luke,Harry,Zach,Albert,Jake,Charles,Patrick,Robert,Quinn,David,Kenneth,Eric,Steve,Bob,Daniel,Matt,Alex,Frank,Winston,Calvin,Fred,Nathan,Ivan,Victor,Ethan,Tom	M	electric kettle,watch,electric kettle,laptop,electric kettle,watch,laptop,electric kettle,electric kettle,laptop,electric kettle,watch,laptop,laptop,watch,laptop,electric kettle,watch,watch,laptop,electric kettle,electric kettle,watch,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,watch	50,500,50,500,1000,10000,50,50,50,5000,10000,5000,10000,1000,50,10000,10000,10000,5000,1000,10000,50,10000,50,5000,50,50,1000,1000,50	sharp,round,sharp,sharp,sharp,round,round,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp,sharp,round,sharp,sharp,round,round,round,round,round,sharp	1000,50,5000,5000,5000,5000,1000,50,500,5000,5000,50,1000,50,5000,500,50,5000,500,10000,1000,10000,500,5000,5000,1000,5000,1000,5000,10000	round,sharp,round,sharp,round,round,sharp,sharp,round,round,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp	1,0.25,1,0.9,0.625,0.25,0.65,0,0.75,0.25,0.675,0.1,0.25,0.075,0.15,0.575,0.25,0.675,0.25,0.825,0.725,0.95,0.225,1,0.25,0.875,1,0.625,0.875,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	25	53,116,54,269,74,144,208,56,2,234,94,181,293,276,159,247,46,149,182,280,93,10,192,154,239,3,9,28,229,160	53,500,49,497,1001,10000,50,53,50,5000,9998,4998,9997,1003,47,10000,10000,10000,5003,1001,10001,50,10002,53,5000,50,50,1000,1000,52	1000,48,5000,5003,5000,5000,997,53,500,5000,5000,50,1000,48,5003,501,52,4997,500,10001,1000,10002,500,5000,5002,1000,5001,998,4998,9997
A341LHR7178BUY	Daniel,Winston,Patrick,Luke,Jake,Tom,Zach,Kenneth,Robert,Quinn,Albert,George,Barry,David,Frank,Ivan,Alex,Charles,Matt,Nathan,Harry,Gary,Fred,Calvin,Bob,Owen,Ethan,Steve,Eric,Victor	F	laptop,electric kettle,laptop,laptop,watch,electric kettle,electric kettle,laptop,watch,electric kettle,watch,electric kettle,electric kettle,watch,laptop,electric kettle,watch,watch,electric kettle,laptop,laptop,electric kettle,laptop,electric kettle,laptop,watch,watch,laptop,watch,electric kettle	1000,500,10000,500,50,50,1000,1000,500,500,10000,5000,10000,50,5000,50,1000,500,10000,1000,10000,50,50,500,5000,1000,1000,10000,1000,1000	sharp,sharp,round,sharp,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,round,round,round,round,round,round,round,sharp,sharp,round,sharp,round,round,sharp,sharp	10000,500,50,500,5000,50,5000,50,50,500,50,500,500,50,5000,10000,500,10000,50,500,10000,50,500,10000,1000,5000,10000,10000,500,5000	round,round,sharp,round,round,round,sharp,round,sharp,round,sharp,round,round,round,round,sharp,round,round,sharp,round,sharp,round,round,round,sharp,round,round,round,sharp,round	1,0.75,0.25,0.5,0.75,0.5,0.75,0.25,0.225,0.5,0.25,0.5,0.475,0.5,0.5,0.75,0.5,0.775,0.275,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.725,0.5,0.75	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	25	275,62,246,262,104,51,29,221,166,12,146,32,92,101,284,10,122,115,46,222,250,1,252,65,238,174,125,245,177,74	1003,503,10000,501,50,52,1000,1000,497,500,10000,5000,10003,50,4999,50,1000,500,10000,1000,10000,50,48,497,5000,1001,1000,10000,1003,1002	10000,500,49,500,5000,50,5003,50,52,500,52,500,500,50,5000,9997,500,10000,48,500,10002,50,500,10000,998,5000,10000,10000,498,5000
A36T3XYC4WBLNK	Charles,Patrick,Eric,Zach,Albert,Matt,Fred,George,Owen,Tom,Nathan,Ivan,Daniel,Bob,Ethan,Frank,Calvin,Victor,Jake,Winston,Barry,Alex,Steve,Kenneth,Luke,Quinn,Gary,David,Robert,Harry	M	watch,electric kettle,laptop,watch,watch,electric kettle,electric kettle,laptop,electric kettle,watch,laptop,watch,electric kettle,laptop,laptop,laptop,laptop,laptop,electric kettle,electric kettle,electric kettle,watch,laptop,electric kettle,watch,watch,electric kettle,electric kettle,laptop,watch	5000,50,500,5000,1000,1000,5000,10000,1000,5000,5000,5000,5000,10000,500,5000,50,500,10000,50,5000,5000,10000,500,10000,1000,50,10000,500,500	sharp,round,round,sharp,round,sharp,round,round,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,sharp,round,round,sharp,sharp,round,sharp,sharp,round,sharp,sharp	50,5000,50,500,50,5000,10000,5000,1000,500,500,50,1000,1000,10000,10000,5000,1000,5000,5000,50,1000,5000,10000,10000,500,50,1000,500,50	sharp,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,round,sharp,sharp,round,sharp,round,round,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp	0,1,0.25,0.75,0,0.75,1,1,0.75,0.625,0,0,0.925,0,1,1,1,0.75,1,0.925,0,1,1,0.95,1,0.75,0.25,0.725,0.5,0	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	186,4,216,182,121,79,35,244,23,187,232,136,83,248,220,235,259,213,94,54,36,138,294,65,150,172,56,48,267,166	5002,50,500,5003,1000,998,5000,10000,1000,4998,5000,5000,4999,10000,500,5000,51,500,9997,52,5000,5000,10003,499,10000,997,51,10000,501,501	47,5000,51,500,50,5002,10000,5000,1000,502,500,51,1000,998,9997,10000,5001,1000,5000,5000,49,1002,5000,10000,9999,500,51,1001,501,51
A1XDXU43RJY8X7	Calvin,Gary,Patrick,Winston,Robert,Steve,Daniel,Barry,Zach,Luke,Matt,Kenneth,Fred,Quinn,Jake,Ethan,David,Nathan,Alex,Frank,Bob,George,Victor,Harry,Ivan,Owen,Charles,Albert,Tom,Eric	M	electric kettle,watch,laptop,laptop,laptop,watch,electric kettle,laptop,laptop,electric kettle,electric kettle,electric kettle,electric kettle,watch,electric kettle,electric kettle,electric kettle,watch,watch,watch,laptop,electric kettle,electric kettle,watch,electric kettle,electric kettle,laptop,laptop,watch,laptop	50,1000,5000,5000,1000,5000,10000,5000,10000,1000,1000,500,50,1000,500,5000,50,1000,1000,5000,500,10000,5000,1000,500,50,5000,1000,10000,10000	round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp,round,round	1000,5000,50,10000,10000,500,10000,10000,50,1000,50,1000,5000,1000,5000,5000,50,500,500,5000,10000,1000,10000,5000,10000,10000,5000,500,10000,5000	sharp,round,round,round,round,round,round,sharp,sharp,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,round,round,sharp,sharp,sharp,round,round,round,round,sharp	0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.95,0.975,0.95,0.95,0.975,0.95,0.925,0.95,0.975,0.975,0.975,0.875,0.925,0.95,0.9,0.95,0.95,0.925,0.925,0.95	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	35	8,174,231,285,275,182,95,290,246,73,71,63,59,178,19,89,56,122,177,184,215,43,90,129,70,55,284,272,145,249	50,1002,5000,4999,1003,4997,10003,4997,10000,1003,1002,499,51,1001,500,4999,51,1000,999,5002,500,10000,5002,1000,503,51,4997,997,10000,10000	997,5000,50,10000,10000,500,10000,10002,52,1000,50,1000,5003,1001,5001,4999,51,500,501,5000,10000,1000,9998,5001,9998,10000,5000,500,10000,5001
A34J9J4EO1SW8I	Bob,George,Victor,Tom,Fred,Eric,Ethan,Winston,Barry,David,Ivan,Quinn,Jake,Steve,Patrick,Daniel,Kenneth,Matt,Robert,Frank,Luke,Alex,Calvin,Nathan,Owen,Gary,Charles,Albert,Zach,Harry	M	watch,electric kettle,watch,laptop,electric kettle,electric kettle,laptop,laptop,laptop,watch,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,watch,watch,laptop,watch,watch,laptop,watch,electric kettle,electric kettle,watch,laptop,laptop,watch,watch	50,500,1000,50,500,10000,50,500,500,50,500,1000,50,1000,500,1000,1000,10000,1000,5000,50,500,1000,50,5000,10000,50,5000,10000,1000	round,sharp,round,sharp,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp,round,round,sharp,sharp,round,round,round,sharp,round,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp	5000,500,50,5000,1000,500,1000,50,1000,500,50,10000,5000,5000,5000,500,1000,1000,10000,1000,10000,1000,50,500,50,10000,10000,500,10000,500	sharp,sharp,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,round,round,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp	0.75,0.975,0.125,0.775,1,0.775,0.625,0.05,0.5,0.575,0.1,1,0.975,0.75,1,0.425,0.5,0.825,0.675,0.875,0.475,0.475,0.25,0.775,0.05,0.75,0.65,0.85,0.75,0.575	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	17	109,67,121,259,63,97,258,266,268,107,211,30,54,129,19,272,173,143,225,133,155,218,176,57,86,150,255,287,195,177	50,497,1000,51,498,9997,48,497,502,50,500,1000,47,1000,500,1002,999,10000,1000,5000,52,500,999,49,4998,10000,52,4999,10001,1001	5001,497,50,5002,1000,503,999,47,1001,499,50,10002,5000,4997,5002,500,1000,1000,10000,1000,10000,1001,51,502,52,9999,10000,499,10000,497
A2YTOX7SEDJ1TC	Daniel,Robert,Harry,Fred,Jake,Albert,Quinn,Bob,Victor,Owen,Eric,Alex,Kenneth,Steve,Ethan,Charles,Ivan,Nathan,David,Calvin,Luke,Patrick,George,Winston,Matt,Gary,Frank,Zach,Barry,Tom	F	laptop,watch,watch,electric kettle,laptop,electric kettle,electric kettle,watch,laptop,electric kettle,electric kettle,electric kettle,watch,electric kettle,watch,laptop,electric kettle,watch,laptop,watch,electric kettle,watch,laptop,electric kettle,watch,watch,watch,electric kettle,watch,electric kettle	5000,10000,1000,10000,10000,50,5000,5000,500,5000,50,1000,1000,10000,5000,5000,50,500,5000,10000,50,50,10000,5000,500,500,10000,50,10000,1000	sharp,sharp,round,round,round,round,round,round,round,round,round,sharp,round,round,sharp,round,sharp,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,sharp,sharp,round,round	5000,10000,5000,10000,50,50,5000,50,50,5000,5000,10000,50,5000,50,5000,500,5000,5000,50,5000,1000,500,50,500,500,5000,50,500,5000	round,round,round,round,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,round,sharp,round,sharp,round,sharp,round,sharp,round,sharp,sharp,round,sharp,sharp,round,round	1,1,0.3,1,1,0.625,0.5,1,0.8,0.625,0.425,0.4,0.675,0.675,0.95,0.55,0.6,0.45,0.5,0.975,0.775,0.45,0.75,1,0.5,0.5,0.4,0.5,0.425,0.35	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	284,195,124,45,246,6,34,131,216,39,4,75,126,44,181,239,52,169,234,196,54,108,292,36,167,162,199,56,142,24	4998,10002,1000,10000,10000,50,5000,5000,500,5000,50,997,1000,10000,5002,5000,53,498,5000,9998,48,50,10001,5000,499,501,10001,51,10000,1000	5000,10000,5000,10000,48,48,5000,50,53,4999,5000,10000,51,5000,50,4999,500,5001,5000,53,5000,999,500,48,499,500,5001,51,500,5000
