workerid	Answer.buyers	Answer.gender	Answer.domains	Answer.utteredPricesRounded	Answer.utteredTypes	Answer.actualPricesRounded	Answer.actualTypes	Answer.affects	Answer.nativeLanguage	Answer.orders	Answer.income	Answer.age	Answer.sentenceIDs	Answer.utteredPrices	Answer.actualPrices
A2F79GFUWU5O96	Victor,Winston,Jake,Gary,David,Patrick,Kenneth,Robert,Bob,Daniel,Albert,Barry,Luke,Steve,George,Owen,Nathan,Matt,Ethan,Alex,Charles,Harry,Eric,Ivan,Fred,Quinn,Tom,Frank,Zach,Calvin	F	electric kettle,laptop,watch,electric kettle,laptop,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,watch,watch,watch,electric kettle,electric kettle,electric kettle,watch,electric kettle,electric kettle,laptop,laptop,laptop,watch,electric kettle,watch,electric kettle,electric kettle,electric kettle,laptop	50,1000,50,50,1000,500,50,1000,50,500,50,1000,5000,10000,500,10000,50,10000,500,5000,10000,50,50,1000,10000,5000,5000,500,50,500	sharp,round,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,sharp,round,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,round	10000,1000,5000,10000,5000,5000,1000,1000,5000,50,1000,50,5000,10000,1000,5000,50,50,1000,50,500,10000,5000,10000,1000,500,1000,5000,5000,10000	round,round,round,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,round,sharp,round,sharp,round,sharp,sharp	1.19552555492,-0.205480954752,1.19552555492,1.12547522944,0.915324252985,0.915324252985,0.915324252985,-0.905984209587,0.915324252985,-1.11613518604,0.915324252985,-1.32628616249,-0.205480954752,-0.205480954752,0.4249719746,-1.32628616249,-0.205480954752,-1.46638681346,-0.835933884104,-1.18618551152,-1.18618551152,0.915324252985,0.845273927502,0.845273927502,-1.18618551152,-1.18618551152,-1.25623583701,0.775223602018,0.845273927502,1.05542490395	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	55,223,104,10,279,219,58,73,154,66,258,121,134,200,63,49,6,196,68,36,292,260,259,125,98,132,88,64,9,220	52,1000,50,50,1001,500,49,1003,51,497,49,1000,5000,10002,497,10000,50,9998,501,5000,10003,52,51,1000,10002,5000,5001,497,50,500	10000,1000,5000,10002,4997,5001,1002,1000,5000,53,999,50,5000,10002,1000,4999,47,48,997,49,500,10003,4999,10000,999,500,1002,5000,4998,10003
A323WW03VM8089	Zach,Nathan,Winston,Tom,Daniel,Calvin,Harry,Matt,Alex,Ivan,Victor,Ethan,Eric,Owen,Fred,Quinn,Luke,Albert,Barry,Jake,Steve,Charles,Gary,George,Bob,Robert,Kenneth,David,Patrick,Frank	M	electric kettle,laptop,electric kettle,laptop,electric kettle,electric kettle,electric kettle,electric kettle,watch,electric kettle,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,watch,laptop,laptop,laptop,electric kettle,watch,watch,watch,watch,laptop,watch	500,10000,1000,10000,1000,10000,5000,50,50,10000,500,5000,500,50,500,50,5000,10000,10000,1000,5000,1000,50,5000,50,10000,500,500,500,10000	sharp,sharp,round,sharp,round,sharp,round,round,round,sharp,sharp,round,round,round,round,sharp,sharp,round,round,round,sharp,sharp,round,round,round,round,round,sharp,sharp,sharp	10000,1000,5000,50,1000,10000,10000,5000,10000,500,5000,5000,5000,10000,500,1000,5000,50,10000,500,5000,5000,10000,500,5000,50,10000,1000,1000,10000	sharp,round,round,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp,sharp,round,round,round,sharp,round,round,sharp,sharp,sharp,round,round,round,sharp,round,round,round,round	1.9173288873,1.41099203326,0.803387808412,-1.12069223694,0.90465517922,-0.108018528862,-0.614355382903,-1.62702909098,-1.32322697856,1.30972466245,-0.614355382903,0.90465517922,-0.513088012095,-1.32322697856,-0.108018528862,-1.01942486614,-0.108018528862,0.90465517922,0.499585695987,1.20845729164,0.0945162127543,-0.715622753711,-1.01942486614,0.90465517922,-1.32322697856,1.30972466245,-1.12069223694,0.398318325179,0.195783583562,-0.108018528862	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	45	70,293,24,296,28,100,40,4,105,92,169,239,19,5,12,253,89,241,245,127,289,279,205,32,104,146,115,163,263,195	499,9997,1000,10003,1000,9998,5000,50,50,10001,497,5000,500,50,500,48,4998,10000,10000,1000,5003,1003,50,5000,50,10000,500,497,497,9999	10001,1000,5000,52,998,9998,10003,5000,10000,500,4998,4998,4999,10000,500,1000,4998,50,10000,502,5003,4997,10000,500,5000,51,10000,1000,1000,10000
A1OSH1BZDQQTNP	Owen,Ivan,Zach,Albert,Bob,Robert,Victor,Gary,Patrick,Alex,Nathan,Winston,Daniel,Steve,Ethan,Jake,Frank,Calvin,Tom,Fred,Eric,David,Luke,Kenneth,Harry,Barry,Charles,Matt,George,Quinn	F	watch,watch,watch,electric kettle,watch,laptop,watch,electric kettle,electric kettle,laptop,electric kettle,laptop,laptop,electric kettle,laptop,electric kettle,watch,laptop,watch,electric kettle,electric kettle,watch,laptop,watch,laptop,electric kettle,watch,electric kettle,laptop,electric kettle	1000,1000,500,5000,50,5000,50,500,500,1000,500,50,50,50,5000,50,1000,10000,5000,50,5000,500,10000,50,1000,10000,500,10000,5000,5000	round,sharp,round,round,sharp,round,sharp,sharp,round,round,round,sharp,round,round,round,round,round,round,sharp,round,sharp,round,round,round,sharp,sharp,sharp,sharp,sharp,sharp	500,10000,1000,1000,1000,1000,10000,50,5000,10000,500,5000,500,5000,5000,500,5000,5000,500,1000,500,1000,500,1000,50,5000,50,5000,5000,1000	sharp,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,sharp,round,round,round,round,sharp,round,round,sharp,sharp,round,sharp,round,round,round,round	0.852142779664,1.06878924907,0.70771180006,-1.02545995519,0.70771180006,-0.953244465386,1.28543571848,-0.953244465386,1.06878924907,1.06878924907,-0.158874077564,1.14100473887,0.779927289862,1.06878924907,-0.158874077564,0.852142779664,0.779927289862,-0.953244465386,-1.458752894,0.852142779664,-1.09767544499,0.852142779664,-1.458752894,0.852142779664,-1.24210642459,-1.24210642459,-0.953244465386,-0.881028975584,-0.158874077564,-1.24210642459	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	0	25	127,180,118,38,153,238,155,66,19,225,17,254,207,9,239,2,124,244,182,8,82,113,247,108,271,99,161,94,284,83	1000,998,500,5000,53,5000,53,502,500,1000,500,51,50,50,5000,50,1000,10000,4999,50,4997,500,10000,50,998,10003,499,10003,5001,5002	497,10002,1001,1003,1000,1001,10000,52,5002,10000,497,5000,497,4998,5002,500,5000,5000,500,1002,500,1000,498,1001,50,4997,50,5000,5000,1000
A3CD3C99T8S6ON	Ethan,Gary,Eric,Daniel,Harry,Victor,Charles,George,Kenneth,Albert,Alex,Owen,Nathan,Luke,Ivan,Bob,Steve,Fred,David,Quinn,Calvin,Robert,Tom,Frank,Zach,Winston,Jake,Barry,Patrick,Matt	M	laptop,watch,laptop,electric kettle,electric kettle,laptop,laptop,electric kettle,electric kettle,electric kettle,laptop,laptop,laptop,watch,watch,watch,watch,electric kettle,electric kettle,laptop,laptop,laptop,laptop,electric kettle,watch,watch,laptop,watch,watch,watch	10000,50,1000,5000,50,50,10000,1000,5000,1000,5000,5000,50,10000,5000,50,500,500,1000,5000,50,500,10000,1000,1000,5000,50,50,5000,5000	sharp,round,round,round,round,sharp,round,sharp,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,round,round,sharp,sharp,round,sharp	50,1000,500,10000,5000,1000,1000,10000,5000,1000,1000,10000,5000,500,5000,10000,50,50,10000,1000,10000,500,10000,500,1000,1000,10000,10000,500,50	sharp,round,round,sharp,round,round,round,round,sharp,sharp,sharp,round,sharp,round,sharp,round,round,round,sharp,round,round,round,sharp,round,round,round,sharp,sharp,round,round	-1.46376003843,-1.46376003843,0.51875920098,0.51875920098,-1.46376003843,-1.46376003843,0.51875920098,0.51875920098,1.41089285872,0.816137086892,0.915263048863,0.617885162951,-1.46376003843,0.816137086892,0.915263048863,-1.5628860004,0.221381315068,0.122255353097,0.51875920098,0.51875920098,-1.26550811449,-0.175122532815,0.816137086892,0.419633239009,0.717011124921,1.01438901083,-1.36463407646,-1.46376003843,0.617885162951,0.617885162951	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	25	296,103,222,40,4,253,243,75,89,28,238,285,259,192,189,155,111,11,80,283,205,212,300,22,123,133,260,160,132,181	9997,50,1000,5000,50,53,10000,1002,4999,1000,5000,5001,52,10001,5002,47,500,500,999,4999,50,500,9999,1000,1000,5000,48,52,5000,5002	47,1000,500,9999,5000,1000,1000,10000,4999,1001,1003,10000,5001,500,5002,10000,50,50,10002,1000,10000,500,9999,500,1000,1000,9999,9998,500,50
A3Q80YXXPV37KK	George,Gary,Owen,Barry,Luke,Harry,Zach,Albert,Jake,Charles,Patrick,Robert,Quinn,David,Kenneth,Eric,Steve,Bob,Daniel,Matt,Alex,Frank,Winston,Calvin,Fred,Nathan,Ivan,Victor,Ethan,Tom	M	electric kettle,watch,electric kettle,laptop,electric kettle,watch,laptop,electric kettle,electric kettle,laptop,electric kettle,watch,laptop,laptop,watch,laptop,electric kettle,watch,watch,laptop,electric kettle,electric kettle,watch,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,watch	50,500,50,500,1000,10000,50,50,50,5000,10000,5000,10000,1000,50,10000,10000,10000,5000,1000,10000,50,10000,50,5000,50,50,1000,1000,50	sharp,round,sharp,sharp,sharp,round,round,sharp,round,round,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp,sharp,round,sharp,sharp,round,round,round,round,round,sharp	1000,50,5000,5000,5000,5000,1000,50,500,5000,5000,50,1000,50,5000,500,50,5000,500,10000,1000,10000,500,5000,5000,1000,5000,1000,5000,10000	round,sharp,round,sharp,round,round,sharp,sharp,round,round,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp	1.27773373691,-0.937989506286,1.27773373691,0.98230397115,0.169872115312,-0.937989506286,0.243729556751,-1.67656392068,0.539159322511,-0.937989506286,0.317586998191,-1.38113415492,-0.937989506286,-1.45499159636,-1.23341927205,0.022157232432,-0.937989506286,0.317586998191,-0.937989506286,0.76073164683,0.465301881071,1.13001885403,-1.01184694773,1.27773373691,-0.937989506286,0.90844652971,1.27773373691,0.169872115312,0.90844652971,1.27773373691	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	25	53,116,54,269,74,144,208,56,2,234,94,181,293,276,159,247,46,149,182,280,93,10,192,154,239,3,9,28,229,160	53,500,49,497,1001,10000,50,53,50,5000,9998,4998,9997,1003,47,10000,10000,10000,5003,1001,10001,50,10002,53,5000,50,50,1000,1000,52	1000,48,5000,5003,5000,5000,997,53,500,5000,5000,50,1000,48,5003,501,52,4997,500,10001,1000,10002,500,5000,5002,1000,5001,998,4998,9997
A341LHR7178BUY	Daniel,Winston,Patrick,Luke,Jake,Tom,Zach,Kenneth,Robert,Quinn,Albert,George,Barry,David,Frank,Ivan,Alex,Charles,Matt,Nathan,Harry,Gary,Fred,Calvin,Bob,Owen,Ethan,Steve,Eric,Victor	F	laptop,electric kettle,laptop,laptop,watch,electric kettle,electric kettle,laptop,watch,electric kettle,watch,electric kettle,electric kettle,watch,laptop,electric kettle,watch,watch,electric kettle,laptop,laptop,electric kettle,laptop,electric kettle,laptop,watch,watch,laptop,watch,electric kettle	1000,500,10000,500,50,50,1000,1000,500,500,10000,5000,10000,50,5000,50,1000,500,10000,1000,10000,50,50,500,5000,1000,1000,10000,1000,1000	sharp,sharp,round,sharp,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,round,round,round,round,round,round,round,sharp,sharp,round,sharp,round,round,sharp,sharp	10000,500,50,500,5000,50,5000,50,50,500,50,500,500,50,5000,10000,500,10000,50,500,10000,50,500,10000,1000,5000,10000,10000,500,5000	round,round,sharp,round,round,round,sharp,round,sharp,round,sharp,round,round,round,round,sharp,round,round,sharp,round,sharp,round,round,round,sharp,round,round,round,sharp,round	2.20620292971,0.935836559435,-1.60489618111,-0.334529810839,0.935836559435,-0.334529810839,0.935836559435,-1.60489618111,-1.73193281814,-0.334529810839,-1.60489618111,-0.334529810839,-0.461566447866,-0.334529810839,-0.334529810839,0.935836559435,-0.334529810839,1.06287319646,-1.47785954409,-0.334529810839,0.935836559435,-0.334529810839,-0.334529810839,0.935836559435,-0.334529810839,0.935836559435,0.935836559435,0.808799922408,-0.334529810839,0.935836559435	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	25	275,62,246,262,104,51,29,221,166,12,146,32,92,101,284,10,122,115,46,222,250,1,252,65,238,174,125,245,177,74	1003,503,10000,501,50,52,1000,1000,497,500,10000,5000,10003,50,4999,50,1000,500,10000,1000,10000,50,48,497,5000,1001,1000,10000,1003,1002	10000,500,49,500,5000,50,5003,50,52,500,52,500,500,50,5000,9997,500,10000,48,500,10002,50,500,10000,998,5000,10000,10000,498,5000
A36T3XYC4WBLNK	Charles,Patrick,Eric,Zach,Albert,Matt,Fred,George,Owen,Tom,Nathan,Ivan,Daniel,Bob,Ethan,Frank,Calvin,Victor,Jake,Winston,Barry,Alex,Steve,Kenneth,Luke,Quinn,Gary,David,Robert,Harry	M	watch,electric kettle,laptop,watch,watch,electric kettle,electric kettle,laptop,electric kettle,watch,laptop,watch,electric kettle,laptop,laptop,laptop,laptop,laptop,electric kettle,electric kettle,electric kettle,watch,laptop,electric kettle,watch,watch,electric kettle,electric kettle,laptop,watch	5000,50,500,5000,1000,1000,5000,10000,1000,5000,5000,5000,5000,10000,500,5000,50,500,10000,50,5000,5000,10000,500,10000,1000,50,10000,500,500	sharp,round,round,sharp,round,sharp,round,round,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,sharp,round,round,sharp,sharp,round,sharp,sharp,round,sharp,sharp	50,5000,50,500,50,5000,10000,5000,1000,500,500,50,1000,1000,10000,10000,5000,1000,5000,5000,50,1000,5000,10000,10000,500,50,1000,500,50	sharp,round,sharp,round,round,sharp,round,round,round,sharp,round,sharp,round,sharp,sharp,round,sharp,round,round,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp	-1.54683659809,0.908459589352,-0.933012551227,0.294635542493,-1.54683659809,0.294635542493,0.908459589352,0.908459589352,0.294635542493,-0.0122764809372,-1.54683659809,-1.54683659809,0.724312375294,-1.54683659809,0.908459589352,0.908459589352,0.908459589352,0.294635542493,0.908459589352,0.724312375294,-1.54683659809,0.908459589352,0.908459589352,0.78569477998,0.908459589352,0.294635542493,-0.933012551227,0.233253137807,-0.319188504367,-1.54683659809	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	186,4,216,182,121,79,35,244,23,187,232,136,83,248,220,235,259,213,94,54,36,138,294,65,150,172,56,48,267,166	5002,50,500,5003,1000,998,5000,10000,1000,4998,5000,5000,4999,10000,500,5000,51,500,9997,52,5000,5000,10003,499,10000,997,51,10000,501,501	47,5000,51,500,50,5002,10000,5000,1000,502,500,51,1000,998,9997,10000,5001,1000,5000,5000,49,1002,5000,10000,9999,500,51,1001,501,51
A1XDXU43RJY8X7	Calvin,Gary,Patrick,Winston,Robert,Steve,Daniel,Barry,Zach,Luke,Matt,Kenneth,Fred,Quinn,Jake,Ethan,David,Nathan,Alex,Frank,Bob,George,Victor,Harry,Ivan,Owen,Charles,Albert,Tom,Eric	M	electric kettle,watch,laptop,laptop,laptop,watch,electric kettle,laptop,laptop,electric kettle,electric kettle,electric kettle,electric kettle,watch,electric kettle,electric kettle,electric kettle,watch,watch,watch,laptop,electric kettle,electric kettle,watch,electric kettle,electric kettle,laptop,laptop,watch,laptop	50,1000,5000,5000,1000,5000,10000,5000,10000,1000,1000,500,50,1000,500,5000,50,1000,1000,5000,500,10000,5000,1000,500,50,5000,1000,10000,10000	round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,sharp,round,sharp,sharp,round,round,sharp,round,sharp,sharp,sharp,sharp,round,round	1000,5000,50,10000,10000,500,10000,10000,50,1000,50,1000,5000,1000,5000,5000,50,500,500,5000,10000,1000,10000,5000,10000,10000,5000,500,10000,5000	sharp,round,round,round,round,round,round,sharp,sharp,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,round,round,sharp,sharp,sharp,round,round,round,round,sharp	0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,0.776271474806,-0.194067868701,0.776271474806,-0.194067868701,-0.194067868701,0.776271474806,-0.194067868701,-1.16440721221,-0.194067868701,0.776271474806,0.776271474806,0.776271474806,-3.10508589922,-1.16440721221,-0.194067868701,-2.13474655572,-0.194067868701,-0.194067868701,-1.16440721221,-1.16440721221,-0.194067868701	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	6	35	8,174,231,285,275,182,95,290,246,73,71,63,59,178,19,89,56,122,177,184,215,43,90,129,70,55,284,272,145,249	50,1002,5000,4999,1003,4997,10003,4997,10000,1003,1002,499,51,1001,500,4999,51,1000,999,5002,500,10000,5002,1000,503,51,4997,997,10000,10000	997,5000,50,10000,10000,500,10000,10002,52,1000,50,1000,5003,1001,5001,4999,51,500,501,5000,10000,1000,9998,5001,9998,10000,5000,500,10000,5001
A34J9J4EO1SW8I	Bob,George,Victor,Tom,Fred,Eric,Ethan,Winston,Barry,David,Ivan,Quinn,Jake,Steve,Patrick,Daniel,Kenneth,Matt,Robert,Frank,Luke,Alex,Calvin,Nathan,Owen,Gary,Charles,Albert,Zach,Harry	M	watch,electric kettle,watch,laptop,electric kettle,electric kettle,laptop,laptop,laptop,watch,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,watch,watch,laptop,watch,watch,laptop,watch,electric kettle,electric kettle,watch,laptop,laptop,watch,watch	50,500,1000,50,500,10000,50,500,500,50,500,1000,50,1000,500,1000,1000,10000,1000,5000,50,500,1000,50,5000,10000,50,5000,10000,1000	round,sharp,round,sharp,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp,round,round,sharp,sharp,round,round,round,sharp,round,sharp,sharp,sharp,round,sharp,sharp,sharp,sharp	5000,500,50,5000,1000,500,1000,50,1000,500,50,10000,5000,5000,5000,500,1000,1000,10000,1000,10000,1000,50,500,50,10000,10000,500,10000,500	sharp,sharp,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,sharp,round,round,round,round,round,round,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp	0.419911381862,1.20181533429,-1.75204404156,0.506789598799,1.28869355123,0.506789598799,-0.0144797028228,-2.01267869237,-0.448870787508,-0.188236136697,-1.8389222585,1.28869355123,1.20181533429,0.419911381862,1.28869355123,-0.709505438319,-0.448870787508,0.680546032673,0.159276731051,0.854302466547,-0.535749004445,-0.535749004445,-1.31765295688,0.506789598799,-2.01267869237,0.419911381862,0.0723985141141,0.76742424961,0.419911381862,-0.188236136697	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	17	109,67,121,259,63,97,258,266,268,107,211,30,54,129,19,272,173,143,225,133,155,218,176,57,86,150,255,287,195,177	50,497,1000,51,498,9997,48,497,502,50,500,1000,47,1000,500,1002,999,10000,1000,5000,52,500,999,49,4998,10000,52,4999,10001,1001	5001,497,50,5002,1000,503,999,47,1001,499,50,10002,5000,4997,5002,500,1000,1000,10000,1000,10000,1001,51,502,52,9999,10000,499,10000,497
A2YTOX7SEDJ1TC	Daniel,Robert,Harry,Fred,Jake,Albert,Quinn,Bob,Victor,Owen,Eric,Alex,Kenneth,Steve,Ethan,Charles,Ivan,Nathan,David,Calvin,Luke,Patrick,George,Winston,Matt,Gary,Frank,Zach,Barry,Tom	F	laptop,watch,watch,electric kettle,laptop,electric kettle,electric kettle,watch,laptop,electric kettle,electric kettle,electric kettle,watch,electric kettle,watch,laptop,electric kettle,watch,laptop,watch,electric kettle,watch,laptop,electric kettle,watch,watch,watch,electric kettle,watch,electric kettle	5000,10000,1000,10000,10000,50,5000,5000,500,5000,50,1000,1000,10000,5000,5000,50,500,5000,10000,50,50,10000,5000,500,500,10000,50,10000,1000	sharp,sharp,round,round,round,round,round,round,round,round,round,sharp,round,round,sharp,round,sharp,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,sharp,sharp,round,round	5000,10000,5000,10000,50,50,5000,50,50,5000,5000,10000,50,5000,50,5000,500,5000,5000,50,5000,1000,500,50,500,500,5000,50,500,5000	round,round,round,round,sharp,sharp,round,round,sharp,sharp,round,round,sharp,round,round,sharp,round,sharp,round,sharp,round,sharp,round,sharp,sharp,round,sharp,sharp,round,round	1.45099705677,1.45099705677,-1.50734645704,1.45099705677,1.45099705677,-0.133829825625,-0.662105453091,1.45099705677,0.605756052828,-0.133829825625,-0.979070829571,-1.08472595506,0.0774804253618,0.0774804253618,1.23968680579,-0.450795202105,-0.239484951118,-0.873415704078,-0.662105453091,1.34534193128,0.500100927335,-0.873415704078,0.394445801842,1.45099705677,-0.662105453091,-0.662105453091,-1.08472595506,-0.662105453091,-0.979070829571,-1.29603620605	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	4	35	284,195,124,45,246,6,34,131,216,39,4,75,126,44,181,239,52,169,234,196,54,108,292,36,167,162,199,56,142,24	4998,10002,1000,10000,10000,50,5000,5000,500,5000,50,997,1000,10000,5002,5000,53,498,5000,9998,48,50,10001,5000,499,501,10001,51,10000,1000	5000,10000,5000,10000,48,48,5000,50,53,4999,5000,10000,51,5000,50,4999,500,5001,5000,53,5000,999,500,48,499,500,5001,51,500,5000
