workerID, gender, nativeLanguage, income, age, sentenceID, domain, utteredPrice, utteredPriceRounded, utteredType, actualPrice, actualPriceRounded, actualType, probOpinion, order, buyer, 
A2F79GFUWU5O96, F, English, 4, 35, 55, electric kettle, 52, 50, sharp, 10000, 10000, round, 1.19552555492, 1, Victor, 
A2F79GFUWU5O96, F, English, 4, 35, 223, laptop, 1000, 1000, round, 1000, 1000, round, -0.205480954752, 2, Winston, 
A2F79GFUWU5O96, F, English, 4, 35, 104, watch, 50, 50, round, 5000, 5000, round, 1.19552555492, 3, Jake, 
A2F79GFUWU5O96, F, English, 4, 35, 10, electric kettle, 50, 50, round, 10002, 10000, sharp, 1.12547522944, 4, Gary, 
A2F79GFUWU5O96, F, English, 4, 35, 279, laptop, 1001, 1000, sharp, 4997, 5000, sharp, 0.915324252985, 5, David, 
A2F79GFUWU5O96, F, English, 4, 35, 219, laptop, 500, 500, round, 5001, 5000, sharp, 0.915324252985, 6, Patrick, 
A2F79GFUWU5O96, F, English, 4, 35, 58, electric kettle, 49, 50, sharp, 1002, 1000, sharp, 0.915324252985, 7, Kenneth, 
A2F79GFUWU5O96, F, English, 4, 35, 73, electric kettle, 1003, 1000, sharp, 1000, 1000, round, -0.905984209587, 8, Robert, 
A2F79GFUWU5O96, F, English, 4, 35, 154, watch, 51, 50, sharp, 5000, 5000, round, 0.915324252985, 9, Bob, 
A2F79GFUWU5O96, F, English, 4, 35, 66, electric kettle, 497, 500, sharp, 53, 50, sharp, -1.11613518604, 10, Daniel, 
A2F79GFUWU5O96, F, English, 4, 35, 258, laptop, 49, 50, sharp, 999, 1000, sharp, 0.915324252985, 11, Albert, 
A2F79GFUWU5O96, F, English, 4, 35, 121, watch, 1000, 1000, round, 50, 50, round, -1.32628616249, 12, Barry, 
A2F79GFUWU5O96, F, English, 4, 35, 134, watch, 5000, 5000, round, 5000, 5000, round, -0.205480954752, 13, Luke, 
A2F79GFUWU5O96, F, English, 4, 35, 200, watch, 10002, 10000, sharp, 10002, 10000, sharp, -0.205480954752, 14, Steve, 
A2F79GFUWU5O96, F, English, 4, 35, 63, electric kettle, 497, 500, sharp, 1000, 1000, round, 0.4249719746, 15, George, 
A2F79GFUWU5O96, F, English, 4, 35, 49, electric kettle, 10000, 10000, round, 4999, 5000, sharp, -1.32628616249, 16, Owen, 
A2F79GFUWU5O96, F, English, 4, 35, 6, electric kettle, 50, 50, round, 47, 50, sharp, -0.205480954752, 17, Nathan, 
A2F79GFUWU5O96, F, English, 4, 35, 196, watch, 9998, 10000, sharp, 48, 50, sharp, -1.46638681346, 18, Matt, 
A2F79GFUWU5O96, F, English, 4, 35, 68, electric kettle, 501, 500, sharp, 997, 1000, sharp, -0.835933884104, 19, Ethan, 
A2F79GFUWU5O96, F, English, 4, 35, 36, electric kettle, 5000, 5000, round, 49, 50, sharp, -1.18618551152, 20, Alex, 
A2F79GFUWU5O96, F, English, 4, 35, 292, laptop, 10003, 10000, sharp, 500, 500, round, -1.18618551152, 21, Charles, 
A2F79GFUWU5O96, F, English, 4, 35, 260, laptop, 52, 50, sharp, 10003, 10000, sharp, 0.915324252985, 22, Harry, 
A2F79GFUWU5O96, F, English, 4, 35, 259, laptop, 51, 50, sharp, 4999, 5000, sharp, 0.845273927502, 23, Eric, 
A2F79GFUWU5O96, F, English, 4, 35, 125, watch, 1000, 1000, round, 10000, 10000, round, 0.845273927502, 24, Ivan, 
A2F79GFUWU5O96, F, English, 4, 35, 98, electric kettle, 10002, 10000, sharp, 999, 1000, sharp, -1.18618551152, 25, Fred, 
A2F79GFUWU5O96, F, English, 4, 35, 132, watch, 5000, 5000, round, 500, 500, round, -1.18618551152, 26, Quinn, 
A2F79GFUWU5O96, F, English, 4, 35, 88, electric kettle, 5001, 5000, sharp, 1002, 1000, sharp, -1.25623583701, 27, Tom, 
A2F79GFUWU5O96, F, English, 4, 35, 64, electric kettle, 497, 500, sharp, 5000, 5000, round, 0.775223602018, 28, Frank, 
A2F79GFUWU5O96, F, English, 4, 35, 9, electric kettle, 50, 50, round, 4998, 5000, sharp, 0.845273927502, 29, Zach, 
A2F79GFUWU5O96, F, English, 4, 35, 220, laptop, 500, 500, round, 10003, 10000, sharp, 1.05542490395, 30, Calvin, 
A323WW03VM8089, M, English, 4, 45, 70, electric kettle, 499, 500, sharp, 10001, 10000, sharp, 1.9173288873, 1, Zach, 
A323WW03VM8089, M, English, 4, 45, 293, laptop, 9997, 10000, sharp, 1000, 1000, round, 1.41099203326, 2, Nathan, 
A323WW03VM8089, M, English, 4, 45, 24, electric kettle, 1000, 1000, round, 5000, 5000, round, 0.803387808412, 3, Winston, 
A323WW03VM8089, M, English, 4, 45, 296, laptop, 10003, 10000, sharp, 52, 50, sharp, -1.12069223694, 4, Tom, 
A323WW03VM8089, M, English, 4, 45, 28, electric kettle, 1000, 1000, round, 998, 1000, sharp, 0.90465517922, 5, Daniel, 
A323WW03VM8089, M, English, 4, 45, 100, electric kettle, 9998, 10000, sharp, 9998, 10000, sharp, -0.108018528862, 6, Calvin, 
A323WW03VM8089, M, English, 4, 45, 40, electric kettle, 5000, 5000, round, 10003, 10000, sharp, -0.614355382903, 7, Harry, 
A323WW03VM8089, M, English, 4, 45, 4, electric kettle, 50, 50, round, 5000, 5000, round, -1.62702909098, 8, Matt, 
A323WW03VM8089, M, English, 4, 45, 105, watch, 50, 50, round, 10000, 10000, round, -1.32322697856, 9, Alex, 
A323WW03VM8089, M, English, 4, 45, 92, electric kettle, 10001, 10000, sharp, 500, 500, round, 1.30972466245, 10, Ivan, 
A323WW03VM8089, M, English, 4, 45, 169, watch, 497, 500, sharp, 4998, 5000, sharp, -0.614355382903, 11, Victor, 
A323WW03VM8089, M, English, 4, 45, 239, laptop, 5000, 5000, round, 4998, 5000, sharp, 0.90465517922, 12, Ethan, 
A323WW03VM8089, M, English, 4, 45, 19, electric kettle, 500, 500, round, 4999, 5000, sharp, -0.513088012095, 13, Eric, 
A323WW03VM8089, M, English, 4, 45, 5, electric kettle, 50, 50, round, 10000, 10000, round, -1.32322697856, 14, Owen, 
A323WW03VM8089, M, English, 4, 45, 12, electric kettle, 500, 500, round, 500, 500, round, -0.108018528862, 15, Fred, 
A323WW03VM8089, M, English, 4, 45, 253, laptop, 48, 50, sharp, 1000, 1000, round, -1.01942486614, 16, Quinn, 
A323WW03VM8089, M, English, 4, 45, 89, electric kettle, 4998, 5000, sharp, 4998, 5000, sharp, -0.108018528862, 17, Luke, 
A323WW03VM8089, M, English, 4, 45, 241, laptop, 10000, 10000, round, 50, 50, round, 0.90465517922, 18, Albert, 
A323WW03VM8089, M, English, 4, 45, 245, laptop, 10000, 10000, round, 10000, 10000, round, 0.499585695987, 19, Barry, 
A323WW03VM8089, M, English, 4, 45, 127, watch, 1000, 1000, round, 502, 500, sharp, 1.20845729164, 20, Jake, 
A323WW03VM8089, M, English, 4, 45, 289, laptop, 5003, 5000, sharp, 5003, 5000, sharp, 0.0945162127543, 21, Steve, 
A323WW03VM8089, M, English, 4, 45, 279, laptop, 1003, 1000, sharp, 4997, 5000, sharp, -0.715622753711, 22, Charles, 
A323WW03VM8089, M, English, 4, 45, 205, laptop, 50, 50, round, 10000, 10000, round, -1.01942486614, 23, Gary, 
A323WW03VM8089, M, English, 4, 45, 32, electric kettle, 5000, 5000, round, 500, 500, round, 0.90465517922, 24, George, 
A323WW03VM8089, M, English, 4, 45, 104, watch, 50, 50, round, 5000, 5000, round, -1.32322697856, 25, Bob, 
A323WW03VM8089, M, English, 4, 45, 146, watch, 10000, 10000, round, 51, 50, sharp, 1.30972466245, 26, Robert, 
A323WW03VM8089, M, English, 4, 45, 115, watch, 500, 500, round, 10000, 10000, round, -1.12069223694, 27, Kenneth, 
A323WW03VM8089, M, English, 4, 45, 163, watch, 497, 500, sharp, 1000, 1000, round, 0.398318325179, 28, David, 
A323WW03VM8089, M, English, 4, 45, 263, laptop, 497, 500, sharp, 1000, 1000, round, 0.195783583562, 29, Patrick, 
A323WW03VM8089, M, English, 4, 45, 195, watch, 9999, 10000, sharp, 10000, 10000, round, -0.108018528862, 30, Frank, 
A1OSH1BZDQQTNP, F, English, 0, 25, 127, watch, 1000, 1000, round, 497, 500, sharp, 0.852142779664, 1, Owen, 
A1OSH1BZDQQTNP, F, English, 0, 25, 180, watch, 998, 1000, sharp, 10002, 10000, sharp, 1.06878924907, 2, Ivan, 
A1OSH1BZDQQTNP, F, English, 0, 25, 118, watch, 500, 500, round, 1001, 1000, sharp, 0.70771180006, 3, Zach, 
A1OSH1BZDQQTNP, F, English, 0, 25, 38, electric kettle, 5000, 5000, round, 1003, 1000, sharp, -1.02545995519, 4, Albert, 
A1OSH1BZDQQTNP, F, English, 0, 25, 153, watch, 53, 50, sharp, 1000, 1000, round, 0.70771180006, 5, Bob, 
A1OSH1BZDQQTNP, F, English, 0, 25, 238, laptop, 5000, 5000, round, 1001, 1000, sharp, -0.953244465386, 6, Robert, 
A1OSH1BZDQQTNP, F, English, 0, 25, 155, watch, 53, 50, sharp, 10000, 10000, round, 1.28543571848, 7, Victor, 
A1OSH1BZDQQTNP, F, English, 0, 25, 66, electric kettle, 502, 500, sharp, 52, 50, sharp, -0.953244465386, 8, Gary, 
A1OSH1BZDQQTNP, F, English, 0, 25, 19, electric kettle, 500, 500, round, 5002, 5000, sharp, 1.06878924907, 9, Patrick, 
A1OSH1BZDQQTNP, F, English, 0, 25, 225, laptop, 1000, 1000, round, 10000, 10000, round, 1.06878924907, 10, Alex, 
A1OSH1BZDQQTNP, F, English, 0, 25, 17, electric kettle, 500, 500, round, 497, 500, sharp, -0.158874077564, 11, Nathan, 
A1OSH1BZDQQTNP, F, English, 0, 25, 254, laptop, 51, 50, sharp, 5000, 5000, round, 1.14100473887, 12, Winston, 
A1OSH1BZDQQTNP, F, English, 0, 25, 207, laptop, 50, 50, round, 497, 500, sharp, 0.779927289862, 13, Daniel, 
A1OSH1BZDQQTNP, F, English, 0, 25, 9, electric kettle, 50, 50, round, 4998, 5000, sharp, 1.06878924907, 14, Steve, 
A1OSH1BZDQQTNP, F, English, 0, 25, 239, laptop, 5000, 5000, round, 5002, 5000, sharp, -0.158874077564, 15, Ethan, 
A1OSH1BZDQQTNP, F, English, 0, 25, 2, electric kettle, 50, 50, round, 500, 500, round, 0.852142779664, 16, Jake, 
A1OSH1BZDQQTNP, F, English, 0, 25, 124, watch, 1000, 1000, round, 5000, 5000, round, 0.779927289862, 17, Frank, 
A1OSH1BZDQQTNP, F, English, 0, 25, 244, laptop, 10000, 10000, round, 5000, 5000, round, -0.953244465386, 18, Calvin, 
A1OSH1BZDQQTNP, F, English, 0, 25, 182, watch, 4999, 5000, sharp, 500, 500, round, -1.458752894, 19, Tom, 
A1OSH1BZDQQTNP, F, English, 0, 25, 8, electric kettle, 50, 50, round, 1002, 1000, sharp, 0.852142779664, 20, Fred, 
A1OSH1BZDQQTNP, F, English, 0, 25, 82, electric kettle, 4997, 5000, sharp, 500, 500, round, -1.09767544499, 21, Eric, 
A1OSH1BZDQQTNP, F, English, 0, 25, 113, watch, 500, 500, round, 1000, 1000, round, 0.852142779664, 22, David, 
A1OSH1BZDQQTNP, F, English, 0, 25, 247, laptop, 10000, 10000, round, 498, 500, sharp, -1.458752894, 23, Luke, 
A1OSH1BZDQQTNP, F, English, 0, 25, 108, watch, 50, 50, round, 1001, 1000, sharp, 0.852142779664, 24, Kenneth, 
A1OSH1BZDQQTNP, F, English, 0, 25, 271, laptop, 998, 1000, sharp, 50, 50, round, -1.24210642459, 25, Harry, 
A1OSH1BZDQQTNP, F, English, 0, 25, 99, electric kettle, 10003, 10000, sharp, 4997, 5000, sharp, -1.24210642459, 26, Barry, 
A1OSH1BZDQQTNP, F, English, 0, 25, 161, watch, 499, 500, sharp, 50, 50, round, -0.953244465386, 27, Charles, 
A1OSH1BZDQQTNP, F, English, 0, 25, 94, electric kettle, 10003, 10000, sharp, 5000, 5000, round, -0.881028975584, 28, Matt, 
A1OSH1BZDQQTNP, F, English, 0, 25, 284, laptop, 5001, 5000, sharp, 5000, 5000, round, -0.158874077564, 29, George, 
A1OSH1BZDQQTNP, F, English, 0, 25, 83, electric kettle, 5002, 5000, sharp, 1000, 1000, round, -1.24210642459, 30, Quinn, 
A3CD3C99T8S6ON, M, English, 4, 25, 296, laptop, 9997, 10000, sharp, 47, 50, sharp, -1.46376003843, 1, Ethan, 
