workerid	Answer.buyers	Answer.gender	Answer.affects	Answer.nativeLanguage	Answer.orders	Answer.domains	Answer.income	Answer.age	Answer.sentenceIDs	Answer.utteredPricesRounded	Answer.numberTypes
A5UB4S341YP2O	Zach,Quinn,Albert,George,Matt,Tom,Nathan,Robert,David,Jake,Patrick,Eric,Winston,Alex,Fred	M	0.65,0.95,0.25,0.775,0.725,1,1,0.725,0.95,1,0,0.925,0.25,0.25,0.95	ENGLISH	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,watch,laptop,electric kettle,watch,watch,watch,watch,electric kettle,electric kettle,watch,electric kettle,laptop,electric kettle,laptop	4	25	23,17,24,7,13,20,14,18,4,10,16,5,22,1,29	1000,500,5000,500,1000,10000,5000,1000,5000,10000,50,10000,500,50,5000	round,sharp,round,sharp,round,sharp,round,sharp,round,sharp,sharp,round,round,round,sharp
A1EGJ0KJG2QFB4	Calvin,Kenneth,Ivan,Daniel,Albert,Matt,Gary,George,Owen,Barry,Victor,David,Quinn,Tom,Robert	M	0.75,0.25,0.975,0.25,0.975,0.775,0.975,0.275,0.975,1,0,0.75,0.725,1,0.975	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,watch,electric kettle,laptop,laptop,watch,laptop,electric kettle,watch,laptop,laptop,electric kettle,watch,watch,watch	0	35	3,11,9,27,24,13,30,7,15,25,21,4,17,20,18	1000,50,5000,500,5000,1000,10000,500,10000,10000,50,5000,500,10000,1000	round,round,sharp,sharp,round,round,sharp,sharp,round,round,round,round,sharp,sharp,sharp
A1Z7WT01G55LDC	Ivan,Quinn,Charles,Gary,George,Fred,Frank,Daniel,Matt,Steve,Alex,Jake,Barry,Robert,Eric	F	1,0.625,0,0.75,0.575,0.525,0.15,0.325,0.6,0.925,0.05,1,0.925,0.7,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,watch,laptop,laptop,electric kettle,laptop,electric kettle,laptop,watch,watch,electric kettle,electric kettle,laptop,watch,electric kettle	4	17	9,17,26,30,7,29,6,27,13,19,1,10,25,18,5	5000,500,50,10000,500,5000,50,500,1000,5000,50,10000,10000,1000,10000	sharp,sharp,sharp,sharp,sharp,sharp,sharp,sharp,round,sharp,round,sharp,round,sharp,round
A1SUU1QIRDZXJC	Quinn,Calvin,Steve,Harry,David,Bob,Robert,Luke,Albert,Fred,Kenneth,Alex,Charles,Nathan,Ivan	F	0.75,0.75,0.975,0.75,1,0.5,0.8,0.75,1,1,0.125,0,0,1,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	watch,electric kettle,watch,electric kettle,electric kettle,electric kettle,watch,watch,laptop,laptop,watch,electric kettle,laptop,watch,electric kettle	4	45	17,3,19,8,4,2,18,12,24,29,11,1,26,14,9	500,1000,5000,1000,5000,500,1000,500,5000,5000,50,50,50,5000,5000	sharp,round,sharp,sharp,round,round,sharp,round,round,sharp,round,round,sharp,round,sharp
A3L60SOWLYEDN2	Harry,Zach,Gary,Daniel,Winston,Matt,Owen,Robert,Victor,Eric,David,Jake,Ethan,Albert,Kenneth	M	1,0.375,1,0.1,0.1,1,1,1,0,1,1,1,0.375,0.75,0.275	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,laptop,laptop,laptop,laptop,watch,watch,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,laptop,watch	6	35	8,23,30,27,22,13,15,18,21,5,4,10,28,24,11	1000,1000,10000,500,500,1000,10000,1000,50,10000,5000,10000,1000,5000,50	sharp,round,sharp,sharp,round,round,round,sharp,round,round,round,sharp,sharp,round,round
A3TBA7X9EF16W6	Frank,Fred,Calvin,Ivan,Barry,Quinn,Robert,Eric,Daniel,Nathan,Patrick,Jake,Bob,Steve,Tom	F	0.25,1,1,1,1,0.75,1,1,0.25,1,0.25,1,0.5,1,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,laptop,electric kettle,electric kettle,laptop,watch,watch,electric kettle,laptop,watch,watch,electric kettle,electric kettle,watch,watch	4	35	6,29,3,9,25,17,18,5,27,14,16,10,2,19,20	50,5000,1000,5000,10000,500,1000,10000,500,5000,50,10000,500,5000,10000	sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,sharp
A3VIM82WAK5TIZ	Matt,Nathan,Quinn,Kenneth,Jake,Calvin,Charles,Owen,Alex,Barry,Zach,Fred,Eric,Albert,Robert	M	1,1,0.625,0.2,0.975,0.975,0,1,0.425,1,0.25,0.975,1,1,0.65	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	watch,watch,watch,watch,electric kettle,electric kettle,laptop,watch,electric kettle,laptop,laptop,laptop,electric kettle,laptop,watch	8	65	13,14,17,11,10,3,26,15,1,25,23,29,5,24,18	1000,5000,500,50,10000,1000,50,10000,50,10000,1000,5000,10000,5000,1000	round,round,sharp,round,sharp,round,sharp,round,round,round,round,sharp,round,round,sharp
A18YWPYXDGJQA9	Robert,Winston,Steve,Victor,Tom,Gary,Nathan,Albert,David,Patrick,Jake,Bob,Ivan,Matt,Calvin	F	0.975,0.75,0.975,0.25,1,1,1,1,0.975,0.25,0.975,1,0.975,0.975,0.975	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	watch,laptop,watch,laptop,watch,laptop,watch,laptop,electric kettle,watch,electric kettle,electric kettle,electric kettle,watch,electric kettle	4	35	18,22,19,21,20,30,14,24,4,16,10,2,9,13,3	1000,500,5000,50,10000,10000,5000,5000,5000,50,10000,500,5000,1000,1000	sharp,round,sharp,round,sharp,sharp,round,round,round,sharp,sharp,round,sharp,round,round
A3PLXXIWPLGDQ6	Ethan,Nathan,Zach,Harry,Patrick,David,Steve,Ivan,Alex,Owen,Bob,Charles,Calvin,Barry,Fred	F	0.975,1,0.8,0.7,0.4,0.925,0.975,1,0.325,1,0.8,0.225,0.875,0.975,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,watch,laptop,electric kettle,watch,electric kettle,watch,electric kettle,electric kettle,watch,electric kettle,laptop,electric kettle,laptop,laptop	4	45	28,14,23,8,16,4,19,9,1,15,2,26,3,25,29	1000,5000,1000,1000,50,5000,5000,5000,50,10000,500,50,1000,10000,5000	sharp,round,round,sharp,sharp,round,sharp,sharp,round,round,round,sharp,round,round,sharp
AVMIXXCHPD291	Barry,Matt,Eric,Albert,Steve,Nathan,Frank,Charles,Quinn,George,Fred,David,Owen,Calvin,Patrick	F	1,0.8,1,0.825,0.975,1,0.375,0,0.625,1,0.75,1,1,1,0.25	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,watch,electric kettle,laptop,watch,watch,electric kettle,laptop,watch,electric kettle,laptop,electric kettle,watch,electric kettle,watch	8	45	25,13,5,24,19,14,6,26,17,7,29,4,15,3,16	10000,1000,10000,5000,5000,5000,50,50,500,500,5000,5000,10000,1000,50	round,round,round,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round,round,round,sharp
A2LSIJBN4V7WX1	Harry,Zach,Barry,Winston,Bob,Patrick,Alex,George,Matt,Ethan,Albert,Gary,Jake,Charles,Owen	F	1,0.75,1,0.6,0.975,0.5,0.6,1,1,0.75,1,1,1,0.1,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,laptop,laptop,laptop,electric kettle,watch,electric kettle,electric kettle,watch,laptop,laptop,laptop,electric kettle,laptop,watch	4	45	8,23,25,22,2,16,1,7,13,28,24,30,10,26,15	1000,1000,10000,500,500,50,50,500,1000,1000,5000,10000,10000,50,10000	sharp,round,round,round,round,sharp,round,sharp,round,sharp,round,sharp,sharp,sharp,round
A2HHKBW8HQWI66	Robert,Daniel,Barry,Eric,Calvin,Steve,Albert,Fred,Alex,Quinn,Ethan,Gary,Tom,Patrick,Matt	M	1,0.375,1,1,1,1,1,1,0.25,0.6,0.65,1,1,0.225,0.925	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	watch,laptop,laptop,electric kettle,electric kettle,watch,laptop,laptop,electric kettle,watch,laptop,laptop,watch,watch,watch	8	45	18,27,25,5,3,19,24,29,1,17,28,30,20,16,13	1000,500,10000,10000,1000,5000,5000,5000,50,500,1000,10000,10000,50,1000	sharp,sharp,round,round,round,sharp,round,sharp,round,sharp,sharp,sharp,sharp,sharp,round
AZYO712QAF8HI	Ethan,Tom,Gary,Matt,Zach,Winston,Eric,Owen,Barry,George,Frank,Alex,Fred,Quinn,Calvin	M	1,1,1,0.875,1,0.525,1,1,1,1,0.125,0.2,1,0.575,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,watch,laptop,watch,laptop,laptop,electric kettle,watch,laptop,electric kettle,electric kettle,electric kettle,laptop,watch,electric kettle	4	65	28,20,30,13,23,22,5,15,25,7,6,1,29,17,3	1000,10000,10000,1000,1000,500,10000,10000,10000,500,50,50,5000,500,1000	sharp,sharp,sharp,round,round,round,round,round,round,sharp,sharp,round,sharp,sharp,round
A3JIXUMSPOB36C	George,Steve,Owen,Ethan,Luke,Gary,Jake,Calvin,Tom,Bob,Daniel,David,Kenneth,Fred,Robert	F	1,0.9,1,0.5,0.65,0.85,1,1,0.975,0.85,0.275,0.975,0.125,0.75,0.55	chinese	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,watch,watch,laptop,watch,laptop,electric kettle,electric kettle,watch,electric kettle,laptop,electric kettle,watch,laptop,watch	4	45	7,19,15,28,12,30,10,3,20,2,27,4,11,29,18	500,5000,10000,1000,500,10000,10000,1000,10000,500,500,5000,50,5000,1000	sharp,sharp,round,sharp,round,sharp,sharp,round,sharp,round,sharp,round,round,sharp,sharp
