workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPriceRounded, utteredPrice, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, inferredPrice6, inferredPrice7, inferredPrice8, inferredPrice9,  probOpinion, order, buyer, 
AYEIQ08ZWJX3L, F, English, 4, 25, 8, electric kettle, sharp, 1000, 1003, 0.025, 0.025, 0.05, 0.025, 0.575, 0.975, 0.025, 0.025, 0.025, 0.025, 0.75, 1, Harry, 
AYEIQ08ZWJX3L, F, English, 4, 25, 13, watch, round, 1000, 1000, 0.025, 0.025, 0.05, 0.025, 1, 0.025, 0.025, 0, 0.05, 0.025, 0.5, 2, Matt, 
AYEIQ08ZWJX3L, F, English, 4, 25, 17, watch, sharp, 500, 503, 0.05, 0.05, 0.025, 0.975, 0.075, 0.05, 0.025, 0.025, 0.025, 0.025, 0.25, 3, Quinn, 
AYEIQ08ZWJX3L, F, English, 4, 25, 19, watch, sharp, 5000, 5002, 0.075, 0.05, 0.05, 0.05, 0.05, 0.025, 0.05, 0.95, 0.025, 0.025, 0.75, 4, Steve, 
AYEIQ08ZWJX3L, F, English, 4, 25, 4, electric kettle, round, 5000, 5000, 0.025, 0.05, 0.075, 0.025, 0.075, 0.05, 1, 0.075, 0.025, 0.025, 0.75, 5, David, 
AYEIQ08ZWJX3L, F, English, 4, 25, 3, electric kettle, round, 1000, 1000, 0.025, 0.05, 0.025, 0.025, 0.95, 0.05, 0.05, 0.025, 0.075, 0.05, 0.225, 6, Calvin, 
AYEIQ08ZWJX3L, F, English, 4, 25, 2, electric kettle, round, 500, 500, 0.05, 0.025, 0.95, 0.025, 0.05, 0.05, 0.025, 0.025, 0.025, 0.025, 0.25, 7, Bob, 
AYEIQ08ZWJX3L, F, English, 4, 25, 23, laptop, round, 1000, 1000, 0.075, 0.025, 0.05, 0.025, 0.975, 0.025, 0.05, 0.05, 0.025, 0.05, 0.5, 8, Zach, 
AYEIQ08ZWJX3L, F, English, 4, 25, 20, watch, sharp, 10000, 9998, 0.025, 0.05, 0.025, 0.025, 0.05, 0.05, 0.025, 0.05, 0.85, 0.95, 0.95, 9, Tom, 
AYEIQ08ZWJX3L, F, English, 4, 25, 14, watch, round, 5000, 5000, 0.05, 0.05, 0.05, 0.05, 0.025, 0.025, 0.975, 0.875, 0, 0.05, 0.75, 10, Nathan, 
