workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPrice, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, inferredPrice6, inferredPrice7, inferredPrice8, inferredPrice9, inferredPrice10, inferredPrice11, inferredPrice12, inferredPrice13, inferredPrice14, inferredPrice15, probOpinion, order, buyer, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 28, coffee maker, sharp, 197, 9, 9, 10, 9, 13, 27, 38, 40, 16, 15, 6, 4, 3, 3, 1, 1, 0.225, 1, Hal, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 22, coffee maker, round, 1000, 4, 3, 2, 3, 4, 6, 8, 9, 14, 15, 26, 28, 20, 18, 7, 4, 0.1, 2, Barry, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 86, laptop, round, 1000, 2, 3, 4, 5, 5, 5, 5, 10, 19, 21, 35, 31, 21, 21, 2, 0, 0.05, 3, Theodore, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 11, electric kettle, sharp, 97, 10, 12, 16, 20, 24, 34, 12, 8, 5, 5, 3, 3, 2, 2, 2, 2, 0.25, 4, Kevin, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 80, watch, sharp, 9999, 5, 5, 4, 7, 6, 5, 3, 5, 5, 10, 13, 18, 23, 27, 37, 37, 0.125, 5, Rick, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 35, sweater, round, 100, 10, 11, 13, 16, 24, 26, 23, 22, 5, 6, 6, 4, 2, 2, 0, 0, 0.25, 6, Oscar, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 42, sweater, sharp, 51, 20, 21, 29, 34, 20, 20, 20, 19, 15, 16, 6, 6, 3, 2, 2, 0, 0.5, 7, Corey, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 71, watch, round, 2000, 8, 9, 8, 9, 8, 9, 9, 11, 11, 14, 21, 25, 31, 33, 6, 5, 0.2, 8, Douglas, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 90, laptop, sharp, 47, 20, 20, 30, 33, 22, 20, 15, 12, 8, 9, 8, 8, 8, 7, 8, 7, 0.5, 9, Roger, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 2, electric kettle, round, 50, 21, 25, 33, 24, 15, 14, 15, 15, 15, 15, 13, 13, 10, 9, 3, 1, 0.525, 10, Bob, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 4, electric kettle, round, 200, 20, 20, 20, 20, 20, 20, 27, 20, 14, 7, 6, 6, 4, 2, 1, 1, 0.5, 11, Dave, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 8, electric kettle, round, 10000, 1, 0, 0, 1, 0, 1, 4, 4, 4, 4, 10, 11, 13, 16, 20, 18, 0.025, 12, Harry, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 47, sweater, sharp, 1998, 20, 20, 20, 20, 20, 20, 20, 19, 18, 20, 26, 26, 27, 32, 20, 20, 0.5, 13, Henry, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 70, watch, round, 1000, 8, 9, 9, 6, 7, 8, 13, 14, 16, 19, 24, 25, 18, 13, 8, 4, 0.2, 14, John, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 91, laptop, sharp, 103, 12, 15, 18, 24, 28, 28, 24, 15, 12, 7, 5, 4, 4, 4, 3, 3, 0.3, 15, Greg, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 61, headphones, sharp, 497, 8, 7, 8, 8, 10, 11, 13, 17, 22, 31, 7, 6, 5, 4, 3, 2, 0.2, 16, Cyrus, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 30, coffee maker, sharp, 1001, 10, 12, 13, 14, 14, 15, 16, 18, 19, 20, 29, 29, 24, 18, 15, 9, 0.25, 17, Jerry, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 14, electric kettle, sharp, 1001, 8, 8, 8, 8, 10, 11, 15, 16, 22, 23, 30, 30, 28, 25, 7, 5, 0.2, 18, Ned, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 56, headphones, round, 10000, 7, 7, 7, 7, 7, 8, 7, 8, 8, 8, 8, 9, 18, 20, 29, 29, 0.175, 19, Russell, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 29, coffee maker, sharp, 503, 20, 20, 20, 20, 20, 20, 20, 22, 33, 32, 27, 26, 23, 22, 7, 6, 0.5, 20, Irvin, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 74, watch, sharp, 52, 20, 20, 31, 35, 20, 20, 15, 14, 10, 10, 9, 9, 8, 7, 3, 5, 0.5, 21, Howard, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 58, headphones, sharp, 51, 22, 23, 28, 28, 24, 23, 21, 21, 19, 9, 5, 4, 3, 3, 3, 2, 0.55, 22, Tim, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 21, coffee maker, round, 500, 14, 14, 20, 20, 20, 20, 20, 20, 31, 31, 18, 16, 15, 14, 4, 3, 0.35, 23, Albert, 
A2LJ3Z8LJESI7Z, F, English, 4, 25, 10, electric kettle, sharp, 53, 20, 20, 29, 28, 20, 20, 20, 20, 20, 20, 20, 20, 10, 9, 9, 8, 0.5, 24, Jake, 
