workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPrice, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, inferredPrice6, inferredPrice7, inferredPrice8, inferredPrice9, inferredPrice10, inferredPrice11, inferredPrice12, inferredPrice13, inferredPrice14, inferredPrice15, probOpinion, order, buyer, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 14, electric kettle, sharp, 1001, 6, 12, 15, 22, 30, 16, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, Ned, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 52, headphones, round, 200, 25, 25, 28, 26, 30, 16, 5, 4, 0, 1, 1, 1, 0, 1, 0, 1, 0.7, 2, Matt, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 44, sweater, sharp, 197, 28, 28, 33, 30, 11, 8, 6, 5, 1, 1, 0, 1, 1, 0, 1, 0, 0.975, 3, Edward, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 23, coffee maker, round, 2000, 32, 30, 33, 35, 27, 23, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 4, Cameron, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 26, coffee maker, sharp, 49, 21, 22, 37, 34, 17, 13, 6, 6, 0, 1, 0, 0, 0, 1, 0, 1, 0.075, 5, Felix, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 74, watch, sharp, 52, 20, 24, 28, 27, 32, 29, 36, 34, 1, 0, 1, 1, 0, 0, 0, 1, 0, 6, Howard, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 56, headphones, round, 10000, 23, 23, 25, 28, 31, 31, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, Russell, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 42, sweater, sharp, 52, 29, 26, 30, 32, 13, 14, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0.075, 8, Corey, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 73, watch, sharp, 21, 22, 22, 25, 32, 35, 33, 28, 27, 1, 1, 1, 0, 0, 1, 0, 1, 0, 9, Billy, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 3, electric kettle, round, 100, 22, 25, 27, 28, 30, 28, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0.1, 10, Calvin, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 77, watch, sharp, 498, 20, 20, 29, 34, 36, 37, 36, 34, 1, 1, 1, 1, 1, 1, 0, 1, 0.825, 11, Jeff, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 50, headphones, round, 50, 25, 32, 29, 33, 28, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 12, Keith, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 57, headphones, sharp, 21, 37, 36, 32, 30, 29, 24, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 13, Seth, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 96, laptop, sharp, 9999, 2, 3, 1, 3, 3, 8, 22, 28, 28, 31, 25, 23, 4, 3, 0, 0, 1, 14, Leon, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 48, sweater, sharp, 9999, 26, 26, 31, 36, 34, 32, 6, 5, 1, 1, 0, 0, 1, 0, 0, 1, 1, 15, Isaac, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 46, sweater, sharp, 1003, 23, 25, 28, 31, 32, 32, 4, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0.65, 16, Garrett, 
A1Q8L9UA8SAPIQ, M, English, 4, 25, 9, electric kettle, sharp, 18, 20, 20, 28, 26, 23, 23, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 17, Ivan, 
