meaning,logProb,domain
20,-1.3431,coffee maker
21,-1.3431,coffee maker
50,-1.9365,coffee maker
51,-1.9365,coffee maker
100,-3.2951,coffee maker
101,-3.2951,coffee maker
200,-4.2391,coffee maker
201,-4.2391,coffee maker
500,-4.2391,coffee maker
501,-4.2391,coffee maker
1000,-4.2391,coffee maker
1001,-4.2391,coffee maker
2000,-4.2391,coffee maker
2001,-4.2391,coffee maker
10000,-14.5087,coffee maker
10001,-14.5087,coffee maker
20,-1.0865,headphones
21,-1.0865,headphones
50,-2.2639,headphones
51,-2.2639,headphones
100,-3.7372,headphones
101,-3.7372,headphones
200,-4.2727,headphones
201,-4.2727,headphones
500,-4.9664,headphones
501,-4.9664,headphones
1000,-4.9664,headphones
1001,-4.9664,headphones
2000,-4.9664,headphones
2001,-4.9664,headphones
10000,-14.5087,headphones
10001,-14.5087,headphones
20,-1.2791,electric kettle
21,-1.2791,electric kettle
50,-1.8882,electric kettle
51,-1.8882,electric kettle
100,-4.2634,electric kettle
101,-4.2634,electric kettle
200,-4.2634,electric kettle
201,-4.2634,electric kettle
500,-4.2634,electric kettle
501,-4.2634,electric kettle
1000,-4.2634,electric kettle
1001,-4.2634,electric kettle
2000,-4.2634,electric kettle
2001,-4.2634,electric kettle
10000,-14.5087,electric kettle
10001,-14.5087,electric kettle
20,-3.5645,laptop
21,-3.5645,laptop
50,-3.1364,laptop
51,-3.1364,laptop
100,-2.7033,laptop
101,-2.7033,laptop
200,-2.2909,laptop
201,-2.2909,laptop
500,-1.6381,laptop
501,-1.6381,laptop
1000,-2.8634,laptop
1001,-2.8634,laptop
2000,-4.7475,laptop
2001,-4.7475,laptop
10000,-14.5087,laptop
10001,-14.5087,laptop
20,-1.2363,sweater
21,-1.2363,sweater
50,-1.9898,sweater
51,-1.9898,sweater
100,-3.7175,sweater
101,-3.7175,sweater
200,-4.4116,sweater
201,-4.4116,sweater
500,-4.4116,sweater
501,-4.4116,sweater
1000,-4.4116,sweater
1001,-4.4116,sweater
2000,-4.4116,sweater
2001,-4.4116,sweater
10000,-14.5087,sweater
10001,-14.5087,sweater
20,-1.9238,watch
21,-1.9238,watch
50,-1.5818,watch
51,-1.5818,watch
100,-2.133,watch
101,-2.133,watch
200,-4.3926,watch
201,-4.3926,watch
500,-4.7436,watch
501,-4.7436,watch
1000,-5.4274,watch
1001,-5.4274,watch
2000,-5.4274,watch
2001,-5.4274,watch
10000,-14.5087,watch
10001,-14.5087,watch
