sweater,headphones,laptop,coffee maker,watch,electric kettle
32.99,18.99,640,49.99,125.99,35.99
25,10,400,35,30,45
45,300,800,19.99,100,15
50,40,700,35,300,45
29.99,99.99,650.99,29.99,49.99,49.99
60,19,399.99,39.99,49.99,29
65,25,499.99,85,50,29.99
21.22,44.99,800,30.99,30.5,28.99
30,125,500,20,50,20
12.99,9.99,699.99,29.99,19.99,24.99
25.99,21.99,800,45.95,39.99,59.99
25,9.99,329.99,30,100,29.5
50,35,800,75,250,65
29.99,12.49,499.99,50,99,85.99
32.99,15.99,500.5,35.99,29.99,20.99
35.99,19.99,699.99,49.99,60,25
15,10,1000,23,50,25
34.99,14.99,699.99,29.99,74.99,19.99
45,25,500,30,150,40
10.99,24.99,299.99,50,24.99,55
15,25,300,35,50,40
45.99,24.99,424.99,10.99,49.99,15.95
18,20,800,35.5,116,35
17.99,14.99,550,14.99,29.99,24.99
45,11.99,650,19.99,40,60
30.5,25.99,1220.99,30,25,45.73
50,20,800,30,50,50
29,14.59,799,39.99,40.95,19.99
49.98,8.99,499.99,111.98,50.22,45.99
19.99,29.99,750,34.99,79.99,39.99
24.99,59.99,599.99,24.99,69.99,29.99
40,30,650,32.99,800,25
50,59.99,599.99,49.99,100,39.99
49.99,29.99,1000,19.99,75.99,14.99
20,25,900,8.5,80,15
20,25,450,30,60,29.99
20,19.99,450.5,25.5,15.5,10.99
24.99,19.99,599.99,19.99,19.99,34.99
19.99,29.99,599.99,39.99,59.99,19.99
30.99,15.25,600.99,100,20,40
12,6,300,30,25,55
18.47,28.5,400,60.38,22.25,40
45,27.99,529.99,24.99,39.99,34.99
19.99,49.99,999.99,24.99,129.99,14.99
40,50,1000,40,80,30
19.95,24.95,499.95,19.95,99.95,24.95
17.5,35,750,30,125,25
34.99,19.99,899.99,35.99,50,49.99
39.5,24.99,425,109.99,125,34.99
34.99,60,399.99,39.99,89.99,24.99
19.99,30.48,398.99,58.75,80.95,24.98
15,20,700,40,20,25
35,29.99,400,39.99,299.99,50
20.99,25.99,700,35.99,99.99,15.99
45,50,399.99,30,50,40
35.99,10.13,678.65,35.21,199.78,25.5
29.99,19.99,800,39.99,129.99,35.99
30.99,20.99,379.99,20.59,25.99,13
30,25,800,60,50,25
34.99,20.5,299.99,30.99,64.99,21.99
30,15,500,20,50,20
25,19.99,499,35.99,30.99,30
45,25,299,45.99,89,15
50,25,600.5,40,66,50
40,8.99,1000,70,50,35
25.99,89.99,1699.99,45,25.5,30
25.99,9.99,599.99,49.5,79.99,19.99
59.99,3.99,399.99,30.99,100,45.5
35.66,70.79,752.43,70.99,25.7,49.97
10,25,250.99,20.5,100,30.99
14.99,30,500,60,20,50
40.99,30.2,525.99,15.99,30.99,10.5
38.99,49.99,500,40,50,30
40,30,500,15,40,15
49.99,19.99,500,29.99,50,30
25,35,600,38.99,54.99,24.99
40,10,900,25,50,30
39.99,19.99,599.99,29.99,139.99,49.99
15,20,350,20,30,25
20,20,400,30,20,20
19.99,49.99,399.99,29.95,19.95,25
30,35,500,55,400,15
25,39.99,349.99,49.99,85,35
20,20,500,40,50,15
39.99,9.95,599.99,29.95,55.95,19.99
25,30,1500,15.99,50,15
45.99,69.99,800.59,79.99,75,35
29.99,50,300,79.99,49.99,10
29.99,9.99,349.99,24.99,39.99,19.99
35,50,900,35,100,40
14.99,49.99,649.98,70.41,199.99,9.99
45,30,500,15,100,25
20.99,12.99,699.99,45.99,65.99,25.99
14.99,49,899,24.99,39.99,23.99
24.99,39.99,700.99,50.99,29.99,40.99
35,35,600,30,30,20
25,10,995,20,30,25
20,15,300,25,20,15
35,30,400.5,25,65,45
10.5,10,450,20,25,25
40,14.99,600,29.99,65,19.99
15.95,19.99,594.96,25.99,35.99,75.95
29.99,39.89,549.55,29.99,65.99,59.99
38,10,350,25,65,25
29.98,14.99,278.99,35.99,4.99,24.99
19.99,15,499,23.18,25,50
12.99,9.99,699.99,27.89,19.99,24.99
50,35,800,75,250,40
39.99,9.99,299.99,29.99,29.99,49.99
20.99,9.99,499.99,19.99,14.99,29.99
50,80,799,40,150,18.99
20,20,500,35,100,75
45.99,27.99,469.99,24.99,75.99,49.99
19.99,9.99,599.99,19.99,99.99,24.99
31.89,23.99,237.47,14.99,87.11,15.49
35,24.99,350.99,44.77,45.99,45
19.99,4.99,650.98,15.99,19.99,50.99
19.98,15.99,325,25.95,15,19.95
50,25,700,75,35,15
24.99,15.89,1299.99,89.99,55,21.99
25,20,400,60,20,30
24.99,9.99,249.99,39.99,20.99,24.99
20.99,50.5,500.99,20.99,20.5,40.79
135,100,1200,149.99,129.99,39.99
40,17,575,73,60,25
45.99,29.99,1059.99,45.99,30.5,36.5
