utterance,meaning,valence,probability
50,50,0,0.48975377674340204
50,50,1,0.18870674634286397
50,51,0,0.23282646170985427
50,51,1,0.0724407602723463
50,500,0,0.00369491190505215
50,500,1,0.001756254627597743
50,501,0,0.0037295733675760906
50,501,1,0.0017727298117215476
50,1000,0,0.000793017601385494
50,1000,1,0.0008287762325880121
50,1001,0,0.0007503440084858258
50,1001,1,0.0007841784084128728
50,5000,0,0.00017767998943041944
50,5000,1,0.00044378487885491497
50,5001,0,0.00017609356095336242
50,5001,1,0.0004398225138651384
50,10000,0,0.00003762101817021621
50,10000,1,0.000340616943039637
50,10001,0,0.00005439183349910779
50,10001,1,0.0004924582309006804
51,50,0,0.1963122427963441
51,50,1,0.061079861861486666
51,51,0,0.5172947172743652
51,51,1,0.21270227219223425
51,500,0,0.0028635359050845945
51,500,1,0.0013610874396547037
51,501,0,0.0028903983432185983
51,501,1,0.0013738556145107504
51,1000,0,0.0006145841723117813
51,1000,1,0.0006422969099889866
51,1001,0,0.0005815123782860359
51,1001,1,0.0006077338475680548
51,5000,0,0.00013770099055768306
51,5000,1,0.00034393078032444427
51,5001,0,0.00013647151742770397
51,5001,1,0.00034085996978583334
51,10000,0,0.00002915607708236645
51,10000,1,0.000263976211432946
51,10001,0,0.00004215336445643343
51,10001,1,0.0003816523538789584
500,50,0,0.14203740997732398
500,50,1,0.0675128027338319
500,51,0,0.13055281559152368
500,51,1,0.062053979207196255
500,500,0,0.0796393141773647
500,500,1,0.3037158730163381
500,501,0,0.03547659103605303
500,501,1,0.13556225712492076
500,1000,0,0.001177270126725072
500,1000,1,0.010079808064038728
500,1001,0,0.0011139192678878492
500,1001,1,0.00953739686776758
500,5000,0,0.0002637738977140009
500,5000,1,0.005397435670436134
500,5001,0,0.00026141877362726866
500,5001,1,0.005349244280521529
500,10000,0,0.00005585008548536221
500,10000,1,0.00414267841450744
500,10001,0,0.00008074711154510172
500,10001,1,0.00598941457519147
501,50,0,0.11662301917397029
501,50,1,0.05543290946359237
501,51,0,0.10719333391376816
501,51,1,0.050950819281042684
501,500,0,0.0288581409910169
501,500,1,0.11027200232389323
501,501,0,0.10287727794557282
501,501,1,0.39211775064202026
501,1000,0,0.0009666241913585968
501,1000,1,0.008276253765187647
501,1001,0,0.00091460853980567
501,1001,1,0.007830894818182029
501,5000,0,0.00021657750824662228
501,5000,1,0.004431686298588784
501,5001,0,0.00021464378049442022
501,5001,1,0.004392117670922811
501,10000,0,0.00004585697240936117
501,10000,1,0.0034014395520435437
501,10001,0,0.0000662992372183535
501,10001,1,0.004917743930665357
1000,50,0,0.12290429918684316
1000,50,1,0.1284462814835136
1000,51,0,0.11296673397316269
1000,51,1,0.11806061306391924
1000,500,0,0.004746371370809151
1000,500,1,0.04063851730570362
