utterance,meaning,valence,probability
50,50,0,0.4123569998911299
50,50,1,0.15749996718005363
50,51,0,0.2917007861274581
50,51,1,0.10418371747868575
50,500,0,0.005162680323423776
50,500,1,0.008852670675039715
50,501,0,0.00483200378344902
50,501,1,0.007492193798348447
50,1000,0,0.0008368973500368813
50,1000,1,0.0019075793839939065
50,1001,0,0.0007733070682377728
50,1001,1,0.001649581849863369
50,5000,0,0.00017051775242144733
50,5000,1,0.0006814341298492178
50,5001,0,0.0001674112847721627
50,5001,1,0.0006436568313868373
50,10000,0,0.00003465554907914554
50,10000,1,0.0004179258886021579
50,10001,0,0.00004985524332562726
50,10001,1,0.000586158410842951
51,50,0,0.248057876676309
51,50,1,0.07751749659388192
51,51,0,0.4397548455942933
51,51,1,0.16966709544193492
51,500,0,0.008208910621172837
51,500,1,0.019306210066006902
51,501,0,0.007404566415765037
51,501,1,0.016131406044095135
51,1000,0,0.0011314851455304972
51,1000,1,0.0038332959315341567
51,1001,0,0.0010274601997390409
51,1001,1,0.003265866741375857
51,5000,0,0.00021400833958028662
51,5000,1,0.0012621397151781752
51,5001,0,0.00020841508338555553
51,5001,1,0.0011771903165041881
51,10000,0,0.000041944401404632085
51,10000,1,0.0007244047290500437
51,10001,0,0.00006006324729161645
51,10001,1,0.001005318695967019
500,50,0,0.12134392220664184
500,50,1,0.062495754347974615
500,51,0,0.11153252302703227
500,51,1,0.05744258990604562
500,500,0,0.05929215363851746
500,500,1,0.22769574344364443
500,501,0,0.04878230532762129
500,501,1,0.1876955749327157
500,1000,0,0.0048110389244139405
500,1000,1,0.041188875261970764
500,1001,0,0.004010518949636541
500,1001,1,0.03443786870678317
500,5000,0,0.0005818959392297638
500,5000,1,0.012130362053232006
500,5001,0,0.0005304641375063983
500,5001,1,0.011096940663510975
500,10000,0,0.00008091225111110476
500,10000,1,0.006242728438821092
500,10001,0,0.0001097084891229933
500,10001,1,0.008498119354467728
501,50,0,0.12475262850563704
501,50,1,0.07868199768220939
501,51,0,0.11466561454798742
501,51,1,0.0723200763476193
501,500,0,0.025180940264081027
501,500,1,0.10243058797420405
501,501,0,0.05905152424609237
501,501,1,0.2314607882906073
501,1000,0,0.007473878874814115
501,1000,1,0.06566246702261505
501,1001,0,0.006155069903669136
501,1001,1,0.05445499295071038
501,5000,0,0.0008350842583092985
501,5000,1,0.01836363762553231
501,5001,0,0.0007493801735875724
501,5001,1,0.016634059523842927
501,10000,0,0.000105237874467824
501,10000,1,0.00890304863106236
501,10001,0,0.0001398425538443978
501,10001,1,0.011979142749106893
1000,50,0,0.11092444924129395
1000,50,1,0.13125323405374434
1000,51,0,0.1019555282562666
1000,51,1,0.12064060633001707
1000,500,0,0.004283728345428056
1000,500,1,0.04152659588052988
1000,501,0,0.00432391341433451
1000,501,1,0.041916151188977575
1000,1000,0,0.01738154754705202
1000,1000,1,0.1574187327477595
1000,1001,0,0.014103056636204496
1000,1001,1,0.1293306587772353
1000,5000,0,0.001748481924999609
1000,5000,1,0.04135598580850104
1000,5001,0,0.0015328462881895643
1000,5001,1,0.03698457123863344
1000,10000,0,0.00018723934459802922
1000,10000,1,0.018470777095376104
1000,10001,0,0.0002392432119522793
1000,10001,1,0.024422652668906537
1001,50,0,0.10207967347680434
1001,50,1,0.15087010961752462
1001,51,0,0.09382590677475594
1001,51,1,0.13867133737734433
1001,500,0,0.003942156970402521
1001,500,1,0.04773308724699923
1001,501,0,0.003979137805021678
1001,501,1,0.04818086480091098
1001,1000,0,0.006447994518099596
1001,1000,1,0.06942484242390166
1001,1001,0,0.015450431633957186
1001,1001,1,0.14396293975283914
1001,5000,0,0.0025501677692982344
1001,5000,1,0.059293392874793176
1001,5001,0,0.00222128449211084
1001,5001,1,0.05263913675328068
1001,10000,0,0.00025993697862202294
1001,10000,1,0.025199456905617368
1001,10001,0,0.00032766006157458394
1001,10001,1,0.032940481766141914
5000,50,0,0.07154323966566924
5000,50,1,0.19475324301978014
5000,51,0,0.06575853063205983
5000,51,1,0.17900625071853749
5000,500,0,0.002762887765283489
5000,500,1,0.06161706625829478
5000,501,0,0.0027888060370028452
5000,501,1,0.06219508751775338
5000,1000,0,0.0005929826433822689
5000,1000,1,0.02907708212363607
5000,1001,0,0.0005610732634693217
5000,1001,1,0.027512396090077194
5000,5000,0,0.0045720449736813985
5000,5000,1,0.10439089018133056
5000,5001,0,0.003955565696939657
5000,5001,1,0.09194084227192814
5000,10000,0,0.00044146980147510004
5000,10000,1,0.04192952565409849
5000,10001,0,0.000547717326499056
5000,10001,1,0.054053298359101457
5001,50,0,0.062324680085431954
5001,50,1,0.209169939132539
5001,51,0,0.05728534804523055
5001,51,1,0.19225726866760118
5001,500,0,0.002406881445234264
5001,500,1,0.06617829720793982
5001,501,0,0.002429460070424083
5001,501,1,0.06679910675022806
5001,1000,0,0.0005165750631047829
5001,1000,1,0.03122952616165198
5001,1001,0,0.0004887773018614765
5001,1001,1,0.029549013543087786
5001,5000,0,0.0015972887827931154
5001,5000,1,0.04636587250189555
5001,5001,0,0.004171972062251777
5001,5001,1,0.09775254306491359
5001,10000,0,0.0006232170804148688
5001,10000,1,0.05625908186540252
5001,10001,0,0.0007698740290197749
5001,10001,1,0.07182527713897359
10000,50,0,0.03732601158763498
10000,50,1,0.23889122891260567
10000,51,0,0.03430797497888449
10000,51,1,0.21957541016580753
10000,500,0,0.0014414720555601726
10000,500,1,0.07558167685525252
10000,501,0,0.0014549943074885065
10000,501,1,0.07629069821411973
10000,1000,0,0.000309374821738385
10000,1000,1,0.035666979270803104
10000,1001,0,0.0002927268492681584
10000,1001,1,0.03374767993784511
10000,5000,0,0.00006931714373107952
