utterance,meaning,valence,probability
50,50,0,0.629568047727452
50,50,1,0.06995200530305022
50,51,0,0.25059801179998425
50,51,1,0.027844223533331585
50,500,0,0.005474619508998668
50,500,1,0.0006082910565554084
50,501,0,0.005525976164805404
50,501,1,0.0006139973516450458
50,1000,0,0.0022905068489806825
50,1000,1,0.00025450076099785306
50,1001,0,0.002167250875044499
50,1001,1,0.0002408056527827227
50,5000,0,0.0011503890900710157
50,5000,1,0.00012782101000789032
50,5001,0,0.0011401177589096668
50,5001,1,0.00012667975098996283
50,10000,0,0.0008525204863919131
50,10000,1,0.00009472449848799022
50,10001,0,0.001232559739361801
50,10001,1,0.0001369510821513112
51,50,0,0.21646092842143885
51,50,1,0.02405121426904877
51,51,0,0.66779219587776
51,51,1,0.07419913287530668
51,500,0,0.00434649650363907
51,500,1,0.0004829440559598965
51,501,0,0.004387270392040932
51,501,1,0.0004874744880045487
51,1000,0,0.0018185154227232873
51,1000,1,0.0002020572691914761
51,1001,0,0.001720658090558805
51,1001,1,0.00019118423228431174
51,5000,0,0.0009133351002018314
51,5000,1,0.00010148167780020336
51,5001,0,0.0009051803225214577
51,5001,1,0.00010057559139127295
51,10000,0,0.0006768465474709999
51,10000,1,0.00007520517194122212
51,10001,0,0.0009785733216448194
51,10001,1,0.00010873036907164645
500,50,0,0.18832724142447335
500,50,1,0.02092524904716372
500,51,0,0.17309983070287516
500,51,1,0.01923331452254168
500,500,0,0.34795597652717297
500,500,1,0.038661775169685934
500,501,0,0.15210055952025917
500,501,1,0.0169000621689177
500,1000,0,0.009987389973283616
500,1000,1,0.0011097099970315105
500,1001,0,0.009449951947815425
500,1001,1,0.001049994660868383
500,5000,0,0.005016088237702983
500,5000,1,0.0005573431375225523
500,5001,0,0.004971301735580634
500,5001,1,0.0005523668595089586
500,10000,0,0.0037172796761548886
500,10000,1,0.00041303107512832035
500,10001,0,0.005374380254681762
500,10001,1,0.0005971533616313067
501,50,0,0.15972777272187716
501,50,1,0.017747530302430772
501,51,0,0.1468128041783722
501,51,1,0.016312533797596906
501,500,0,0.1278035848534008
501,500,1,0.01420039831704456
501,501,0,0.43298856487160203
501,501,1,0.04810984054128916
501,1000,0,0.008470699956475286
501,1000,1,0.0009411888840528083
501,1001,0,0.008014877537292757
501,1001,1,0.0008905419485880846
501,5000,0,0.0042543425790369195
501,5000,1,0.0004727047310041016
501,5001,0,0.004216357377438375
501,5001,1,0.00046848415304870774
501,10000,0,0.003152771732679145
501,10000,1,0.0003503079702976824
501,10001,0,0.004558224191825271
501,10001,1,0.0005064693546472517
1000,50,0,0.2674658065377389
1000,50,1,0.029718422948637673
1000,51,0,0.24583955820888503
1000,51,1,0.027315506467653884
1000,500,0,0.033902324586115314
1000,500,1,0.003766924954012818
1000,501,0,0.0342203576497749
1000,501,1,0.003802261961086105
1000,1000,0,0.20675550324805989
1000,1000,1,0.022972833694228888
1000,1001,0,0.08472003274562659
1000,1001,1,0.009413336971736302
1000,5000,0,0.007123940625975456
1000,5000,1,0.0007915489584417155
1000,5001,0,0.007060334013243531
1000,5001,1,0.000784481557027058
1000,10000,0,0.005279348856749667
1000,10000,1,0.0005865943174166289
1000,10001,0,0.007632793527830838
1000,10001,1,0.0008480881697589818
1001,50,0,0.24502678817112067
1001,50,1,0.02722519868568004
1001,51,0,0.2252148718861786
1001,51,1,0.02502387465401984
1001,500,0,0.031058092293747272
1001,500,1,0.0034508991437496956
1001,501,0,0.031349444003819914
1001,501,1,0.003483271555979995
1001,1000,0,0.08202643207458601
1001,1000,1,0.009114048008287343
1001,1001,0,0.2605012058723556
1001,1001,1,0.028944578430261752
1001,5000,0,0.006526278305627948
1001,5000,1,0.00072514203395866
1001,5001,0,0.006468007963613412
1001,5001,1,0.0007186675515126004
1001,10000,0,0.004836438387206425
1001,10000,1,0.0005373820430229355
1001,10001,0,0.006992441041744231
1001,10001,1,0.0007769378935271358
5000,50,0,0.3124782470833172
5000,50,1,0.034719805231479675
5000,51,0,0.28721246729536787
5000,51,1,0.03191249636615195
5000,500,0,0.0396078253734621
5000,500,1,0.0044008694859402325
5000,501,0,0.03997938095857897
5000,501,1,0.004442153439842114
5000,1000,0,0.016571379096213985
5000,1000,1,0.0018412643440237722
5000,1001,0,0.015679645691933388
5000,1001,1,0.0017421828546592666
5000,5000,0,0.12131702693605984
5000,5000,1,0.013479669659562207
5000,5001,0,0.05206887080932038
5000,5001,1,0.005785430089924485
5000,10000,0,0.006167822712940631
5000,10000,1,0.0006853136347711803
5000,10001,0,0.008917334042805723
5000,10001,1,0.0009908148936450803
5001,50,0,0.29481617808159155
5001,50,1,0.032757353120176795
5001,51,0,0.2709784847289777
5001,51,1,0.030108720525441952
5001,500,0,0.03736908987336225
5001,500,1,0.004152121097040248
5001,501,0,0.03771964418737123
5001,501,1,0.004191071576374587
5001,1000,0,0.015634722404802584
5001,1000,1,0.001737191378311396
5001,1001,0,0.014793392051180916
5001,1001,1,0.0016437102279089914
5001,5000,0,0.049568380000876426
5001,5000,1,0.005507597777875159
5001,5001,0,0.16488760352307102
5001,5001,1,0.018320844835896778
5001,10000,0,0.005819201612549846
5001,10000,1,0.0006465779569499821
5001,10001,0,0.008413303536216648
5001,10001,1,0.0009348115040240707
10000,50,0,0.3216651546532924
10000,50,1,0.0357405727392547
10000,51,0,0.295656557130791
10000,51,1,0.03285072857008784
10000,500,0,0.04077230141027466
10000,500,1,0.004530255712252738
10000,501,0,0.04115478078560552
10000,501,1,0.004572753420622842
10000,1000,0,0.017058580139758448
10000,1000,1,0.0018953977933064902
10000,1001,0,0.01614062963896425
10000,1001,1,0.0017934032932182512
10000,5000,0,0.008567538007412317
10000,5000,1,0.0009519486674902552
10000,5001,0,0.008491042132346133
10000,5001,1,0.0009434491258162359
10000,10000,0,0.0925477907389231
10000,10000,1,0.010283087859880335
10000,10001,0,0.057945625362632334
10000,10001,1,0.006438402818070265
10001,50,0,0.294183091954079
10001,50,1,0.032687010217119845
10001,51,0,0.2703965874916801
10001,51,1,0.030044065276853337
10001,500,0,0.03728884376017219
10001,500,1,0.004143204862241352
10001,501,0,0.037638645296383895
10001,501,1,0.004182071699598216
10001,1000,0,0.015601148515043892
10001,1000,1,0.0017334609461159855
10001,1001,0,0.014761624828135695
10001,1001,1,0.0016401805364595224
10001,5000,0,0.007835554411143128
10001,5000,1,0.0008706171567936798
10001,5001,0,0.0077655941039007775
10001,5001,1,0.0008628437893223076
10001,10000,0,0.036654828475788416
10001,10000,1,0.004072758719532044
10001,10001,0,0.1778740811636731
10001,10001,1,0.019763786795963703
