utterance,meaning,valence,probability
50,50,0,0.5097233158695382
50,50,1,0.20201588485265612
50,51,0,0.2087293995427886
50,51,1,0.0649432898779047
50,500,0,0.0033124960867469727
50,500,1,0.0015744858688766696
50,501,0,0.0033435701588552954
50,501,1,0.0015892559051700716
50,1000,0,0.0007109419030313373
50,1000,1,0.0007429995891060212
50,1001,0,0.0006726849396395172
50,1001,1,0.0007030175484366381
50,5000,0,0.00015929047425372944
50,5000,1,0.0003978540523670847
50,5001,0,0.00015786823787646394
50,5001,1,0.0003943017840423788
50,10000,0,0.00003372731980372319
50,10000,1,0.00030536378671322913
50,10001,0,0.000048762390077672
50,10001,1,0.0004414898121155117
51,50,0,0.23495596889449424
51,50,1,0.07310332722598145
51,51,0,0.48473497291105766
51,51,1,0.19211239004165728
51,500,0,0.0034272180046422125
51,500,1,0.0016290151524882524
51,501,0,0.0034593682673499273
51,501,1,0.0016442967205228512
51,1000,0,0.0007355640056669188
51,1000,1,0.0007687319479150321
51,1001,0,0.0006959820860794622
51,1001,1,0.0007273652063231911
51,5000,0,0.00016480719283399985
51,5000,1,0.0004116329606992506
51,5001,0,0.0001633357000408391
51,5001,1,0.0004079576664072933
51,10000,0,0.00003489540052352534
51,10000,1,0.00031593947294804596
51,10001,0,0.00005045118147979559
51,10001,1,0.00045677996088874085
500,50,0,0.13258391521638896
500,50,1,0.06301939548962623
500,51,0,0.1218636937720198
500,51,1,0.05792389145479323
500,500,0,0.08818253579150169
500,500,1,0.3362142932355234
500,501,0,0.033115397829638564
500,501,1,0.12653972504893063
500,1000,0,0.001098915297691104
500,1000,1,0.009408932604257854
500,1001,0,0.0010397808422099668
500,1001,1,0.008902622329589273
500,5000,0,0.00024621806393395067
500,5000,1,0.0050382019316549415
500,5001,0,0.0002440196883631118
500,5001,1,0.004993217985836592
500,10000,0,0.000052132906394178125
500,10000,1,0.00386695676699192
500,10001,0,0.00007537287671447428
500,10001,1,0.005590780867940127
501,50,0,0.13225362173396518
501,50,1,0.06286240136584782
501,51,0,0.12156010654025574
501,51,1,0.05777959126730129
