utterance,meaning,valence,probability
50,50,0,0.6284930829035468
50,50,1,0.24821235839280523
50,51,0,0.0991868681478823
50,51,1,0.005754609964869934
50,500,0,0.004167401276283454
50,500,1,0.001980836881800096
50,501,0,0.004206495096886486
50,501,1,0.001999418841291654
50,1000,0,0.000894425266164094
50,1000,1,0.0009347565566362073
50,1001,0,0.000846294758567819
50,1001,1,0.0008844557553822398
50,5000,0,0.0002004009388450924
50,5000,1,0.0005005341718719992
50,5001,0,0.00019861164474826155
50,5001,1,0.0004960651167659985
50,10000,0,0.00004243183143913937
50,10000,1,0.0003841735661427411
50,10001,0,0.00006134722617706885
50,10001,1,0.0005554316618931188
51,50,0,0.07198726508476072
51,50,1,0.004176547165324951
51,51,0,0.6407184494639135
51,51,1,0.2708745658408026
51,500,0,0.002780035330918141
51,500,1,0.001321398193048744
51,501,0,0.002806114461602178
51,501,1,0.0013337940485182453
51,1000,0,0.0005966629263548079
51,1000,1,0.0006235675618868064
51,1001,0,0.0005645555043088085
51,1001,1,0.0005900123567628526
51,5000,0,0.00013368563606031556
51,5000,1,0.00033390177472349635
51,5001,0,0.00013249201430977684
51,5001,1,0.0003309205088777513
51,10000,0,0.000028305887227056486
51,10000,1,0.0002562786773521624
51,10001,0,0.00004092417430417792
51,10001,1,0.0003705233889428848
500,50,0,0.15487538575848767
500,50,1,0.0736149115131584
500,51,0,0.142352762415352
500,51,1,0.06766269512446069
500,500,0,0.10068347371455405
500,500,1,0.3838883878085678
500,501,0,0.006037151976969749
500,501,1,0.023509163663618923
500,1000,0,0.0012836770611883055
500,1000,1,0.010990866156590319
500,1001,0,0.0012146002686579916
500,1001,1,0.01039942941273792
500,5000,0,0.00028761496121337165
500,5000,1,0.005885280023754821
500,5001,0,0.00028504697048825243
500,5001,1,0.0058327328806855845
500,10000,0,0.00006089806576711671
500,10000,1,0.004517112200388832
500,10001,0,0.00008804539628980706
500,10001,1,0.006530764627068187
501,50,0,0.11288884963717846
501,50,1,0.053657995014276816
501,51,0,0.10376109485081919
501,51,1,0.049319417533931036
501,500,0,0.004359590409338925
501,500,1,0.01697660168742937
