utterance,meaning,valence,probability
50,50,0,0.5021089771863116
50,50,1,0.2333663079847909
50,51,0,0.18059102281368822
50,51,1,0.08393369201520917
51,50,0,0.15195603959347873
51,50,1,0.07062494706754184
51,51,0,0.5307439604065213
51,51,1,0.2466750529324583
500,500,0,0.14910660195310213
500,500,1,0.5677520612829661
500,501,0,0.058893398046897874
500,501,1,0.22424793871703397
501,500,0,0.04301388996663303
501,500,1,0.1637836579498719
501,501,0,0.164986110033367
501,501,1,0.628216342050128
1000,1000,0,0.07786913773477516
1000,1000,1,0.651925967558338
1000,1001,0,0.02883086226522482
1000,1001,1,0.241374032441662
1001,1000,0,0.023218286494925838
1001,1000,1,0.1943851483216237
1001,1001,0,0.08348171350507415
1001,1001,1,0.6989148516783762
5000,5000,0,0.03429862937062936
5000,5000,1,0.6862608111888111
5000,5001,0,0.013301370629370632
5000,5001,1,0.2661391888111889
5001,5000,0,0.009987261146496802
5001,5000,1,0.19982914949419253
5001,5001,0,0.03761273885350317
5001,5001,1,0.7525708505058075
10000,10000,0,0.00868598193375707
10000,10000,1,0.6299891602542657
10000,10001,0,0.004914018066242864
10000,10001,1,0.3564108397457344
10001,10000,0,0.0020942486085343127
10001,10000,1,0.15189461966604834
10001,10001,0,0.011505751391465624
10001,10001,1,0.8345053803339517
