utterance,meaning,valence,probability
50,50,0,0.22188165374029958
50,50,1,0.007779524425743179
50,51,0,0.10538743421890477
50,51,1,0.0030495551734062705
50,500,0,0.19340747172632036
50,500,1,0.0034646086307261225
50,501,0,0.18732122261605158
50,501,1,0.003355582485003976
50,1000,0,0.12411136929422834
50,1000,1,0.00618128014269543
50,1001,0,0.11123243241539496
50,1001,1,0.005539853678376641
50,5000,0,0.009794993831836166
50,5000,1,0.002454242528845176
50,5001,0,0.008764802493930192
50,5001,1,0.0021961168538581193
50,10000,0,0.0011036599645001801
50,10000,1,0.0009108203312842358
50,10001,0,0.0011304478277162065
50,10001,1,0.0009329276208785127
51,50,0,0.09746930183021824
51,50,1,0.002820431257745904
51,51,0,0.2934420846945657
51,51,1,0.010869188902567512
51,500,0,0.1739753666199191
51,500,1,0.00311651122547137
51,501,0,0.1685006173206909
51,501,1,0.0030184391939005913
51,1000,0,0.1116416071309674
51,1000,1,0.005560232339563321
51,1001,0,0.10005664743333793
51,1001,1,0.004983251505816166
51,5000,0,0.008810867686357526
51,5000,1,0.002207658990208139
51,5001,0,0.00788418210331826
51,5001,1,0.001975467810937499
51,10000,0,0.0009927726433410359
51,10000,1,0.000819308063156314
51,10001,0,0.0010168690667231022
51,10001,1,0.000839194181194088
500,50,0,0.006624906586460744
500,50,1,0.00011867539724465904
500,51,0,0.006443402296420719
500,51,1,0.0001154240164982299
500,500,0,0.38993736797770995
500,500,1,0.22348016731756512
500,501,0,0.1738562662579029
500,501,1,0.09264122594831929
500,1000,0,0.02516578298917174
500,1000,1,0.018611836889067482
500,1001,0,0.02255434994748476
500,1001,1,0.016680501558093988
500,5000,0,0.001986108851703146
500,5000,1,0.0073897251990848005
500,5001,0,0.0017772192729764362
500,5001,1,0.006612508692336304
500,10000,0,0.000223786646770484
500,10000,1,0.002742480368106474
500,10001,0,0.00022921836149792299
500,10001,1,0.002809045425584785
501,50,0,0.0050304076635079254
501,50,1,0.00009011230875155791
501,51,0,0.0048925882754666085
501,51,1,0.00008764347837480281
501,500,0,0.13630131167816273
501,500,1,0.07262965485234547
