utterance,meaning,valence,probability
50,50,0,0.06580040392430107
50,50,1,0.0025166380634322983
50,51,0,0.052405097845041396
50,51,1,0.0019734646319957915
50,500,0,0.18259395141601223
50,500,1,0.09552614571205371
50,501,0,0.16101229757775085
50,501,1,0.08290055178468834
50,1000,0,0.0729681631960142
50,1000,1,0.09577415214961599
50,1001,0,0.06020183389908357
50,1001,1,0.07706281194316555
50,5000,0,0.0035250349089559416
50,5000,1,0.01904768404916197
50,5001,0,0.002948520091989776
50,5001,1,0.015295992209659423
50,10000,0,0.0002885431021471265
50,10000,1,0.004028548546688744
50,10001,0,0.00028548256399271396
50,10001,1,0.003844682384249293
51,50,0,0.020962868926826247
51,50,1,0.0006841096457073635
51,51,0,0.04229473062616507
51,51,1,0.00156149801197596
51,500,0,0.1938541403297816
51,500,1,0.1025131071603548
51,501,0,0.17075696927853823
51,501,1,0.08896227770092034
51,1000,0,0.07695260158662523
51,1000,1,0.10276547059152323
51,1001,0,0.06339191720694115
51,1001,1,0.08268535846683998
51,5000,0,0.0036757024466668575
51,5000,1,0.020431891253530145
51,5001,0,0.0030682528643745594
51,5001,1,0.016406414932079547
51,10000,0,0.00029755326242036066
51,10000,1,0.004319311601871855
51,10001,0,0.0002939734588277512
51,10001,1,0.004121850648029673
500,50,0,0.007444314261369379
500,50,1,0.0001353347294893813
500,51,0,0.00724036044598939
500,51,1,0.00013162692868145292
500,500,0,0.20367113819283408
500,500,1,0.10884903205905908
500,501,0,0.17921151218973458
500,501,1,0.09445884542453103
500,1000,0,0.08031141936636255
500,1000,1,0.10910275466497757
500,1001,0,0.06605661087023743
500,1001,1,0.0877813755030963
500,5000,0,0.003792179428553335
500,5000,1,0.021685431750632218
500,5001,0,0.0031587898449136516
500,5001,1,0.01741179868647637
500,10000,0,0.00030344950198990013
500,10000,1,0.004582249714994551
500,10001,0,0.00029934326505356567
500,10001,1,0.0043724331710240935
501,50,0,0.007589613253714592
501,50,1,0.00017073036702682876
501,51,0,0.007381678644023775
501,51,1,0.00016605282272472385
501,500,0,0.09869817455414902
501,500,1,0.04767120634436172
501,501,0,0.18964665181332782
501,501,1,0.10330519643522441
501,1000,0,0.10501522632340335
501,1000,1,0.15544380586017384
501,1001,0,0.08544862537977413
501,1001,1,0.12467206625965607
501,5000,0,0.004560029391731991
501,5000,1,0.030043519851772563
