utterance,meaning,valence,probability
50,50,0,0.20369008758843776
50,50,1,0.022632231954270894
50,51,0,0.08579398254139398
50,51,1,0.009532664726821564
50,500,0,0.12774382228261674
50,500,1,0.014193758031401894
50,501,0,0.12372391179120565
50,501,1,0.013747101310133993
50,1000,0,0.13712361342924245
50,1000,1,0.01523595704769364
50,1001,0,0.12289440645170825
50,1001,1,0.013654934050189823
50,5000,0,0.03822105371992382
50,5000,1,0.004246783746658209
50,5001,0,0.03420114322851275
50,5001,1,0.0038001270253903104
50,10000,0,0.013144469225883656
50,10000,1,0.0014604965806537386
50,10001,0,0.013463509741074983
50,10001,1,0.0014959455267861128
51,50,0,0.08046068532904363
51,50,1,0.008940076147671524
51,51,0,0.26266217756472937
51,51,1,0.02918468639608107
51,500,0,0.11652048792711812
51,500,1,0.01294672088079091
51,501,0,0.1128537592860549
51,501,1,0.01253930658733945
51,1000,0,0.12507618808959883
51,1000,1,0.013897354232177654
51,1001,0,0.11209713274107364
51,1001,1,0.012455236971230419
51,5000,0,0.03486302311106085
51,5000,1,0.003873669234562314
51,5001,0,0.031196294469997634
51,5001,1,0.00346625494111085
51,10000,0,0.01198962063585731
51,10000,1,0.0013321800706508108
51,10001,0,0.012280630845465492
51,10001,1,0.0013645145383850553
500,50,0,0.004151145673440106
500,50,1,0.00046123840816001164
500,51,0,0.004037415654989693
500,51,1,0.0004486017394432986
500,500,0,0.553143583417005
500,500,1,0.061460398157445
500,501,0,0.2320080529511521
500,501,1,0.025778672550128015
500,1000,0,0.040734301608323246
500,1000,1,0.0045260335120359185
500,1001,0,0.036507335922582866
500,1001,1,0.004056370658064762
500,5000,0,0.011354046841966328
500,5000,1,0.0012615607602184805
500,5001,0,0.010159881648236965
500,5001,1,0.0011288757386929958
500,10000,0,0.0039047306334642146
500,10000,1,0.0004338589592738006
500,10001,0,0.003999505648839553
500,10001,1,0.0004443895165377283
501,50,0,0.003297134140540133
501,50,1,0.0003663482378377921
501,51,0,0.0032068016983335572
501,51,1,0.00035631129981483853
501,500,0,0.19026458832348636
501,500,1,0.0211405098137207
501,501,0,0.6185147004549038
501,501,1,0.06872385560610034
501,1000,0,0.03235406971698974
501,1000,1,0.0035948966352210778
501,1001,0,0.02899671394831187
501,1001,1,0.0032218571053679837
501,5000,0,0.009018188813623484
501,5000,1,0.0010020209792914962
501,5001,0,0.008069698170454392
501,5001,1,0.0008966331300504869
501,10000,0,0.0031014138490925484
501,10000,1,0.0003446015387880599
501,10001,0,0.0031766908842646964
501,10001,1,0.00035296565380718803
1000,50,0,0.003989270080123013
1000,50,1,0.00044325223112477903
1000,51,0,0.003879975009434711
1000,51,1,0.00043110833438163407
1000,500,0,0.036468121919663345
1000,500,1,0.004052013546629263
1000,501,0,0.035320523677436155
1000,501,1,0.003924502630826242
1000,1000,0,0.5706051497712125
1000,1000,1,0.06340057219680141
1000,1001,0,0.22146596792408943
1000,1001,1,0.024607329769343256
1000,5000,0,0.010911291223715465
1000,5000,1,0.0012123656915239403
1000,5001,0,0.00976369298148828
1000,5001,1,0.0010848547757209197
1000,10000,0,0.0037524640936316975
1000,10000,1,0.00041694045484796537
1000,10001,0,0.0038435433192052755
1000,10001,1,0.00042706036880058636
1001,50,0,0.003268782073939401
1001,50,1,0.0003631980082154892
1001,51,0,0.00317922640068079
1001,51,1,0.00035324737785342065
1001,500,0,0.029881742977290807
1001,500,1,0.003320193664143425
1001,501,0,0.028941408408075346
1001,501,1,0.003215712045341709
1001,1000,0,0.2024788471365506
1001,1000,1,0.02249764968183897
1001,1001,0,0.6090849255205687
1001,1001,1,0.0676761028356187
1001,5000,0,0.008940641380318286
1001,5000,1,0.0009934045978131423
1001,5001,0,0.008000306811102828
1001,5001,1,0.0008889229790114257
1001,10000,0,0.0030747447818790744
1001,10000,1,0.00034163830909767455
1001,10001,0,0.0031493745095945843
1001,10001,1,0.0003499305010660651
5000,50,0,0.00939477042188485
5000,50,1,0.0010438633802094274
5000,51,0,0.009137379451422251
5000,51,1,0.00101526438349136
5000,500,0,0.08588278714435375
5000,500,1,0.0095425319049282
5000,501,0,0.08318018195449642
5000,501,1,0.009242242439388496
5000,1000,0,0.09218886592068744
5000,1000,1,0.010243207324520831
5000,1001,0,0.08262250151849419
5000,1001,1,0.009180277946499352
5000,5000,0,0.37455778304814324
5000,5000,1,0.041617531449793736
5000,5001,0,0.1451470580933671
5000,5001,1,0.016127450899263023
5000,10000,0,0.008837089985882564
5000,10000,1,0.0009818988873202825
5000,10001,0,0.009051582461268047
5000,10001,1,0.0010057313845853392
5001,50,0,0.008211580474061491
5001,50,1,0.0009123978304512772
5001,51,0,0.007986605666552965
5001,51,1,0.0008874006296169947
5001,500,0,0.07506659410534758
5001,500,1,0.00834073267837196
5001,501,0,0.07270435862650793
5001,501,1,0.008078262069612003
5001,1000,0,0.08057847688930668
5001,1000,1,0.008953164098811858
5001,1001,0,0.07221691321023944
5001,1001,1,0.008024101467804393
5001,5000,0,0.14177865499436265
5001,5000,1,0.01575318388826252
5001,5001,0,0.425821066911778
5001,5001,1,0.0473134518790865
5001,10000,0,0.007724135057793008
5001,10000,1,0.0008582372286436667
5001,10001,0,0.007911614064050117
5001,10001,1,0.0008790682293389022
10000,50,0,0.014161849566772862
10000,50,1,0.0015735388407525396
10000,51,0,0.01377385368823114
10000,51,1,0.0015304281875812358
10000,500,0,0.12946129147342134
10000,500,1,0.014384587941491268
10000,501,0,0.12538733474873318
10000,501,1,0.013931926083192584
10000,1000,0,0.13896719049769354
10000,1000,1,0.01544079894418818
10000,1001,0,0.12454667701189288
10000,1001,1,0.013838519667988092
10000,5000,0,0.0387349218744153
10000,5000,1,0.0043038802082683665
10000,5001,0,0.03466096514972716
10000,5001,1,0.003851218349969683
10000,10000,0,0.19417487257658508
10000,10000,1,0.02157498584184279
10000,10001,0,0.08613104341252756
10000,10001,1,0.009570115934725298
10001,50,0,0.01283709797568212
10001,50,1,0.0014263442195202364
10001,51,0,0.012485396661279883
10001,51,1,0.0013872662956977628
10001,500,0,0.11735100523888416
10001,500,1,0.013039000582098248
10001,501,0,0.11365814143766047
10001,501,1,0.01262868238196229
10001,1000,0,0.1259676874417393
10001,1000,1,0.013996409715748817
10001,1001,0,0.11289612192312228
10001,1001,1,0.0125440135470136
10001,5000,0,0.035111514554491345
10001,5000,1,0.003901279394943481
10001,5001,0,0.03141865075326766
10001,5001,1,0.00349096119480752
10001,10000,0,0.07622393278597103
10001,10000,1,0.0084693258651079
10001,10001,0,0.26205045122790166
10001,10001,1,0.02911671680310021
