utterance,meaning,valence,probability
50,50,0,0.24988073586614754
50,50,1,0.008974059440631914
50,51,0,0.10139355474817174
50,51,1,0.002933985837344477
50,500,0,0.1860778869751665
50,500,1,0.003333309967019789
50,501,0,0.1802222891332905
50,501,1,0.0032284155974282615
50,1000,0,0.11940790674594051
50,1000,1,0.005947027472557542
50,1001,0,0.10701704438933517
50,1001,1,0.0053299092192395665
50,5000,0,0.009423791846790503
50,5000,1,0.002361233823160265
50,5001,0,0.008432641786109701
50,5001,1,0.002112890365966446
50,10000,0,0.00106183443845377
50,10000,1,0.0008763028705489635
50,10001,0,0.0010876071189987648
50,10001,1,0.0008975723576982096
51,50,0,0.10468447718475059
51,50,1,0.003029213979258453
51,51,0,0.24404824709414225
51,51,1,0.008764595110597163
51,500,0,0.18685391149467695
51,500,1,0.003347211297841985
51,501,0,0.18097389330078836
51,501,1,0.003241879473784019
51,1000,0,0.11990588888108067
51,1000,1,0.005971829125305903
51,1001,0,0.1074633513192002
51,1001,1,0.005352137224448195
51,5000,0,0.009463093096706609
51,5000,1,0.002371081179946486
51,5001,0,0.00846780951558388
51,5001,1,0.0021217020241257314
51,10000,0,0.001066262743037918
51,10000,1,0.0008799574289982135
51,10001,0,0.0010921429067038873
51,10001,1,0.0009013156190224412
500,50,0,0.0059536142001883376
500,50,1,0.00010665018759551419
500,51,0,0.0057905014823749585
500,51,1,0.00010372826464769179
500,500,0,0.4134620781331756
500,500,1,0.23912730990234177
500,501,0,0.15623965743156962
500,501,1,0.08325402194439518
500,1000,0,0.02261576989921515
500,1000,1,0.01672592585996578
500,1001,0,0.020268949663047164
500,1001,1,0.01499028999827551
500,5000,0,0.0017848592592664277
500,5000,1,0.00664093482777164
500,5001,0,0.0015971361652200406
500,5001,1,0.005942472567087812
500,10000,0,0.0002011106633183587
500,10000,1,0.0024645887229059454
500,10001,0,0.00020599199009793098
500,10001,1,0.0025244088375395834
501,50,0,0.006030531498313822
501,50,1,0.00010802804716091287
501,51,0,0.005865311457264128
501,51,1,0.00010506837463595608
501,500,0,0.16340014732791155
501,500,1,0.08706956783564097
501,501,0,0.4056246325606166
501,501,1,0.23459449449945396
501,1000,0,0.022907952740961975
501,1000,1,0.016942015277676963
501,1001,0,0.02053081292652059
501,1001,1,0.015183955991068315
501,5000,0,0.0018079186223928937
501,5000,1,0.006726731916196258
501,5001,0,0.0016177702530928049
501,5001,1,0.006019245921671438
501,10000,0,0.00020370889832763806
501,10000,1,0.0024964298028251736
501,10001,0,0.00020865328906374624
501,10001,1,0.002557022759204424
1000,50,0,0.003432431872743984
1000,50,1,0.00017094987426856135
1000,51,0,0.0033383926433537357
1000,51,1,0.00016626631606942254
1000,500,0,0.02031862406171741
1000,500,1,0.015027027651382164
1000,501,0,0.019679226801034
1000,501,1,0.01455414915885614
1000,1000,0,0.24710392778375675
1000,1000,1,0.4221216780268467
1000,1001,0,0.08161114366107092
1000,1001,1,0.1421248013713383
1000,5000,0,0.0010290233132127543
1000,5000,1,0.0106447724043293
1000,5001,0,0.0009207954856127477
1000,5001,1,0.009525205356795501
1000,10000,0,0.00011594615094488018
1000,10000,1,0.003950495932575436
1000,10001,0,0.00011876037790956196
1000,10001,1,0.004046381756181629
1001,50,0,0.003588682978369751
1001,50,1,0.00017873185155211773
1001,51,0,0.0034903628967705774
1001,51,1,0.0001738350884958952
1001,500,0,0.021243568122413275
1001,500,1,0.015711087749833697
1001,501,0,0.020575064230449223
1001,501,1,0.015216682890573185
1001,1000,0,0.0952056593940777
1001,1000,1,0.16579948305840256
1001,1001,0,0.2315435484638578
1001,1001,1,0.395540257455507
1001,5000,0,0.0010758664950631914
1001,5000,1,0.011129343553583151
1001,5001,0,0.0009627119221266613
1001,5001,1,0.00995881159385738
1001,10000,0,0.00012122424966609574
1001,10000,1,0.004130330341565918
1001,10001,0,0.00012416658582304005
1001,10001,1,0.004230581078011686
5000,50,0,0.0024069528244902343
5000,50,1,0.0006030882804221831
5000,51,0,0.002341008911490508
5000,51,1,0.0005865653138352734
5000,500,0,0.014248198183758633
5000,500,1,0.05301334268249497
5000,501,0,0.013799828310843143
5000,501,1,0.05134509064003885
5000,1000,0,0.00914320098793355
5000,1000,1,0.09458220461470603
5000,1001,0,0.00819441838192648
5000,1001,1,0.08476748538293333
5000,5000,0,0.04647179653571648
5000,5000,1,0.4262780168437846
5000,5001,0,0.014291835317194414
5000,5001,1,0.14955046720418366
5000,10000,0,0.00008130588627894559
5000,10000,1,0.013936821006658691
5000,10001,0,0.00008327933012066778
5000,10001,1,0.01427509336118922
5001,50,0,0.0024825822490336393
5001,50,1,0.0006220380575566233
5001,51,0,0.0024145662970053265
5001,51,1,0.0006049959189934276
5001,500,0,0.014695894132949609
5001,500,1,0.054679087253557995
5001,501,0,0.014233435925968667
5001,501,1,0.052958416675648844
5001,1000,0,0.009430491632837884
5001,1000,1,0.09755409406524886
5001,1001,0,0.008451897107885414
5001,1001,1,0.0874309842576404
5001,5000,0,0.016473508464447773
5001,5000,1,0.17237960224648496
5001,5001,0,0.042890735805978644
5001,5001,1,0.39342954573084693
5001,10000,0,0.00008386061744305575
5001,10000,1,0.014374733101143245
5001,10001,0,0.0000858960693227418
5001,10001,1,0.014723634390005924
10000,50,0,0.0012477180545455919
10000,50,1,0.0010297075261810438
10000,51,0,0.0012135339982566682
10000,51,1,0.0010014963610801924
10000,500,0,0.0073859919221243645
10000,500,1,0.09051450628416473
10000,501,0,0.00715356560289667
10000,501,1,0.08766614769480284
10000,1000,0,0.004739659553319192
10000,1000,1,0.16148880868051396
10000,1001,0,0.004247828897018497
10000,1001,1,0.1447312450063611
10000,5000,0,0.00037405868901265653
10000,5000,1,0.06411822357940139
10000,5001,0,0.0003347169571131621
10000,5001,1,0.057374570682068644
10000,10000,0,0.0081982434722524
10000,10000,1,0.2520480888234549
10000,10001,0,0.002827856923522966
10000,10001,1,0.102304031291909
10001,50,0,0.0012429632458416536
10001,50,1,0.001025783512827096
10001,51,0,0.001208909458284349
10001,51,1,0.000997679854941421
10001,500,0,0.007357845356038721
10001,500,1,0.0901695732596366
10001,501,0,0.007126304767911622
10001,501,1,0.08733206920601172
10001,1000,0,0.0047215976406813865
10001,1000,1,0.1608734065146918
10001,1001,0,0.004231641254514814
10001,1001,1,0.14417970262787183
10001,5000,0,0.0003726332247390412
10001,5000,1,0.06387388160931791
10001,5001,0,0.0003334414164609788
10001,5001,1,0.05715592745007408
10001,10000,0,0.0027503250531568987
10001,10000,1,0.09949914295895577
10001,10001,0,0.00836522976843761
10001,10001,1,0.2571819418196046
