utterance,meaning,valence,probability
50,50,0,0.2656785919792498
50,50,1,0.009513020197230463
50,51,0,0.033201444366834615
50,51,1,0.000040052163609903236
50,500,0,0.20207559099999406
50,500,1,0.0036198851594955454
50,501,0,0.19571656890558858
50,501,1,0.003505972689441494
50,1000,0,0.12967378186629105
50,1000,1,0.00645831221939149
50,1001,0,0.11621763791273916
50,1001,1,0.005788138359491857
50,5000,0,0.01023398501486242
50,5000,1,0.0025642365573936483
50,5001,0,0.009157622651028811
50,5001,1,0.002294542228318855
50,10000,0,0.0011531237009550141
50,10000,1,0.0009516413978024466
50,10001,0,0.0011811121402985814
50,10001,1,0.000974739489982117
51,50,0,0.028906734424959057
51,50,1,0.00003487129185780252
51,51,0,0.37136838594759586
51,51,1,0.014075622109667845
51,500,0,0.17111630803122338
51,500,1,0.0030652954219983586
51,501,0,0.1657315291071638
51,501,1,0.002968835076550853
51,1000,0,0.10980692270451699
51,1000,1,0.005468857161948069
51,1001,0,0.09841234673285226
51,1001,1,0.004901358256822701
51,5000,0,0.008666072550000235
51,5000,1,0.002171378989656938
51,5001,0,0.007754615837729769
51,5001,1,0.0019430035700436052
51,10000,0,0.0009764577177989226
51,10000,1,0.0008058438020930093
51,10001,0,0.0010001581478425866
51,10001,1,0.000825403117677793
500,50,0,0.0075443374716475265
500,50,1,0.0001351456408797233
500,51,0,0.007337643294342108
500,51,1,0.0001314430205816486
500,500,0,0.5124475516818372
500,500,1,0.29604162621710395
500,501,0,0.04325409321216983
500,501,1,0.011505886295316384
500,1000,0,0.02865839044380965
500,1000,1,0.02119486163704497
500,1001,0,0.025684532338193282
500,1001,1,0.018995487907374882
500,5000,0,0.0022617489374563075
500,5000,1,0.008415300653230384
500,5001,0,0.002023868832181271
500,5001,1,0.007530218948466589
500,10000,0,0.0002548446476717601
500,10000,1,0.0031230927012084555
500,10001,0,0.0002610301973725313
500,10001,1,0.003198895922111571
501,50,0,0.004839318189834767
501,50,1,0.0000866892236255305
501,51,0,0.004706734129839291
501,51,1,0.00008431417640291316
501,500,0,0.028646828446933455
501,500,1,0.007620253399257802
501,501,0,0.5508619209830716
