utterance,meaning,valence,probability
50,50,0,0.5277494119270708
50,50,1,0.01856111387305905
50,51,0,0.25293378692707086
50,51,1,0.007319046565366748
50,500,0,0.049386334447362144
50,500,1,0.0008846830943965694
50,501,0,0.049386334447362144
50,501,1,0.0008846830943965694
50,1000,0,0.02952383504416329
50,1000,1,0.0014704140026210203
50,1001,0,0.02952383504416329
50,1001,1,0.0014704140026210203
50,5000,0,0.008359397230842681
50,5000,1,0.0020945381438386068
50,5001,0,0.008359397230842681
50,5001,1,0.0020945381438386068
50,10000,0,0.0027388338505609923
50,10000,1,0.0022602845399308977
50,10001,0,0.0027388338505609923
50,10001,1,0.0022602845399308977
51,50,0,0.2058303117403394
51,50,1,0.005956031633788273
51,51,0,0.6083771427262551
51,51,1,0.022423285154915044
51,500,0,0.04018919235153097
51,500,1,0.000719929904673264
51,501,0,0.04018919235153097
51,501,1,0.000719929904673264
51,1000,0,0.02402565606097793
51,1000,1,0.0011965810349967637
51,1001,0,0.02402565606097793
51,1001,1,0.0011965810349967637
51,5000,0,0.006802639374081676
51,5000,1,0.0017044754848138887
51,5001,0,0.006802639374081676
51,5001,1,0.0017044754848138887
51,10000,0,0.0022287849801122302
51,10000,1,0.0018393551811644255
51,10001,0,0.0022287849801122302
51,10001,1,0.0018393551811644255
500,50,0,0.04938633444736216
500,50,1,0.0008846830943965706
500,51,0,0.04938633444736216
500,51,1,0.0008846830943965706
500,500,0,0.3243371461600436
500,500,1,0.18610174626950876
500,501,0,0.14638065577542825
500,501,1,0.07800054434643185
500,1000,0,0.019118119892759432
500,1000,1,0.014139171796195551
500,1001,0,0.019118119892759432
500,1001,1,0.014139171796195551
500,5000,0,0.005413116495583672
500,5000,1,0.020140609785155507
500,5001,0,0.005413116495583672
500,5001,1,0.020140609785155507
500,10000,0,0.0017735281965587516
500,10000,1,0.021734390016282138
500,10001,0,0.0017735281965587516
500,10001,1,0.021734390016282138
501,50,0,0.04018919235153101
501,50,1,0.0007199299046732655
501,51,0,0.04018919235153101
501,51,1,0.0007199299046732655
501,500,0,0.11912040845574762
501,500,1,0.06347462137737803
501,501,0,0.37978907042757853
501,501,1,0.22182004391258925
501,1000,0,0.015557781446377003
501,1000,1,0.011506055295808585
501,1001,0,0.015557781446377003
501,1001,1,0.011506055295808585
501,5000,0,0.004405040027705019
501,5000,1,0.016389854598248592
501,5001,0,0.004405040027705019
501,5001,1,0.016389854598248592
501,10000,0,0.0014432467327238668
501,10000,1,0.01768682755628593
501,10001,0,0.0014432467327238668
501,10001,1,0.01768682755628593
1000,50,0,0.029523835044163286
1000,50,1,0.0014704140026210214
1000,51,0,0.029523835044163286
1000,51,1,0.0014704140026210214
1000,500,0,0.019118119892759404
1000,500,1,0.014139171796195544
1000,501,0,0.019118119892759404
1000,501,1,0.014139171796195544
