utterance,meaning,valence,probability
50,50,0,0.6958650992234684
50,50,1,0.028466220880069004
50,51,0,0.2648349007765316
50,51,1,0.010833779119930961
51,50,0,0.204583138856476
51,50,1,0.008369019836639428
51,51,0,0.756116861143524
51,51,1,0.030930980163360506
500,500,0,0.45112708631903875
500,500,1,0.2740410318597729
500,501,0,0.17097291368096135
500,501,1,0.10385896814022705
501,500,0,0.13291543403555953
501,500,1,0.08074062453309427
501,501,0,0.48918456596444043
501,501,1,0.29715937546690574
1000,1000,0,0.27533891493536655
1000,1000,1,0.46501847935171736
1000,1001,0,0.09656108506463355
1000,1001,1,0.16308152064828263
1001,1000,0,0.08441381313504724
1001,1000,1,0.14256605547223222
1001,1001,0,0.28748618686495275
1001,1001,1,0.4855339445277678
5000,5000,0,0.0779914036879737
5000,5000,1,0.6626677006612549
5000,5001,0,0.027308596312026204
5000,5001,1,0.23203229933874506
5001,5000,0,0.023930002276348734
5001,5000,1,0.20332547993019204
5001,5001,0,0.08136999772365125
5001,5001,1,0.691374520069808
10000,10000,0,0.02462874792828081
10000,10000,1,0.6892480036160915
10000,10001,0,0.009871252071719136
10000,10001,1,0.2762519963839085
10001,10000,0,0.007051994443341915
10001,10000,1,0.19735364159555469
10001,10001,0,0.027448005556658047
10001,10001,1,0.7681463584044455
