utterance,meaning,valence,probability
50,50,0,0.4880033498176217
50,50,1,0.12141574600676665
50,51,0,0.2614100193583937
50,51,1,0.0529626217468258
50,500,0,0.020042873105008262
50,500,1,0.004754066769532936
50,501,0,0.018814191228839178
50,501,1,0.00446262972618992
50,1000,0,0.006509952928936143
50,1000,1,0.0034455123330601627
50,1001,0,0.005937010643098649
50,1001,1,0.003142272089461755
50,5000,0,0.0013147589685745815
50,5000,1,0.002045669466485458
50,5001,0,0.0013242862074772965
50,5001,1,0.0020604931582715847
50,10000,0,0.00009303797158298142
50,10000,1,0.0011040928717696097
50,10001,0,0.00008995140380534695
50,10001,1,0.001067464198298578
51,50,0,0.18432713609721746
51,50,1,0.03734534893021167
51,51,0,0.5707012786641529
51,51,1,0.15096930914542636
51,500,0,0.014900846127389435
51,500,1,0.003534404326216306
51,501,0,0.013987384295825333
51,501,1,0.003317735861773927
51,1000,0,0.004839815448733574
51,1000,1,0.0025615613508086867
51,1001,0,0.0044138623033730924
51,1001,1,0.002336117813556391
51,5000,0,0.0009774557261673091
51,5000,1,0.0015208501190371669
51,5001,0,0.0009845387386757682
51,5001,1,0.0015318707720736683
51,10000,0,0.00006916895054412238
51,10000,1,0.0008208363095645941
51,10001,0,0.00006687424602370112
51,10001,1,0.0007936047732283279
500,50,0,0.06058987985836354
500,50,1,0.014371608945259564
500,51,0,0.06388280811153553
500,51,1,0.015152674648806281
500,500,0,0.1703217908330961
500,500,1,0.37295088391325354
500,501,0,0.07173436390274428
500,501,1,0.15389151511706756
500,1000,0,0.004487856904256053
500,1000,1,0.017830335910440292
500,1001,0,0.004092879702223314
500,1001,1,0.01626108440811837
500,5000,0,0.0009063736986980414
500,5000,1,0.010586226436975574
500,5001,0,0.000912941624050925
500,5001,1,0.010662938222750763
500,10000,0,0.0000641388820602265
500,10000,1,0.005713619594706305
500,10001,0,0.0000620110518496976
500,10001,1,0.005524068233744489
501,50,0,0.04786787249262203
501,50,1,0.011354014005534478
501,51,0,0.05046938730200366
501,51,1,0.011971079984096135
501,500,0,0.06037341034004065
501,500,1,0.12951889561061344
501,501,0,0.195948857844581
501,501,1,0.43158157104032624
501,1000,0,0.0035455452719206624
501,1000,1,0.014086514907386178
501,1001,0,0.0032335011089582597
501,1001,1,0.012846757855588154
501,5000,0,0.0007160631567741133
501,5000,1,0.00836344515697572
501,5001,0,0.0007212520202289975
501,5001,1,0.00842404983202627
501,10000,0,0.00005067169361377187
501,10000,1,0.004513935575876463
501,10001,0,0.00004899064216686944
501,10001,1,0.004364184158667298
1000,50,0,0.04853806904073555
1000,50,1,0.02568966585909093
1000,51,0,0.05117600757555814
1000,51,1,0.027085843351432833
1000,500,0,0.011068876279138879
1000,500,1,0.04397684382962003
1000,501,0,0.010390324476586301
1000,501,1,0.04128094535730615
1000,1000,0,0.07891598915540508
1000,1000,1,0.4059595687067725
1000,1001,0,0.030755494690404356
1000,1001,1,0.16553268836219437
1000,5000,0,0.0007260887340749467
1000,5000,1,0.018923185351789138
1000,5001,0,0.0007313502466407079
1000,5001,1,0.01906030988332385
1000,10000,0,0.00005138114637151141
1000,10000,1,0.010213259962265742
1000,10001,0,0.000049676558577195826
1000,10001,1,0.00987443143271191
1001,50,0,0.03971427652994353
1001,50,1,0.0210195113660897
1001,51,0,0.04187266112396217
1001,51,1,0.02216187611424675
1001,500,0,0.009056652275485567
1001,500,1,0.035982241800717615
1001,501,0,0.008501455201126301
1001,501,1,0.03377643387423684
1001,1000,0,0.027592871481756258
1001,1000,1,0.14851076992862355
1001,1001,0,0.09260950527150802
1001,1001,1,0.47041221179793913
1001,5000,0,0.0005940922113347447
1001,5000,1,0.015483117287950167
1001,5001,0,0.000598397227358909
1001,5001,1,0.015595313790036766
1001,10000,0,0.00004204050749755133
1001,10000,1,0.008356579452577992
1001,10001,0,0.00004064579871801168
1001,10001,1,0.008079346958890577
5000,50,0,0.027645158026299747
5000,50,1,0.0430138580700306
5000,51,0,0.029147612266859545
5000,51,1,0.04535156774774966
5000,500,0,0.006304347081742045
5000,500,1,0.07363325506959764
5000,501,0,0.005917873697420697
5000,501,1,0.06911933905000543
5000,1000,0,0.0020476606589681706
5000,1000,1,0.05336573943209238
5000,1001,0,0.001867445626482451
5000,1001,1,0.048669009813706685
5000,5000,0,0.023067073889407992
5000,5000,1,0.36243991443253964
5000,5001,0,0.009543617678715807
5000,5001,1,0.16517485710986077
5000,10000,0,0.000029264450339397873
5000,10000,1,0.01710071734131813
5000,10001,0,0.000028293591797332562
5000,10001,1,0.016533394965065867
5001,50,0,0.022750995612925654
5001,50,1,0.03539889680917324
5001,51,0,0.02398746276580207
5001,51,1,0.037322749896628316
5001,500,0,0.005188256571462688
5001,500,1,0.06059758679838795
5001,501,0,0.0048702025287676535
5001,501,1,0.0568827922053833
5001,1000,0,0.0016851529162765562
5001,1000,1,0.04391813215699579
5001,1001,0,0.0015368422642062975
5001,1001,1,0.0400528883829745
5001,5000,0,0.007797558632044421
5001,5000,1,0.13495517907492371
5001,5001,0,0.030387844775448123
5001,5001,1,0.46494039538971277
5001,10000,0,0.000024083616402298344
5001,10000,1,0.014073290694887188
5001,10001,0,0.00002328463386762496
5001,10001,1,0.01360640427372979
10000,50,0,0.005362436715756344
10000,50,1,0.06363668567195227
10000,51,0,0.00565387349378658
10000,51,1,0.06709520119760184
10000,500,0,0.0012228782424699293
10000,500,1,0.10893643393340319
10000,501,0,0.001147912526456446
10000,501,1,0.1022583383666045
10000,1000,0,0.00039719254592846545
10000,1000,1,0.07895173644648035
10000,1001,0,0.0003622355489015979
10000,1001,1,0.07200317800922634
10000,5000,0,0.00008021754807000753
10000,5000,1,0.046875222307251524
10000,5001,0,0.00008079883465022478
10000,5001,1,0.047214897831217115
10000,10000,0,0.0022452278516221936
10000,10000,1,0.27469501787099804
10000,10001,0,0.0008715895773632563
10000,10001,1,0.12090892548025974
10001,50,0,0.004699920457572693
10001,50,1,0.05577452503316803
10001,51,0,0.004955350917223383
10001,51,1,0.058805749219753234
10001,500,0,0.0010717945541468858
10001,500,1,0.09547759750977385
10001,501,0,0.0010060906734328994
10001,501,1,0.0896245647122398
10001,1000,0,0.00034812035482292445
10001,1000,1,0.06919743783556494
10001,1001,0,0.00031748221134998846
10001,1001,1,0.06310735720973078
10001,5000,0,0.00007030686145400458
10001,5000,1,0.04108390046409074
10001,5001,0,0.00007081633146454092
10001,5001,1,0.04138160988774357
10001,10000,0,0.0007901192522669394
10001,10000,1,0.10960717323154295
10001,10001,0,0.0030411965811628174
10001,10001,1,0.359568886701495
