utterance,meaning,valence,probability
50,50,0,0.3418981177908605
50,50,1,0.0875195701620936
50,51,0,0.2882377535719864
50,51,1,0.07085548520847865
50,500,0,0.03246676680576587
50,500,1,0.0485428603644513
50,501,0,0.02777766716032247
50,501,1,0.03956004690480571
50,1000,0,0.0069860773753457495
50,1000,1,0.017504518117618835
50,1001,0,0.006056864795645507
50,1001,1,0.014402613376979009
50,5000,0,0.001116448942874311
50,5000,1,0.006093354139325092
50,5001,0,0.0010923691951286296
50,5001,1,0.005667807425449511
50,10000,0,0.00006872952994543055
50,10000,1,0.0021444785258507263
50,10001,0,0.00006528071334495765
50,10001,1,0.0019431898937276961
51,50,0,0.17211016267265333
51,50,1,0.03760720478546096
51,51,0,0.35694630337890715
51,51,1,0.09168375748805246
51,500,0,0.048053804811777255
51,500,1,0.08397587903057442
51,501,0,0.04037807333838632
51,501,1,0.0683000807866911
51,1000,0,0.009370150945476885
51,1000,1,0.029881027203331863
51,1001,0,0.007994524758842714
51,1001,1,0.024514814526879643
51,5000,0,0.001376323817744159
51,5000,1,0.010205804649396633
51,5001,0,0.001329916255609165
51,5001,1,0.009456563094704457
51,10000,0,0.0000793863373504118
51,10000,1,0.003502909572605388
51,10001,0,0.00007470442651501013
51,10001,1,0.0031586081190406214
500,50,0,0.06445963292849968
500,50,1,0.013786296035516421
500,51,0,0.06796287384852684
500,51,1,0.014535551254837964
500,500,0,0.10447906759542577
500,500,1,0.2234315310234047
500,501,0,0.08531327869560734
500,501,1,0.1813311922446271
500,1000,0,0.017105833191214472
500,1000,1,0.07834886317521629
500,1001,0,0.014113902171499475
500,1001,1,0.06407081434797184
500,5000,0,0.0020623581390910913
500,5000,1,0.026187970453121684
500,5001,0,0.0019251910868789263
500,5001,1,0.02415681295790922
500,10000,0,0.0000973563884664557
500,10000,1,0.00872383187387141
500,10001,0,0.00008860054907417163
500,10001,1,0.007819042039239317
501,50,0,0.06579114591893613
501,50,1,0.017534883000938337
501,51,0,0.06936675167540006
501,51,1,0.018487865772728467
