utterance,meaning,valence,probability
50,50,0,0.5576410569040476
50,50,1,0.06196011743378309
50,51,0,0.2546185808480259
50,51,1,0.028290953427558448
50,500,0,0.021706383456596035
50,500,1,0.002411820384066223
50,501,0,0.020375723934352597
50,501,1,0.0022639693260391764
50,1000,0,0.013040463317985663
50,1000,1,0.0014489403686650732
50,1001,0,0.0118927694800507
50,1001,1,0.001321418831116744
50,5000,0,0.006886163027609771
50,5000,1,0.0007651292252899749
50,5001,0,0.006936062759693899
50,5001,1,0.0007706736399659892
50,10000,0,0.003509614489917057
50,10000,1,0.00038995716554633984
50,10001,0,0.003393181781720759
50,10001,1,0.00037702019796897275
51,50,0,0.1835920177383592
51,50,1,0.02039911308203991
51,51,0,0.649704726570218
51,51,1,0.07218941406335756
51,500,0,0.016501942877214557
51,500,1,0.001833549208579393
51,501,0,0.015490329520756957
51,501,1,0.0017211477245285503
51,1000,0,0.009913810893284447
51,1000,1,0.0011015345436982725
51,1001,0,0.009041294373339767
51,1001,1,0.0010045882637044192
51,5000,0,0.005235099119668056
51,5000,1,0.0005816776799631186
51,5001,0,0.005273034620535217
51,5001,1,0.000585892735615025
51,10000,0,0.0026681302276569114
51,10000,1,0.0002964589141841014
51,10001,0,0.002579614058966873
51,10001,1,0.00028662378432965245
500,50,0,0.06048210372534695
500,50,1,0.006720233747260769
500,51,0,0.06376917457998536
500,51,1,0.0070854638422205955
500,500,0,0.5002182249817384
500,500,1,0.055579802775748754
500,501,0,0.20334642074506928
500,501,1,0.02259404674945216
500,1000,0,0.020616508400292187
500,1000,1,0.00229072315558802
500,1001,0,0.018802045288531778
500,1001,1,0.002089116143170197
500,5000,0,0.010886778670562449
500,5000,1,0.0012096420745069392
500,5001,0,0.010965668371073769
500,5001,1,0.001218407596785975
500,10000,0,0.005548575602629653
500,10000,1,0.0006165084002921839
500,10001,0,0.005364499634769906
500,10001,1,0.0005960555149744333
501,50,0,0.04968496849684969
501,50,1,0.005520552055205515
501,51,0,0.05238523852385239
501,51,1,0.005820582058205815
501,500,0,0.17795454545454548
501,500,1,0.019772727272727265
501,501,0,0.5606773177317729
501,501,1,0.0622974797479748
501,1000,0,0.016936093609360922
501,1000,1,0.0018817881788178814
501,1001,0,0.015445544554455428
501,1001,1,0.0017161716171617157
501,5000,0,0.008943294329432925
501,5000,1,0.000993699369936994
501,5001,0,0.009008100810080993
501,5001,1,0.0010009000900090006
501,10000,0,0.004558055805580555
501,10000,1,0.0005064506450645063
501,10001,0,0.0044068406840684065
501,10001,1,0.0004896489648964894
1000,50,0,0.08468915630473664
1000,50,1,0.009409906256081861
1000,51,0,0.08929182784303753
1000,51,1,0.009921314204781964
1000,500,0,0.04805189085986147
1000,500,1,0.005339098984429055
1000,501,0,0.04510618107534888
1000,501,1,0.005011797897260995
1000,1000,0,0.42079055145403216
1000,1000,1,0.04675450571711475
1000,1001,0,0.16619096256920002
1000,1001,1,0.018465662507688902
1000,5000,0,0.015244048134852592
1000,5000,1,0.001693783126094736
1000,5001,0,0.015354512251771812
1000,5001,1,0.0017060569168635387
1000,10000,0,0.007769309556651924
1000,10000,1,0.0008632566174057714
1000,10001,0,0.007511559950507079
1000,10001,1,0.0008346177722785648
1001,50,0,0.0723799949736115
1001,50,1,0.008042221663734602
1001,51,0,0.07631369035261214
1001,51,1,0.008479298928068004
1001,500,0,0.041067779756766516
1001,500,1,0.004563086639640719
1001,501,0,0.03855021471420611
1001,501,1,0.004283357190467345
1001,1000,0,0.15574286744539262
1001,1000,1,0.017304763049488085
1001,1001,0,0.47673437721953266
1001,1001,1,0.052970486357725916
1001,5000,0,0.013028399095250042
1001,5000,1,0.0014475998994722304
1001,5001,0,0.01312280778434606
1001,5001,1,0.001458089753816231
1001,10000,0,0.00664007779975305
1001,10000,1,0.0007377864221947836
1001,10001,0,0.006419790858529019
1001,10001,1,0.0007133100953921128
5000,50,0,0.11605781865965833
5000,50,1,0.012895313184406497
5000,51,0,0.12236530880420496
5000,51,1,0.013596145422689464
5000,500,0,0.06585019710906705
5000,500,1,0.00731668856767412
5000,501,0,0.06181340341655718
5000,501,1,0.00686815593517303
5000,1000,0,0.0395605781865966
5000,1000,1,0.004395619798510739
5000,1001,0,0.03607884362680684
5000,1001,1,0.004008760402978544
5000,5000,0,0.30450670170827854
5000,5000,1,0.03383407796758654
5000,5001,0,0.1328262812089357
5000,5001,1,0.014758475689881752
5000,10000,0,0.010647043363994737
5000,10000,1,0.0011830048182216405
5000,10001,0,0.010293823915900134
5000,10001,1,0.0011437582128777932
5001,50,0,0.10039984115484077
5001,50,1,0.011155537906093405
5001,51,0,0.10585635426108213
5001,51,1,0.011761817140120222
5001,500,0,0.05696599682915964
5001,500,1,0.006329555203239953
5001,501,0,0.053473828441165175
5001,501,1,0.005941536493462796
5001,1000,0,0.03422325020234569
5001,1000,1,0.0038025833558161903
5001,1001,0,0.031211254967700462
5001,1001,1,0.0034679172186333875
5001,5000,0,0.1140793195121877
5001,5000,1,0.012675479945798642
5001,5001,0,0.3856745311187973
5001,5001,1,0.04285272567986642
5001,10000,0,0.009210594123335384
5001,10000,1,0.0010233993470372654
5001,10001,0,0.008905029389385874
5001,10001,1,0.0009894477099317634
10000,50,0,0.14840445790900464
10000,50,1,0.016489384212111616
10000,51,0,0.15646991757797227
10000,51,1,0.017385546397552472
10000,500,0,0.08420339894402223
10000,500,1,0.00935593321600246
10000,501,0,0.07904150475588294
10000,501,1,0.008782389417320322
10000,1000,0,0.05058656304376508
10000,1000,1,0.005620729227085008
10000,1001,0,0.04613442930649494
10000,1001,1,0.005126047700721658
10000,5000,0,0.026712802423620827
10000,5000,1,0.002968089158180093
10000,5001,0,0.026906373455676046
10000,5001,1,0.0029895970506306734
10000,10000,0,0.19845018707385623
10000,10000,1,0.022050020785984045
10000,10001,0,0.08309036550970465
10000,10001,1,0.009232262834411642
10001,50,0,0.1358340134603634
10001,50,1,0.015092668162262582
10001,51,0,0.14321629680060055
10001,51,1,0.015912921866733376
10001,500,0,0.07707103807207573
10001,500,1,0.008563448674675072
10001,501,0,0.07234637673432397
10001,501,1,0.00803848630381377
10001,1000,0,0.0463016811099673
10001,1000,1,0.005144631234440815
10001,1001,0,0.042226660706156396
10001,1001,1,0.004691851189572937
10001,5000,0,0.02445012242286536
10001,5000,1,0.0027166802692072684
10001,5001,0,0.02462729722303106
10001,5001,1,0.002736366358114566
10001,10000,0,0.07866192013189678
10001,10000,1,0.008740213347988543
10001,10001,0,0.25526459333871965
10001,10001,1,0.028362732593191116
