utterance,meaning,valence,probability
50,50,0,0.6396378876265313
50,50,1,0.1628998131095264
50,51,0,0.10650662716836576
50,51,1,0.0033654052522661577
50,500,0,0.023036355020356516
50,500,1,0.00546410533657844
50,501,0,0.02162416467428104
50,501,1,0.0051291410247575435
50,1000,0,0.007482239998780899
50,1000,1,0.003960113149224976
50,1001,0,0.006823726529500441
50,1001,1,0.0036115827827753284
50,5000,0,0.0015111233907235417
50,5000,1,0.002351198245748856
50,5001,0,0.0015220735602215383
50,5001,1,0.0023682359141963118
50,10000,0,0.00010693355850383792
50,10000,1,0.001268993483931914
50,10001,0,0.00010338599969091437
50,10001,1,0.001226894174038438
51,50,0,0.06208847660007511
51,50,1,0.0019618768410043104
51,51,0,0.6937500464317805
51,51,1,0.1883634334863654
51,500,0,0.014158982411716198
51,500,1,0.0033584380553265737
51,501,0,0.013290998815595666
51,501,1,0.003152556795229925
51,1000,0,0.00459885708695501
51,1000,1,0.0024340297055994347
51,1001,0,0.004194110736189836
51,1001,1,0.0022198102544688718
51,5000,0,0.0009287914469229447
51,5000,1,0.0014451320349333978
51,5001,0,0.0009355218197267336
51,5001,1,0.00145560400620103
51,10000,0,0.00006572525786914333
51,10000,1,0.000779969591703935
51,10001,0,0.00006354479907727595
51,10001,1,0.0007540938232587828
500,50,0,0.06755551513511834
500,50,1,0.01602382193011508
500,51,0,0.07122701052289648
500,51,1,0.01689468181762132
500,500,0,0.21978377758825632
500,500,1,0.48233638407647494
500,501,0,0.014461302979476306
500,501,1,0.02574881748717661
500,1000,0,0.005003797428356599
500,1000,1,0.019880176859200755
500,1001,0,0.004563412195503787
500,1001,1,0.018130518436643542
500,5000,0,0.0010105737503293072
500,5000,1,0.011803257936121745
500,5001,0,0.0010178967485200995
500,5001,1,0.011888788790731337
500,10000,0,0.00007151252367388715
500,10000,1,0.006370478302792183
500,10001,0,0.00006914007028186245
500,10001,1,0.006159135420709031
501,50,0,0.04644016334572004
501,50,1,0.0110153687137001
501,51,0,0.0489640852666831
501,51,1,0.011614030056835953
501,500,0,0.010590458842220676
501,500,1,0.0188566543568587
501,501,0,0.2473328035940167
501,501,1,0.5460883751127484
501,1000,0,0.0034397956918394475
501,1000,1,0.013666369930515811
501,1001,0,0.0031370585710015367
