utterance,meaning,valence,probability
50,50,0,0.4403649086560284
50,50,1,0.1099392107919693
50,51,0,0.21972861057910534
50,51,1,0.044517816561200074
50,500,0,0.03130585637223811
50,500,1,0.007425588671408524
50,501,0,0.03130585637223811
50,501,1,0.007425588671408524
50,1000,0,0.016925359767700335
50,1000,1,0.008958057985623852
50,1001,0,0.016925359767700335
50,1001,1,0.008958057985623852
50,5000,0,0.006473243204711167
50,5000,1,0.010071896286335126
50,5001,0,0.006473243204711167
50,5001,1,0.010071896286335126
50,10000,0,0.0008987810377836128
50,10000,1,0.010665943380047815
50,10001,0,0.0008987810377836128
50,10001,1,0.010665943380047815
51,50,0,0.17880888497830158
51,50,1,0.036227331160913964
51,51,0,0.5019944483585832
51,51,1,0.1320558522876745
51,500,0,0.025475814262228186
51,500,1,0.0060427325651524755
51,501,0,0.025475814262228186
51,501,1,0.0060427325651524755
51,1000,0,0.013773375710804663
51,1000,1,0.007289812445265105
51,1001,0,0.013773375710804663
51,1001,1,0.007289812445265105
51,5000,0,0.00526774094906073
51,5000,1,0.008196222330037976
51,5001,0,0.00526774094906073
51,5001,1,0.008196222330037976
51,10000,0,0.0007314024094639727
51,10000,1,0.00867964093525017
51,10001,0,0.0007314024094639727
51,10001,1,0.00867964093525017
500,50,0,0.031305856372238074
500,50,1,0.007425588671408524
500,51,0,0.031305856372238074
500,51,1,0.007425588671408524
500,500,0,0.15826750957974242
500,500,1,0.34667022081582677
500,501,0,0.06958962496435783
500,501,1,0.1492904131235191
500,1000,0,0.006802620936065225
500,1000,1,0.027026934893224563
500,1001,0,0.006802620936065225
500,1001,1,0.027026934893224563
500,5000,0,0.0026017183890321015
500,5000,1,0.030387443977137028
500,5001,0,0.0026017183890321015
500,5001,1,0.030387443977137028
500,10000,0,0.00036123703061444244
500,10000,1,0.032179715488557
500,10001,0,0.00036123703061444244
500,10001,1,0.032179715488557
501,50,0,0.025475814262228186
501,50,1,0.0060427325651524755
501,51,0,0.025475814262228186
501,51,1,0.0060427325651524755
501,500,0,0.05663005474407836
501,500,1,0.12148828610990595
501,501,0,0.18652442094126143
501,501,1,0.410608004419765
501,1000,0,0.005535779165499082
501,1000,1,0.021993749834861947
501,1001,0,0.005535779165499082
501,1001,1,0.021993749834861947
501,5000,0,0.002117204322843026
501,5000,1,0.024728436413319652
501,5001,0,0.002117204322843026
501,5001,1,0.024728436413319652
501,10000,0,0.0002939644067597971
501,10000,1,0.026186935921830422
501,10001,0,0.0002939644067597971
501,10001,1,0.026186935921830422
1000,50,0,0.01692535976770033
1000,50,1,0.00895805798562385
1000,51,0,0.01692535976770033
1000,51,1,0.00895805798562385
1000,500,0,0.006802620936065223
1000,500,1,0.027026934893224535
1000,501,0,0.006802620936065223
1000,501,1,0.027026934893224535
1000,1000,0,0.08244174640086828
1000,1000,1,0.4237926483128832
1000,1001,0,0.034498477170099
1000,1001,1,0.18567822523596017
1000,5000,0,0.0014066064580702615
1000,5000,1,0.036658707777636
1000,5001,0,0.0014066064580702615
1000,5001,1,0.036658707777636
1000,10000,0,0.00019530105268058282
1000,10000,1,0.038820862569093985
1000,10001,0,0.00019530105268058282
1000,10001,1,0.038820862569093985
1001,50,0,0.013773375710804656
1001,50,1,0.0072898124452650944
1001,51,0,0.013773375710804656
1001,51,1,0.0072898124452650944
1001,500,0,0.005535779165499084
1001,500,1,0.0219937498348619
1001,501,0,0.005535779165499084
1001,501,1,0.0219937498348619
1001,1000,0,0.028073878135291823
1001,1000,1,0.15109965120923194
1001,1001,0,0.09830063869867214
1001,1001,1,0.4998869751528938
1001,5000,0,0.001144656272608036
1001,5000,1,0.02983181227601051
1001,5001,0,0.001144656272608036
1001,5001,1,0.02983181227601051
1001,10000,0,0.0001589304341062645
1001,10000,1,0.031591312262799445
1001,10001,0,0.0001589304341062645
1001,10001,1,0.031591312262799445
5000,50,0,0.006473243204711164
5000,50,1,0.01007189628633512
5000,51,0,0.006473243204711164
5000,51,1,0.01007189628633512
5000,500,0,0.0026017183890320998
5000,500,1,0.03038744397713701
5000,501,0,0.0026017183890320998
5000,501,1,0.03038744397713701
5000,1000,0,0.0014066064580702609
5000,1000,1,0.036658707777636024
5000,1001,0,0.0014066064580702609
5000,1001,1,0.036658707777636024
5000,5000,0,0.0306618864909629
5000,5000,1,0.4810448291818989
5000,5001,0,0.012325588414039825
5000,5001,1,0.21332343495112974
5000,10000,0,0.00007469449568511542
5000,10000,1,0.043647819892377517
5000,10001,0,0.00007469449568511542
5000,10001,1,0.043647819892377517
5001,50,0,0.005267740949060721
5001,50,1,0.008196222330037977
5001,51,0,0.005267740949060721
5001,51,1,0.008196222330037977
5001,500,0,0.0021172043228430263
5001,500,1,0.024728436413319628
5001,501,0,0.0021172043228430263
5001,501,1,0.024728436413319628
5001,1000,0,0.0011446562726080349
5001,1000,1,0.02983181227601053
5001,1001,0,0.0011446562726080349
5001,1001,1,0.02983181227601053
5001,5000,0,0.010030212793897817
5001,5000,1,0.17359653548448742
5001,5001,0,0.036889015610799235
5001,5001,1,0.5657518171746282
5001,10000,0,0.000060784253139686966
5001,10000,1,0.03551935265107406
5001,10001,0,0.000060784253139686966
5001,10001,1,0.03551935265107406
10000,50,0,0.0008987810377836128
10000,50,1,0.010665943380047806
10000,51,0,0.0008987810377836128
10000,51,1,0.010665943380047806
10000,500,0,0.00036123703061444244
10000,500,1,0.032179715488557
10000,501,0,0.00036123703061444244
10000,501,1,0.032179715488557
10000,1000,0,0.00019530105268058252
10000,1000,1,0.038820862569094026
10000,1001,0,0.00019530105268058252
10000,1001,1,0.038820862569094026
10000,5000,0,0.00007469449568511547
10000,5000,1,0.043647819892377544
10000,5001,0,0.00007469449568511547
10000,5001,1,0.043647819892377544
10000,10000,0,0.004192943114005495
10000,10000,1,0.5119915480930005
10000,10001,0,0.0016470296524670265
10000,10001,1,0.22847976924684674
10001,50,0,0.0007314024094639727
10001,50,1,0.00867964093525017
10001,51,0,0.0007314024094639727
10001,51,1,0.00867964093525017
10001,500,0,0.0002939644067597971
10001,500,1,0.026186935921830422
10001,501,0,0.0002939644067597971
10001,501,1,0.026186935921830422
10001,1000,0,0.00015893043410626428
10001,1000,1,0.03159131226279952
10001,1001,0,0.00015893043410626428
10001,1001,1,0.03159131226279952
10001,5000,0,0.00006078425313968706
10001,5000,1,0.03551935265107408
10001,5001,0,0.00006078425313968706
10001,5001,1,0.03551935265107408
10001,10000,0,0.0013403058204739496
10001,10000,1,0.18593032865158102
10001,10001,0,0.005069531172586636
10001,10001,1,0.6012151878065105
