utterance,meaning,valence,probability
50,50,0,0.546025694212111
50,50,1,0.16190337905654062
50,51,0,0.22527430578788896
50,51,1,0.06679662094345935
51,50,0,0.15405905340859735
51,50,1,0.0456804168475901
51,51,0,0.6172409465914026
51,51,1,0.1830195831524099
500,500,0,0.22672149122807023
500,500,1,0.5046381578947369
500,501,0,0.08327850877192981
500,501,1,0.18536184210526319
501,500,0,0.0678775167785235
501,500,1,0.1510822147651006
501,501,0,0.2421224832214766
501,501,1,0.5389177852348992
1000,1000,0,0.12351997384231822
1000,1000,1,0.6134727101810602
1000,1001,0,0.04408002615768177
1000,1001,1,0.21892728981893977
1001,1000,0,0.03753167666381031
1001,1000,1,0.18640434161668099
1001,1001,0,0.13006832333618965
1001,1001,1,0.6459956583833191
5000,5000,0,0.045978169491525445
5000,5000,1,0.6713099661016948
5000,5001,0,0.01812183050847458
5000,5001,1,0.2645900338983051
5001,5000,0,0.013277994596217353
5001,5000,1,0.19386700690483336
5001,5001,0,0.05082200540378269
5001,5001,1,0.7420329930951666
10000,10000,0,0.0064571236358200185
10000,10000,1,0.7190623860068768
10000,10001,0,0.0024428763641800026
10000,10001,1,0.27203761399312304
10001,10000,0,0.0019041776515919741
10001,10000,1,0.21204836747110103
10001,10001,0,0.006995822348408042
10001,10001,1,0.7790516325288991
