utterance,meaning,valence,probability
20,20,1,0.5116
40,20,1,0.078536
60,20,1,0.12916
90,20,1,0.039429
110,20,1,0.012185
130,20,1,0.0031547
21,20,1,0.046791
41,20,1,0.024874
61,20,1,0.053244
91,20,1,0.018481
111,20,1,0.0078086
131,20,1,0.0024451
20,40,1,0.047234
40,40,1,0.36501
60,40,1,0.066118
90,40,1,0.020184
110,40,1,0.0062376
130,40,1,0.0016149
21,40,1,0.015291
41,40,1,0.025554
61,40,1,0.027256
91,40,1,0.0094604
111,40,1,0.0039972
131,40,1,0.0012517
20,60,1,0.010985
40,60,1,0.0093495
60,60,1,0.19426
90,60,1,0.0046939
110,60,1,0.0014506
130,60,1,0.00037556
21,60,1,0.0035561
41,60,1,0.0029611
61,60,1,0.01553
91,60,1,0.0022001
111,60,1,0.00092959
131,60,1,0.00029108
20,90,1,0.0018308
40,90,1,0.0015582
60,90,1,0.0025627
90,90,1,0.057666
110,90,1,0.00024177
130,90,1,6.2593e-05
21,90,1,0.00059269
41,90,1,0.00049352
61,90,1,0.0010564
91,90,1,0.0036897
111,90,1,0.00015493
131,90,1,4.8514e-05
20,110,1,0.00036615
40,110,1,0.00031165
60,110,1,0.00051254
90,110,1,0.00015646
110,110,1,0.014112
130,110,1,1.2519e-05
21,110,1,0.00011854
41,110,1,9.8705e-05
61,110,1,0.00021129
91,110,1,7.3337e-05
111,110,1,0.0011542
131,110,1,9.7027e-06
20,130,1,9.1538e-05
40,130,1,7.7912e-05
60,130,1,0.00012814
90,130,1,3.9116e-05
110,130,1,1.2088e-05
130,130,1,0.0036441
21,130,1,2.9634e-05
41,130,1,2.4676e-05
61,130,1,5.2821e-05
91,130,1,1.8334e-05
111,130,1,7.7466e-06
131,130,1,0.00035415
20,21,1,0.22488
40,21,1,0.078536
60,21,1,0.12916
90,21,1,0.039429
110,21,1,0.012185
130,21,1,0.0031547
21,21,1,0.73264
41,21,1,0.024874
61,21,1,0.053244
91,21,1,0.018481
111,21,1,0.0078086
131,21,1,0.0024451
20,41,1,0.047234
40,41,1,0.14292
60,41,1,0.066118
90,41,1,0.020184
110,41,1,0.0062376
130,41,1,0.0016149
21,41,1,0.015291
41,41,1,0.54528
61,41,1,0.027256
91,41,1,0.0094604
111,41,1,0.0039972
131,41,1,0.0012517
20,61,1,0.010985
40,61,1,0.0093495
60,61,1,0.07195
90,61,1,0.0046939
110,61,1,0.0014506
130,61,1,0.00037556
21,61,1,0.0035561
41,61,1,0.0029611
61,61,1,0.3881
91,61,1,0.0022001
111,61,1,0.00092959
131,61,1,0.00029108
20,91,1,0.0018308
40,91,1,0.0015582
60,91,1,0.0025627
90,91,1,0.018772
110,91,1,0.00024177
130,91,1,6.2593e-05
21,91,1,0.00059269
41,91,1,0.00049352
61,91,1,0.0010564
91,91,1,0.13839
111,91,1,0.00015493
131,91,1,4.8514e-05
20,111,1,0.00036615
40,111,1,0.00031165
60,111,1,0.00051254
90,111,1,0.00015646
110,111,1,0.0044959
130,111,1,1.2519e-05
21,111,1,0.00011854
41,111,1,9.8705e-05
61,111,1,0.00021129
91,111,1,7.3337e-05
111,111,1,0.046687
131,111,1,9.7027e-06
20,131,1,9.1538e-05
40,131,1,7.7912e-05
60,131,1,0.00012814
90,131,1,3.9116e-05
110,131,1,1.2088e-05
130,131,1,0.0011546
21,131,1,2.9634e-05
41,131,1,2.4676e-05
61,131,1,5.2821e-05
91,131,1,1.8334e-05
111,131,1,7.7466e-06
131,131,1,0.014612
20,20,2,0.1055
40,20,2,0.0040556
60,20,2,0.015007
90,20,2,0.0733
110,20,2,0.11468
130,20,2,0.13232
21,20,2,0.0044468
41,20,2,0.0012845
61,20,2,0.0061865
91,20,2,0.034357
111,20,2,0.07349
131,20,2,0.10256
20,40,2,0.00091469
40,40,2,0.22207
60,40,2,0.020486
90,40,2,0.10006
110,40,2,0.15655
130,40,2,0.18063
21,40,2,0.00029612
41,40,2,0.010301
61,40,2,0.008445
91,40,2,0.0469
111,40,2,0.10032
131,40,2,0.14
20,60,2,0.00031908
40,60,2,0.0019312
60,60,2,0.18603
90,60,2,0.034905
110,60,2,0.054609
130,60,2,0.063011
21,60,2,0.0001033
41,60,2,0.00061166
61,60,2,0.012137
91,60,2,0.01636
111,60,2,0.034995
131,60,2,0.048838
20,90,2,0.00021272
40,90,2,0.0012875
60,90,2,0.0047642
90,90,2,0.2508
110,90,2,0.036406
130,90,2,0.042007
21,90,2,6.8865e-05
41,90,2,0.00040777
61,90,2,0.001964
91,90,2,0.024199
111,90,2,0.02333
131,90,2,0.032558
20,110,2,9.5723e-05
40,110,2,0.00057937
60,110,2,0.0021439
90,110,2,0.010471
110,110,2,0.14295
130,110,2,0.018903
21,110,2,3.0989e-05
41,110,2,0.0001835
61,110,2,0.00088378
91,110,2,0.0049081
111,110,2,0.020608
131,110,2,0.014651
20,130,2,5.0521e-05
40,130,2,0.00030578
60,130,2,0.0011315
90,130,2,0.0055266
110,130,2,0.0086464
130,130,2,0.079156
21,130,2,1.6355e-05
41,130,2,9.6846e-05
61,130,2,0.00046644
91,130,2,0.0025904
111,130,2,0.0055409
131,130,2,0.014415
20,21,2,0.033823
40,21,2,0.0040556
60,21,2,0.015007
90,21,2,0.0733
110,21,2,0.11468
130,21,2,0.13232
21,21,2,0.17591
41,21,2,0.0012845
61,21,2,0.0061865
91,21,2,0.034357
111,21,2,0.07349
131,21,2,0.10256
20,41,2,0.00091469
40,41,2,0.074016
60,41,2,0.020486
90,41,2,0.10006
110,41,2,0.15655
130,41,2,0.18063
21,41,2,0.00029612
41,41,2,0.35679
61,41,2,0.008445
91,41,2,0.0469
111,41,2,0.10032
131,41,2,0.14
20,61,2,0.00031908
40,61,2,0.0019312
60,61,2,0.06372
90,61,2,0.034905
110,61,2,0.054609
130,61,2,0.063011
21,61,2,0.0001033
41,61,2,0.00061166
61,61,2,0.3847
91,61,2,0.01636
111,61,2,0.034995
131,61,2,0.048838
20,91,2,0.00021272
40,91,2,0.0012875
60,91,2,0.0047642
90,91,2,0.095228
110,91,2,0.036406
130,91,2,0.042007
21,91,2,6.8865e-05
41,91,2,0.00040777
61,91,2,0.001964
91,91,2,0.56302
111,91,2,0.02333
131,91,2,0.032558
20,111,2,9.5723e-05
40,111,2,0.00057937
60,111,2,0.0021439
90,111,2,0.010471
110,111,2,0.056411
130,111,2,0.018903
21,111,2,3.0989e-05
41,111,2,0.0001835
61,111,2,0.00088378
91,111,2,0.0049081
111,111,2,0.4304
131,111,2,0.014651
20,131,2,5.0521e-05
40,131,2,0.00030578
60,131,2,0.0011315
90,131,2,0.0055266
110,131,2,0.0086464
130,131,2,0.031855
21,131,2,1.6355e-05
41,131,2,9.6846e-05
61,131,2,0.00046644
91,131,2,0.0025904
111,131,2,0.0055409
131,131,2,0.28531
