utterance,meaning,valence,probability
20,20,1,0.5122
40,20,1,0.079105
60,20,1,0.1327
90,20,1,0.04533
110,20,1,0.015302
130,20,1,0.0041239
1000,20,1,1.729e-12
21,20,1,0.046809
41,20,1,0.02493
61,20,1,0.053836
91,20,1,0.019682
111,20,1,0.0089808
131,20,1,0.0029897
1001,20,1,1.7289e-12
20,40,1,0.04729
40,40,1,0.36765
60,40,1,0.067929
90,40,1,0.023205
110,40,1,0.0078331
130,40,1,0.0021111
1000,40,1,8.8506e-13
21,40,1,0.015297
41,40,1,0.025613
61,40,1,0.027559
91,40,1,0.010075
111,40,1,0.0045973
131,40,1,0.0015304
1001,40,1,8.8502e-13
20,60,1,0.010998
40,60,1,0.0094173
60,60,1,0.19958
90,60,1,0.0053965
110,60,1,0.0018217
130,60,1,0.00049094
1000,60,1,2.0583e-13
21,60,1,0.0035575
41,60,1,0.0029679
61,60,1,0.015702
91,60,1,0.0023431
111,60,1,0.0010691
131,60,1,0.00035592
1001,60,1,2.0582e-13
20,90,1,0.0018329
40,90,1,0.0015696
60,90,1,0.0026329
90,90,1,0.066298
110,90,1,0.00030361
130,90,1,8.1824e-05
1000,90,1,3.4305e-14
21,90,1,0.00059292
41,90,1,0.00049465
61,90,1,0.0010682
91,90,1,0.0039295
111,90,1,0.00017819
131,90,1,5.932e-05
1001,90,1,3.4303e-14
20,110,1,0.00036659
40,110,1,0.00031391
60,110,1,0.00052658
90,110,1,0.00017988
110,110,1,0.017722
130,110,1,1.6365e-05
1000,110,1,6.8609e-15
21,110,1,0.00011858
41,110,1,9.893e-05
61,110,1,0.00021363
91,110,1,7.8103e-05
111,110,1,0.0013275
131,110,1,1.1864e-05
1001,110,1,6.8606e-15
20,130,1,9.1647e-05
40,130,1,7.8478e-05
60,130,1,0.00013165
90,130,1,4.4971e-05
110,130,1,1.518e-05
130,130,1,0.0047638
1000,130,1,1.7152e-15
21,130,1,2.9646e-05
41,130,1,2.4733e-05
61,130,1,5.3408e-05
91,130,1,1.9526e-05
111,130,1,8.9096e-06
131,130,1,0.00043303
1001,130,1,1.7152e-15
20,1000,1,2.3095e-13
40,1000,1,1.9776e-13
60,1000,1,3.3175e-13
90,1000,1,1.1333e-13
110,1000,1,3.8255e-14
130,1000,1,1.031e-14
1000,1000,1,1.2572e-11
21,1000,1,7.4708e-14
41,1000,1,6.2326e-14
61,1000,1,1.3459e-13
91,1000,1,4.9205e-14
111,1000,1,2.2452e-14
131,1000,1,7.4743e-15
1001,1000,1,1.5668e-12
20,21,1,0.22515
40,21,1,0.079105
60,21,1,0.1327
90,21,1,0.04533
110,21,1,0.015302
130,21,1,0.0041239
1000,21,1,1.729e-12
21,21,1,0.73293
41,21,1,0.02493
61,21,1,0.053836
91,21,1,0.019682
111,21,1,0.0089808
131,21,1,0.0029897
1001,21,1,1.7289e-12
20,41,1,0.04729
40,41,1,0.14396
60,41,1,0.067929
90,41,1,0.023205
110,41,1,0.0078331
130,41,1,0.0021111
1000,41,1,8.8506e-13
21,41,1,0.015297
41,41,1,0.54653
61,41,1,0.027559
91,41,1,0.010075
111,41,1,0.0045973
131,41,1,0.0015304
1001,41,1,8.8502e-13
20,61,1,0.010998
40,61,1,0.0094173
60,61,1,0.07392
90,61,1,0.0053965
110,61,1,0.0018217
130,61,1,0.00049094
1000,61,1,2.0583e-13
21,61,1,0.0035575
41,61,1,0.0029679
61,61,1,0.39241
91,61,1,0.0023431
111,61,1,0.0010691
131,61,1,0.00035592
1001,61,1,2.0582e-13
20,91,1,0.0018329
40,91,1,0.0015696
60,91,1,0.0026329
90,91,1,0.021582
110,91,1,0.00030361
130,91,1,8.1824e-05
1000,91,1,3.4305e-14
21,91,1,0.00059292
41,91,1,0.00049465
61,91,1,0.0010682
91,91,1,0.14739
111,91,1,0.00017819
131,91,1,5.932e-05
1001,91,1,3.4303e-14
20,111,1,0.00036659
40,111,1,0.00031391
60,111,1,0.00052658
90,111,1,0.00017988
110,111,1,0.005646
130,111,1,1.6365e-05
1000,111,1,6.8609e-15
21,111,1,0.00011858
41,111,1,9.893e-05
61,111,1,0.00021363
91,111,1,7.8103e-05
111,111,1,0.053696
131,111,1,1.1864e-05
1001,111,1,6.8606e-15
20,131,1,9.1647e-05
40,131,1,7.8478e-05
60,131,1,0.00013165
90,131,1,4.4971e-05
110,131,1,1.518e-05
130,131,1,0.0015093
1000,131,1,1.7152e-15
21,131,1,2.9646e-05
41,131,1,2.4733e-05
61,131,1,5.3408e-05
91,131,1,1.9526e-05
111,131,1,8.9096e-06
131,131,1,0.017866
1001,131,1,1.7152e-15
20,1001,1,2.3095e-13
40,1001,1,1.9776e-13
60,1001,1,3.3175e-13
90,1001,1,1.1333e-13
110,1001,1,3.8255e-14
130,1001,1,1.031e-14
1000,1001,1,3.9758e-12
21,1001,1,7.4708e-14
41,1001,1,6.2326e-14
61,1001,1,1.3459e-13
91,1001,1,4.9205e-14
111,1001,1,2.2452e-14
131,1001,1,7.4743e-15
1001,1001,1,6.5079e-11
20,20,2,0.10545
40,20,2,0.0030107
60,20,2,0.011364
90,20,2,0.062109
110,20,2,0.10614
130,20,2,0.12749
1000,20,2,0.14806
21,20,2,0.0043914
41,20,2,0.00094885
61,20,2,0.0046102
91,20,2,0.026967
111,20,2,0.062295
131,20,2,0.092424
1001,20,2,0.14805
20,40,2,0.00067494
40,40,2,0.22222
60,40,2,0.015512
90,40,2,0.084784
110,40,2,0.14489
130,40,2,0.17403
1000,40,2,0.20211
21,40,2,0.00021833
41,40,2,0.0098624
61,40,2,0.0062933
91,40,2,0.036812
111,40,2,0.085037
131,40,2,0.12617
1001,40,2,0.2021
20,60,2,0.00023544
40,60,2,0.0014337
60,60,2,0.1892
90,60,2,0.029576
110,60,2,0.050543
130,60,2,0.060708
1000,60,2,0.070504
21,60,2,7.6161e-05
41,60,2,0.00045183
61,60,2,0.011488
91,60,2,0.012841
111,60,2,0.029664
131,60,2,0.044011
1001,60,2,0.0705
20,90,2,0.00015696
40,90,2,0.00095579
60,90,2,0.0036075
90,90,2,0.28131
110,90,2,0.033695
130,90,2,0.040472
1000,90,2,0.047003
21,90,2,5.0774e-05
41,90,2,0.00030122
61,90,2,0.0014635
91,90,2,0.022717
111,90,2,0.019776
131,90,2,0.029341
1001,90,2,0.047
20,110,2,7.0633e-05
40,110,2,0.0004301
60,110,2,0.0016234
90,110,2,0.0088728
110,110,2,0.17411
130,110,2,0.018212
1000,110,2,0.021151
21,110,2,2.2848e-05
41,110,2,0.00013555
61,110,2,0.0006586
91,110,2,0.0038524
111,110,2,0.020526
131,110,2,0.013203
1001,110,2,0.02115
20,130,2,3.7279e-05
40,130,2,0.000227
60,130,2,0.00085678
90,130,2,0.0046829
110,130,2,0.0080026
130,130,2,0.10005
1000,130,2,0.011163
21,130,2,1.2059e-05
41,130,2,7.154e-05
61,130,2,0.00034759
91,130,2,0.0020332
111,130,2,0.0046968
131,130,2,0.01514
1001,130,2,0.011163
20,1000,2,4.9443e-09
40,1000,2,3.0107e-08
60,1000,2,1.1364e-07
90,1000,2,6.2109e-07
110,1000,2,1.0614e-06
130,1000,2,1.2749e-06
1000,1000,2,1.4052e-05
21,1000,2,1.5994e-09
41,1000,2,9.4885e-09
61,1000,2,4.6102e-08
91,1000,2,2.6967e-07
111,1000,2,6.2295e-07
131,1000,2,9.2424e-07
1001,1000,2,3.0473e-06
20,21,2,0.033687
40,21,2,0.0030107
60,21,2,0.011364
90,21,2,0.062109
110,21,2,0.10614
130,21,2,0.12749
1000,21,2,0.14806
21,21,2,0.17592
41,21,2,0.00094885
61,21,2,0.0046102
91,21,2,0.026967
111,21,2,0.062295
131,21,2,0.092424
1001,21,2,0.14805
20,41,2,0.00067494
40,41,2,0.073086
60,41,2,0.015512
90,41,2,0.084784
110,41,2,0.14489
130,41,2,0.17403
1000,41,2,0.20211
21,41,2,0.00021833
41,41,2,0.35714
61,41,2,0.0062933
91,41,2,0.036812
111,41,2,0.085037
131,41,2,0.12617
1001,41,2,0.2021
20,61,2,0.00023544
40,61,2,0.0014337
60,61,2,0.063534
90,61,2,0.029576
110,61,2,0.050543
130,61,2,0.060708
1000,61,2,0.070504
21,61,2,7.6161e-05
41,61,2,0.00045183
61,61,2,0.3882
91,61,2,0.012841
111,61,2,0.029664
131,61,2,0.044011
1001,61,2,0.0705
20,91,2,0.00015696
40,91,2,0.00095579
60,91,2,0.0036075
90,91,2,0.10245
110,91,2,0.033695
130,91,2,0.040472
1000,91,2,0.047003
21,91,2,5.0774e-05
41,91,2,0.00030122
61,91,2,0.0014635
91,91,2,0.59655
111,91,2,0.019776
131,91,2,0.029341
1001,91,2,0.047
20,111,2,7.0633e-05
40,111,2,0.0004301
60,111,2,0.0016234
90,111,2,0.0088728
110,111,2,0.06543
130,111,2,0.018212
1000,111,2,0.021151
21,111,2,2.2848e-05
41,111,2,0.00013555
61,111,2,0.0006586
91,111,2,0.0038524
111,111,2,0.49184
131,111,2,0.013203
1001,111,2,0.02115
20,131,2,3.7279e-05
40,131,2,0.000227
60,131,2,0.00085678
90,131,2,0.0046829
110,131,2,0.0080026
130,131,2,0.038212
1000,131,2,0.011163
21,131,2,1.2059e-05
41,131,2,7.154e-05
61,131,2,0.00034759
91,131,2,0.0020332
111,131,2,0.0046968
131,131,2,0.34637
1001,131,2,0.011163
20,1001,2,4.9443e-09
40,1001,2,3.0107e-08
60,1001,2,1.1364e-07
90,1001,2,6.2109e-07
110,1001,2,1.0614e-06
130,1001,2,1.2749e-06
1000,1001,2,5.4564e-06
21,1001,2,1.5994e-09
41,1001,2,9.4885e-09
61,1001,2,4.6102e-08
91,1001,2,2.6967e-07
111,1001,2,6.2295e-07
131,1001,2,9.2424e-07
1001,1001,2,6.6559e-05
