utterance,meaning,valence,probability
350,350,1,0.44211
600,350,1,0.039865
840,350,1,0.06174
1090,350,1,0.020728
1330,350,1,0.0082216
1570,350,1,0.0019481
10000,350,1,8.8571e-13
351,350,1,0.044525
601,350,1,0.011849
841,350,1,0.021413
1091,350,1,0.008032
1331,350,1,0.0050534
1571,350,1,0.001222
10001,350,1,8.8567e-13
350,600,1,0.088131
600,600,1,0.40004
840,600,1,0.068239
1090,600,1,0.02291
1330,600,1,0.009087
1570,600,1,0.0021532
10000,600,1,9.7894e-13
351,600,1,0.031417
601,600,1,0.026283
841,600,1,0.023667
1091,600,1,0.0088775
1331,600,1,0.0055853
1571,600,1,0.0013506
10001,600,1,9.789e-13
350,840,1,0.026229
600,840,1,0.013114
840,840,1,0.25659
1090,840,1,0.0068184
1330,840,1,0.0027045
1570,840,1,0.00064083
10000,840,1,2.9135e-13
351,840,1,0.0093504
601,840,1,0.0038977
841,840,1,0.017257
1091,840,1,0.0026421
1331,840,1,0.0016623
1571,840,1,0.00040197
10001,840,1,2.9134e-13
350,1090,1,0.0041967
600,1090,1,0.0020982
840,1090,1,0.0032495
1090,1090,1,0.080416
1330,1090,1,0.00043272
1570,1090,1,0.00010253
10000,1090,1,4.6616e-14
351,1090,1,0.0014961
601,1090,1,0.00062363
841,1090,1,0.001127
1091,1090,1,0.0042538
1331,1090,1,0.00026597
1571,1090,1,6.4314e-05
10001,1090,1,4.6614e-14
350,1330,1,0.00052459
600,1330,1,0.00026227
840,1330,1,0.00040619
1090,1330,1,0.00013637
1330,1330,1,0.015786
1570,1330,1,1.2817e-05
10000,1330,1,5.827e-15
351,1330,1,0.00018701
601,1330,1,7.7953e-05
841,1330,1,0.00014088
1091,1330,1,5.2842e-05
1331,1330,1,0.0012384
1571,1330,1,8.0393e-06
10001,1330,1,5.8268e-15
350,1570,1,0.00026229
600,1570,1,0.00013114
840,1570,1,0.00020309
1090,1570,1,6.8184e-05
1330,1570,1,2.7045e-05
1570,1570,1,0.0074618
10000,1570,1,2.9135e-15
351,1570,1,9.3504e-05
601,1570,1,3.8977e-05
841,1570,1,7.0438e-05
1091,1570,1,2.6421e-05
1331,1570,1,1.6623e-05
1571,1570,1,0.00058687
10001,1570,1,2.9134e-15
350,10000,1,3.3049e-13
600,10000,1,1.6523e-13
840,10000,1,2.559e-13
1090,10000,1,8.5912e-14
1330,10000,1,3.4076e-14
1570,10000,1,8.0744e-15
10000,10000,1,1.0677e-11
351,10000,1,1.1781e-13
