utterance,meaning,valence,probability
540,540,1,0.53909
1250,540,1,0.12736
1950,540,1,0.16057
2650,540,1,0.060382
3350,540,1,0.024651
4050,540,1,0.0057975
10000,540,1,2.385e-12
541,540,1,0.047577
1251,540,1,0.044171
1951,540,1,0.064962
2651,540,1,0.026336
3351,540,1,0.01918
4051,540,1,0.0043852
10001,540,1,2.3849e-12
540,1250,1,0.026793
1250,1250,1,0.31863
1950,1250,1,0.044245
2650,1250,1,0.016639
3350,1250,1,0.0067929
4050,1250,1,0.0015975
10000,1250,1,6.5721e-13
541,1250,1,0.0083696
1251,1250,1,0.024428
1951,1250,1,0.017901
2651,1250,1,0.0072572
3351,1250,1,0.0052852
4051,1250,1,0.0012084
10001,1250,1,6.5717e-13
540,1950,1,0.0096104
1250,1950,1,0.012588
1950,1950,1,0.20051
2650,1950,1,0.0059683
3350,1950,1,0.0024366
4050,1950,1,0.00057303
10000,1950,1,2.3574e-13
541,1950,1,0.0030021
1251,1950,1,0.004366
1951,1950,1,0.015731
2651,1950,1,0.0026031
3351,1950,1,0.0018958
4051,1950,1,0.00043345
10001,1950,1,2.3572e-13
540,2650,1,0.0014367
1250,2650,1,0.0018819
1950,2650,1,0.0023726
2650,2650,1,0.065768
3350,2650,1,0.00036426
4050,2650,1,8.5666e-05
10000,2650,1,3.5241e-14
541,2650,1,0.0004488
1251,2650,1,0.00065269
1951,2650,1,0.00095991
2651,2650,1,0.0039159
3351,2650,1,0.00028341
4051,2650,1,6.4798e-05
10001,2650,1,3.524e-14
540,3350,1,9.7075e-05
1250,3350,1,0.00012716
1950,3350,1,0.00016031
2650,3350,1,6.0286e-05
3350,3350,1,0.007183
4050,3350,1,5.7882e-06
10000,3350,1,2.3812e-15
541,3350,1,3.0325e-05
1251,3350,1,4.4101e-05
1951,3350,1,6.4859e-05
2651,3350,1,2.6294e-05
3351,3350,1,0.00071331
4051,3350,1,4.3782e-06
10001,3350,1,2.381e-15
540,4050,1,5.8245e-05
1250,4050,1,7.6294e-05
1950,4050,1,9.6185e-05
2650,4050,1,3.6172e-05
3350,4050,1,1.4767e-05
4050,4050,1,0.0040439
10000,4050,1,1.4287e-15
541,4050,1,1.8195e-05
1251,4050,1,2.6461e-05
1951,4050,1,3.8915e-05
2651,4050,1,1.5776e-05
3351,4050,1,1.1489e-05
4051,4050,1,0.00038353
10001,4050,1,1.4286e-15
540,10000,1,1.9473e-13
1250,10000,1,2.5507e-13
1950,10000,1,3.2158e-13
2650,10000,1,1.2093e-13
3350,10000,1,4.9372e-14
4050,10000,1,1.1611e-14
10000,10000,1,1.3893e-11
541,10000,1,6.0831e-14
1251,10000,1,8.8466e-14
1951,10000,1,1.3011e-13
2651,10000,1,5.2746e-14
3351,10000,1,3.8413e-14
4051,10000,1,8.7827e-15
10001,10000,1,1.7314e-12
540,541,1,0.23697
1250,541,1,0.12736
1950,541,1,0.16057
2650,541,1,0.060382
3350,541,1,0.024651
4050,541,1,0.0057975
10000,541,1,2.385e-12
