utterance,meaning,valence,probability
1,1,1,0.55996
2,1,1,0.0034943
3,1,1,0.14189
4,1,1,0.0061661
5,1,1,0.1706
6,1,1,0.013572
7,1,1,0.15227
8,1,1,0.014915
9,1,1,0.032502
10,1,1,0.0014559
1,2,1,0.24283
2,2,1,0.79644
3,2,1,0.47139
4,2,1,0.18791
5,2,1,0.30967
6,2,1,0.013695
7,2,1,0.15227
8,2,1,0.014915
9,2,1,0.032502
10,2,1,0.0014559
1,3,1,0.016105
2,3,1,0.0004529
3,3,1,0.15332
4,3,1,0.0037676
5,3,1,0.053444
6,3,1,0.0024733
7,3,1,0.026722
8,3,1,0.0026166
9,3,1,0.0057021
10,3,1,0.00025542
1,4,1,0.015977
2,4,1,0.00044307
3,4,1,0.054308
4,4,1,0.52833
5,4,1,0.17689
6,4,1,0.20495
7,4,1,0.088351
8,4,1,0.0026737
9,4,1,0.0057024
10,4,1,0.00025542
1,5,1,0.0021376
2,5,1,5.2351e-05
3,5,1,0.0030672
4,5,1,0.0001603
5,5,1,0.041746
6,5,1,0.0019337
7,5,1,0.0095779
8,5,1,0.00037224
9,5,1,0.00076437
10,5,1,3.4209e-05
1,6,1,0.0021376
2,6,1,5.2351e-05
3,6,1,0.0030643
4,6,1,0.00015816
5,6,1,0.013146
6,6,1,0.33273
7,6,1,0.046504
8,6,1,0.052588
9,6,1,0.0082041
10,6,1,4.7954e-05
1,7,1,0.00042753
2,7,1,1.047e-05
3,7,1,0.00061277
4,7,1,2.8889e-05
5,7,1,0.00080351
6,7,1,8.1773e-05
7,7,1,0.017515
8,7,1,0.0007918
9,7,1,0.0012799
10,7,1,1.6493e-05
1,8,1,0.00042753
2,8,1,1.047e-05
3,8,1,0.00061277
4,8,1,2.8889e-05
5,8,1,0.00080209
6,8,1,9.4496e-05
7,8,1,0.0051726
8,8,1,0.23909
9,8,1,0.010282
10,8,1,0.042393
1,9,1,2.8502e-06
2,9,1,6.9801e-08
3,9,1,4.0852e-06
4,9,1,1.926e-07
5,9,1,5.3444e-06
6,9,1,4.252e-07
7,9,1,4.8115e-06
8,9,1,8.4807e-07
9,9,1,0.00014134
10,9,1,1.5172e-05
1,10,1,2.8502e-06
2,10,1,6.9801e-08
3,10,1,4.0852e-06
4,10,1,1.926e-07
5,10,1,5.3444e-06
6,10,1,4.252e-07
7,10,1,4.7828e-06
8,10,1,1.3121e-06
9,10,1,6.4118e-05
10,10,1,0.0064891
1,1,2,0.11887
2,1,2,0.00035811
3,1,2,0.0077767
4,1,2,0.00029766
5,1,2,0.026941
6,1,2,0.0032567
7,1,2,0.12979
8,1,2,0.020753
9,1,2,0.29256
10,1,2,0.070548
1,2,2,0.039589
2,2,2,0.1986
3,2,2,0.090153
4,2,2,0.045735
5,2,2,0.061709
6,2,2,0.0032873
7,2,2,0.12979
8,2,2,0.020753
9,2,2,0.29256
10,2,2,0.070548
1,3,2,0.00055084
2,3,2,3.9079e-05
3,3,2,0.057378
4,3,2,0.0012406
5,3,2,0.01818
6,3,2,0.001019
7,3,2,0.039038
8,3,2,0.0062416
9,3,2,0.087988
10,3,2,0.021218
1,4,2,0.00049634
2,4,2,3.4866e-05
3,4,2,0.014946
4,4,2,0.22605
5,4,2,0.071084
6,4,2,0.087795
7,4,2,0.065451
8,4,2,0.0062661
9,4,2,0.087988
10,4,2,0.021218
1,5,2,0.00015291
2,5,2,3.9062e-06
3,5,2,0.00046432
4,5,2,4.34e-05
5,5,2,0.04027
6,5,2,0.0019209
7,5,2,0.018199
8,5,2,0.0019723
9,5,2,0.027497
10,5,2,0.0066305
1,6,2,0.00015291
2,6,2,3.9061e-06
3,6,2,0.00046134
4,6,2,4.1254e-05
5,6,2,0.01167
6,6,2,0.33271
7,6,2,0.055124
8,6,2,0.054188
9,6,2,0.034937
10,6,2,0.0066442
1,7,2,7.1359e-05
2,7,2,1.8228e-06
3,7,2,0.00021511
4,7,2,1.2853e-05
5,7,2,0.0011859
6,7,2,0.00018482
7,7,2,0.044891
8,7,2,0.0025942
9,7,2,0.015462
10,7,2,0.0031167
1,8,2,7.1359e-05
2,8,2,1.8228e-06
3,8,2,0.00021511
4,8,2,1.2853e-05
5,8,2,0.0011826
6,8,2,0.00021451
7,8,2,0.016092
8,8,2,0.55863
9,8,2,0.036467
10,8,2,0.10199
1,9,2,2.0184e-05
2,9,2,5.156e-07
3,9,2,6.0845e-05
4,9,2,3.6356e-06
5,9,2,0.00033422
6,9,2,4.0403e-05
7,9,2,0.0016143
8,9,2,0.00029517
9,9,2,0.017522
10,9,2,0.0023727
1,10,2,2.0184e-05
2,10,2,5.156e-07
3,10,2,6.0845e-05
4,10,2,3.6356e-06
5,10,2,0.00033422
6,10,2,4.0402e-05
7,10,2,0.0016114
8,10,2,0.00034111
9,10,2,0.0098764
10,10,2,0.64329
