utterance,meaning,valence,probability,affect_prior
20,20,1,0.53914,0.19004
50,20,1,0.077269,0.19004
100,20,1,0.090418,0.19004
200,20,1,0.093772,0.19004
500,20,1,0.093772,0.19004
1000,20,1,0.093772,0.19004
2000,20,1,0.093772,0.19004
10000,20,1,0.13562,0.19004
21,20,1,0.042013,0.19004
51,20,1,0.023861,0.19004
101,20,1,0.035186,0.19004
201,20,1,0.048477,0.19004
501,20,1,0.048477,0.19004
1001,20,1,0.048477,0.19004
2001,20,1,0.048477,0.19004
10001,20,1,0.13562,0.19004
20,50,1,0.032805,0.40284
50,50,1,0.36111,0.40284
100,50,1,0.036825,0.40284
200,50,1,0.038191,0.40284
500,50,1,0.038191,0.40284
1000,50,1,0.038191,0.40284
2000,50,1,0.038191,0.40284
10000,50,1,0.055237,0.40284
21,50,1,0.0099559,0.40284
51,50,1,0.022567,0.40284
101,50,1,0.014331,0.40284
201,50,1,0.019744,0.40284
501,50,1,0.019744,0.40284
1001,50,1,0.019744,0.40284
2001,50,1,0.019744,0.40284
10001,50,1,0.055234,0.40284
20,100,1,0.0055063,0.61001
50,100,1,0.0052824,0.61001
100,100,1,0.1578,0.61001
200,100,1,0.0064105,0.61001
500,100,1,0.0064105,0.61001
1000,100,1,0.0064105,0.61001
2000,100,1,0.0064105,0.61001
10000,100,1,0.0092716,0.61001
21,100,1,0.0016711,0.61001
51,100,1,0.0016312,0.61001
101,100,1,0.0098214,0.61001
201,100,1,0.0033141,0.61001
501,100,1,0.0033141,0.61001
1001,100,1,0.0033141,0.61001
2001,100,1,0.0033141,0.61001
10001,100,1,0.0092712,0.61001
20,200,1,0.0017503,0.6814
50,200,1,0.0016791,0.6814
100,200,1,0.0019649,0.6814
200,200,1,0.076734,0.6814
500,200,1,0.0020377,0.6814
1000,200,1,0.0020377,0.6814
2000,200,1,0.0020377,0.6814
10000,200,1,0.0029472,0.6814
21,200,1,0.0005312,0.6814
51,200,1,0.00051852,0.6814
101,200,1,0.00076463,0.6814
201,200,1,0.0058664,0.6814
501,200,1,0.0010534,0.6814
1001,200,1,0.0010534,0.6814
2001,200,1,0.0010534,0.6814
10001,200,1,0.0029471,0.6814
20,500,1,0.0017503,0.6814
50,500,1,0.0016791,0.6814
100,500,1,0.0019649,0.6814
200,500,1,0.0020377,0.6814
500,500,1,0.076734,0.6814
1000,500,1,0.0020377,0.6814
2000,500,1,0.0020377,0.6814
10000,500,1,0.0029472,0.6814
21,500,1,0.0005312,0.6814
51,500,1,0.00051852,0.6814
101,500,1,0.00076463,0.6814
201,500,1,0.0010534,0.6814
501,500,1,0.0058664,0.6814
1001,500,1,0.0010534,0.6814
2001,500,1,0.0010534,0.6814
10001,500,1,0.0029471,0.6814
20,1000,1,0.0017503,0.6814
50,1000,1,0.0016791,0.6814
100,1000,1,0.0019649,0.6814
200,1000,1,0.0020377,0.6814
500,1000,1,0.0020377,0.6814
1000,1000,1,0.076734,0.6814
2000,1000,1,0.0020377,0.6814
10000,1000,1,0.0029472,0.6814
21,1000,1,0.0005312,0.6814
51,1000,1,0.00051852,0.6814
101,1000,1,0.00076463,0.6814
201,1000,1,0.0010534,0.6814
501,1000,1,0.0010534,0.6814
1001,1000,1,0.0058664,0.6814
2001,1000,1,0.0010534,0.6814
10001,1000,1,0.0029471,0.6814
20,2000,1,0.0017503,0.6814
50,2000,1,0.0016791,0.6814
100,2000,1,0.0019649,0.6814
200,2000,1,0.0020377,0.6814
500,2000,1,0.0020377,0.6814
1000,2000,1,0.0020377,0.6814
2000,2000,1,0.076734,0.6814
10000,2000,1,0.0029472,0.6814
21,2000,1,0.0005312,0.6814
51,2000,1,0.00051852,0.6814
101,2000,1,0.00076463,0.6814
201,2000,1,0.0010534,0.6814
501,2000,1,0.0010534,0.6814
1001,2000,1,0.0010534,0.6814
2001,2000,1,0.0058664,0.6814
10001,2000,1,0.0029471,0.6814
20,10000,1,6.0685e-08,0.6814
50,10000,1,5.8217e-08,0.6814
100,10000,1,6.8123e-08,0.6814
200,10000,1,7.065e-08,0.6814
500,10000,1,7.065e-08,0.6814
1000,10000,1,7.065e-08,0.6814
2000,10000,1,7.065e-08,0.6814
10000,10000,1,3.8478e-06,0.6814
21,10000,1,1.8417e-08,0.6814
51,10000,1,1.7978e-08,0.6814
101,10000,1,2.651e-08,0.6814
201,10000,1,3.6524e-08,0.6814
501,10000,1,3.6524e-08,0.6814
1001,10000,1,3.6524e-08,0.6814
2001,10000,1,3.6524e-08,0.6814
10001,10000,1,5.69e-07,0.6814
20,21,1,0.22329,0.19824
50,21,1,0.076487,0.19824
100,21,1,0.089502,0.19824
200,21,1,0.092822,0.19824
500,21,1,0.092822,0.19824
1000,21,1,0.092822,0.19824
2000,21,1,0.092822,0.19824
10000,21,1,0.13425,0.19824
21,21,1,0.74651,0.19824
51,21,1,0.02362,0.19824
101,21,1,0.03483,0.19824
201,21,1,0.047986,0.19824
501,21,1,0.047986,0.19824
1001,21,1,0.047986,0.19824
2001,21,1,0.047986,0.19824
10001,21,1,0.13424,0.19824
20,51,1,0.032472,0.40889
50,51,1,0.13434,0.40889
100,51,1,0.036452,0.40889
200,51,1,0.037804,0.40889
500,51,1,0.037804,0.40889
1000,51,1,0.037804,0.40889
2000,51,1,0.037804,0.40889
10000,51,1,0.054677,0.40889
21,51,1,0.009855,0.40889
51,51,1,0.53791,0.40889
101,51,1,0.014186,0.40889
201,51,1,0.019544,0.40889
501,51,1,0.019544,0.40889
1001,51,1,0.019544,0.40889
2001,51,1,0.019544,0.40889
10001,51,1,0.054674,0.40889
20,101,1,0.0054692,0.61265
50,101,1,0.0052467,0.61265
100,101,1,0.053764,0.61265
200,101,1,0.0063673,0.61265
500,101,1,0.0063673,0.61265
1000,101,1,0.0063673,0.61265
2000,101,1,0.0063673,0.61265
10000,101,1,0.0092091,0.61265
21,101,1,0.0016598,0.61265
51,101,1,0.0016202,0.61265
101,101,1,0.30834,0.61265
201,101,1,0.0032917,0.61265
501,101,1,0.0032917,0.61265
1001,101,1,0.0032917,0.61265
2001,101,1,0.0032917,0.61265
10001,101,1,0.0092086,0.61265
20,201,1,0.0017503,0.6814
50,201,1,0.0016791,0.6814
100,201,1,0.0019649,0.6814
200,201,1,0.025661,0.6814
500,201,1,0.0020377,0.6814
1000,201,1,0.0020377,0.6814
2000,201,1,0.0020377,0.6814
10000,201,1,0.0029472,0.6814
21,201,1,0.0005312,0.6814
51,201,1,0.00051852,0.6814
101,201,1,0.00076463,0.6814
201,201,1,0.20096,0.6814
501,201,1,0.0010534,0.6814
1001,201,1,0.0010534,0.6814
2001,201,1,0.0010534,0.6814
10001,201,1,0.0029471,0.6814
20,501,1,0.0017503,0.6814
50,501,1,0.0016791,0.6814
100,501,1,0.0019649,0.6814
200,501,1,0.0020377,0.6814
500,501,1,0.025661,0.6814
1000,501,1,0.0020377,0.6814
2000,501,1,0.0020377,0.6814
10000,501,1,0.0029472,0.6814
21,501,1,0.0005312,0.6814
51,501,1,0.00051852,0.6814
101,501,1,0.00076463,0.6814
201,501,1,0.0010534,0.6814
501,501,1,0.20096,0.6814
1001,501,1,0.0010534,0.6814
2001,501,1,0.0010534,0.6814
10001,501,1,0.0029471,0.6814
20,1001,1,0.0017503,0.6814
50,1001,1,0.0016791,0.6814
100,1001,1,0.0019649,0.6814
200,1001,1,0.0020377,0.6814
500,1001,1,0.0020377,0.6814
1000,1001,1,0.025661,0.6814
2000,1001,1,0.0020377,0.6814
10000,1001,1,0.0029472,0.6814
21,1001,1,0.0005312,0.6814
51,1001,1,0.00051852,0.6814
101,1001,1,0.00076463,0.6814
201,1001,1,0.0010534,0.6814
501,1001,1,0.0010534,0.6814
1001,1001,1,0.20096,0.6814
2001,1001,1,0.0010534,0.6814
10001,1001,1,0.0029471,0.6814
20,2001,1,0.0017503,0.6814
50,2001,1,0.0016791,0.6814
100,2001,1,0.0019649,0.6814
200,2001,1,0.0020377,0.6814
500,2001,1,0.0020377,0.6814
1000,2001,1,0.0020377,0.6814
2000,2001,1,0.025661,0.6814
10000,2001,1,0.0029472,0.6814
21,2001,1,0.0005312,0.6814
51,2001,1,0.00051852,0.6814
101,2001,1,0.00076463,0.6814
201,2001,1,0.0010534,0.6814
501,2001,1,0.0010534,0.6814
1001,2001,1,0.0010534,0.6814
2001,2001,1,0.20096,0.6814
10001,2001,1,0.0029471,0.6814
20,10001,1,6.0685e-08,0.6814
50,10001,1,5.8217e-08,0.6814
100,10001,1,6.8123e-08,0.6814
