utterance,meaning,valence,probability,affect_prior
20,20,1,0.64692,0.19004
50,20,1,0.061377,0.19004
100,20,1,0.076521,0.19004
200,20,1,0.084602,0.19004
500,20,1,0.084602,0.19004
1000,20,1,0.084602,0.19004
2000,20,1,0.084602,0.19004
10000,20,1,0.13595,0.19004
21,20,1,0.1268,0.19004
51,20,1,0.06072,0.19004
101,20,1,0.075959,0.19004
201,20,1,0.084602,0.19004
501,20,1,0.084602,0.19004
1001,20,1,0.084602,0.19004
2001,20,1,0.084602,0.19004
10001,20,1,0.13595,0.19004
20,50,1,0.025918,0.40284
50,50,1,0.44651,0.40284
100,50,1,0.031165,0.40284
200,50,1,0.034457,0.40284
500,50,1,0.034457,0.40284
1000,50,1,0.034457,0.40284
2000,50,1,0.034457,0.40284
10000,50,1,0.055368,0.40284
21,50,1,0.025651,0.40284
51,50,1,0.070835,0.40284
101,50,1,0.030937,0.40284
201,50,1,0.034457,0.40284
501,50,1,0.034457,0.40284
1001,50,1,0.034457,0.40284
2001,50,1,0.034457,0.40284
10001,50,1,0.055368,0.40284
20,100,1,0.0043504,0.61001
50,100,1,0.0041959,0.61001
100,100,1,0.21179,0.61001
200,100,1,0.0057836,0.61001
500,100,1,0.0057836,0.61001
1000,100,1,0.0057836,0.61001
2000,100,1,0.0057836,0.61001
10000,100,1,0.0092937,0.61001
21,100,1,0.0043056,0.61001
51,100,1,0.004151,0.61001
101,100,1,0.027767,0.61001
201,100,1,0.0057836,0.61001
501,100,1,0.0057836,0.61001
1001,100,1,0.0057836,0.61001
2001,100,1,0.0057836,0.61001
10001,100,1,0.0092937,0.61001
20,200,1,0.0013829,0.6814
50,200,1,0.0013338,0.6814
100,200,1,0.0016629,0.6814
200,200,1,0.11033,0.6814
500,200,1,0.0018385,0.6814
1000,200,1,0.0018385,0.6814
2000,200,1,0.0018385,0.6814
10000,200,1,0.0029542,0.6814
21,200,1,0.0013686,0.6814
51,200,1,0.0013195,0.6814
101,200,1,0.0016506,0.6814
201,200,1,0.013682,0.6814
501,200,1,0.0018385,0.6814
1001,200,1,0.0018385,0.6814
2001,200,1,0.0018385,0.6814
10001,200,1,0.0029542,0.6814
20,500,1,0.0013829,0.6814
50,500,1,0.0013338,0.6814
100,500,1,0.0016629,0.6814
200,500,1,0.0018385,0.6814
500,500,1,0.11033,0.6814
1000,500,1,0.0018385,0.6814
2000,500,1,0.0018385,0.6814
10000,500,1,0.0029542,0.6814
21,500,1,0.0013686,0.6814
51,500,1,0.0013195,0.6814
101,500,1,0.0016506,0.6814
201,500,1,0.0018385,0.6814
501,500,1,0.013682,0.6814
1001,500,1,0.0018385,0.6814
2001,500,1,0.0018385,0.6814
10001,500,1,0.0029542,0.6814
20,1000,1,0.0013829,0.6814
50,1000,1,0.0013338,0.6814
100,1000,1,0.0016629,0.6814
200,1000,1,0.0018385,0.6814
500,1000,1,0.0018385,0.6814
1000,1000,1,0.11033,0.6814
2000,1000,1,0.0018385,0.6814
10000,1000,1,0.0029542,0.6814
21,1000,1,0.0013686,0.6814
51,1000,1,0.0013195,0.6814
101,1000,1,0.0016506,0.6814
201,1000,1,0.0018385,0.6814
501,1000,1,0.0018385,0.6814
1001,1000,1,0.013682,0.6814
2001,1000,1,0.0018385,0.6814
10001,1000,1,0.0029542,0.6814
20,2000,1,0.0013829,0.6814
50,2000,1,0.0013338,0.6814
100,2000,1,0.0016629,0.6814
200,2000,1,0.0018385,0.6814
500,2000,1,0.0018385,0.6814
1000,2000,1,0.0018385,0.6814
2000,2000,1,0.11033,0.6814
10000,2000,1,0.0029542,0.6814
21,2000,1,0.0013686,0.6814
51,2000,1,0.0013195,0.6814
101,2000,1,0.0016506,0.6814
201,2000,1,0.0018385,0.6814
501,2000,1,0.0018385,0.6814
1001,2000,1,0.0018385,0.6814
2001,2000,1,0.013682,0.6814
10001,2000,1,0.0029542,0.6814
20,10000,1,4.7945e-08,0.6814
50,10000,1,4.6243e-08,0.6814
100,10000,1,5.7653e-08,0.6814
200,10000,1,6.3741e-08,0.6814
500,10000,1,6.3741e-08,0.6814
1000,10000,1,6.3741e-08,0.6814
2000,10000,1,6.3741e-08,0.6814
10000,10000,1,6.1467e-06,0.6814
21,10000,1,4.7451e-08,0.6814
51,10000,1,4.5748e-08,0.6814
101,10000,1,5.723e-08,0.6814
201,10000,1,6.3741e-08,0.6814
501,10000,1,6.3741e-08,0.6814
1001,10000,1,6.3741e-08,0.6814
2001,10000,1,6.3741e-08,0.6814
10001,10000,1,7.6227e-07,0.6814
20,21,1,0.12602,0.19824
50,21,1,0.060755,0.19824
100,21,1,0.075746,0.19824
200,21,1,0.083745,0.19824
500,21,1,0.083745,0.19824
1000,21,1,0.083745,0.19824
2000,21,1,0.083745,0.19824
10000,21,1,0.13457,0.19824
21,21,1,0.64105,0.19824
51,21,1,0.060105,0.19824
101,21,1,0.07519,0.19824
201,21,1,0.083745,0.19824
501,21,1,0.083745,0.19824
1001,21,1,0.083745,0.19824
2001,21,1,0.083745,0.19824
10001,21,1,0.13457,0.19824
20,51,1,0.025655,0.40889
50,51,1,0.070294,0.40889
100,51,1,0.03085,0.40889
200,51,1,0.034107,0.40889
500,51,1,0.034107,0.40889
1000,51,1,0.034107,0.40889
2000,51,1,0.034107,0.40889
10000,51,1,0.054807,0.40889
21,51,1,0.025391,0.40889
51,51,1,0.44252,0.40889
101,51,1,0.030623,0.40889
201,51,1,0.034107,0.40889
501,51,1,0.034107,0.40889
1001,51,1,0.034107,0.40889
2001,51,1,0.034107,0.40889
10001,51,1,0.054807,0.40889
20,101,1,0.004321,0.61265
50,101,1,0.0041676,0.61265
100,101,1,0.027594,0.61265
200,101,1,0.0057446,0.61265
500,101,1,0.0057446,0.61265
1000,101,1,0.0057446,0.61265
2000,101,1,0.0057446,0.61265
10000,101,1,0.009231,0.61265
21,101,1,0.0042765,0.61265
51,101,1,0.004123,0.61265
101,101,1,0.21054,0.61265
201,101,1,0.0057446,0.61265
501,101,1,0.0057446,0.61265
1001,101,1,0.0057446,0.61265
2001,101,1,0.0057446,0.61265
10001,101,1,0.009231,0.61265
20,201,1,0.0013829,0.6814
50,201,1,0.0013338,0.6814
100,201,1,0.0016629,0.6814
200,201,1,0.013682,0.6814
500,201,1,0.0018385,0.6814
1000,201,1,0.0018385,0.6814
2000,201,1,0.0018385,0.6814
10000,201,1,0.0029542,0.6814
21,201,1,0.0013686,0.6814
51,201,1,0.0013195,0.6814
101,201,1,0.0016506,0.6814
201,201,1,0.11033,0.6814
501,201,1,0.0018385,0.6814
1001,201,1,0.0018385,0.6814
2001,201,1,0.0018385,0.6814
10001,201,1,0.0029542,0.6814
20,501,1,0.0013829,0.6814
50,501,1,0.0013338,0.6814
100,501,1,0.0016629,0.6814
200,501,1,0.0018385,0.6814
500,501,1,0.013682,0.6814
1000,501,1,0.0018385,0.6814
2000,501,1,0.0018385,0.6814
10000,501,1,0.0029542,0.6814
21,501,1,0.0013686,0.6814
51,501,1,0.0013195,0.6814
101,501,1,0.0016506,0.6814
201,501,1,0.0018385,0.6814
501,501,1,0.11033,0.6814
1001,501,1,0.0018385,0.6814
2001,501,1,0.0018385,0.6814
10001,501,1,0.0029542,0.6814
20,1001,1,0.0013829,0.6814
50,1001,1,0.0013338,0.6814
100,1001,1,0.0016629,0.6814
200,1001,1,0.0018385,0.6814
500,1001,1,0.0018385,0.6814
1000,1001,1,0.013682,0.6814
2000,1001,1,0.0018385,0.6814
10000,1001,1,0.0029542,0.6814
21,1001,1,0.0013686,0.6814
51,1001,1,0.0013195,0.6814
101,1001,1,0.0016506,0.6814
201,1001,1,0.0018385,0.6814
501,1001,1,0.0018385,0.6814
1001,1001,1,0.11033,0.6814
2001,1001,1,0.0018385,0.6814
10001,1001,1,0.0029542,0.6814
20,2001,1,0.0013829,0.6814
50,2001,1,0.0013338,0.6814
100,2001,1,0.0016629,0.6814
200,2001,1,0.0018385,0.6814
500,2001,1,0.0018385,0.6814
1000,2001,1,0.0018385,0.6814
2000,2001,1,0.013682,0.6814
10000,2001,1,0.0029542,0.6814
21,2001,1,0.0013686,0.6814
51,2001,1,0.0013195,0.6814
101,2001,1,0.0016506,0.6814
201,2001,1,0.0018385,0.6814
501,2001,1,0.0018385,0.6814
1001,2001,1,0.0018385,0.6814
2001,2001,1,0.11033,0.6814
10001,2001,1,0.0029542,0.6814
20,10001,1,4.7945e-08,0.6814
50,10001,1,4.6243e-08,0.6814
100,10001,1,5.7653e-08,0.6814
200,10001,1,6.3741e-08,0.6814
500,10001,1,6.3741e-08,0.6814
1000,10001,1,6.3741e-08,0.6814
2000,10001,1,6.3741e-08,0.6814
10000,10001,1,7.6227e-07,0.6814
21,10001,1,4.7451e-08,0.6814
51,10001,1,4.5748e-08,0.6814
101,10001,1,5.723e-08,0.6814
201,10001,1,6.3741e-08,0.6814
501,10001,1,6.3741e-08,0.6814
1001,10001,1,6.3741e-08,0.6814
2001,10001,1,6.3741e-08,0.6814
10001,10001,1,6.1467e-06,0.6814
20,20,2,0.13733,0.19004
50,20,2,0.0037923,0.19004
100,20,2,0.025286,0.19004
200,20,2,0.052045,0.19004
500,20,2,0.052045,0.19004
1000,20,2,0.052045,0.19004
2000,20,2,0.052045,0.19004
10000,20,2,0.083631,0.19004
21,20,2,0.015482,0.19004
51,20,2,0.0038708,0.19004
101,20,2,0.025449,0.19004
201,20,2,0.052045,0.19004
501,20,2,0.052045,0.19004
1001,20,2,0.052045,0.19004
2001,20,2,0.052045,0.19004
10001,20,2,0.083631,0.19004
20,50,2,0.00056293,0.40284
50,50,2,0.28879,0.40284
100,50,2,0.02961,0.40284
200,50,2,0.060945,0.40284
500,50,2,0.060945,0.40284
1000,50,2,0.060945,0.40284
2000,50,2,0.060945,0.40284
10000,50,2,0.097932,0.40284
21,50,2,0.0005947,0.40284
51,50,2,0.035634,0.40284
101,50,2,0.029801,0.40284
201,50,2,0.060945,0.40284
501,50,2,0.060945,0.40284
1001,50,2,0.060945,0.40284
2001,50,2,0.060945,0.40284
10001,50,2,0.097932,0.40284
20,100,2,0.0002191,0.61001
50,100,2,0.0017284,0.61001
100,100,2,0.33463,0.61001
200,100,2,0.02372,0.61001
500,100,2,0.02372,0.61001
1000,100,2,0.02372,0.61001
2000,100,2,0.02372,0.61001
10000,100,2,0.038116,0.61001
21,100,2,0.00023146,0.61001
51,100,2,0.0017642,0.61001
101,100,2,0.046909,0.61001
201,100,2,0.02372,0.61001
501,100,2,0.02372,0.61001
1001,100,2,0.02372,0.61001
2001,100,2,0.02372,0.61001
10001,100,2,0.038116,0.61001
20,200,2,9.5223e-05,0.6814
50,200,2,0.0007512,0.6814
100,200,2,0.0050088,0.6814
200,200,2,0.24234,0.6814
500,200,2,0.010309,0.6814
1000,200,2,0.010309,0.6814
2000,200,2,0.010309,0.6814
10000,200,2,0.016566,0.6814
21,200,2,0.0001006,0.6814
51,200,2,0.00076674,0.6814
101,200,2,0.005041,0.6814
201,200,2,0.03564,0.6814
501,200,2,0.010309,0.6814
1001,200,2,0.010309,0.6814
2001,200,2,0.010309,0.6814
10001,200,2,0.016566,0.6814
20,500,2,9.5223e-05,0.6814
50,500,2,0.0007512,0.6814
100,500,2,0.0050088,0.6814
200,500,2,0.010309,0.6814
500,500,2,0.24234,0.6814
1000,500,2,0.010309,0.6814
2000,500,2,0.010309,0.6814
10000,500,2,0.016566,0.6814
21,500,2,0.0001006,0.6814
51,500,2,0.00076674,0.6814
101,500,2,0.005041,0.6814
201,500,2,0.010309,0.6814
501,500,2,0.03564,0.6814
1001,500,2,0.010309,0.6814
2001,500,2,0.010309,0.6814
10001,500,2,0.016566,0.6814
20,1000,2,9.5223e-05,0.6814
50,1000,2,0.0007512,0.6814
100,1000,2,0.0050088,0.6814
200,1000,2,0.010309,0.6814
500,1000,2,0.010309,0.6814
1000,1000,2,0.24234,0.6814
2000,1000,2,0.010309,0.6814
10000,1000,2,0.016566,0.6814
21,1000,2,0.0001006,0.6814
51,1000,2,0.00076674,0.6814
101,1000,2,0.005041,0.6814
201,1000,2,0.010309,0.6814
501,1000,2,0.010309,0.6814
1001,1000,2,0.03564,0.6814
2001,1000,2,0.010309,0.6814
10001,1000,2,0.016566,0.6814
20,2000,2,9.5223e-05,0.6814
50,2000,2,0.0007512,0.6814
100,2000,2,0.0050088,0.6814
200,2000,2,0.010309,0.6814
500,2000,2,0.010309,0.6814
1000,2000,2,0.010309,0.6814
2000,2000,2,0.24234,0.6814
10000,2000,2,0.016566,0.6814
21,2000,2,0.0001006,0.6814
51,2000,2,0.00076674,0.6814
101,2000,2,0.005041,0.6814
201,2000,2,0.010309,0.6814
501,2000,2,0.010309,0.6814
1001,2000,2,0.010309,0.6814
2001,2000,2,0.03564,0.6814
10001,2000,2,0.016566,0.6814
20,10000,2,3.3015e-09,0.6814
50,10000,2,2.6045e-08,0.6814
100,10000,2,1.7366e-07,0.6814
200,10000,2,3.5743e-07,0.6814
500,10000,2,3.5743e-07,0.6814
1000,10000,2,3.5743e-07,0.6814
2000,10000,2,3.5743e-07,0.6814
10000,10000,2,1.3501e-05,0.6814
21,10000,2,3.4878e-09,0.6814
51,10000,2,2.6584e-08,0.6814
101,10000,2,1.7478e-07,0.6814
201,10000,2,3.5743e-07,0.6814
501,10000,2,3.5743e-07,0.6814
1001,10000,2,3.5743e-07,0.6814
2001,10000,2,3.5743e-07,0.6814
10001,10000,2,1.9856e-06,0.6814
20,21,2,0.016086,0.19824
50,21,2,0.003956,0.19824
100,21,2,0.026377,0.19824
200,21,2,0.054291,0.19824
500,21,2,0.054291,0.19824
1000,21,2,0.054291,0.19824
2000,21,2,0.054291,0.19824
10000,21,2,0.08724,0.19824
21,21,2,0.14362,0.19824
51,21,2,0.0040379,0.19824
101,21,2,0.026547,0.19824
201,21,2,0.054291,0.19824
501,21,2,0.054291,0.19824
1001,21,2,0.054291,0.19824
2001,21,2,0.054291,0.19824
10001,21,2,0.08724,0.19824
20,51,2,0.00057138,0.40889
50,51,2,0.036016,0.40889
100,51,2,0.030055,0.40889
200,51,2,0.06186,0.40889
500,51,2,0.06186,0.40889
1000,51,2,0.06186,0.40889
2000,51,2,0.06186,0.40889
10000,51,2,0.099403,0.40889
21,51,2,0.00060363,0.40889
51,51,2,0.29377,0.40889
101,51,2,0.030248,0.40889
201,51,2,0.06186,0.40889
501,51,2,0.06186,0.40889
1001,51,2,0.06186,0.40889
2001,51,2,0.06186,0.40889
10001,51,2,0.099403,0.40889
20,101,2,0.00022004,0.61265
50,101,2,0.0017359,0.61265
100,101,2,0.046999,0.61265
200,101,2,0.023823,0.61265
500,101,2,0.023823,0.61265
1000,101,2,0.023823,0.61265
2000,101,2,0.023823,0.61265
10000,101,2,0.03828,0.61265
21,101,2,0.00023246,0.61265
51,101,2,0.0017718,0.61265
101,101,2,0.33649,0.61265
201,101,2,0.023823,0.61265
501,101,2,0.023823,0.61265
1001,101,2,0.023823,0.61265
2001,101,2,0.023823,0.61265
10001,101,2,0.03828,0.61265
20,201,2,9.5223e-05,0.6814
50,201,2,0.0007512,0.6814
100,201,2,0.0050088,0.6814
200,201,2,0.03564,0.6814
500,201,2,0.010309,0.6814
1000,201,2,0.010309,0.6814
2000,201,2,0.010309,0.6814
10000,201,2,0.016566,0.6814
21,201,2,0.0001006,0.6814
51,201,2,0.00076674,0.6814
101,201,2,0.005041,0.6814
201,201,2,0.24234,0.6814
501,201,2,0.010309,0.6814
1001,201,2,0.010309,0.6814
2001,201,2,0.010309,0.6814
10001,201,2,0.016566,0.6814
20,501,2,9.5223e-05,0.6814
50,501,2,0.0007512,0.6814
100,501,2,0.0050088,0.6814
200,501,2,0.010309,0.6814
500,501,2,0.03564,0.6814
1000,501,2,0.010309,0.6814
2000,501,2,0.010309,0.6814
10000,501,2,0.016566,0.6814
21,501,2,0.0001006,0.6814
51,501,2,0.00076674,0.6814
101,501,2,0.005041,0.6814
201,501,2,0.010309,0.6814
501,501,2,0.24234,0.6814
1001,501,2,0.010309,0.6814
2001,501,2,0.010309,0.6814
10001,501,2,0.016566,0.6814
20,1001,2,9.5223e-05,0.6814
50,1001,2,0.0007512,0.6814
100,1001,2,0.0050088,0.6814
200,1001,2,0.010309,0.6814
500,1001,2,0.010309,0.6814
1000,1001,2,0.03564,0.6814
2000,1001,2,0.010309,0.6814
10000,1001,2,0.016566,0.6814
21,1001,2,0.0001006,0.6814
51,1001,2,0.00076674,0.6814
101,1001,2,0.005041,0.6814
201,1001,2,0.010309,0.6814
501,1001,2,0.010309,0.6814
1001,1001,2,0.24234,0.6814
2001,1001,2,0.010309,0.6814
10001,1001,2,0.016566,0.6814
20,2001,2,9.5223e-05,0.6814
50,2001,2,0.0007512,0.6814
100,2001,2,0.0050088,0.6814
200,2001,2,0.010309,0.6814
500,2001,2,0.010309,0.6814
1000,2001,2,0.010309,0.6814
2000,2001,2,0.03564,0.6814
10000,2001,2,0.016566,0.6814
21,2001,2,0.0001006,0.6814
51,2001,2,0.00076674,0.6814
101,2001,2,0.005041,0.6814
201,2001,2,0.010309,0.6814
501,2001,2,0.010309,0.6814
1001,2001,2,0.010309,0.6814
2001,2001,2,0.24234,0.6814
10001,2001,2,0.016566,0.6814
20,10001,2,3.3015e-09,0.6814
50,10001,2,2.6045e-08,0.6814
100,10001,2,1.7366e-07,0.6814
200,10001,2,3.5743e-07,0.6814
500,10001,2,3.5743e-07,0.6814
1000,10001,2,3.5743e-07,0.6814
2000,10001,2,3.5743e-07,0.6814
10000,10001,2,1.9856e-06,0.6814
21,10001,2,3.4878e-09,0.6814
51,10001,2,2.6584e-08,0.6814
101,10001,2,1.7478e-07,0.6814
201,10001,2,3.5743e-07,0.6814
501,10001,2,3.5743e-07,0.6814
1001,10001,2,3.5743e-07,0.6814
2001,10001,2,3.5743e-07,0.6814
10001,10001,2,1.3501e-05,0.6814
