utterance,meaning,valence,probability,affect_prior
10,10,1,0.45308,0.15682
50,10,1,0.035122,0.15682
100,10,1,0.014071,0.15682
500,10,1,0.055732,0.15682
1000,10,1,0.054425,0.15682
2000,10,1,0.054732,0.15682
10000,10,1,0.056303,0.15682
11,10,1,0.043545,0.15682
51,10,1,0.010448,0.15682
101,10,1,0.0039699,0.15682
501,10,1,0.054071,0.15682
1001,10,1,0.049432,0.15682
2001,10,1,0.050466,0.15682
10001,10,1,0.056301,0.15682
10,50,1,0.072093,0.40284
50,50,1,0.38183,0.40284
100,50,1,0.013654,0.40284
500,50,1,0.054081,0.40284
1000,50,1,0.052812,0.40284
2000,50,1,0.05311,0.40284
10000,50,1,0.054634,0.40284
11,50,1,0.025837,0.40284
51,50,1,0.023196,0.40284
101,50,1,0.0038522,0.40284
501,50,1,0.052469,0.40284
1001,50,1,0.047967,0.40284
2001,50,1,0.04897,0.40284
10001,50,1,0.054632,0.40284
10,100,1,0.05438,0.61001
50,100,1,0.025708,0.61001
100,100,1,0.25638,0.61001
500,100,1,0.040793,0.61001
1000,100,1,0.039837,0.61001
2000,100,1,0.040061,0.61001
10000,100,1,0.041211,0.61001
11,100,1,0.019489,0.61001
51,100,1,0.0076476,0.61001
101,100,1,0.011632,0.61001
501,100,1,0.039577,0.61001
1001,100,1,0.036182,0.61001
2001,100,1,0.036939,0.61001
10001,100,1,0.041209,0.61001
10,500,1,9.1691e-05,0.6814
50,500,1,4.3346e-05,0.6814
100,500,1,1.7365e-05,0.6814
500,500,1,0.0025249,0.6814
1000,500,1,6.7169e-05,0.6814
2000,500,1,6.7548e-05,0.6814
10000,500,1,6.9487e-05,0.6814
11,500,1,3.286e-05,0.6814
51,500,1,1.2895e-05,0.6814
101,500,1,4.8995e-06,0.6814
501,500,1,0.00036373,0.6814
1001,500,1,6.1007e-05,0.6814
2001,500,1,6.2283e-05,0.6814
10001,500,1,6.9484e-05,0.6814
10,1000,1,0.00030871,0.6814
50,1000,1,0.00014594,0.6814
100,1000,1,5.8466e-05,0.6814
500,1000,1,0.00023158,0.6814
1000,1000,1,0.0083015,0.6814
2000,1000,1,0.00022742,0.6814
10000,1000,1,0.00023395,0.6814
11,1000,1,0.00011064,0.6814
51,1000,1,4.3415e-05,0.6814
101,1000,1,1.6496e-05,0.6814
501,1000,1,0.00022468,0.6814
1001,1000,1,0.0011195,0.6814
2001,1000,1,0.0002097,0.6814
10001,1000,1,0.00023394,0.6814
10,2000,1,0.00025689,0.6814
50,2000,1,0.00012144,0.6814
100,2000,1,4.8652e-05,0.6814
500,2000,1,0.00019271,0.6814
1000,2000,1,0.00018819,0.6814
2000,2000,1,0.006947,0.6814
10000,2000,1,0.00019468,0.6814
11,2000,1,9.2065e-05,0.6814
51,2000,1,3.6127e-05,0.6814
101,2000,1,1.3727e-05,0.6814
501,2000,1,0.00018696,0.6814
1001,2000,1,0.00017092,0.6814
2001,2000,1,0.0009511,0.6814
10001,2000,1,0.00019467,0.6814
10,10000,1,1.1162e-07,0.6814
50,10000,1,5.2768e-08,0.6814
100,10000,1,2.114e-08,0.6814
500,10000,1,8.3733e-08,0.6814
1000,10000,1,8.1769e-08,0.6814
2000,10000,1,8.2229e-08,0.6814
10000,10000,1,3.1052e-06,0.6814
11,10000,1,4.0003e-08,0.6814
51,10000,1,1.5697e-08,0.6814
101,10000,1,5.9644e-09,0.6814
501,10000,1,8.1237e-08,0.6814
1001,10000,1,7.4267e-08,0.6814
2001,10000,1,7.582e-08,0.6814
10001,10000,1,4.6104e-07,0.6814
10,11,1,0.19409,0.15682
50,11,1,0.035122,0.15682
100,11,1,0.014071,0.15682
500,11,1,0.055732,0.15682
1000,11,1,0.054425,0.15682
2000,11,1,0.054732,0.15682
10000,11,1,0.056303,0.15682
11,11,1,0.72939,0.15682
51,11,1,0.010448,0.15682
101,11,1,0.0039699,0.15682
501,11,1,0.054071,0.15682
1001,11,1,0.049432,0.15682
2001,11,1,0.050466,0.15682
10001,11,1,0.056301,0.15682
10,51,1,0.071362,0.40889
50,51,1,0.1426,0.40889
100,51,1,0.013515,0.40889
500,51,1,0.053533,0.40889
1000,51,1,0.052277,0.40889
2000,51,1,0.052572,0.40889
10000,51,1,0.054081,0.40889
11,51,1,0.025575,0.40889
51,51,1,0.54692,0.40889
101,51,1,0.0038132,0.40889
501,51,1,0.051937,0.40889
1001,51,1,0.047481,0.40889
2001,51,1,0.048474,0.40889
10001,51,1,0.054079,0.40889
10,101,1,0.054013,0.61265
50,101,1,0.025534,0.61265
100,101,1,0.087527,0.61265
500,101,1,0.040518,0.61265
1000,101,1,0.039568,0.61265
2000,101,1,0.039791,0.61265
10000,101,1,0.040933,0.61265
11,101,1,0.019357,0.61265
51,101,1,0.007596,0.61265
101,101,1,0.36291,0.61265
501,101,1,0.03931,0.61265
1001,101,1,0.035938,0.61265
2001,101,1,0.036689,0.61265
10001,101,1,0.040931,0.61265
10,501,1,9.1691e-05,0.6814
50,501,1,4.3346e-05,0.6814
100,501,1,1.7365e-05,0.6814
500,501,1,0.00084553,0.6814
1000,501,1,6.7169e-05,0.6814
2000,501,1,6.7548e-05,0.6814
10000,501,1,6.9487e-05,0.6814
11,501,1,3.286e-05,0.6814
51,501,1,1.2895e-05,0.6814
101,501,1,4.8995e-06,0.6814
501,501,1,0.012403,0.6814
1001,501,1,6.1007e-05,0.6814
2001,501,1,6.2283e-05,0.6814
10001,501,1,6.9484e-05,0.6814
10,1001,1,0.00030871,0.6814
50,1001,1,0.00014594,0.6814
100,1001,1,5.8466e-05,0.6814
500,1001,1,0.00023158,0.6814
1000,1001,1,0.00278,0.6814
2000,1001,1,0.00022742,0.6814
10000,1001,1,0.00023395,0.6814
11,1001,1,0.00011064,0.6814
51,1001,1,4.3415e-05,0.6814
101,1001,1,1.6496e-05,0.6814
501,1001,1,0.00022468,0.6814
1001,1001,1,0.038175,0.6814
2001,1001,1,0.0002097,0.6814
10001,1001,1,0.00023394,0.6814
10,2001,1,0.00025689,0.6814
50,2001,1,0.00012144,0.6814
100,2001,1,4.8652e-05,0.6814
500,2001,1,0.00019271,0.6814
1000,2001,1,0.00018819,0.6814
2000,2001,1,0.0023264,0.6814
10000,2001,1,0.00019468,0.6814
11,2001,1,9.2065e-05,0.6814
51,2001,1,3.6127e-05,0.6814
101,2001,1,1.3727e-05,0.6814
501,2001,1,0.00018696,0.6814
1001,2001,1,0.00017092,0.6814
2001,2001,1,0.032432,0.6814
10001,2001,1,0.00019467,0.6814
10,10001,1,1.1162e-07,0.6814
50,10001,1,5.2768e-08,0.6814
100,10001,1,2.114e-08,0.6814
500,10001,1,8.3733e-08,0.6814
1000,10001,1,8.1769e-08,0.6814
2000,10001,1,8.2229e-08,0.6814
10000,10001,1,1.0398e-06,0.6814
11,10001,1,4.0003e-08,0.6814
51,10001,1,1.5697e-08,0.6814
101,10001,1,5.9644e-09,0.6814
501,10001,1,8.1237e-08,0.6814
1001,10001,1,7.4267e-08,0.6814
2001,10001,1,7.582e-08,0.6814
10001,10001,1,1.5721e-05,0.6814
10,10,2,0.070771,0.15682
50,10,2,0.0020144,0.15682
100,10,2,0.0043158,0.15682
500,10,2,0.031825,0.15682
1000,10,2,0.031078,0.15682
2000,10,2,0.031253,0.15682
10000,10,2,0.03215,0.15682
11,10,2,0.0032618,0.15682
51,10,2,0.00061825,0.15682
101,10,2,0.0012346,0.15682
501,10,2,0.030876,0.15682
1001,10,2,0.028227,0.15682
2001,10,2,0.028817,0.15682
10001,10,2,0.032149,0.15682
10,50,2,0.0011292,0.40284
50,50,2,0.24168,0.40284
100,50,2,0.01519,0.40284
500,50,2,0.11201,0.40284
1000,50,2,0.10938,0.40284
2000,50,2,0.11,0.40284
10000,50,2,0.11315,0.40284
11,50,2,0.00040469,0.40284
51,50,2,0.010985,0.40284
101,50,2,0.0043452,0.40284
501,50,2,0.10867,0.40284
1001,50,2,0.099345,0.40284
2001,50,2,0.10142,0.40284
10001,50,2,0.11315,0.40284
10,100,2,0.0019751,0.61001
50,100,2,0.0124,0.61001
100,100,2,0.41148,0.61001
500,100,2,0.19591,0.61001
1000,100,2,0.19131,0.61001
2000,100,2,0.19239,0.61001
10000,100,2,0.19791,0.61001
11,100,2,0.00070782,0.61001
51,100,2,0.0038058,0.61001
101,100,2,0.02125,0.61001
501,100,2,0.19007,0.61001
1001,100,2,0.17376,0.61001
2001,100,2,0.17739,0.61001
10001,100,2,0.1979,0.61001
10,500,2,4.5533e-06,0.6814
50,500,2,2.8587e-05,0.6814
100,500,2,6.1248e-05,0.6814
500,500,2,0.0057045,0.6814
1000,500,2,0.00044105,0.6814
2000,500,2,0.00044353,0.6814
10000,500,2,0.00045626,0.6814
11,500,2,1.6318e-06,0.6814
51,500,2,8.774e-06,0.6814
101,500,2,1.7521e-05,0.6814
501,500,2,0.0010734,0.6814
1001,500,2,0.00040058,0.6814
2001,500,2,0.00040896,0.6814
10001,500,2,0.00045625,0.6814
10,1000,2,1.533e-05,0.6814
