utterance,meaning,valence,probability,affect_prior
50,50,1,0.52911,0.37298
500,50,1,0.10629,0.37298
1000,50,1,0.10629,0.37298
5000,50,1,0.10629,0.37298
10000,50,1,0.15217,0.37298
51,50,1,0.11483,0.37298
501,50,1,0.096709,0.37298
1001,50,1,0.096709,0.37298
5001,50,1,0.096709,0.37298
10001,50,1,0.15159,0.37298
50,500,1,0.0013703,0.78351
500,500,1,0.060236,0.78351
1000,500,1,0.0015344,0.78351
5000,500,1,0.0015344,0.78351
10000,500,1,0.0021967,0.78351
51,500,1,0.0010843,0.78351
501,500,1,0.0075093,0.78351
1001,500,1,0.0013961,0.78351
5001,500,1,0.0013961,0.78351
10001,500,1,0.0021883,0.78351
50,1000,1,0.0013703,0.78351
500,1000,1,0.0015344,0.78351
1000,1000,1,0.060236,0.78351
5000,1000,1,0.0015344,0.78351
10000,1000,1,0.0021967,0.78351
51,1000,1,0.0010843,0.78351
501,1000,1,0.0013961,0.78351
1001,1000,1,0.0075093,0.78351
5001,1000,1,0.0013961,0.78351
10001,1000,1,0.0021883,0.78351
50,5000,1,0.0013703,0.78351
500,5000,1,0.0015344,0.78351
1000,5000,1,0.0015344,0.78351
5000,5000,1,0.060236,0.78351
10000,5000,1,0.0021967,0.78351
51,5000,1,0.0010843,0.78351
501,5000,1,0.0013961,0.78351
1001,5000,1,0.0013961,0.78351
5001,5000,1,0.0075093,0.78351
10001,5000,1,0.0021883,0.78351
50,10000,1,3.6884e-05,0.78351
500,10000,1,4.1302e-05,0.78351
1000,10000,1,4.1302e-05,0.78351
5000,10000,1,4.1302e-05,0.78351
10000,10000,1,0.0023212,0.78351
51,10000,1,2.9187e-05,0.78351
501,10000,1,3.7579e-05,0.78351
1001,10000,1,3.7579e-05,0.78351
5001,10000,1,3.7579e-05,0.78351
10001,10000,1,0.00031683,0.78351
50,51,1,0.15559,0.37793
500,51,1,0.10545,0.37793
1000,51,1,0.10545,0.37793
5000,51,1,0.10545,0.37793
10000,51,1,0.15096,0.37793
51,51,1,0.55425,0.37793
501,51,1,0.095945,0.37793
1001,51,1,0.095945,0.37793
5001,51,1,0.095945,0.37793
10001,51,1,0.15039,0.37793
50,501,1,0.0013703,0.78351
500,501,1,0.0099044,0.78351
1000,501,1,0.0015344,0.78351
5000,501,1,0.0015344,0.78351
10000,501,1,0.0021967,0.78351
51,501,1,0.0010843,0.78351
501,501,1,0.075826,0.78351
1001,501,1,0.0013961,0.78351
5001,501,1,0.0013961,0.78351
10001,501,1,0.0021883,0.78351
50,1001,1,0.0013703,0.78351
500,1001,1,0.0015344,0.78351
1000,1001,1,0.0099044,0.78351
5000,1001,1,0.0015344,0.78351
10000,1001,1,0.0021967,0.78351
51,1001,1,0.0010843,0.78351
501,1001,1,0.0013961,0.78351
1001,1001,1,0.075826,0.78351
5001,1001,1,0.0013961,0.78351
10001,1001,1,0.0021883,0.78351
50,5001,1,0.0013703,0.78351
500,5001,1,0.0015344,0.78351
1000,5001,1,0.0015344,0.78351
5000,5001,1,0.0099044,0.78351
10000,5001,1,0.0021967,0.78351
51,5001,1,0.0010843,0.78351
501,5001,1,0.0013961,0.78351
1001,5001,1,0.0013961,0.78351
5001,5001,1,0.075826,0.78351
10001,5001,1,0.0021883,0.78351
50,10001,1,3.6884e-05,0.78351
500,10001,1,4.1302e-05,0.78351
1000,10001,1,4.1302e-05,0.78351
5000,10001,1,4.1302e-05,0.78351
10000,10001,1,0.00038166,0.78351
51,10001,1,2.9187e-05,0.78351
501,10001,1,3.7579e-05,0.78351
1001,10001,1,3.7579e-05,0.78351
5001,10001,1,3.7579e-05,0.78351
10001,10001,1,0.0031993,0.78351
50,50,2,0.26276,0.37298
500,50,2,0.18434,0.37298
1000,50,2,0.18434,0.37298
5000,50,2,0.18434,0.37298
10000,50,2,0.2639,0.37298
51,50,2,0.027267,0.37298
501,50,2,0.16772,0.37298
1001,50,2,0.16772,0.37298
5001,50,2,0.16772,0.37298
10001,50,2,0.2629,0.37298
50,500,2,0.00039373,0.78351
500,500,2,0.22864,0.78351
1000,500,2,0.016191,0.78351
5000,500,2,0.016191,0.78351
10000,500,2,0.023179,0.78351
51,500,2,0.00031987,0.78351
501,500,2,0.036856,0.78351
1001,500,2,0.014731,0.78351
5001,500,2,0.014731,0.78351
10001,500,2,0.023091,0.78351
50,1000,2,0.00039373,0.78351
500,1000,2,0.016191,0.78351
1000,1000,2,0.22864,0.78351
5000,1000,2,0.016191,0.78351
10000,1000,2,0.023179,0.78351
51,1000,2,0.00031987,0.78351
501,1000,2,0.014731,0.78351
1001,1000,2,0.036856,0.78351
5001,1000,2,0.014731,0.78351
10001,1000,2,0.023091,0.78351
50,5000,2,0.00039373,0.78351
500,5000,2,0.016191,0.78351
1000,5000,2,0.016191,0.78351
5000,5000,2,0.22864,0.78351
10000,5000,2,0.023179,0.78351
51,5000,2,0.00031987,0.78351
501,5000,2,0.014731,0.78351
1001,5000,2,0.014731,0.78351
5001,5000,2,0.036856,0.78351
10001,5000,2,0.023091,0.78351
50,10000,2,1.0598e-05,0.78351
500,10000,2,0.00043582,0.78351
1000,10000,2,0.00043582,0.78351
5000,10000,2,0.00043582,0.78351
10000,10000,2,0.0088107,0.78351
51,10000,2,8.61e-06,0.78351
501,10000,2,0.00039652,0.78351
1001,10000,2,0.00039652,0.78351
5001,10000,2,0.00039652,0.78351
10001,10000,2,0.001555,0.78351
50,51,2,0.041858,0.37793
500,51,2,0.18679,0.37793
1000,51,2,0.18679,0.37793
5000,51,2,0.18679,0.37793
10000,51,2,0.26741,0.37793
51,51,2,0.29515,0.37793
501,51,2,0.16995,0.37793
1001,51,2,0.16995,0.37793
5001,51,2,0.16995,0.37793
10001,51,2,0.26639,0.37793
50,501,2,0.00039373,0.78351
500,501,2,0.046483,0.78351
1000,501,2,0.016191,0.78351
5000,501,2,0.016191,0.78351
10000,501,2,0.023179,0.78351
51,501,2,0.00031987,0.78351
501,501,2,0.28411,0.78351
1001,501,2,0.014731,0.78351
5001,501,2,0.014731,0.78351
10001,501,2,0.023091,0.78351
50,1001,2,0.00039373,0.78351
500,1001,2,0.016191,0.78351
1000,1001,2,0.046483,0.78351
5000,1001,2,0.016191,0.78351
10000,1001,2,0.023179,0.78351
51,1001,2,0.00031987,0.78351
501,1001,2,0.014731,0.78351
1001,1001,2,0.28411,0.78351
5001,1001,2,0.014731,0.78351
10001,1001,2,0.023091,0.78351
50,5001,2,0.00039373,0.78351
500,5001,2,0.016191,0.78351
1000,5001,2,0.016191,0.78351
5000,5001,2,0.046483,0.78351
10000,5001,2,0.023179,0.78351
51,5001,2,0.00031987,0.78351
501,5001,2,0.014731,0.78351
1001,5001,2,0.014731,0.78351
5001,5001,2,0.28411,0.78351
10001,5001,2,0.023091,0.78351
50,10001,2,1.0598e-05,0.78351
500,10001,2,0.00043582,0.78351
1000,10001,2,0.00043582,0.78351
5000,10001,2,0.00043582,0.78351
10000,10001,2,0.0017912,0.78351
51,10001,2,8.61e-06,0.78351
501,10001,2,0.00039652,0.78351
1001,10001,2,0.00039652,0.78351
5001,10001,2,0.00039652,0.78351
10001,10001,2,0.011987,0.78351
