utterance,meaning,valence,probability,affect_prior
20,20,1,0.65061,0.21038
50,20,1,0.11659,0.21038
100,20,1,0.15951,0.21038
200,20,1,0.098815,0.21038
500,20,1,0.083055,0.21038
1000,20,1,0.083055,0.21038
2000,20,1,0.083055,0.21038
10000,20,1,0.11371,0.21038
21,20,1,0.13205,0.21038
51,20,1,0.11576,0.21038
101,20,1,0.15861,0.21038
201,20,1,0.09844,0.21038
501,20,1,0.083055,0.21038
1001,20,1,0.083055,0.21038
2001,20,1,0.083055,0.21038
10001,20,1,0.11371,0.21038
20,50,1,0.016874,0.37298
50,50,1,0.41012,0.37298
100,50,1,0.039026,0.37298
200,50,1,0.024176,0.37298
500,50,1,0.02032,0.37298
1000,50,1,0.02032,0.37298
2000,50,1,0.02032,0.37298
10000,50,1,0.027819,0.37298
21,50,1,0.016748,0.37298
51,50,1,0.07009,0.37298
101,50,1,0.038804,0.37298
201,50,1,0.024084,0.37298
501,50,1,0.02032,0.37298
1001,50,1,0.02032,0.37298
2001,50,1,0.02032,0.37298
10001,50,1,0.027819,0.37298
20,100,1,0.0026526,0.5699
50,100,1,0.004484,0.5699
100,100,1,0.18047,0.5699
200,100,1,0.0038003,0.5699
500,100,1,0.0031942,0.5699
1000,100,1,0.0031942,0.5699
2000,100,1,0.0031942,0.5699
10000,100,1,0.0043731,0.5699
21,100,1,0.0026327,0.5699
51,100,1,0.0044519,0.5699
101,100,1,0.025182,0.5699
201,100,1,0.0037859,0.5699
501,100,1,0.0031942,0.5699
1001,100,1,0.0031942,0.5699
2001,100,1,0.0031942,0.5699
10001,100,1,0.0043731,0.5699
20,200,1,0.0009821,0.72796
50,200,1,0.0016602,0.72796
100,200,1,0.0022713,0.72796
200,200,1,0.10123,0.72796
500,200,1,0.0011826,0.72796
1000,200,1,0.0011826,0.72796
2000,200,1,0.0011826,0.72796
10000,200,1,0.0016191,0.72796
21,200,1,0.00097476,0.72796
51,200,1,0.0016483,0.72796
101,200,1,0.0022584,0.72796
201,200,1,0.012306,0.72796
501,200,1,0.0011826,0.72796
1001,200,1,0.0011826,0.72796
2001,200,1,0.0011826,0.72796
10001,200,1,0.0016191,0.72796
20,500,1,0.00039056,0.78351
50,500,1,0.00066022,0.78351
100,500,1,0.00090327,0.78351
200,500,1,0.00055955,0.78351
500,500,1,0.05309,0.78351
1000,500,1,0.00047031,0.78351
2000,500,1,0.00047031,0.78351
10000,500,1,0.00064388,0.78351
21,500,1,0.00038764,0.78351
51,500,1,0.00065549,0.78351
101,500,1,0.00089813,0.78351
201,500,1,0.00055743,0.78351
501,500,1,0.0062147,0.78351
1001,500,1,0.00047031,0.78351
2001,500,1,0.00047031,0.78351
10001,500,1,0.00064388,0.78351
20,1000,1,0.00039056,0.78351
50,1000,1,0.00066022,0.78351
100,1000,1,0.00090327,0.78351
200,1000,1,0.00055955,0.78351
500,1000,1,0.00047031,0.78351
1000,1000,1,0.05309,0.78351
2000,1000,1,0.00047031,0.78351
10000,1000,1,0.00064388,0.78351
21,1000,1,0.00038764,0.78351
51,1000,1,0.00065549,0.78351
101,1000,1,0.00089813,0.78351
201,1000,1,0.00055743,0.78351
501,1000,1,0.00047031,0.78351
1001,1000,1,0.0062147,0.78351
2001,1000,1,0.00047031,0.78351
10001,1000,1,0.00064388,0.78351
20,2000,1,0.00039056,0.78351
50,2000,1,0.00066022,0.78351
100,2000,1,0.00090327,0.78351
200,2000,1,0.00055955,0.78351
500,2000,1,0.00047031,0.78351
1000,2000,1,0.00047031,0.78351
2000,2000,1,0.05309,0.78351
10000,2000,1,0.00064388,0.78351
21,2000,1,0.00038764,0.78351
51,2000,1,0.00065549,0.78351
101,2000,1,0.00089813,0.78351
201,2000,1,0.00055743,0.78351
501,2000,1,0.00047031,0.78351
1001,2000,1,0.00047031,0.78351
2001,2000,1,0.0062147,0.78351
10001,2000,1,0.00064388,0.78351
20,10000,1,2.8024e-08,0.78351
50,10000,1,4.7374e-08,0.78351
100,10000,1,6.4813e-08,0.78351
200,10000,1,4.015e-08,0.78351
500,10000,1,3.3747e-08,0.78351
1000,10000,1,3.3747e-08,0.78351
2000,10000,1,3.3747e-08,0.78351
10000,10000,1,5.2153e-06,0.78351
21,10000,1,2.7815e-08,0.78351
51,10000,1,4.7034e-08,0.78351
101,10000,1,6.4444e-08,0.78351
201,10000,1,3.9998e-08,0.78351
501,10000,1,3.3747e-08,0.78351
1001,10000,1,3.3747e-08,0.78351
2001,10000,1,3.3747e-08,0.78351
10001,10000,1,6.1051e-07,0.78351
20,21,1,0.13151,0.2161
50,21,1,0.11575,0.2161
100,21,1,0.15836,0.2161
200,21,1,0.098099,0.2161
500,21,1,0.082453,0.2161
1000,21,1,0.082453,0.2161
2000,21,1,0.082453,0.2161
10000,21,1,0.11288,0.2161
21,21,1,0.64628,0.2161
51,21,1,0.11492,0.2161
101,21,1,0.15746,0.2161
201,21,1,0.097727,0.2161
501,21,1,0.082453,0.2161
1001,21,1,0.082453,0.2161
2001,21,1,0.082453,0.2161
10001,21,1,0.11288,0.2161
20,51,1,0.016741,0.37793
50,51,1,0.069628,0.37793
100,51,1,0.038718,0.37793
200,51,1,0.023985,0.37793
500,51,1,0.020159,0.37793
1000,51,1,0.020159,0.37793
2000,51,1,0.020159,0.37793
10000,51,1,0.027599,0.37793
