utterance,meaning,valence,probability,affect_prior
10,10,1,0.43354,0.20792
50,10,1,0.039804,0.20792
100,10,1,0.027777,0.20792
500,10,1,0.034992,0.20792
1000,10,1,0.036959,0.20792
2000,10,1,0.037529,0.20792
10000,10,1,0.038045,0.20792
11,10,1,0.041858,0.20792
51,10,1,0.011914,0.20792
101,10,1,0.0082541,0.20792
501,10,1,0.02815,0.20792
1001,10,1,0.034019,0.20792
2001,10,1,0.036049,0.20792
10001,10,1,0.038043,0.20792
10,50,1,0.08397,0.37298
50,50,1,0.40928,0.37298
100,50,1,0.03201,0.37298
500,50,1,0.040324,0.37298
1000,50,1,0.042592,0.37298
2000,50,1,0.043249,0.37298
10000,50,1,0.043843,0.37298
11,50,1,0.029833,0.37298
51,50,1,0.027422,0.37298
101,50,1,0.009512,0.37298
501,50,1,0.03244,0.37298
1001,50,1,0.039204,0.37298
2001,50,1,0.041543,0.37298
10001,50,1,0.043841,0.37298
10,100,1,0.039328,0.5699
50,100,1,0.021484,0.5699
100,100,1,0.26731,0.5699
500,100,1,0.018886,0.5699
1000,100,1,0.019948,0.5699
2000,100,1,0.020256,0.5699
10000,100,1,0.020534,0.5699
11,100,1,0.013973,0.5699
51,100,1,0.0064305,0.5699
101,100,1,0.013878,0.5699
501,100,1,0.015194,0.5699
1001,100,1,0.018362,0.5699
2001,100,1,0.019457,0.5699
10001,100,1,0.020533,0.5699
10,500,1,0.00041488,0.78351
50,500,1,0.00022663,0.78351
100,500,1,0.00015815,0.78351
500,500,1,0.013401,0.78351
1000,500,1,0.00021044,0.78351
2000,500,1,0.00021368,0.78351
10000,500,1,0.00021662,0.78351
11,500,1,0.0001474,0.78351
51,500,1,6.7837e-05,0.78351
101,500,1,4.6997e-05,0.78351
501,500,1,0.001484,0.78351
1001,500,1,0.0001937,0.78351
2001,500,1,0.00020526,0.78351
10001,500,1,0.00021661,0.78351
10,1000,1,0.00013968,0.78351
50,1000,1,7.63e-05,0.78351
100,1000,1,5.3245e-05,0.78351
500,1000,1,6.7075e-05,0.78351
1000,1000,1,0.0047653,0.78351
2000,1000,1,7.194e-05,0.78351
10000,1000,1,7.2928e-05,0.78351
11,1000,1,4.9624e-05,0.78351
51,1000,1,2.2838e-05,0.78351
101,1000,1,1.5822e-05,0.78351
501,1000,1,5.3961e-05,0.78351
1001,1000,1,0.00060376,0.78351
2001,1000,1,6.9103e-05,0.78351
10001,1000,1,7.2925e-05,0.78351
10,2000,1,6.5345e-05,0.78351
50,2000,1,3.5696e-05,0.78351
100,2000,1,2.491e-05,0.78351
500,2000,1,3.138e-05,0.78351
1000,2000,1,3.3145e-05,0.78351
2000,2000,1,0.0022637,0.78351
10000,2000,1,3.4118e-05,0.78351
11,2000,1,2.3216e-05,0.78351
51,2000,1,1.0685e-05,0.78351
101,2000,1,7.4022e-06,0.78351
501,2000,1,2.5245e-05,0.78351
1001,2000,1,3.0508e-05,0.78351
2001,2000,1,0.00029932,0.78351
10001,2000,1,3.4117e-05,0.78351
10,10000,1,6.9323e-08,0.78351
50,10000,1,3.7869e-08,0.78351
100,10000,1,2.6426e-08,0.78351
500,10000,1,3.329e-08,0.78351
1000,10000,1,3.5162e-08,0.78351
2000,10000,1,3.5705e-08,0.78351
10000,10000,1,2.4345e-06,0.78351
11,10000,1,2.4629e-08,0.78351
51,10000,1,1.1335e-08,0.78351
101,10000,1,7.8528e-09,0.78351
501,10000,1,2.6782e-08,0.78351
1001,10000,1,3.2365e-08,0.78351
2001,10000,1,3.4297e-08,0.78351
10001,10000,1,3.351e-07,0.78351
10,11,1,0.18693,0.20792
50,11,1,0.039804,0.20792
100,11,1,0.027777,0.20792
500,11,1,0.034992,0.20792
1000,11,1,0.036959,0.20792
2000,11,1,0.037529,0.20792
10000,11,1,0.038045,0.20792
11,11,1,0.68925,0.20792
51,11,1,0.011914,0.20792
101,11,1,0.0082541,0.20792
501,11,1,0.02815,0.20792
1001,11,1,0.034019,0.20792
2001,11,1,0.036049,0.20792
10001,11,1,0.038043,0.20792
10,51,1,0.083306,0.37793
50,51,1,0.15953,0.37793
100,51,1,0.031757,0.37793
500,51,1,0.040005,0.37793
1000,51,1,0.042255,0.37793
2000,51,1,0.042907,0.37793
10000,51,1,0.043496,0.37793
11,51,1,0.029597,0.37793
51,51,1,0.57784,0.37793
101,51,1,0.0094368,0.37793
501,51,1,0.032184,0.37793
1001,51,1,0.038894,0.37793
2001,51,1,0.041215,0.37793
10001,51,1,0.043494,0.37793
10,101,1,0.039065,0.57277
50,101,1,0.02134,0.57277
100,101,1,0.094155,0.57277
500,101,1,0.01876,0.57277
1000,101,1,0.019815,0.57277
2000,101,1,0.020121,0.57277
10000,101,1,0.020397,0.57277
11,101,1,0.013879,0.57277
51,101,1,0.0063876,0.57277
101,101,1,0.39322,0.57277
501,101,1,0.015092,0.57277
1001,101,1,0.018239,0.57277
2001,101,1,0.019327,0.57277
10001,101,1,0.020396,0.57277
10,501,1,0.00041488,0.78351
50,501,1,0.00022663,0.78351
100,501,1,0.00015815,0.78351
500,501,1,0.0043742,0.78351
1000,501,1,0.00021044,0.78351
2000,501,1,0.00021368,0.78351
10000,501,1,0.00021662,0.78351
11,501,1,0.0001474,0.78351
51,501,1,6.7837e-05,0.78351
101,501,1,4.6997e-05,0.78351
501,501,1,0.055142,0.78351
1001,501,1,0.0001937,0.78351
2001,501,1,0.00020526,0.78351
10001,501,1,0.00021661,0.78351
10,1001,1,0.00013968,0.78351
50,1001,1,7.63e-05,0.78351
100,1001,1,5.3245e-05,0.78351
500,1001,1,6.7075e-05,0.78351
1000,1001,1,0.0015555,0.78351
2000,1001,1,7.194e-05,0.78351
10000,1001,1,7.2928e-05,0.78351
11,1001,1,4.9624e-05,0.78351
51,1001,1,2.2838e-05,0.78351
101,1001,1,1.5822e-05,0.78351
501,1001,1,5.3961e-05,0.78351
1001,1001,1,0.022435,0.78351
2001,1001,1,6.9103e-05,0.78351
10001,1001,1,7.2925e-05,0.78351
10,2001,1,6.5345e-05,0.78351
50,2001,1,3.5696e-05,0.78351
100,2001,1,2.491e-05,0.78351
500,2001,1,3.138e-05,0.78351
1000,2001,1,3.3145e-05,0.78351
2000,2001,1,0.00073892,0.78351
10000,2001,1,3.4118e-05,0.78351
11,2001,1,2.3216e-05,0.78351
51,2001,1,1.0685e-05,0.78351
101,2001,1,7.4022e-06,0.78351
501,2001,1,2.5245e-05,0.78351
1001,2001,1,3.0508e-05,0.78351
2001,2001,1,0.011122,0.78351
10001,2001,1,3.4117e-05,0.78351
10,10001,1,6.9323e-08,0.78351
50,10001,1,3.7869e-08,0.78351
100,10001,1,2.6426e-08,0.78351
500,10001,1,3.329e-08,0.78351
1000,10001,1,3.5162e-08,0.78351
2000,10001,1,3.5705e-08,0.78351
10000,10001,1,7.9467e-07,0.78351
11,10001,1,2.4629e-08,0.78351
51,10001,1,1.1335e-08,0.78351
101,10001,1,7.8528e-09,0.78351
501,10001,1,2.6782e-08,0.78351
1001,10001,1,3.2365e-08,0.78351
2001,10001,1,3.4297e-08,0.78351
10001,10001,1,1.2452e-05,0.78351
10,10,2,0.095292,0.20792
50,10,2,0.0017483,0.20792
100,10,2,0.006032,0.20792
500,10,2,0.056439,0.20792
1000,10,2,0.059613,0.20792
2000,10,2,0.060533,0.20792
10000,10,2,0.061364,0.20792
11,10,2,0.0044118,0.20792
51,10,2,0.00053725,0.20792
101,10,2,0.0018189,0.20792
501,10,2,0.045405,0.20792
1001,10,2,0.054872,0.20792
2001,10,2,0.058146,0.20792
10001,10,2,0.061361,0.20792
10,50,2,0.0016145,0.37298
50,50,2,0.22073,0.37298
100,50,2,0.015753,0.37298
500,50,2,0.14739,0.37298
1000,50,2,0.15568,0.37298
2000,50,2,0.15808,0.37298
10000,50,2,0.16025,0.37298
11,50,2,0.00057361,0.37298
51,50,2,0.0095475,0.37298
101,50,2,0.0047499,0.37298
501,50,2,0.11857,0.37298
1001,50,2,0.1433,0.37298
2001,50,2,0.15185,0.37298
10001,50,2,0.16024,0.37298
10,100,2,0.0016844,0.5699
50,100,2,0.0047632,0.5699
100,100,2,0.35077,0.5699
500,100,2,0.15377,0.5699
1000,100,2,0.16242,0.5699
2000,100,2,0.16492,0.5699
10000,100,2,0.16719,0.5699
11,100,2,0.00059844,0.5699
51,100,2,0.0014638,0.5699
101,100,2,0.017442,0.5699
501,100,2,0.12371,0.5699
