utterance,meaning,valence,probability,affect_prior
50,50,1,0.5202,0.31731
500,50,1,0.1421,0.31731
1000,50,1,0.12277,0.31731
5000,50,1,0.076214,0.31731
10000,50,1,0.025066,0.31731
51,50,1,0.1982,0.31731
501,50,1,0.13052,0.31731
1001,50,1,0.11694,0.31731
5001,50,1,0.073154,0.31731
10001,50,1,0.022923,0.31731
50,500,1,0.0036872,0.79196
500,500,1,0.085651,0.79196
1000,500,1,0.0047413,0.79196
5000,500,1,0.0029431,0.79196
10000,500,1,0.00096795,0.79196
51,500,1,0.003353,0.79196
501,500,1,0.025934,0.79196
1001,500,1,0.0045163,0.79196
5001,500,1,0.0028249,0.79196
10001,500,1,0.00088518,0.79196
50,1000,1,0.0007905,0.89333
500,1000,1,0.0011745,0.89333
1000,1000,1,0.029984,0.89333
5000,1000,1,0.00063097,0.89333
10000,1000,1,0.00020752,0.89333
51,1000,1,0.00071884,0.89333
501,1000,1,0.0010789,0.89333
1001,1000,1,0.0088823,0.89333
5001,1000,1,0.00060563,0.89333
10001,1000,1,0.00018978,0.89333
50,5000,1,0.00017664,0.95242
500,5000,1,0.00026245,0.95242
1000,5000,1,0.00022712,0.95242
5000,5000,1,0.0091623,0.95242
10000,5000,1,4.6371e-05,0.95242
51,5000,1,0.00016063,0.95242
501,5000,1,0.00024107,0.95242
1001,5000,1,0.00021634,0.95242
5001,5000,1,0.0025983,0.95242
10001,5000,1,4.2406e-05,0.95242
50,10000,1,3.7508e-05,0.98636
500,10000,1,5.573e-05,0.98636
1000,10000,1,4.8228e-05,0.98636
5000,10000,1,2.9939e-05,0.98636
10000,10000,1,0.002234,0.98636
51,10000,1,3.4108e-05,0.98636
501,10000,1,5.1191e-05,0.98636
1001,10000,1,4.5939e-05,0.98636
5001,10000,1,2.8737e-05,0.98636
10001,10000,1,0.00054897,0.98636
50,51,1,0.20229,0.31731
500,51,1,0.13066,0.31731
1000,51,1,0.11283,0.31731
5000,51,1,0.070045,0.31731
10000,51,1,0.023037,0.31731
51,51,1,0.52069,0.31731
501,51,1,0.12,0.31731
1001,51,1,0.10748,0.31731
5001,51,1,0.067233,0.31731
10001,51,1,0.021068,0.31731
50,501,1,0.0037196,0.79196
500,501,1,0.029468,0.79196
1000,501,1,0.0047832,0.79196
5000,501,1,0.0029689,0.79196
10000,501,1,0.00097646,0.79196
51,501,1,0.0033824,0.79196
501,501,1,0.096759,0.79196
1001,501,1,0.0045561,0.79196
5001,501,1,0.0028497,0.79196
10001,501,1,0.00089297,0.79196
50,1001,1,0.00075001,0.89333
500,1001,1,0.0011144,0.89333
1000,1001,1,0.0090536,0.89333
5000,1001,1,0.00059865,0.89333
10000,1001,1,0.00019689,0.89333
51,1001,1,0.00068203,0.89333
501,1001,1,0.0010236,0.89333
1001,1001,1,0.033365,0.89333
5001,1001,1,0.00057462,0.89333
10001,1001,1,0.00018006,0.89333
