utterance,meaning,valence,probability,affect_prior
50,50,1,0.43906,0.47991
500,50,1,0.13799,0.47991
1000,50,1,0.13799,0.47991
5000,50,1,0.13799,0.47991
10000,50,1,0.19209,0.47991
51,50,1,0.06897,0.47991
501,50,1,0.12634,0.47991
1001,50,1,0.12634,0.47991
5001,50,1,0.12634,0.47991
10001,50,1,0.19153,0.47991
50,500,1,0.001529,0.63915
500,500,1,0.095865,0.63915
1000,500,1,0.0048467,0.63915
5000,500,1,0.0048467,0.63915
10000,500,1,0.0067469,0.63915
51,500,1,0.0011773,0.63915
501,500,1,0.013976,0.63915
1001,500,1,0.0044376,0.63915
5001,500,1,0.0044376,0.63915
10001,500,1,0.0067273,0.63915
50,1000,1,0.001529,0.63915
500,1000,1,0.0048467,0.63915
1000,1000,1,0.095865,0.63915
5000,1000,1,0.0048467,0.63915
10000,1000,1,0.0067469,0.63915
51,1000,1,0.0011773,0.63915
501,1000,1,0.0044376,0.63915
1001,1000,1,0.013976,0.63915
5001,1000,1,0.0044376,0.63915
10001,1000,1,0.0067273,0.63915
50,5000,1,0.001529,0.63915
500,5000,1,0.0048467,0.63915
1000,5000,1,0.0048467,0.63915
5000,5000,1,0.095865,0.63915
10000,5000,1,0.0067469,0.63915
51,5000,1,0.0011773,0.63915
501,5000,1,0.0044376,0.63915
1001,5000,1,0.0044376,0.63915
5001,5000,1,0.013976,0.63915
10001,5000,1,0.0067273,0.63915
50,10000,1,3.4789e-05,0.63915
500,10000,1,0.00011028,0.63915
1000,10000,1,0.00011028,0.63915
5000,10000,1,0.00011028,0.63915
10000,10000,1,0.0030364,0.63915
51,10000,1,2.6787e-05,0.63915
501,10000,1,0.00010097,0.63915
1001,10000,1,0.00010097,0.63915
5001,10000,1,0.00010097,0.63915
10001,10000,1,0.00048208,0.63915
50,51,1,0.098579,0.48693
500,51,1,0.13612,0.48693
1000,51,1,0.13612,0.48693
5000,51,1,0.13612,0.48693
10000,51,1,0.18949,0.48693
51,51,1,0.45889,0.48693
501,51,1,0.12464,0.48693
1001,51,1,0.12464,0.48693
5001,51,1,0.12464,0.48693
10001,51,1,0.18894,0.48693
50,501,1,0.001529,0.63915
500,501,1,0.017825,0.63915
1000,501,1,0.0048467,0.63915
5000,501,1,0.0048467,0.63915
10000,501,1,0.0067469,0.63915
51,501,1,0.0011773,0.63915
501,501,1,0.12057,0.63915
1001,501,1,0.0044376,0.63915
5001,501,1,0.0044376,0.63915
10001,501,1,0.0067273,0.63915
50,1001,1,0.001529,0.63915
