utterance,meaning,valence,probability,affect_prior
20,20,1,0.64523,0.20758
50,20,1,0.048119,0.20758
100,20,1,0.10778,0.20758
200,20,1,0.10778,0.20758
500,20,1,0.10778,0.20758
1000,20,1,0.10778,0.20758
2000,20,1,0.10778,0.20758
10000,20,1,0.16642,0.20758
21,20,1,0.12385,0.20758
51,20,1,0.047389,0.20758
101,20,1,0.10778,0.20758
201,20,1,0.10778,0.20758
501,20,1,0.10778,0.20758
1001,20,1,0.10778,0.20758
2001,20,1,0.10778,0.20758
10001,20,1,0.16642,0.20758
20,50,1,0.021672,0.47991
50,50,1,0.40098,0.47991
100,50,1,0.038468,0.47991
200,50,1,0.038468,0.47991
500,50,1,0.038468,0.47991
1000,50,1,0.038468,0.47991
2000,50,1,0.038468,0.47991
10000,50,1,0.059398,0.47991
21,50,1,0.021367,0.47991
51,50,1,0.058882,0.47991
101,50,1,0.038468,0.47991
201,50,1,0.038468,0.47991
501,50,1,0.038468,0.47991
1001,50,1,0.038468,0.47991
2001,50,1,0.038468,0.47991
10001,50,1,0.059398,0.47991
20,100,1,0.0013983,0.63915
50,100,1,0.0011081,0.63915
100,100,1,0.11712,0.63915
200,100,1,0.0024821,0.63915
500,100,1,0.0024821,0.63915
1000,100,1,0.0024821,0.63915
2000,100,1,0.0024821,0.63915
10000,100,1,0.0038325,0.63915
21,100,1,0.0013786,0.63915
51,100,1,0.0010913,0.63915
101,100,1,0.014997,0.63915
201,100,1,0.0024821,0.63915
501,100,1,0.0024821,0.63915
1001,100,1,0.0024821,0.63915
2001,100,1,0.0024821,0.63915
10001,100,1,0.0038325,0.63915
20,200,1,0.0013983,0.63915
50,200,1,0.0011081,0.63915
100,200,1,0.0024821,0.63915
200,200,1,0.11712,0.63915
500,200,1,0.0024821,0.63915
1000,200,1,0.0024821,0.63915
2000,200,1,0.0024821,0.63915
10000,200,1,0.0038325,0.63915
21,200,1,0.0013786,0.63915
51,200,1,0.0010913,0.63915
101,200,1,0.0024821,0.63915
201,200,1,0.014997,0.63915
501,200,1,0.0024821,0.63915
1001,200,1,0.0024821,0.63915
2001,200,1,0.0024821,0.63915
10001,200,1,0.0038325,0.63915
20,500,1,0.0013983,0.63915
50,500,1,0.0011081,0.63915
100,500,1,0.0024821,0.63915
200,500,1,0.0024821,0.63915
500,500,1,0.11712,0.63915
1000,500,1,0.0024821,0.63915
2000,500,1,0.0024821,0.63915
10000,500,1,0.0038325,0.63915
21,500,1,0.0013786,0.63915
51,500,1,0.0010913,0.63915
101,500,1,0.0024821,0.63915
201,500,1,0.0024821,0.63915
501,500,1,0.014997,0.63915
1001,500,1,0.0024821,0.63915
2001,500,1,0.0024821,0.63915
10001,500,1,0.0038325,0.63915
