utterance,meaning,valence,probability,affect_prior
50,50,1,0.4428,0.47991
500,50,1,0.15849,0.47991
1000,50,1,0.17,0.47991
5000,50,1,0.20549,0.47991
10000,50,1,0.20797,0.47991
51,50,1,0.069427,0.47991
501,50,1,0.14697,0.47991
1001,50,1,0.16026,0.47991
5001,50,1,0.20412,0.47991
10001,50,1,0.20737,0.47991
50,500,1,0.0011409,0.63915
500,500,1,0.08147,0.63915
1000,500,1,0.0044181,0.63915
5000,500,1,0.0053404,0.63915
10000,500,1,0.005405,0.63915
51,500,1,0.00087684,0.63915
501,500,1,0.01203,0.63915
1001,500,1,0.0041649,0.63915
5001,500,1,0.0053048,0.63915
10001,500,1,0.0053892,0.63915
50,1000,1,0.00082545,0.63915
500,1000,1,0.00298,0.63915
1000,1000,1,0.063225,0.63915
5000,1000,1,0.0038638,0.63915
10000,1000,1,0.0039105,0.63915
51,1000,1,0.00063439,0.63915
501,1000,1,0.0027635,0.63915
1001,1000,1,0.0094904,0.63915
5001,1000,1,0.003838,0.63915
10001,1000,1,0.0038991,0.63915
50,5000,1,7.5457e-05,0.63915
500,5000,1,0.00027241,0.63915
1000,5000,1,0.0002922,0.63915
5000,5000,1,0.0069861,0.63915
10000,5000,1,0.00035747,0.63915
51,5000,1,5.7992e-05,0.63915
501,5000,1,0.00025262,0.63915
1001,5000,1,0.00027546,0.63915
5001,5000,1,0.001105,0.63915
10001,5000,1,0.00035643,0.63915
50,10000,1,3.2501e-05,0.63915
500,10000,1,0.00011733,0.63915
1000,10000,1,0.00012586,0.63915
5000,10000,1,0.00015213,0.63915
10000,10000,1,0.0030455,0.63915
51,10000,1,2.4978e-05,0.63915
501,10000,1,0.00010881,0.63915
1001,10000,1,0.00011864,0.63915
5001,10000,1,0.00015111,0.63915
10001,10000,1,0.00048351,0.63915
50,51,1,0.099417,0.48693
500,51,1,0.15635,0.48693
1000,51,1,0.16771,0.48693
5000,51,1,0.20272,0.48693
10000,51,1,0.20517,0.48693
51,51,1,0.46193,0.48693
501,51,1,0.14499,0.48693
1001,51,1,0.1581,0.48693
5001,51,1,0.20136,0.48693
10001,51,1,0.20457,0.48693
50,501,1,0.0011409,0.63915
500,501,1,0.015148,0.63915
1000,501,1,0.0044181,0.63915
5000,501,1,0.0053404,0.63915
10000,501,1,0.005405,0.63915
51,501,1,0.00087684,0.63915
501,501,1,0.10378,0.63915
1001,501,1,0.0041649,0.63915
5001,501,1,0.0053048,0.63915
10001,501,1,0.0053892,0.63915
50,1001,1,0.00082545,0.63915
500,1001,1,0.00298,0.63915
1000,1001,1,0.011756,0.63915
5000,1001,1,0.0038638,0.63915
10000,1001,1,0.0039105,0.63915
51,1001,1,0.00063439,0.63915
501,1001,1,0.0027635,0.63915
1001,1001,1,0.081874,0.63915
5001,1001,1,0.003838,0.63915
10001,1001,1,0.0038991,0.63915
50,5001,1,7.5457e-05,0.63915
500,5001,1,0.00027241,0.63915
1000,5001,1,0.0002922,0.63915
5000,5001,1,0.001299,0.63915
10000,5001,1,0.00035747,0.63915
51,5001,1,5.7992e-05,0.63915
501,5001,1,0.00025262,0.63915
1001,5001,1,0.00027546,0.63915
5001,5001,1,0.0095327,0.63915
10001,5001,1,0.00035643,0.63915
50,10001,1,3.2501e-05,0.63915
500,10001,1,0.00011733,0.63915
1000,10001,1,0.00012586,0.63915
5000,10001,1,0.00015213,0.63915
10000,10001,1,0.00056625,0.63915
51,10001,1,2.4978e-05,0.63915
501,10001,1,0.00010881,0.63915
1001,10001,1,0.00011864,0.63915
5001,10001,1,0.00015111,0.63915
10001,10001,1,0.0041713,0.63915
50,50,2,0.38279,0.47991
500,50,2,0.19365,0.47991
1000,50,2,0.20772,0.47991
5000,50,2,0.25108,0.47991
10000,50,2,0.25412,0.47991
51,50,2,0.044641,0.47991
501,50,2,0.17958,0.47991
1001,50,2,0.19581,0.47991
5001,50,2,0.2494,0.47991
10001,50,2,0.25338,0.47991
50,500,2,0.00073399,0.63915
500,500,2,0.14667,0.63915
1000,500,2,0.010362,0.63915
5000,500,2,0.012525,0.63915
10000,500,2,0.012677,0.63915
51,500,2,0.00058419,0.63915
501,500,2,0.023501,0.63915
1001,500,2,0.0097685,0.63915
5001,500,2,0.012442,0.63915
10001,500,2,0.01264,0.63915
50,1000,2,0.00053104,0.63915
500,1000,2,0.0069894,0.63915
1000,1000,2,0.11382,0.63915
5000,1000,2,0.0090622,0.63915
10000,1000,2,0.0091718,0.63915
51,1000,2,0.00042266,0.63915
501,1000,2,0.0064817,0.63915
1001,1000,2,0.01854,0.63915
5001,1000,2,0.0090017,0.63915
