utterance,meaning,valence,probability,affect_prior
50,50,1,0.22537,0.01
500,50,1,0.0070386,0.01
1000,50,1,0.0041891,0.01
5000,50,1,0.00089453,0.01
10000,50,1,4.0871e-05,0.01
51,50,1,0.05871,0.01
501,50,1,0.0061268,0.01
1001,50,1,0.0037545,0.01
5001,50,1,0.00083104,0.01
10001,50,1,3.8482e-05,0.01
50,500,1,0.20208,0.3
500,500,1,0.52008,0.3
1000,500,1,0.027068,0.3
5000,500,1,0.00578,0.3
10000,500,1,0.00026408,0.3
51,500,1,0.19362,0.3
501,500,1,0.1036,0.3
1001,500,1,0.02426,0.3
5001,500,1,0.0053698,0.3
10001,500,1,0.00024865,0.3
50,1000,1,0.15495,0.5
500,1000,1,0.034871,0.5
1000,1000,1,0.37804,0.5
5000,1000,1,0.0044318,0.5
10000,1000,1,0.00020249,0.5
51,1000,1,0.14846,0.5
501,1000,1,0.030354,0.5
1001,1000,1,0.070207,0.5
5001,1000,1,0.0041173,0.5
10001,1000,1,0.00019065,0.5
50,5000,1,0.0086455,0.9
500,5000,1,0.0019457,0.9
1000,5000,1,0.001158,0.9
5000,5000,1,0.047836,0.9
10000,5000,1,1.1298e-05,0.9
51,5000,1,0.0082832,0.9
501,5000,1,0.0016936,0.9
1001,5000,1,0.0010379,0.9
5001,5000,1,0.007362,0.9
10001,5000,1,1.0638e-05,0.9
50,10000,1,0.00029759,0.99
500,10000,1,6.6973e-05,0.99
1000,10000,1,3.986e-05,0.99
5000,10000,1,8.5116e-06,0.99
10000,10000,1,0.0023836,0.99
51,10000,1,0.00028512,0.99
501,10000,1,5.8297e-05,0.99
1001,10000,1,3.5725e-05,0.99
5001,10000,1,7.9075e-06,0.99
10001,10000,1,0.00033885,0.99
50,51,1,0.063112,0.01
500,51,1,0.0068498,0.01
1000,51,1,0.0040768,0.01
5000,51,1,0.00087054,0.01
10000,51,1,3.9775e-05,0.01
51,51,1,0.25917,0.01
501,51,1,0.0059625,0.01
1001,51,1,0.0036538,0.01
5001,51,1,0.00080876,0.01
10001,51,1,3.745e-05,0.01
50,501,1,0.19575,0.3
500,501,1,0.12345,0.3
1000,501,1,0.02622,0.3
5000,501,1,0.0055989,0.3
10000,501,1,0.00025581,0.3
51,501,1,0.18755,0.3
501,501,1,0.54724,0.3
1001,501,1,0.0235,0.3
5001,501,1,0.0052015,0.3
10001,501,1,0.00024086,0.3
50,1001,1,0.1389,0.5
500,1001,1,0.031259,0.5
1000,1001,1,0.072373,0.5
5000,1001,1,0.0039726,0.5
10000,1001,1,0.00018151,0.5
51,1001,1,0.13308,0.5
501,1001,1,0.027209,0.5
1001,1001,1,0.38535,0.5
5001,1001,1,0.0036907,0.5
10001,1001,1,0.0001709,0.5
50,5001,1,0.007734,0.9
500,5001,1,0.0017405,0.9
1000,5001,1,0.0010359,0.9
5000,5001,1,0.0073629,0.9
10000,5001,1,1.0107e-05,0.9
51,5001,1,0.0074099,0.9
501,5001,1,0.0015151,0.9
1001,5001,1,0.00092844,0.9
