utterance,meaning,valence,probability,affect_prior
50,50,1,0.45475,0.21085
500,50,1,0.02565,0.21085
1000,50,1,0.016377,0.21085
5000,50,1,0.018858,0.21085
10000,50,1,0.021986,0.21085
51,50,1,0.09032,0.21085
501,50,1,0.020393,0.21085
1001,50,1,0.01322,0.21085
5001,50,1,0.017985,0.21085
10001,50,1,0.021909,0.21085
50,500,1,0.11265,0.35817
500,500,1,0.49673,0.35817
1000,500,1,0.029862,0.35817
5000,500,1,0.034386,0.35817
10000,500,1,0.04009,0.35817
51,500,1,0.095304,0.35817
501,500,1,0.07819,0.35817
1001,500,1,0.024106,0.35817
5001,500,1,0.032795,0.35817
10001,500,1,0.03995,0.35817
50,1000,1,0.032673,0.62473
500,1000,1,0.013566,0.62473
1000,1000,1,0.2524,0.62473
5000,1000,1,0.0099737,0.62473
10000,1000,1,0.011628,0.62473
51,1000,1,0.027643,0.62473
501,1000,1,0.010786,0.62473
1001,1000,1,0.029539,0.62473
5001,1000,1,0.0095122,0.62473
10001,1000,1,0.011587,0.62473
50,5000,1,0.0012608,0.77438
500,5000,1,0.0005235,0.77438
1000,5000,1,0.00033424,0.77438
5000,5000,1,0.030336,0.77438
10000,5000,1,0.00044872,0.77438
51,5000,1,0.0010667,0.77438
501,5000,1,0.00041621,0.77438
1001,5000,1,0.00026981,0.77438
5001,5000,1,0.0036366,0.77438
10001,5000,1,0.00044715,0.77438
50,10000,1,7.8167e-05,0.77438
500,10000,1,3.2455e-05,0.77438
1000,10000,1,2.0722e-05,0.77438
5000,10000,1,2.3861e-05,0.77438
10000,10000,1,0.0021926,0.77438
51,10000,1,6.6132e-05,0.77438
501,10000,1,2.5803e-05,0.77438
1001,10000,1,1.6727e-05,0.77438
5001,10000,1,2.2757e-05,0.77438
10001,10000,1,0.00027464,0.77438
50,51,1,0.11781,0.21085
500,51,1,0.02565,0.21085
1000,51,1,0.016377,0.21085
5000,51,1,0.018858,0.21085
10000,51,1,0.021986,0.21085
51,51,1,0.51559,0.21085
501,51,1,0.020393,0.21085
1001,51,1,0.01322,0.21085
5001,51,1,0.017985,0.21085
10001,51,1,0.021909,0.21085
50,501,1,0.11252,0.35889
500,501,1,0.1108,0.35889
1000,501,1,0.029829,0.35889
5000,501,1,0.034348,0.35889
10000,501,1,0.040045,0.35889
51,501,1,0.095197,0.35889
501,501,1,0.53582,0.35889
1001,501,1,0.024079,0.35889
5001,501,1,0.032759,0.35889
10001,501,1,0.039905,0.35889
50,1001,1,0.032642,0.62509
500,1001,1,0.013553,0.62509
1000,1001,1,0.043373,0.62509
5000,1001,1,0.0099641,0.62509
10000,1001,1,0.011617,0.62509
51,1001,1,0.027616,0.62509
501,1001,1,0.010775,0.62509
1001,1001,1,0.28124,0.62509
5001,1001,1,0.0095031,0.62509
10001,1001,1,0.011576,0.62509
50,5001,1,0.0012608,0.77438
500,5001,1,0.0005235,0.77438
1000,5001,1,0.00033424,0.77438
5000,5001,1,0.0046554,0.77438
10000,5001,1,0.00044872,0.77438
51,5001,1,0.0010667,0.77438
501,5001,1,0.00041621,0.77438
1001,5001,1,0.00026981,0.77438
5001,5001,1,0.040175,0.77438
10001,5001,1,0.00044715,0.77438
50,10001,1,7.8167e-05,0.77438
500,10001,1,3.2455e-05,0.77438
1000,10001,1,2.0722e-05,0.77438
5000,10001,1,2.3861e-05,0.77438
10000,10001,1,0.00033649,0.77438
51,10001,1,6.6132e-05,0.77438
501,10001,1,2.5803e-05,0.77438
1001,10001,1,1.6727e-05,0.77438
5001,10001,1,2.2757e-05,0.77438
10001,10001,1,0.003034,0.77438
50,50,2,0.10585,0.21085
500,50,2,0.0015476,0.21085
1000,50,2,0.0087886,0.21085
5000,50,2,0.04299,0.21085
10000,50,2,0.05012,0.21085
51,50,2,0.010889,0.21085
501,50,2,0.0012352,0.21085
1001,50,2,0.0071079,0.21085
5001,50,2,0.041001,0.21085
10001,50,2,0.049945,0.21085
50,500,2,0.0032503,0.35817
500,500,2,0.25699,0.35817
1000,500,2,0.033472,0.35817
5000,500,2,0.16373,0.35817
10000,500,2,0.19088,0.35817
51,500,2,0.0027499,0.35817
501,500,2,0.027586,0.35817
1001,500,2,0.027071,0.35817
5001,500,2,0.15615,0.35817
10001,500,2,0.19022,0.35817
50,1000,2,0.0028124,0.62473
500,1000,2,0.0051001,0.62473
1000,1000,2,0.43472,0.62473
5000,1000,2,0.14167,0.62473
10000,1000,2,0.16517,0.62473
51,1000,2,0.0023794,0.62473
501,1000,2,0.0040706,0.62473
1001,1000,2,0.060959,0.62473
5001,1000,2,0.13511,0.62473
10001,1000,2,0.16459,0.62473
50,5000,2,0.00022375,0.77438
500,5000,2,0.00040575,0.77438
1000,5000,2,0.0023042,0.77438
5000,5000,2,0.11407,0.77438
10000,5000,2,0.01314,0.77438
51,5000,2,0.0001893,0.77438
501,5000,2,0.00032385,0.77438
1001,5000,2,0.0018635,0.77438
5001,5000,2,0.021971,0.77438
10001,5000,2,0.013094,0.77438
50,10000,2,1.3872e-05,0.77438
500,10000,2,2.5155e-05,0.77438
1000,10000,2,0.00014285,0.77438
5000,10000,2,0.00069875,0.77438
10000,10000,2,0.0082446,0.77438
51,10000,2,1.1736e-05,0.77438
501,10000,2,2.0078e-05,0.77438
