utterance,meaning,valence,probability,affect_prior
20,20,1,0.33401,0.21085
50,20,1,0.014045,0.21085
100,20,1,0.010813,0.21085
200,20,1,0.008104,0.21085
500,20,1,0.0032952,0.21085
1000,20,1,0.0030728,0.21085
2000,20,1,0.0024355,0.21085
10000,20,1,0.003178,0.21085
21,20,1,0.051951,0.21085
51,20,1,0.014045,0.21085
101,20,1,0.010813,0.21085
201,20,1,0.008104,0.21085
501,20,1,0.0032908,0.21085
1001,20,1,0.003069,0.21085
2001,20,1,0.0024355,0.21085
10001,20,1,0.003178,0.21085
20,50,1,0.026675,0.21085
50,50,1,0.41403,0.21085
100,50,1,0.01659,0.21085
200,50,1,0.012434,0.21085
500,50,1,0.005056,0.21085
1000,50,1,0.0047148,0.21085
2000,50,1,0.003737,0.21085
10000,50,1,0.0048763,0.21085
21,50,1,0.026675,0.21085
51,50,1,0.064397,0.21085
101,50,1,0.01659,0.21085
201,50,1,0.012434,0.21085
501,50,1,0.0050493,0.21085
1001,50,1,0.004709,0.21085
2001,50,1,0.003737,0.21085
10001,50,1,0.0048763,0.21085
20,100,1,0.041132,0.21085
50,100,1,0.03323,0.21085
100,100,1,0.49149,0.21085
200,100,1,0.019174,0.21085
500,100,1,0.0077962,0.21085
1000,100,1,0.0072701,0.21085
2000,100,1,0.0057624,0.21085
10000,100,1,0.0075191,0.21085
21,100,1,0.041132,0.21085
51,100,1,0.03323,0.21085
101,100,1,0.076444,0.21085
201,100,1,0.019174,0.21085
501,100,1,0.0077859,0.21085
1001,100,1,0.0072612,0.21085
2001,100,1,0.0057624,0.21085
10001,100,1,0.0075191,0.21085
20,200,1,0.062126,0.21085
50,200,1,0.05019,0.21085
100,200,1,0.038638,0.21085
200,200,1,0.55638,0.21085
500,200,1,0.011775,0.21085
1000,200,1,0.010981,0.21085
2000,200,1,0.0087034,0.21085
10000,200,1,0.011357,0.21085
21,200,1,0.062126,0.21085
51,200,1,0.05019,0.21085
101,200,1,0.038638,0.21085
201,200,1,0.086538,0.21085
501,200,1,0.01176,0.21085
1001,200,1,0.010967,0.21085
2001,200,1,0.0087034,0.21085
10001,200,1,0.011357,0.21085
20,500,1,0.097061,0.35817
50,500,1,0.078414,0.35817
100,500,1,0.060366,0.35817
200,500,1,0.045244,0.35817
500,500,1,0.52512,0.35817
1000,500,1,0.017155,0.35817
2000,500,1,0.013597,0.35817
10000,500,1,0.017743,0.35817
21,500,1,0.097061,0.35817
51,500,1,0.078414,0.35817
101,500,1,0.060366,0.35817
201,500,1,0.045244,0.35817
501,500,1,0.073695,0.35817
1001,500,1,0.017134,0.35817
2001,500,1,0.013597,0.35817
10001,500,1,0.017743,0.35817
20,1000,1,0.016666,0.62473
50,1000,1,0.013464,0.62473
100,1000,1,0.010365,0.62473
200,1000,1,0.0077686,0.62473
500,1000,1,0.0031588,0.62473
1000,1000,1,0.24027,0.62473
2000,1000,1,0.0023347,0.62473
10000,1000,1,0.0030465,0.62473
21,1000,1,0.016666,0.62473
51,1000,1,0.013464,0.62473
101,1000,1,0.010365,0.62473
201,1000,1,0.0077686,0.62473
501,1000,1,0.0031546,0.62473
1001,1000,1,0.028849,0.62473
2001,1000,1,0.0023347,0.62473
10001,1000,1,0.0030465,0.62473
20,2000,1,0.0015227,0.77438
50,2000,1,0.0012302,0.77438
100,2000,1,0.00094703,0.77438
200,2000,1,0.00070981,0.77438
500,2000,1,0.00028861,0.77438
1000,2000,1,0.00026914,0.77438
2000,2000,1,0.047742,0.77438
10000,2000,1,0.00027835,0.77438
21,2000,1,0.0015227,0.77438
51,2000,1,0.0012302,0.77438
101,2000,1,0.00094703,0.77438
201,2000,1,0.00070981,0.77438
501,2000,1,0.00028823,0.77438
1001,2000,1,0.00026881,0.77438
2001,2000,1,0.0054019,0.77438
10001,2000,1,0.00027835,0.77438
20,10000,1,8.7782e-08,0.77438
50,10000,1,7.0917e-08,0.77438
100,10000,1,5.4595e-08,0.77438
200,10000,1,4.0919e-08,0.77438
500,10000,1,1.6638e-08,0.77438
1000,10000,1,1.5515e-08,0.77438
2000,10000,1,1.2298e-08,0.77438
10000,10000,1,3.5913e-06,0.77438
21,10000,1,8.7782e-08,0.77438
51,10000,1,7.0917e-08,0.77438
101,10000,1,5.4595e-08,0.77438
201,10000,1,4.0919e-08,0.77438
501,10000,1,1.6616e-08,0.77438
1001,10000,1,1.5496e-08,0.77438
2001,10000,1,1.2298e-08,0.77438
10001,10000,1,4.0635e-07,0.77438
20,21,1,0.051951,0.21085
50,21,1,0.014045,0.21085
100,21,1,0.010813,0.21085
200,21,1,0.008104,0.21085
500,21,1,0.0032952,0.21085
1000,21,1,0.0030728,0.21085
2000,21,1,0.0024355,0.21085
10000,21,1,0.003178,0.21085
21,21,1,0.33401,0.21085
51,21,1,0.014045,0.21085
101,21,1,0.010813,0.21085
201,21,1,0.008104,0.21085
501,21,1,0.0032908,0.21085
1001,21,1,0.003069,0.21085
2001,21,1,0.0024355,0.21085
10001,21,1,0.003178,0.21085
20,51,1,0.026675,0.21085
50,51,1,0.064397,0.21085
100,51,1,0.01659,0.21085
200,51,1,0.012434,0.21085
500,51,1,0.005056,0.21085
1000,51,1,0.0047148,0.21085
2000,51,1,0.003737,0.21085
10000,51,1,0.0048763,0.21085
21,51,1,0.026675,0.21085
51,51,1,0.41403,0.21085
101,51,1,0.01659,0.21085
201,51,1,0.012434,0.21085
501,51,1,0.0050493,0.21085
1001,51,1,0.004709,0.21085
2001,51,1,0.003737,0.21085
10001,51,1,0.0048763,0.21085
20,101,1,0.041132,0.21085
50,101,1,0.03323,0.21085
100,101,1,0.076444,0.21085
200,101,1,0.019174,0.21085
500,101,1,0.0077962,0.21085
1000,101,1,0.0072701,0.21085
2000,101,1,0.0057624,0.21085
10000,101,1,0.0075191,0.21085
21,101,1,0.041132,0.21085
51,101,1,0.03323,0.21085
101,101,1,0.49149,0.21085
201,101,1,0.019174,0.21085
501,101,1,0.0077859,0.21085
1001,101,1,0.0072612,0.21085
2001,101,1,0.0057624,0.21085
10001,101,1,0.0075191,0.21085
20,201,1,0.062126,0.21085
50,201,1,0.05019,0.21085
