utterance,meaning,valence,probability,affect_prior
350,350,1,0.43879
0.23463,600,350,1,0.032684
0.23463,840,350,1,0.047046
0.23463,1090,350,1,0.050002
0.23463,1330,350,1,0.056499
0.23463,1570,350,1,0.039126
0.23463,10000,350,1,6.1684e-13
0.23463,351,350,1,0.039945
0.23463,601,350,1,0.0095113
0.23463,841,350,1,0.015875
0.23463,1091,350,1,0.020886
0.23463,1331,350,1,0.036437
0.23463,1571,350,1,0.025116
0.23463,10001,350,1,6.1682e-13
0.23463,350,600,1,0.076369
0.43908,600,600,1,0.37744
0.43908,840,600,1,0.050811
0.43908,1090,600,1,0.054003
0.43908,1330,600,1,0.06102
0.43908,1570,600,1,0.042257
0.43908,10000,600,1,6.6621e-13
0.43908,351,600,1,0.026151
0.43908,601,600,1,0.022702
0.43908,841,600,1,0.017146
0.43908,1091,600,1,0.022558
0.43908,1331,600,1,0.039353
0.43908,1571,600,1,0.027126
0.43908,10001,600,1,6.6619e-13
0.43908,350,840,1,0.021782
0.55204,600,840,1,0.010068
0.55204,840,840,1,0.23472
0.55204,1090,840,1,0.015403
0.55204,1330,840,1,0.017404
0.55204,1570,840,1,0.012052
0.55204,10000,840,1,1.9002e-13
0.55204,351,840,1,0.0074589
0.55204,601,840,1,0.0029299
0.55204,841,840,1,0.014166
0.55204,1091,840,1,0.0064339
0.55204,1331,840,1,0.011224
0.55204,1571,840,1,0.0077369
0.55204,10001,840,1,1.9001e-13
0.55204,350,1090,1,0.0067396
0.65349,600,1090,1,0.0031152
0.65349,840,1090,1,0.0044841
0.65349,1090,1090,1,0.12578
0.65349,1330,1090,1,0.0053851
0.65349,1570,1090,1,0.0037292
0.65349,10000,1090,1,5.8793e-14
0.65349,351,1090,1,0.0023079
0.65349,601,1090,1,0.00090655
0.65349,841,1090,1,0.0015131
0.65349,1091,1090,1,0.008297
0.65349,1331,1090,1,0.0034729
0.65349,1571,1090,1,0.0023939
0.65349,10001,1090,1,5.8791e-14
0.65349,350,1330,1,0.0014244
0.70707,600,1330,1,0.00065837
0.70707,840,1330,1,0.00094768
0.70707,1090,1330,1,0.0010072
0.70707,1330,1330,1,0.041569
0.70707,1570,1330,1,0.00078814
0.70707,10000,1330,1,1.2426e-14
0.70707,351,1330,1,0.00048775
0.70707,601,1330,1,0.00019159
0.70707,841,1330,1,0.00031979
0.70707,1091,1330,1,0.00042073
0.70707,1331,1330,1,0.003985
0.70707,1571,1330,1,0.00050593
0.70707,10001,1330,1,1.2425e-14
0.70707,350,1570,1,0.0011791
0.75751,600,1570,1,0.000545
0.75751,840,1570,1,0.00078449
0.75751,1090,1570,1,0.00083378
0.75751,1330,1570,1,0.00094211
0.75751,1570,1570,1,0.034483
0.75751,10000,1570,1,1.0286e-14
0.75751,351,1570,1,0.00040376
0.75751,601,1570,1,0.0001586
0.75751,841,1570,1,0.00026472
0.75751,1091,1570,1,0.00034828
