utterance,meaning,valence,probability,affect_prior
300,300,1,0.43805,0.21085
500,300,1,0.045624,0.21085
800,300,1,0.031123,0.21085
1000,300,1,0.028773,0.21085
2000,300,1,0.018548,0.21085
2500,300,1,0.023051,0.21085
10000,300,1,0.02968,0.21085
301,300,1,0.039496,0.21085
501,300,1,0.014398,0.21085
801,300,1,0.0097312,0.21085
1001,300,1,0.0096757,0.21085
2001,300,1,0.0086853,0.21085
2501,300,1,0.013752,0.21085
10001,300,1,0.029679,0.21085
300,500,1,0.061603,0.35817
500,500,1,0.39039,0.35817
800,500,1,0.028513,0.35817
1000,500,1,0.02636,0.35817
2000,500,1,0.016993,0.35817
2500,500,1,0.021118,0.35817
10000,500,1,0.027191,0.35817
301,500,1,0.021445,0.35817
501,500,1,0.026922,0.35817
801,500,1,0.0089151,0.35817
1001,500,1,0.0088643,0.35817
2001,500,1,0.007957,0.35817
2501,500,1,0.012598,0.35817
10001,500,1,0.02719,0.35817
300,800,1,0.03335,0.5416
500,800,1,0.022628,0.5416
800,800,1,0.26782,0.5416
1000,800,1,0.014271,0.5416
2000,800,1,0.0091994,0.5416
2500,800,1,0.011433,0.5416
10000,800,1,0.01472,0.5416
301,800,1,0.01161,0.5416
501,800,1,0.0071411,0.5416
801,800,1,0.014675,0.5416
1001,800,1,0.0047989,0.5416
2001,800,1,0.0043077,0.5416
2501,800,1,0.0068204,0.5416
10001,800,1,0.01472,0.5416
300,1000,1,0.017773,0.62473
500,1000,1,0.012059,0.62473
800,1000,1,0.0082261,0.62473
1000,1000,1,0.19313,0.62473
2000,1000,1,0.0049025,0.62473
2500,1000,1,0.0060926,0.62473
10000,1000,1,0.0078446,0.62473
301,1000,1,0.0061869,0.62473
501,1000,1,0.0038056,0.62473
801,1000,1,0.0025721,0.62473
1001,1000,1,0.010342,0.62473
2001,1000,1,0.0022956,0.62473
2501,1000,1,0.0036347,0.62473
10001,1000,1,0.0078443,0.62473
300,2000,1,0.0034548,0.77438
500,2000,1,0.0023441,0.77438
800,2000,1,0.0015991,0.77438
1000,2000,1,0.0014783,0.77438
2000,2000,1,0.065244,0.77438
2500,2000,1,0.0011843,0.77438
10000,2000,1,0.0015249,0.77438
301,2000,1,0.0012027,0.77438
501,2000,1,0.00073976,0.77438
801,2000,1,0.00049998,0.77438
1001,2000,1,0.00049712,0.77438
2001,2000,1,0.0041983,0.77438
2501,2000,1,0.00070654,0.77438
10001,2000,1,0.0015248,0.77438
300,2500,1,0.0016554,0.77438
500,2500,1,0.0011232,0.77438
800,2500,1,0.00076622,0.77438
1000,2500,1,0.00070837,0.77438
2000,2500,1,0.00045665,0.77438
2500,2500,1,0.038853,0.77438
10000,2500,1,0.00073069,0.77438
301,2500,1,0.00057628,0.77438
501,2500,1,0.00035447,0.77438
801,2500,1,0.00023958,0.77438
1001,2500,1,0.00023821,0.77438
2001,2500,1,0.00021383,0.77438
2501,2500,1,0.0031852,0.77438
10001,2500,1,0.00073067,0.77438
300,10000,1,7.309e-08,0.77438
500,10000,1,4.9592e-08,0.77438
800,10000,1,3.383e-08,0.77438
1000,10000,1,3.1276e-08,0.77438
2000,10000,1,2.0162e-08,0.77438
2500,10000,1,2.5056e-08,0.77438
10000,10000,1,2.2087e-06,0.77438
301,10000,1,2.5444e-08,0.77438
501,10000,1,1.5651e-08,0.77438
801,10000,1,1.0578e-08,0.77438
1001,10000,1,1.0517e-08,0.77438
2001,10000,1,9.4408e-09,0.77438
2501,10000,1,1.4948e-08,0.77438
10001,10000,1,3.0351e-07,0.77438
300,301,1,0.18451,0.21085
500,301,1,0.045624,0.21085
800,301,1,0.031123,0.21085
1000,301,1,0.028773,0.21085
2000,301,1,0.018548,0.21085
2500,301,1,0.023051,0.21085
10000,301,1,0.02968,0.21085
301,301,1,0.69166,0.21085
501,301,1,0.014398,0.21085
801,301,1,0.0097312,0.21085
1001,301,1,0.0096757,0.21085
2001,301,1,0.0086853,0.21085
2501,301,1,0.013752,0.21085
10001,301,1,0.029679,0.21085
300,501,1,0.061533,0.35889
500,501,1,0.15187,0.35889
800,501,1,0.028481,0.35889
1000,501,1,0.02633,0.35889
2000,501,1,0.016974,0.35889
2500,501,1,0.021094,0.35889
10000,501,1,0.02716,0.35889
301,501,1,0.021421,0.35889
501,501,1,0.58286,0.35889
801,501,1,0.0089051,0.35889
1001,501,1,0.0088543,0.35889
2001,501,1,0.007948,0.35889
2501,501,1,0.012584,0.35889
10001,501,1,0.027159,0.35889
300,801,1,0.033315,0.54208
500,801,1,0.022604,0.54208
800,801,1,0.095151,0.54208
1000,801,1,0.014255,0.54208
2000,801,1,0.0091897,0.54208
2500,801,1,0.011421,0.54208
10000,801,1,0.014705,0.54208
301,801,1,0.011597,0.54208
501,801,1,0.0071336,0.54208
801,801,1,0.41345,0.54208
1001,801,1,0.0047938,0.54208
2001,801,1,0.0043031,0.54208
2501,801,1,0.0068132,0.54208
10001,801,1,0.014704,0.54208
300,1001,1,0.017756,0.62509
500,1001,1,0.012047,0.62509
800,1001,1,0.0082182,0.62509
1000,1001,1,0.066214,0.62509
2000,1001,1,0.0048978,0.62509
2500,1001,1,0.0060868,0.62509
10000,1001,1,0.0078371,0.62509
301,1001,1,0.006181,0.62509
501,1001,1,0.003802,0.62509
801,1001,1,0.0025696,0.62509
1001,1001,1,0.32561,0.62509
2001,1001,1,0.0022934,0.62509
2501,1001,1,0.0036312,0.62509
10001,1001,1,0.0078368,0.62509
300,2001,1,0.0034548,0.77438
500,2001,1,0.0023441,0.77438
800,2001,1,0.0015991,0.77438
1000,2001,1,0.0014783,0.77438
2000,2001,1,0.021285,0.77438
2500,2001,1,0.0011843,0.77438
10000,2001,1,0.0015249,0.77438
301,2001,1,0.0012027,0.77438
501,2001,1,0.00073976,0.77438
801,2001,1,0.00049998,0.77438
1001,2001,1,0.00049712,0.77438
2001,2001,1,0.15629,0.77438
2501,2001,1,0.00070654,0.77438
10001,2001,1,0.0015248,0.77438
300,2501,1,0.0016554,0.77438
500,2501,1,0.0011232,0.77438
800,2501,1,0.00076622,0.77438
1000,2501,1,0.00070837,0.77438
2000,2501,1,0.00045665,0.77438
2500,2501,1,0.012675,0.77438
10000,2501,1,0.00073069,0.77438
301,2501,1,0.00057628,0.77438
501,2501,1,0.00035447,0.77438
801,2501,1,0.00023958,0.77438
1001,2501,1,0.00023821,0.77438
2001,2501,1,0.00021383,0.77438
2501,2501,1,0.11858,0.77438
10001,2501,1,0.00073067,0.77438
300,10001,1,7.309e-08,0.77438
500,10001,1,4.9592e-08,0.77438
800,10001,1,3.383e-08,0.77438
1000,10001,1,3.1276e-08,0.77438
2000,10001,1,2.0162e-08,0.77438
2500,10001,1,2.5056e-08,0.77438
10000,10001,1,7.2056e-07,0.77438
301,10001,1,2.5444e-08,0.77438
501,10001,1,1.5651e-08,0.77438
